number	string	number	string	string	string	string	number	number	number	number	number	number	number	number	number	number	number	number
3086	小石巨人	2	M086	M086_output	M086_normal_attack	hit_11	1	0	60	160	220	1.45	40		300	300	1	0
3087	小雷电巨人	2	M087	M087_output	M087_normal_attack	hit_11	1	0	60	160	220	1.45	40		300	300	1	0
3094	蓝色塞壬法师	4	M088	M088_output	M088_normal_attack	hit_11	1	0	60	160	160	1.65	280		300	300	1	0
3095	红色塞壬法师	4	M089	M089_output	M089_normal_attack	hit_11	1	0	60	160	160	1.65	280		300	300	1	0
3096	绿色塞壬战士	2	M090	M090_output	M090_normal_attack	hit_11	1	0	60	160	220	1.45	40		300	300	1	0
3097	金色塞壬战士	2	M091	M091_output	M091_normal_attack	hit_11	1	0	60	160	220	1.45	40		300	300	1	0
3098	金色塞壬之王	2	M092	M092_output	M092_normal_attack	hit_11	1	0	60	160	220	1.45	40		300	300	1	0
3099	绿色塞壬之王	2	M093	M093_output	M093_normal_attack	hit_11	1	0	60	160	220	1.45	40		300	300	1	0
3100	地狱九头蛇	2	M094	M094_output	M094_normal_attack	hit_11	1	402	80	200	220	1.45	40	402	100	100	1	0
3101	七头红龙撒旦	2	M095	M095_output	M095_normal_attack	hit_11	1	402	80	200	220	1.45	40	402	100	100	1	0
3102	八岐大蛇	2	M096	M096_output	M096_normal_attack	hit_11	1	412	80	200	220	1.45	40	412	100	100	1	0
3103	上古凶神相柳	2	M097	M097_output	M097_normal_attack	hit_11	1	422	80	200	220	1.45	40	422	100	100	1	0
3104	真·法夫纳	2	M098	M098_output	M098_normal_attack	hit_11	1	422	80	200	220	1.45	40	422	100	100	1	0
4001	奥德修斯	4	H001	H001_output	H001_normal_attack	hit_41	0.4	0.2	60	200	100	1.65	280	401	300	300	1	0
4002	雅典娜	1	H002	H002_output	H002_normal_attack	hit_11	0.2	0.1	110	195	180	1.8	20	101	300	100	1	0
4003	宙斯	4	H003	H003_output	H003_normal_attack	hit_41	0.4	0.2	80	260	150	1.65	280	401	300	300	1	0
4004	阿波罗	3	H004	H004_output	H004_normal_attack	hit_31	0.2	0.2	80	200	210	1.6	240	321	300	300	1	1
4005	维纳斯	4	H005	H005_output	H005_normal_attack	hit_11	0.3	0.1	80	220	120	1.65	280	421	300	300	1	1
4006	丘比特	3	H006	H006_output	H006_normal_attack	hit_31	0.3	0.2	60	170	200	1.6	240	301	300	300	1	1
4007	阿瑞斯	2	H007	H007_output	H007_normal_attack	hit_11	0.1	0.1	100	230	80	1.45	60	211	300	300	2	0
4008	普罗米修斯	2	H008	H008_output	H008_normal_attack	hit_42	0.5	0.5	80	230	140	1.45	40	411	300	300	1	0
4009	海格力斯	2	H009	H009_output	H009_normal_attack	hit_11	0.2	0.1	60	160	210	1.45	40	211	300	300	1	0
4010	角斗士	2	H010	H010_output	H010_normal_attack	hit_11	0.1	0	120	180	100	1.45	40		300	300	2	0
4011	狂战士	2	H011	H011_output	H011_normal_attack	hit_11	0.2	0	120	190	100	1.45	40		300	300	2	0
4012	奥丁	3	H012	H012_output	H012_normal_attack	hit_31	0.1	0.2	120	240	160	1.6	240	311	300	300	2	1
4013	芙蕾	3	H013	H013_output	H013_normal_attack	hit_31	0.3	0.1	100	180	140	1.6	240	321	300	300	1	1
4014	瓦尔基里	1	H014	H014_output	H014_normal_attack	hit_11	0.2	0.3	90	190	210	1.8	20	111	300	100	1	0
4015	布伦希尔德	1	H015	H015_output	H015_normal_attack	hit_11	0.2	0.5	90	190	210	1.8	20	111	300	100	1	0
4016	诗寇蒂	4	H016	H016_output	H016_normal_attack	hit_42	0.2	0.5	60	190	180	1.65	280	411	300	300	1	1
4017	斯露德	3	H017	H017_output	H017_normal_attack	hit_31	0.4	0.8	100	190	180	1.6	240	301	300	300	1	1
4018	托尔	2	H018	H018_output	H018_normal_attack	hit_11	0.4	0.2	80	210	220	1.45	40	221	300	300	2	0
4019	洛基	4	H019	H019_output	H019_normal_attack	hit_43	0.2	0.2	100	200	150	1.65	280	421	300	300	1	1
4020	海姆达尔	1	H020	H020_output	H020_normal_attack	hit_11	0.2	0.2	80	230	150	1.8	20	101	300	100	1	0
4021	齐格弗里德	2	H021	H021_output	H021_normal_attack	hit_11	0.2	0.3	100	200	200	1.45	40	201	300	300	1	0
4022	美杜莎	3	H022	H022_output	H022_normal_attack		0.2	0.2	100	210	130	1.6	260	301	300	300	2	1
4023	戈尔贡姐妹	3	H023	H023_output	H023_normal_attack	hit_31	0.2	0	80	190	130	1.6	255		300	300	2	1
4024	愤怒戈尔贡	3	H024	H024_output	H024_normal_attack	hit_31	0.2	0	80	190	130	1.6	240		300	300	2	1
4025	厄喀德那	2	H025	H025_output	H025_normal_attack	hit_11	0.2	0.2	100	210	160	1.45	40	211	300	300	2	0
4026	蛇妖执法者	2	H026	H026_output	H026_normal_attack	hit_11	0.1	0	100	210	160	1.45	40		300	300	2	0
4027	蛇妖破法者	2	H027	H027_output	H027_normal_attack	hit_11	0.1	0	100	210	160	1.45	40		300	300	2	0
4028	蛇妖制裁者	4	H028	H028_output	H028_normal_attack	hit_42	0.2	0	90	210	160	1.65	280		300	300	2	1
4029	蛇妖施法者	4	H029	H029_output	H029_normal_attack	hit_42	0.2	0	90	210	160	1.65	280		300	300	2	1
4030	森林树妖	3	H030	H030_output	H030_normal_attack	hit_31	0.2	0	120	210	140	1.6	240		300	300	2	1
4031	森林复仇者	3	H031	H031_output	H031_normal_attack	hit_31	0.2	0	120	210	140	1.6	240		300	300	2	1
4032	波斯骑兵	1	H032	H032_output	H032_normal_attack	hit_11	0.2	0	120	230	120	1.8	20		300	300	2	0
4033	波斯重装骑兵	1	H033	H033_output	H033_normal_attack	hit_11	0.2	0	120	230	120	1.8	20		300	300	2	0
4034	波斯骑射手	3	H034	H032_output	H034_normal_attack	hit_11	0.2	0	120	230	120	1.6	240		300	300	2	1
4035	波斯神射手	3	H035	H033_output	H035_normal_attack	hit_11	0.2	0	120	230	120	1.6	250		300	300	2	1
4036	达提斯	2	H036	H036_output	H036_normal_attack	hit_11	0.2	0.2	140	230	110	1.45	40	221	300	300	2	0
4037	薛西斯	3	H037	H037_output	H037_normal_attack	hit_31	0.3	0.2	100	230	110	1.6	260	301	300	300	2	1
4038	阿伽门农	3	H038	H038_output	H038_normal_attack	hit_31	0.4	0.5	100	210	150	1.6	260	301	300	300	1	1
4039	帕里斯	3	H039	H039_output	H039_normal_attack	hit_31	0.5	0.6	120	200	180	1.6	260	301	300	300	1	1
4040	希腊弓兵	3	H040	H040_output	H040_normal_attack	hit_31	0.2	0	80	220	180	1.6	230		300	300	1	1
4041	希腊神射手	3	H041	H041_output	H041_normal_attack	hit_31	0.2	0.2	80	240	180	1.6	240		300	300	1	1
4042	特洛伊弓兵	3	H042	H042_output	H042_normal_attack	hit_31	0.2	0	80	200	180	1.6	240		300	300	1	1
4043	特洛伊神射手	3	H043	H043_output	H043_normal_attack	hit_31	0.2	0	80	210	180	1.6	250		300	300	1	1
4044	赫克托尔	2	H044	H044_output	H044_normal_attack	hit_11	0.4	0.2	120	220	180	1.45	40	101	300	100	1	0
4045	希腊士兵	2	H045	H045_output	H045_normal_attack	hit_11	0.2	0	80	210	220	1.45	40		300	300	1	0
4046	希腊精兵	2	H046	H046_output	H046_normal_attack	hit_11	0.2	0	80	220	220	1.45	40		300	300	1	0
4047	特洛伊士兵	2	H047	H047_output	H047_normal_attack	hit_11	0.2	0	100	210	200	1.45	40		300	300	1	0
4048	特洛伊精兵	2	H048	H048_output	H048_normal_attack	hit_11	0.2	0	100	210	200	1.45	40		300	300	1	0
4049	列奥尼达	1	H049	H049_output	H049_normal_attack	hit_11	0.4	0.3	100	220	200	1.8	20	121	300	100	2	0
4050	希腊勇士	1	H050	H045_output	H045_normal_attack	hit_11	0.2	0	90	210	220	1.8	20		300	300	1	0
4051	希腊方阵兵	1	H051	H046_output	H051_normal_attack	hit_11	0.2	0	100	220	220	1.8	20		300	300	1	0
4052	特洛伊勇士	1	H052	H047_output	H052_normal_attack	hit_11	0.2	0	80	210	180	1.8	20		300	300	1	0
4053	特洛伊方阵兵	1	H053	H048_output	H053_normal_attack	hit_11	0.1	0	80	210	180	1.8	20		300	300	1	0
4054	伊阿宋	2	H054	H054_output	H054_normal_attack	hit_11	0.3	0.4	120	210	170	1.45	40	201	300	300	1	0
4055	阿喀琉斯	2	H055	H055_output	H055_normal_attack	hit_11	0.3	0.2	80	210	200	1.45	40	221	300	300	1	0
4056	精灵射手	3	H056	H056_output	H056_normal_attack	hit_31	0.3	0	80	190	160	1.6	240		300	300	1	1
4057	黑暗精灵射手	3	H057	H057_output	H057_normal_attack	hit_31	0.2	0.2	80	190	160	1.6	250		300	300	1	1
4058	泰兰德	2	H058	H058_output	H058_normal_attack	hit_11	0.2	0.3	70	200	220	1.45	40	221	300	300	1	0
4059	精灵战士	2	H059	H059_output	H059_normal_attack	hit_11	0.1	0	60	190	190	1.45	40		300	300	1	0
4060	黑暗精灵战士	2	H060	H060_output	H060_normal_attack	hit_11	0.2	0.2	60	190	190	1.45	40		300	300	1	0
4061	希尔瓦娜斯	3	H061	H061_output	H061_normal_attack	hit_31	0.5	0.5	100	200	170	1.6	260	301	300	300	1	1
4062	精灵法师	4	H062	H062_output	H062_normal_attack	hit_42	0.2	0	80	190	200	1.65	280		300	300	1	1
4063	黑暗精灵法师	4	H063	H063_output	H063_normal_attack	hit_42	0.3	0.3	80	190	200	1.65	280		300	300	1	1
4064	凯兰崔尔	4	H064	H064_output	H064_normal_attack	hit_42	0.3	0.4	90	200	110	1.65	280	411	300	300	1	1
4065	精灵禁卫军	3	H065	H065_output	H065_normal_attack	hit_11	0.2	0.2	140	210	320	1.6	240	301	300	300	3	1
4066	圣地守护者	2	H066	H066_output	H066_normal_attack	hit_11	0.1	0.1	140	210	320	1.45	40	221	300	300	3	0
4067	黑暗精灵禁卫军	3	H067	H067_output	H067_normal_attack	hit_11	0.2	0.2	140	210	320	1.6	240	301	300	300	3	1
4068	黑暗圣地守护者	2	H068	H068_output	H068_normal_attack	hit_11	0.1	0.1	140	210	320	1.45	40	221	300	300	3	0
4069	索林·橡木盾	1	H069	H069_output	H069_normal_attack	hit_11	0.2	0	100	170	100	1.8	20	101	300	100	1	0
4070	法夫纳	4	H070	H070_output	H070_normal_attack	hit_42	0.3	0.2	80	170	110	1.65	280	411	300	300	1	1
4071	深火氏族战士	2	H071	H071_output	H071_normal_attack	hit_11	0.2	0	60	150	200	1.45	40		300	300	1	0
4072	寒铁氏族战士	2	H072	H072_output	H072_normal_attack	hit_11	0.2	0	60	150	200	1.45	40		300	300	1	0
4073	深火氏族投手	3	H073	H073_output	H073_normal_attack	hit_11	0.2	0	60	150	150	1.6	240		300	300	1	0
4074	寒铁氏族投手	3	H074	H074_output	H074_normal_attack	hit_11	0.2	0	60	150	150	1.6	245		300	300	1	0
4075	赫拉	2	H075	H075_output	H075_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4076	波塞冬	2	H076	H076_output	H076_normal_attack	hit_11	0.2	0.2	80	215	180	1.45	40	211	300	300	1	0
4077	哈迪斯	1	H077	H077_output	H077_normal_attack	hit_11	0.2	0.2	120	210	350	1.8	20	121	300	100	1	0
4078	阿尔忒弥斯	2	H078	H078_output	H078_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4079	赫斐斯托斯	2	H079	H079_output	H079_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4080	塔那托斯	2	H080	H080_output	H080_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4081	珀修斯	2	H081	H081_output	H081_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4082	俄耳甫斯	2	H082	H082_output	H082_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4083	红缪斯女神	2	H083	H083_output	H083_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4084	蓝缪斯女神	2	H084	H084_output	H084_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4085	绿缪斯女神	2	H085	H085_output	H085_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4086	金缪斯女神	2	H086	H086_output	H086_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4087	俄狄浦斯王	2	H087	H087_output	H087_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4088	吟游诗人	2	H088	H088_output	H088_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4089	盲眼歌者	2	H089	H089_output	H089_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4090	贝瑟芬妮	2	H090	H090_output	H090_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4091	冥后侍女	2	H091	H091_output	H091_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4092	地狱巫女	2	H092	H092_output	H092_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4093	喀戎	2	H093	H093_output	H093_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4094	人马剑士	2	H094	H094_output	H094_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4095	人马无双剑士	2	H095	H095_output	H095_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4096	人马勇士	2	H096	H096_output	H096_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4097	人马无双勇士	2	H097	H097_output	H097_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4098	人马射手	2	H098	H098_output	H098_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4099	人马无双射手	2	H099	H099_output	H099_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4100	亚马逊女王	2	H100	H100_output	H100_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4101	亚马逊战姬	2	H101	H101_output	H101_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4102	亚马逊射手	2	H102	H102_output	H102_normal_attack	hit_11	1	0	60	150	220	1.45	40		300	300	1	0
4103	火热丘比特	3	H103	H103_output	H103_normal_attack	hit_31	0.3	0.2	60	170	200	1.6	240	301	300	300	1	1
