number	array	number	array	number
53	"[101,102,103,104,105]"	128	"[106,107,108]"	192
54	"[101,102,103,104,105]"	130	"[106,107,108]"	196
55	"[101,102,103,104,105]"	132	"[106,107,108]"	199
56	"[101,102,103,104,105]"	135	"[106,107,108]"	203
57	"[101,102,103,104,105]"	137	"[106,107,108]"	207
58	"[101,102,103,104,105]"	140	"[106,107,108]"	210
59	"[101,102,103,104,105]"	142	"[106,107,108]"	214
60	"[101,102,103,104,105]"	144	"[106,107,108]"	217
61	"[101,102,103,104,105]"	147	"[106,107,108]"	221
62	"[101,102,103,104,105]"	149	"[106,107,108]"	225
63	"[101,102,103,104,105]"	152	"[106,107,108]"	228
64	"[101,102,103,104,105]"	154	"[106,107,108]"	232
65	"[101,102,103,104,105]"	156	"[106,107,108]"	235
66	"[101,102,103,104,105]"	159	"[106,107,108]"	239
67	"[101,102,103,104,105]"	161	"[106,107,108]"	243
68	"[101,102,103,104,105]"	164	"[106,107,108]"	246
69	"[101,102,103,104,105]"	166	"[106,107,108]"	250
70	"[101,102,103,104,105]"	168	"[106,107,108]"	253
71	"[101,102,103,104,105]"	171	"[106,107,108]"	257
72	"[101,102,103,104,105]"	173	"[106,107,108]"	261
73	"[101,102,103,104,105]"	176	"[106,107,108]"	264
74	"[101,102,103,104,105]"	178	"[106,107,108]"	268
75	"[101,102,103,104,105]"	180	"[106,107,108]"	271
76	"[101,102,103,104,105]"	183	"[106,107,108]"	275
77	"[101,102,103,104,105]"	185	"[106,107,108]"	279
78	"[101,102,103,104,105]"	188	"[106,107,108]"	282
79	"[101,102,103,104,105]"	190	"[106,107,108]"	286
80	"[101,102,103,104,105]"	192	"[106,107,108]"	289
81	"[101,102,103,104,105]"	195	"[106,107,108]"	293
82	"[101,102,103,104,105]"	197	"[106,107,108]"	297
83	"[101,102,103,104,105]"	200	"[106,107,108]"	300
84	"[101,102,103,104,105]"	202	"[106,107,108]"	304
85	"[101,102,103,104,105]"	204	"[106,107,108]"	307
86	"[101,102,103,104,105]"	207	"[106,107,108]"	311
87	"[101,102,103,104,105]"	209	"[106,107,108]"	315
88	"[101,102,103,104,105]"	212	"[106,107,108]"	318
89	"[101,102,103,104,105]"	214	"[106,107,108]"	322
90	"[101,102,103,104,105]"	216	"[106,107,108]"	325
91	"[101,102,103,104,105]"	219	"[106,107,108]"	329
92	"[101,102,103,104,105]"	221	"[106,107,108]"	333
93	"[101,102,103,104,105]"	224	"[106,107,108]"	336
94	"[101,102,103,104,105]"	226	"[106,107,108]"	340
95	"[101,102,103,104,105]"	228	"[106,107,108]"	343
96	"[101,102,103,104,105]"	231	"[106,107,108]"	347
97	"[101,102,103,104,105]"	233	"[106,107,108]"	351
98	"[101,102,103,104,105]"	236	"[106,107,108]"	354
99	"[101,102,103,104,105]"	238	"[106,107,108]"	358
100	"[101,102,103,104,105]"	240	"[106,107,108]"	361
101	"[101,102,103,104,105]"	364	"[106,107,108]"	547
102	"[101,102,103,104,105]"	368	"[106,107,108]"	552
103	"[101,102,103,104,105]"	371	"[106,107,108]"	558
104	"[101,102,103,104,105]"	375	"[106,107,108]"	563
105	"[101,102,103,104,105]"	378	"[106,107,108]"	568
106	"[101,102,103,104,105]"	382	"[106,107,108]"	574
107	"[101,102,103,104,105]"	386	"[106,107,108]"	579
108	"[101,102,103,104,105]"	389	"[106,107,108]"	585
109	"[101,102,103,104,105]"	393	"[106,107,108]"	590
110	"[101,102,103,104,105]"	396	"[106,107,108]"	595
111	"[101,102,103,104,105]"	400	"[106,107,108]"	601
112	"[101,102,103,104,105]"	404	"[106,107,108]"	606
113	"[101,102,103,104,105]"	407	"[106,107,108]"	612
114	"[101,102,103,104,105]"	411	"[106,107,108]"	617
115	"[101,102,103,104,105]"	414	"[106,107,108]"	622
116	"[101,102,103,104,105]"	418	"[106,107,108]"	628
117	"[101,102,103,104,105]"	422	"[106,107,108]"	633
118	"[101,102,103,104,105]"	425	"[106,107,108]"	639
119	"[101,102,103,104,105]"	429	"[106,107,108]"	644
120	"[101,102,103,104,105]"	432	"[106,107,108]"	649
121	"[101,102,103,104,105]"	436	"[106,107,108]"	655
122	"[101,102,103,104,105]"	440	"[106,107,108]"	660
123	"[101,102,103,104,105]"	443	"[106,107,108]"	666
124	"[101,102,103,104,105]"	447	"[106,107,108]"	671
125	"[101,102,103,104,105]"	450	"[106,107,108]"	676
126	"[101,102,103,104,105]"	454	"[106,107,108]"	682
127	"[101,102,103,104,105]"	458	"[106,107,108]"	687
128	"[101,102,103,104,105]"	461	"[106,107,108]"	693
129	"[101,102,103,104,105]"	465	"[106,107,108]"	698
130	"[101,102,103,104,105]"	468	"[106,107,108]"	703
131	"[101,102,103,104,105]"	472	"[106,107,108]"	709
132	"[101,102,103,104,105]"	476	"[106,107,108]"	714
133	"[101,102,103,104,105]"	479	"[106,107,108]"	720
134	"[101,102,103,104,105]"	483	"[106,107,108]"	725
135	"[101,102,103,104,105]"	486	"[106,107,108]"	730
136	"[101,102,103,104,105]"	490	"[106,107,108]"	736
137	"[101,102,103,104,105]"	494	"[106,107,108]"	741
138	"[101,102,103,104,105]"	497	"[106,107,108]"	747
139	"[101,102,103,104,105]"	501	"[106,107,108]"	752
140	"[101,102,103,104,105]"	504	"[106,107,108]"	757
141	"[101,102,103,104,105]"	508	"[106,107,108]"	763
142	"[101,102,103,104,105]"	512	"[106,107,108]"	768
143	"[101,102,103,104,105]"	515	"[106,107,108]"	774
144	"[101,102,103,104,105]"	519	"[106,107,108]"	779
145	"[101,102,103,104,105]"	522	"[106,107,108]"	784
146	"[101,102,103,104,105]"	526	"[106,107,108]"	790
147	"[101,102,103,104,105]"	530	"[106,107,108]"	795
148	"[101,102,103,104,105]"	533	"[106,107,108]"	801
149	"[101,102,103,104,105]"	537	"[106,107,108]"	806
150	"[101,102,103,104,105]"	540	"[106,107,108]"	811
151	"[101,102,103,104,105]"	725	"[106,107,108]"	1089
152	"[101,102,103,104,105]"	730	"[106,107,108]"	1096
153	"[101,102,103,104,105]"	735	"[106,107,108]"	1103
154	"[101,102,103,104,105]"	740	"[106,107,108]"	1110
155	"[101,102,103,104,105]"	744	"[106,107,108]"	1117
156	"[101,102,103,104,105]"	749	"[106,107,108]"	1125
157	"[101,102,103,104,105]"	754	"[106,107,108]"	1132
158	"[101,102,103,104,105]"	759	"[106,107,108]"	1139
159	"[101,102,103,104,105]"	764	"[106,107,108]"	1146
160	"[101,102,103,104,105]"	768	"[106,107,108]"	1153
161	"[101,102,103,104,105]"	773	"[106,107,108]"	1161
162	"[101,102,103,104,105]"	778	"[106,107,108]"	1168
163	"[101,102,103,104,105]"	783	"[106,107,108]"	1175
164	"[101,102,103,104,105]"	788	"[106,107,108]"	1182
165	"[101,102,103,104,105]"	792	"[106,107,108]"	1189
166	"[101,102,103,104,105]"	797	"[106,107,108]"	1197
167	"[101,102,103,104,105]"	802	"[106,107,108]"	1204
168	"[101,102,103,104,105]"	807	"[106,107,108]"	1211
169	"[101,102,103,104,105]"	812	"[106,107,108]"	1218
170	"[101,102,103,104,105]"	816	"[106,107,108]"	1225
171	"[101,102,103,104,105]"	821	"[106,107,108]"	1233
172	"[101,102,103,104,105]"	826	"[106,107,108]"	1240
173	"[101,102,103,104,105]"	831	"[106,107,108]"	1247
174	"[101,102,103,104,105]"	836	"[106,107,108]"	1254
175	"[101,102,103,104,105]"	840	"[106,107,108]"	1261
176	"[101,102,103,104,105]"	845	"[106,107,108]"	1269
177	"[101,102,103,104,105]"	850	"[106,107,108]"	1276
178	"[101,102,103,104,105]"	855	"[106,107,108]"	1283
179	"[101,102,103,104,105]"	860	"[106,107,108]"	1290
180	"[101,102,103,104,105]"	864	"[106,107,108]"	1297
181	"[101,102,103,104,105]"	869	"[106,107,108]"	1305
182	"[101,102,103,104,105]"	874	"[106,107,108]"	1312
183	"[101,102,103,104,105]"	879	"[106,107,108]"	1319
184	"[101,102,103,104,105]"	884	"[106,107,108]"	1326
185	"[101,102,103,104,105]"	888	"[106,107,108]"	1333
186	"[101,102,103,104,105]"	893	"[106,107,108]"	1341
187	"[101,102,103,104,105]"	898	"[106,107,108]"	1348
188	"[101,102,103,104,105]"	903	"[106,107,108]"	1355
189	"[101,102,103,104,105]"	908	"[106,107,108]"	1362
190	"[101,102,103,104,105]"	912	"[106,107,108]"	1369
191	"[101,102,103,104,105]"	917	"[106,107,108]"	1377
192	"[101,102,103,104,105]"	922	"[106,107,108]"	1384
193	"[101,102,103,104,105]"	927	"[106,107,108]"	1391
194	"[101,102,103,104,105]"	932	"[106,107,108]"	1398
195	"[101,102,103,104,105]"	936	"[106,107,108]"	1405
196	"[101,102,103,104,105]"	941	"[106,107,108]"	1413
197	"[101,102,103,104,105]"	946	"[106,107,108]"	1420
198	"[101,102,103,104,105]"	951	"[106,107,108]"	1427
199	"[101,102,103,104,105]"	956	"[106,107,108]"	1434
200	"[101,102,103,104,105]"	960	"[106,107,108]"	1441
