number	number	number	number	number	number	number	number
109	109	1	1620	0	3337	3143	16200
110	110	1	1648	0	3394	3196	16475
111	111	1	1678	0	3456	3254	16775
112	112	1	1708	0	3517	3313	17075
113	113	1	1738	0	3579	3371	17375
114	114	1	1768	0	3641	3429	17675
115	115	1	1798	0	3703	3487	17975
116	116	1	1828	0	3765	3545	18275
117	117	1	1858	0	3826	3604	18575
118	118	1	1888	0	3888	3662	18875
119	119	1	1918	0	3950	3720	19175
120	120	1	1948	0	4012	3778	19475
121	121	1	1980	0	4079	3841	19800
122	122	1	2013	0	4146	3904	20125
123	123	1	2045	0	4213	3967	20450
124	124	1	2078	0	4280	4030	20775
125	125	1	2110	0	4347	4093	21100
126	126	1	2143	0	4414	4156	21425
127	127	1	2175	0	4481	4220	21750
128	128	1	2208	0	4547	4283	22075
129	129	1	2240	0	4614	4346	22400
130	130	1	2273	0	4681	4409	22725
131	131	1	2308	0	4753	4477	23075
132	132	1	2343	0	4826	4544	23425
133	133	1	2378	0	4898	4612	23775
134	134	1	2413	0	4970	4680	24125
135	135	1	2448	0	5042	4748	24475
136	136	1	2483	0	5114	4816	24825
137	137	1	2518	0	5186	4884	25175
138	138	1	2553	0	5258	4952	25525
139	139	1	2588	0	5330	5020	25875
140	140	1	2623	0	5402	5088	26225
141	141	1	2660	0	5480	5160	26600
142	142	1	2698	0	5557	5233	26975
143	143	1	2735	0	5634	5306	27350
144	144	1	2773	0	5711	5379	27725
145	145	1	2810	0	5789	5451	28100
146	146	1	2848	0	5866	5524	28475
147	147	1	2885	0	5943	5597	28850
148	148	1	2923	0	6020	5670	29225
149	149	1	2960	0	6098	5742	29600
150	150	1	2998	0	6175	5815	29975
151	151	1	3038	0	6257	5893	30375
152	152	1	3078	0	6340	5970	30775
153	153	1	3118	0	6422	6048	31175
154	154	1	3158	0	6504	6126	31575
155	155	1	3198	0	6587	6203	31975
156	156	1	3238	0	6669	6281	32375
157	157	1	3278	0	6752	6358	32775
158	158	1	3318	0	6834	6436	33175
159	159	1	3358	0	6916	6514	33575
160	160	1	3398	0	6999	6591	33975
161	161	1	3440	0	7086	6674	34400
162	162	1	3483	0	7174	6756	34825
163	163	1	3525	0	7262	6839	35250
164	164	1	3568	0	7349	6921	35675
165	165	1	3610	0	7437	7003	36100
166	166	1	3653	0	7524	7086	36525
167	167	1	3695	0	7612	7168	36950
168	168	1	3738	0	7699	7251	37375
169	169	1	3780	0	7787	7333	37800
170	170	1	3823	0	7874	7416	38225
171	171	1	3868	0	7967	7503	38675
172	172	1	3913	0	8060	7590	39125
173	173	1	3958	0	8152	7678	39575
174	174	1	4003	0	8245	7765	40025
175	175	1	4048	0	8338	7852	40475
176	176	1	4093	0	8431	7939	40925
177	177	1	4138	0	8523	8027	41375
178	178	1	4183	0	8616	8114	41825
179	179	1	4228	0	8709	8201	42275
180	180	1	4273	0	8801	8289	42725
181	181	1	4320	0	8899	8381	43200
182	182	1	4368	0	8997	8473	43675
183	183	1	4415	0	9095	8565	44150
184	184	1	4463	0	9193	8657	44625
185	185	1	4510	0	9291	8749	45100
186	186	1	4558	0	9388	8842	45575
187	187	1	4605	0	9486	8934	46050
188	188	1	4653	0	9584	9026	46525
189	189	1	4700	0	9682	9118	47000
190	190	1	4748	0	9780	9210	47475
191	191	1	4798	0	9883	9307	47975
192	192	1	4848	0	9986	9404	48475
193	193	1	4898	0	10089	9501	48975
194	194	1	4948	0	10192	9598	49475
195	195	1	4998	0	10295	9695	49975
196	196	1	5048	0	10398	9792	50475
197	197	1	5098	0	10501	9889	50975
198	198	1	5148	0	10604	9986	51475
199	199	1	5198	0	10707	10083	51975
200	200	1	5248	0	10810	10180	52475
201	1	2	0	0	0	0	0
202	2	2	4	0	3	3	18
203	3	2	9	0	7	5	36
204	4	2	13	0	10	8	54
205	5	2	17	0	14	10	72
206	6	2	21	0	17	13	90
207	7	2	26	0	21	15	108
208	8	2	30	0	24	18	126
209	9	2	34	0	28	20	144
210	10	2	38	0	31	23	162
211	11	2	47	0	38	28	198
212	12	2	55	0	45	33	234
213	13	2	64	0	52	38	270
214	14	2	72	0	59	43	306
215	15	2	81	0	66	48	342
216	16	2	89	0	72	54	378
217	17	2	98	0	79	59	414
218	18	2	106	0	86	64	450
219	19	2	115	0	93	69	486
220	20	2	123	0	100	74	522
221	21	2	136	0	110	82	576
222	22	2	149	0	121	89	630
223	23	2	162	0	131	97	684
224	24	2	174	0	141	105	738
225	25	2	187	0	152	112	792
226	26	2	200	0	162	120	846
227	27	2	213	0	173	128	900
228	28	2	225	0	183	135	954
229	29	2	238	0	193	143	1008
230	30	2	251	0	204	150	1062
231	31	2	268	0	217	161	1134
232	32	2	285	0	231	171	1206
233	33	2	302	0	245	181	1278
234	34	2	319	0	259	191	1350
235	35	2	336	0	273	201	1422
236	36	2	353	0	286	212	1494
237	37	2	370	0	300	222	1566
238	38	2	387	0	314	232	1638
239	39	2	404	0	328	242	1710
240	40	2	421	0	342	252	1782
241	41	2	442	0	359	265	1872
242	42	2	463	0	376	278	1962
243	43	2	485	0	393	291	2052
244	44	2	506	0	411	303	2142
245	45	2	527	0	428	316	2232
246	46	2	548	0	445	329	2322
247	47	2	570	0	462	342	2412
248	48	2	591	0	480	354	2502
249	49	2	612	0	497	367	2592
250	50	2	633	0	514	380	2682
251	51	2	659	0	535	395	2790
252	52	2	684	0	555	411	2898
253	53	2	710	0	576	426	3006
254	54	2	735	0	597	441	3114
255	55	2	761	0	618	456	3222
256	56	2	786	0	638	472	3330
257	57	2	812	0	659	487	3438
258	58	2	837	0	680	502	3546
259	59	2	863	0	700	518	3654
260	60	2	888	0	721	533	3762
261	61	2	918	0	745	551	3888
262	62	2	948	0	769	569	4014
263	63	2	978	0	794	587	4140
264	64	2	1007	0	818	604	4266
265	65	2	1037	0	842	622	4392
266	66	2	1067	0	866	640	4518
267	67	2	1097	0	890	658	4644
268	68	2	1126	0	914	676	4770
269	69	2	1156	0	938	694	4896
270	70	2	1186	0	963	711	5022
271	71	2	1220	0	990	732	5166
272	72	2	1254	0	1018	752	5310
273	73	2	1288	0	1045	773	5454
274	74	2	1322	0	1073	793	5598
275	75	2	1356	0	1101	813	5742
276	76	2	1390	0	1128	834	5886
277	77	2	1424	0	1156	854	6030
278	78	2	1458	0	1183	875	6174
279	79	2	1492	0	1211	895	6318
280	80	2	1526	0	1239	915	6462
281	81	2	1564	0	1270	938	6624
282	82	2	1602	0	1301	961	6786
283	83	2	1641	0	1332	984	6948
284	84	2	1679	0	1363	1007	7110
285	85	2	1717	0	1394	1030	7272
286	86	2	1755	0	1425	1053	7434
287	87	2	1794	0	1456	1076	7596
288	88	2	1832	0	1487	1099	7758
289	89	2	1870	0	1518	1122	7920
290	90	2	1908	0	1549	1145	8082
291	91	2	1951	0	1584	1170	8262
292	92	2	1993	0	1618	1196	8442
293	93	2	2036	0	1653	1221	8622
294	94	2	2078	0	1687	1247	8802
295	95	2	2121	0	1722	1272	8982
296	96	2	2163	0	1756	1298	9162
297	97	2	2206	0	1791	1323	9342
298	98	2	2248	0	1825	1349	9522
299	99	2	2291	0	1860	1374	9702
300	100	2	2333	0	1894	1400	9882
301	101	2	2380	0	1932	1428	10080
302	102	2	2427	0	1970	1456	10278
303	103	2	2474	0	2008	1484	10476
304	104	2	2520	0	2046	1512	10674
305	105	2	2567	0	2084	1540	10872
306	106	2	2614	0	2122	1568	11070
307	107	2	2661	0	2160	1596	11268
308	108	2	2707	0	2198	1624	11466
309	109	2	2754	0	2236	1652	11664
310	110	2	2801	0	2274	1680	11862
311	111	2	2852	0	2315	1711	12078
312	112	2	2903	0	2356	1742	12294
313	113	2	2954	0	2398	1772	12510
314	114	2	3005	0	2439	1803	12726
315	115	2	3056	0	2481	1833	12942
316	116	2	3107	0	2522	1864	13158
317	117	2	3158	0	2563	1895	13374
318	118	2	3209	0	2605	1925	13590
319	119	2	3260	0	2646	1956	13806
320	120	2	3311	0	2688	1986	14022
321	121	2	3366	0	2732	2020	14256
322	122	2	3421	0	2777	2053	14490
323	123	2	3477	0	2822	2086	14724
324	124	2	3532	0	2867	2119	14958
325	125	2	3587	0	2912	2152	15192
326	126	2	3642	0	2957	2185	15426
327	127	2	3698	0	3002	2219	15660
328	128	2	3753	0	3046	2252	15894
329	129	2	3808	0	3091	2285	16128
330	130	2	3863	0	3136	2318	16362
331	131	2	3923	0	3184	2354	16614
332	132	2	3982	0	3233	2389	16866
333	133	2	4042	0	3281	2425	17118
334	134	2	4101	0	3329	2461	17370
335	135	2	4161	0	3378	2496	17622
336	136	2	4220	0	3426	2532	17874
337	137	2	4280	0	3474	2568	18126
338	138	2	4339	0	3522	2604	18378
339	139	2	4399	0	3571	2639	18630
340	140	2	4458	0	3619	2675	18882
341	141	2	4522	0	3671	2713	19152
342	142	2	4586	0	3723	2751	19422
343	143	2	4650	0	3774	2790	19692
344	144	2	4713	0	3826	2828	19962
345	145	2	4777	0	3878	2866	20232
346	146	2	4841	0	3930	2904	20502
347	147	2	4905	0	3981	2943	20772
348	148	2	4968	0	4033	2981	21042
349	149	2	5032	0	4085	3019	21312
350	150	2	5096	0	4137	3057	21582
351	151	2	5164	0	4192	3098	21870
352	152	2	5232	0	4247	3139	22158
353	153	2	5300	0	4302	3180	22446
354	154	2	5368	0	4357	3221	22734
355	155	2	5436	0	4413	3261	23022
356	156	2	5504	0	4468	3302	23310
357	157	2	5572	0	4523	3343	23598
358	158	2	5640	0	4578	3384	23886
359	159	2	5708	0	4633	3425	24174
360	160	2	5776	0	4689	3465	24462
361	161	2	5848	0	4747	3509	24768
362	162	2	5920	0	4806	3552	25074
363	163	2	5993	0	4865	3596	25380
364	164	2	6065	0	4923	3639	25686
365	165	2	6137	0	4982	3682	25992
366	166	2	6209	0	5040	3726	26298
367	167	2	6282	0	5099	3769	26604
368	168	2	6354	0	5158	3812	26910
369	169	2	6426	0	5216	3856	27216
370	170	2	6498	0	5275	3899	27522
371	171	2	6575	0	5337	3945	27846
372	172	2	6651	0	5399	3991	28170
373	173	2	6728	0	5461	4037	28494
374	174	2	6804	0	5523	4083	28818
375	175	2	6881	0	5586	4128	29142
376	176	2	6957	0	5648	4174	29466
377	177	2	7034	0	5710	4220	29790
378	178	2	7110	0	5772	4266	30114
379	179	2	7187	0	5834	4312	30438
380	180	2	7263	0	5896	4358	30762
381	181	2	7344	0	5962	4406	31104
382	182	2	7425	0	6027	4455	31446
383	183	2	7506	0	6093	4503	31788
384	184	2	7586	0	6158	4552	32130
385	185	2	7667	0	6224	4600	32472
386	186	2	7748	0	6289	4649	32814
387	187	2	7829	0	6355	4697	33156
388	188	2	7909	0	6420	4746	33498
389	189	2	7990	0	6486	4794	33840
390	190	2	8071	0	6552	4842	34182
391	191	2	8156	0	6621	4893	34542
392	192	2	8241	0	6690	4944	34902
393	193	2	8326	0	6759	4995	35262
394	194	2	8411	0	6828	5046	35622
395	195	2	8496	0	6897	5097	35982
396	196	2	8581	0	6966	5148	36342
397	197	2	8666	0	7035	5199	36702
398	198	2	8751	0	7104	5250	37062
399	199	2	8836	0	7173	5301	37422
400	200	2	8921	0	7242	5352	37782
401	1	3	0	0	0	0	0
402	2	3	5	0	3	2	16
403	3	3	9	0	5	5	32
404	4	3	14	0	8	7	48
405	5	3	18	0	11	9	64
406	6	3	23	0	14	12	80
407	7	3	27	0	16	14	96
408	8	3	32	0	19	16	112
409	9	3	36	0	22	18	128
410	10	3	41	0	24	21	144
411	11	3	50	0	30	25	176
412	12	3	59	0	35	30	208
413	13	3	68	0	41	35	240
414	14	3	77	0	46	39	272
415	15	3	86	0	51	44	304
416	16	3	95	0	57	48	336
417	17	3	104	0	62	53	368
418	18	3	113	0	68	58	400
419	19	3	122	0	73	62	432
420	20	3	131	0	78	67	464
421	21	3	144	0	86	74	512
422	22	3	158	0	95	81	560
423	23	3	171	0	103	87	608
424	24	3	185	0	111	94	656
425	25	3	198	0	119	101	704
426	26	3	212	0	127	108	752
427	27	3	225	0	135	115	800
428	28	3	239	0	143	122	848
429	29	3	252	0	151	129	896
430	30	3	266	0	159	136	944
431	31	3	284	0	170	145	1008
432	32	3	302	0	181	154	1072
433	33	3	320	0	192	163	1136
434	34	3	338	0	203	173	1200
435	35	3	356	0	213	182	1264
436	36	3	374	0	224	191	1328
437	37	3	392	0	235	200	1392
438	38	3	410	0	246	209	1456
439	39	3	428	0	257	219	1520
440	40	3	446	0	267	228	1584
441	41	3	468	0	281	239	1664
442	42	3	491	0	294	251	1744
443	43	3	513	0	308	262	1824
444	44	3	536	0	321	274	1904
445	45	3	558	0	335	285	1984
446	46	3	581	0	348	297	2064
447	47	3	603	0	362	308	2144
448	48	3	626	0	375	320	2224
449	49	3	648	0	389	331	2304
450	50	3	671	0	402	343	2384
451	51	3	698	0	419	357	2480
452	52	3	725	0	435	370	2576
453	53	3	752	0	451	384	2672
454	54	3	779	0	467	398	2768
455	55	3	806	0	483	412	2864
456	56	3	833	0	500	426	2960
457	57	3	860	0	516	439	3056
458	58	3	887	0	532	453	3152
459	59	3	914	0	548	467	3248
460	60	3	941	0	564	481	3344
461	61	3	972	0	583	497	3456
462	62	3	1004	0	602	513	3568
463	63	3	1035	0	621	529	3680
464	64	3	1067	0	640	545	3792
465	65	3	1098	0	659	561	3904
466	66	3	1130	0	678	577	4016
467	67	3	1161	0	697	593	4128
468	68	3	1193	0	716	610	4240
469	69	3	1224	0	734	626	4352
470	70	3	1256	0	753	642	4464
471	71	3	1292	0	775	660	4592
472	72	3	1328	0	797	679	4720
473	73	3	1364	0	818	697	4848
474	74	3	1400	0	840	715	4976
475	75	3	1436	0	861	734	5104
476	76	3	1472	0	883	752	5232
477	77	3	1508	0	905	771	5360
478	78	3	1544	0	926	789	5488
479	79	3	1580	0	948	807	5616
480	80	3	1616	0	969	826	5744
481	81	3	1656	0	994	846	5888
482	82	3	1697	0	1018	867	6032
483	83	3	1737	0	1042	888	6176
484	84	3	1778	0	1067	909	6320
485	85	3	1818	0	1091	929	6464
486	86	3	1859	0	1115	950	6608
487	87	3	1899	0	1139	971	6752
488	88	3	1940	0	1164	991	6896
489	89	3	1980	0	1188	1012	7040
490	90	3	2021	0	1212	1033	7184
491	91	3	2066	0	1239	1056	7344
492	92	3	2111	0	1266	1079	7504
493	93	3	2156	0	1293	1102	7664
494	94	3	2201	0	1320	1125	7824
495	95	3	2246	0	1347	1148	7984
496	96	3	2291	0	1374	1171	8144
497	97	3	2336	0	1401	1194	8304
498	98	3	2381	0	1428	1217	8464
499	99	3	2426	0	1455	1240	8624
500	100	3	2471	0	1482	1263	8784
501	101	3	2520	0	1512	1288	8960
502	102	3	2570	0	1542	1313	9136
503	103	3	2619	0	1571	1339	9312
504	104	3	2669	0	1601	1364	9488
505	105	3	2718	0	1631	1389	9664
506	106	3	2768	0	1661	1415	9840
507	107	3	2817	0	1690	1440	10016
508	108	3	2867	0	1720	1465	10192
509	109	3	2916	0	1750	1490	10368
510	110	3	2966	0	1779	1516	10544
511	111	3	3020	0	1812	1543	10736
512	112	3	3074	0	1844	1571	10928
513	113	3	3128	0	1877	1599	11120
514	114	3	3182	0	1909	1626	11312
515	115	3	3236	0	1941	1654	11504
516	116	3	3290	0	1974	1681	11696
517	117	3	3344	0	2006	1709	11888
518	118	3	3398	0	2039	1737	12080
519	119	3	3452	0	2071	1764	12272
520	120	3	3506	0	2103	1792	12464
521	121	3	3564	0	2138	1822	12672
522	122	3	3623	0	2174	1852	12880
523	123	3	3681	0	2209	1881	13088
524	124	3	3740	0	2244	1911	13296
525	125	3	3798	0	2279	1941	13504
526	126	3	3857	0	2314	1971	13712
527	127	3	3915	0	2349	2001	13920
528	128	3	3974	0	2384	2031	14128
529	129	3	4032	0	2419	2061	14336
530	130	3	4091	0	2454	2091	14544
531	131	3	4154	0	2492	2123	14768
532	132	3	4217	0	2530	2155	14992
533	133	3	4280	0	2568	2187	15216
534	134	3	4343	0	2606	2220	15440
535	135	3	4406	0	2643	2252	15664
536	136	3	4469	0	2681	2284	15888
537	137	3	4532	0	2719	2316	16112
538	138	3	4595	0	2757	2348	16336
539	139	3	4658	0	2795	2381	16560
540	140	3	4721	0	2832	2413	16784
541	141	3	4788	0	2873	2447	17024
542	142	3	4856	0	2913	2482	17264
543	143	3	4923	0	2954	2516	17504
544	144	3	4991	0	2994	2551	17744
545	145	3	5058	0	3035	2585	17984
546	146	3	5126	0	3075	2620	18224
547	147	3	5193	0	3116	2654	18464
548	148	3	5261	0	3156	2689	18704
549	149	3	5328	0	3197	2723	18944
550	150	3	5396	0	3237	2758	19184
551	151	3	5468	0	3281	2795	19440
552	152	3	5540	0	3324	2831	19696
553	153	3	5612	0	3367	2868	19952
554	154	3	5684	0	3410	2905	20208
555	155	3	5756	0	3453	2942	20464
556	156	3	5828	0	3497	2979	20720
557	157	3	5900	0	3540	3015	20976
558	158	3	5972	0	3583	3052	21232
559	159	3	6044	0	3626	3089	21488
560	160	3	6116	0	3669	3126	21744
561	161	3	6192	0	3715	3165	22016
562	162	3	6269	0	3761	3204	22288
563	163	3	6345	0	3807	3243	22560
564	164	3	6422	0	3853	3282	22832
565	165	3	6498	0	3899	3321	23104
566	166	3	6575	0	3945	3360	23376
567	167	3	6651	0	3991	3399	23648
568	168	3	6728	0	4037	3439	23920
569	169	3	6804	0	4082	3478	24192
570	170	3	6881	0	4128	3517	24464
571	171	3	6962	0	4177	3558	24752
572	172	3	7043	0	4226	3600	25040
573	173	3	7124	0	4274	3641	25328
574	174	3	7205	0	4323	3682	25616
575	175	3	7286	0	4371	3724	25904
576	176	3	7367	0	4420	3765	26192
577	177	3	7448	0	4469	3807	26480
578	178	3	7529	0	4517	3848	26768
579	179	3	7610	0	4566	3889	27056
580	180	3	7691	0	4614	3931	27344
581	181	3	7776	0	4666	3974	27648
582	182	3	7862	0	4717	4018	27952
583	183	3	7947	0	4768	4062	28256
584	184	3	8033	0	4820	4106	28560
585	185	3	8118	0	4871	4149	28864
586	186	3	8204	0	4922	4193	29168
587	187	3	8289	0	4973	4237	29472
588	188	3	8375	0	5025	4280	29776
589	189	3	8460	0	5076	4324	30080
590	190	3	8546	0	5127	4368	30384
591	191	3	8636	0	5181	4414	30704
592	192	3	8726	0	5235	4460	31024
593	193	3	8816	0	5289	4506	31344
594	194	3	8906	0	5343	4552	31664
595	195	3	8996	0	5397	4598	31984
596	196	3	9086	0	5451	4644	32304
597	197	3	9176	0	5505	4690	32624
598	198	3	9266	0	5559	4736	32944
599	199	3	9356	0	5613	4782	33264
600	200	3	9446	0	5667	4828	33584
601	1	4	0	0	0	0	0
602	2	4	0	5	1	3	14
603	3	4	0	10	2	6	28
604	4	4	0	15	3	9	42
605	5	4	0	20	4	12	56
606	6	4	0	25	5	15	70
607	7	4	0	30	6	18	84
608	8	4	0	35	7	21	98
609	9	4	0	40	8	24	112
610	10	4	0	45	9	27	126
611	11	4	0	55	11	33	154
612	12	4	0	65	13	39	182
613	13	4	0	75	15	45	210
614	14	4	0	85	17	51	238
615	15	4	0	95	19	57	266
616	16	4	0	105	21	63	294
617	17	4	0	115	23	69	322
618	18	4	0	125	25	75	350
619	19	4	0	135	27	81	378
620	20	4	0	145	29	87	406
621	21	4	0	160	32	96	448
622	22	4	0	175	35	105	490
623	23	4	0	190	38	114	532
624	24	4	0	205	41	123	574
625	25	4	0	220	44	132	616
626	26	4	0	235	47	141	658
627	27	4	0	250	50	150	700
628	28	4	0	265	53	159	742
629	29	4	0	280	56	168	784
630	30	4	0	295	59	177	826
631	31	4	0	315	63	189	882
632	32	4	0	335	67	201	938
633	33	4	0	355	71	213	994
634	34	4	0	375	75	225	1050
635	35	4	0	395	79	237	1106
636	36	4	0	415	83	249	1162
637	37	4	0	435	87	261	1218
638	38	4	0	455	91	273	1274
639	39	4	0	475	95	285	1330
640	40	4	0	495	99	297	1386
641	41	4	0	520	104	312	1456
642	42	4	0	545	109	327	1526
643	43	4	0	570	114	342	1596
644	44	4	0	595	119	357	1666
645	45	4	0	620	124	372	1736
646	46	4	0	645	129	387	1806
647	47	4	0	670	134	402	1876
648	48	4	0	695	139	417	1946
649	49	4	0	720	144	432	2016
650	50	4	0	745	149	447	2086
651	51	4	0	775	155	465	2170
652	52	4	0	805	161	483	2254
653	53	4	0	835	167	501	2338
654	54	4	0	865	173	519	2422
655	55	4	0	895	179	537	2506
656	56	4	0	925	185	555	2590
657	57	4	0	955	191	573	2674
658	58	4	0	985	197	591	2758
659	59	4	0	1015	203	609	2842
660	60	4	0	1045	209	627	2926
661	61	4	0	1080	216	648	3024
662	62	4	0	1115	223	669	3122
663	63	4	0	1150	230	690	3220
664	64	4	0	1185	237	711	3318
665	65	4	0	1220	244	732	3416
666	66	4	0	1255	251	753	3514
667	67	4	0	1290	258	774	3612
668	68	4	0	1325	265	795	3710
669	69	4	0	1360	272	816	3808
670	70	4	0	1395	279	837	3906
671	71	4	0	1435	287	861	4018
672	72	4	0	1475	295	885	4130
673	73	4	0	1515	303	909	4242
674	74	4	0	1555	311	933	4354
675	75	4	0	1595	319	957	4466
676	76	4	0	1635	327	981	4578
677	77	4	0	1675	335	1005	4690
678	78	4	0	1715	343	1029	4802
679	79	4	0	1755	351	1053	4914
680	80	4	0	1795	359	1077	5026
681	81	4	0	1840	368	1104	5152
682	82	4	0	1885	377	1131	5278
683	83	4	0	1930	386	1158	5404
684	84	4	0	1975	395	1185	5530
685	85	4	0	2020	404	1212	5656
686	86	4	0	2065	413	1239	5782
687	87	4	0	2110	422	1266	5908
688	88	4	0	2155	431	1293	6034
689	89	4	0	2200	440	1320	6160
690	90	4	0	2245	449	1347	6286
691	91	4	0	2295	459	1377	6426
692	92	4	0	2345	469	1407	6566
693	93	4	0	2395	479	1437	6706
694	94	4	0	2445	489	1467	6846
695	95	4	0	2495	499	1497	6986
696	96	4	0	2545	509	1527	7126
697	97	4	0	2595	519	1557	7266
698	98	4	0	2645	529	1587	7406
699	99	4	0	2695	539	1617	7546
700	100	4	0	2745	549	1647	7686
701	101	4	0	2800	560	1680	7840
702	102	4	0	2855	571	1713	7994
703	103	4	0	2910	582	1746	8148
704	104	4	0	2965	593	1779	8302
705	105	4	0	3020	604	1812	8456
706	106	4	0	3075	615	1845	8610
707	107	4	0	3130	626	1878	8764
708	108	4	0	3185	637	1911	8918
709	109	4	0	3240	648	1944	9072
710	110	4	0	3295	659	1977	9226
711	111	4	0	3355	671	2013	9394
712	112	4	0	3415	683	2049	9562
713	113	4	0	3475	695	2085	9730
714	114	4	0	3535	707	2121	9898
715	115	4	0	3595	719	2157	10066
716	116	4	0	3655	731	2193	10234
717	117	4	0	3715	743	2229	10402
718	118	4	0	3775	755	2265	10570
719	119	4	0	3835	767	2301	10738
720	120	4	0	3895	779	2337	10906
721	121	4	0	3960	792	2376	11088
722	122	4	0	4025	805	2415	11270
723	123	4	0	4090	818	2454	11452
724	124	4	0	4155	831	2493	11634
725	125	4	0	4220	844	2532	11816
726	126	4	0	4285	857	2571	11998
727	127	4	0	4350	870	2610	12180
728	128	4	0	4415	883	2649	12362
729	129	4	0	4480	896	2688	12544
730	130	4	0	4545	909	2727	12726
731	131	4	0	4615	923	2769	12922
732	132	4	0	4685	937	2811	13118
733	133	4	0	4755	951	2853	13314
734	134	4	0	4825	965	2895	13510
735	135	4	0	4895	979	2937	13706
736	136	4	0	4965	993	2979	13902
737	137	4	0	5035	1007	3021	14098
738	138	4	0	5105	1021	3063	14294
739	139	4	0	5175	1035	3105	14490
740	140	4	0	5245	1049	3147	14686
741	141	4	0	5320	1064	3192	14896
742	142	4	0	5395	1079	3237	15106
743	143	4	0	5470	1094	3282	15316
744	144	4	0	5545	1109	3327	15526
745	145	4	0	5620	1124	3372	15736
746	146	4	0	5695	1139	3417	15946
747	147	4	0	5770	1154	3462	16156
