number	string	string	string	string	string	number	number	number	number	array	string	number	number
904			diaoxiang	diaoxiang_output	H001	1	99	250	80	"[-90,-85]"		2998	1
3100	地狱九头蛇	<世界BOSS>	M094	M094_output	M094	2	99	150	80	"[400,-150]"	我是世界BOSS	1999	1
3101	七头红龙撒旦	<世界BOSS>	M095	M095_output	M095	2	99	150	80	"[400,-150]"	我是世界BOSS	1999	1
3102	八岐大蛇	<世界BOSS>	M096	M096_output	M096	2	99	150	80	"[400,-150]"	我是世界BOSS	1999	1
3103	上古凶神相柳	<世界BOSS>	M097	M097_output	M097	2	99	150	80	"[400,-150]"	我是世界BOSS	1999	1
3104	真·法夫纳	<公会BOSS>	M098	M098_output	M098	2	99	150	80	"[400,-150]"	我是公会BOSS	2999	1
1001	无名男战士	<我是主角>	P01	P01_output	P01	2	99	200	80	"[-220,-35]"	<我是主角>	0	1
1002	无名女战士	<我是主角>	P02	P02_output	P02	2	99	200	80	"[-220,-35]"	<我是主角>	0	1
1003	无名男射手	<我是主角>	P03	P03_output	P03	2	99	200	80	"[-220,-35]"	<我是主角>	0	1
1004	无名女射手	<我是主角>	P04	P04_output	P04	2	99	200	80	"[-220,-35]"	<我是主角>	0	1
1005	无名男法师	<我是主角>	P05	P05_output	P05	2	99	200	80	"[-220,-35]"	<我是主角>	0	1
1006	无名女法师	<我是主角>	P06	P06_output	P06	2	99	200	80	"[-220,-35]"	<我是主角>	0	1
