number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number
34	320	0	660	594	3344	384	0	528	475	2842	422	0	343	377	2699	0	464	205	615	2564	380	380	380
35	334	0	690	621	3498	400	0	552	496	2973	440	0	358	393	2824	0	484	214	642	2682	400	400	400
36	348	0	720	648	3652	417	0	576	518	3104	458	0	374	411	2948	0	503	224	672	2800	420	420	420
37	363	0	750	675	3806	435	0	600	540	3235	478	0	390	429	3073	0	525	234	702	2919	440	440	440
38	378	0	780	702	3960	453	0	624	561	3366	498	0	405	445	3197	0	547	243	729	3037	460	460	460
39	393	0	810	729	4114	471	0	648	583	3496	518	0	421	463	3321	0	569	252	756	3154	480	480	480
40	409	0	850	765	4290	490	0	680	612	3646	539	0	442	486	3463	0	592	265	795	3289	500	500	500
41	425	0	890	801	4477	510	0	712	640	3805	561	0	462	508	3614	0	617	277	831	3433	520	520	520
42	442	0	930	837	4664	530	0	744	669	3964	583	0	483	531	3765	0	641	289	867	3576	540	540	540
43	458	0	970	873	4851	549	0	776	698	4123	603	0	504	554	3916	0	663	302	906	3720	560	560	560
44	477	0	1010	909	5038	572	0	808	727	4282	629	0	525	577	4067	0	691	315	945	3863	580	580	580
45	496	0	1060	954	5247	595	0	848	763	4459	654	0	551	606	4236	0	719	330	990	4024	600	600	600
46	514	0	1110	999	5456	616	0	888	799	4637	677	0	577	634	4405	0	744	346	1038	4184	620	620	620
47	535	0	1160	1044	5665	642	0	928	835	4815	706	0	603	663	4574	0	776	361	1083	4345	640	640	640
48	556	0	1210	1089	5874	667	0	968	871	4992	733	0	629	691	4742	0	806	377	1131	4504	660	660	660
49	577	0	1260	1134	6083	692	0	1008	907	5170	761	0	655	720	4911	0	837	393	1179	4665	680	680	680
50	600	0	1310	1179	6314	720	0	1048	943	5366	792	0	681	749	5097	0	871	408	1224	4842	700	700	700
51	623	0	1360	1224	6567	747	0	1088	979	5581	821	0	707	777	5301	0	903	424	1272	5035	720	720	720
52	646	0	1410	1269	6820	775	0	1128	1015	5797	852	0	733	806	5507	0	937	439	1317	5231	740	740	740
53	672	0	1460	1314	7073	806	0	1168	1051	6012	886	0	759	834	5711	0	974	455	1365	5425	760	760	760
54	697	0	1510	1359	7326	836	0	1208	1087	6227	919	0	785	863	5915	0	1010	471	1413	5619	780	780	780
55	722	0	1580	1422	7601	866	0	1264	1137	6460	952	0	821	903	6137	0	1047	492	1476	5830	800	800	800
56	750	0	1650	1485	7876	900	0	1320	1188	6694	990	0	858	943	6359	0	1089	514	1542	6041	820	820	820
57	777	0	1720	1548	8151	932	0	1376	1238	6928	1025	0	894	983	6581	0	1127	536	1608	6251	840	840	840
58	805	0	1790	1611	8426	966	0	1432	1288	7162	1062	0	930	1023	6803	0	1168	558	1674	6462	860	860	860
59	834	0	1860	1674	8701	1000	0	1488	1339	7395	1100	0	967	1063	7025	0	1210	580	1740	6673	880	880	880
60	864	0	1930	1737	8998	1036	0	1544	1389	7648	1139	0	1003	1103	7265	0	1252	601	1803	6901	900	900	900
61	894	0	2000	1800	9328	1072	0	1600	1440	7928	1179	0	1040	1144	7531	0	1296	624	1872	7154	920	920	920
62	927	0	2070	1863	9658	1112	0	1656	1490	8209	1223	0	1076	1183	7798	0	1345	645	1935	7408	940	940	940
63	960	0	2140	1926	9988	1152	0	1712	1540	8489	1267	0	1112	1223	8064	0	1393	667	2001	7660	960	960	960
64	993	0	2210	1989	10318	1191	0	1768	1591	8770	1310	0	1149	1263	8331	0	1441	689	2067	7914	980	980	980
65	1029	0	2290	2061	10670	1234	0	1832	1648	9069	1357	0	1190	1309	8615	0	1492	714	2142	8184	1000	1000	1000
66	1065	0	2380	2142	11022	1278	0	1904	1713	9368	1405	0	1237	1360	8899	0	1545	742	2226	8454	1020	1020	1020
67	1102	0	2470	2223	11374	1322	0	1976	1778	9667	1454	0	1284	1412	9183	0	1599	770	2310	8723	1040	1040	1040
68	1141	0	2560	2304	11726	1369	0	2048	1843	9967	1505	0	1331	1464	9468	0	1655	798	2394	8994	1060	1060	1060
69	1181	0	2650	2385	12078	1417	0	2120	1908	10266	1558	0	1378	1515	9752	0	1713	826	2478	9264	1080	1080	1080
70	1221	0	2740	2466	12452	1465	0	2192	1972	10584	1611	0	1424	1566	10054	0	1772	854	2562	9551	1100	1100	1100
71	1265	0	2830	2547	12848	1518	0	2264	2037	10920	1669	0	1471	1618	10374	0	1835	882	2646	9855	1120	1120	1120
72	1309	0	2920	2628	13244	1570	0	2336	2102	11257	1727	0	1518	1669	10694	0	1899	910	2730	10159	1140	1140	1140
73	1353	0	3010	2709	13640	1623	0	2408	2167	11594	1785	0	1565	1721	11014	0	1963	939	2817	10463	1160	1160	1160
74	1401	0	3100	2790	14036	1681	0	2480	2232	11930	1849	0	1612	1773	11333	0	2033	967	2901	10766	1180	1180	1180
75	1449	0	3250	2925	14476	1738	0	2600	2340	12304	1911	0	1690	1859	11688	0	2102	1014	3042	11103	1200	1200	1200
76	1498	0	3400	3060	14916	1797	0	2720	2448	12678	1976	0	1768	1944	12044	0	2173	1060	3180	11441	1220	1220	1220
77	1552	0	3550	3195	15356	1862	0	2840	2556	13052	2048	0	1846	2030	12399	0	2252	1107	3321	11779	1240	1240	1240
78	1606	0	3700	3330	15796	1927	0	2960	2664	13426	2119	0	1924	2116	12754	0	2330	1154	3462	12116	1260	1260	1260
79	1659	0	3850	3465	16236	1990	0	3080	2772	13800	2189	0	2002	2202	13110	0	2407	1201	3603	12454	1280	1280	1280
80	1719	0	4000	3600	16720	2062	0	3200	2880	14212	2268	0	2080	2288	13501	0	2494	1248	3744	12825	1300	1300	1300
81	1778	0	4150	3735	17204	2133	0	3320	2988	14623	2346	0	2158	2373	13891	0	2580	1294	3882	13196	1320	1320	1320
82	1838	0	4300	3870	17688	2205	0	3440	3096	15034	2425	0	2236	2459	14282	0	2667	1341	4023	13567	1340	1340	1340
83	1903	0	4450	4005	18172	2283	0	3560	3204	15446	2511	0	2314	2545	14673	0	2762	1388	4164	13939	1360	1360	1360
84	1967	0	4600	4140	18656	2360	0	3680	3312	15857	2596	0	2392	2631	15064	0	2855	1435	4305	14310	1380	1380	1380
85	2032	0	4750	4275	19184	2438	0	3800	3420	16306	2681	0	2470	2717	15490	0	2949	1482	4446	14715	1400	1400	1400
86	2103	0	4900	4410	19712	2523	0	3920	3528	16755	2775	0	2548	2802	15917	0	3052	1528	4584	15121	1420	1420	1420
87	2173	0	5050	4545	20240	2607	0	4040	3636	17204	2867	0	2626	2888	16343	0	3153	1575	4725	15525	1440	1440	1440
88	2244	0	5200	4680	20768	2692	0	4160	3744	17652	2961	0	2704	2974	16769	0	3257	1622	4866	15930	1460	1460	1460
89	2319	0	5350	4815	21296	2782	0	4280	3852	18101	3060	0	2782	3060	17195	0	3366	1669	5007	16335	1480	1480	1480
90	2395	0	5500	4950	21824	2874	0	4400	3960	18550	3161	0	2860	3146	17622	0	3477	1716	5148	16740	1500	1500	1500
91	2471	0	5650	5085	22352	2965	0	4520	4068	18999	3261	0	2938	3231	18049	0	3587	1762	5286	17146	1520	1520	1520
92	2553	0	5800	5220	22880	3063	0	4640	4176	19448	3369	0	3016	3317	18475	0	3705	1809	5427	17551	1540	1540	1540
93	2634	0	5950	5355	23408	3160	0	4760	4284	19896	3476	0	3094	3403	18901	0	3823	1856	5568	17955	1560	1560	1560
94	2715	0	6100	5490	23936	3258	0	4880	4392	20345	3583	0	3172	3489	19327	0	3941	1903	5709	18360	1580	1580	1580
95	2801	0	6250	5625	24464	3361	0	5000	4500	20794	3697	0	3250	3575	19754	0	4066	1950	5850	18766	1600	1600	1600
96	2887	0	6400	5760	24992	3464	0	5120	4608	21243	3810	0	3328	3660	20180	0	4191	1996	5988	19171	1620	1620	1620
97	2973	0	6550	5895	25520	3567	0	5240	4716	21692	3923	0	3406	3746	20607	0	4315	2043	6129	19576	1640	1640	1640
98	3061	0	6700	6030	26048	3673	0	5360	4824	22140	4040	0	3484	3832	21033	0	4444	2090	6270	19981	1660	1660	1660
99	3149	0	6850	6165	26576	3778	0	5480	4932	22589	4155	0	3562	3918	21459	0	4570	2137	6411	20386	1680	1680	1680
100	3237	0	7000	6300	27104	3884	0	5600	5040	23038	4272	0	3640	4004	21886	0	4699	2184	6552	20791	1700	1700	1700
101	3325	0	7150	6435	27654	3990	0	5720	5148	23505	4389	0	3718	4089	22329	0	4827	2230	6690	21212	1720	1720	1720
102	3413	0	7300	6570	28204	4095	0	5840	5256	23973	4504	0	3796	4175	22774	0	4954	2277	6831	21635	1740	1740	1740
103	3501	0	7450	6705	28754	4201	0	5960	5364	24440	4621	0	3874	4261	23218	0	5083	2324	6972	22057	1760	1760	1760
104	3589	0	7600	6840	29304	4306	0	6080	5472	24908	4736	0	3952	4347	23662	0	5209	2371	7113	22478	1780	1780	1780
105	3677	0	7750	6975	29854	4412	0	6200	5580	25375	4853	0	4030	4433	24106	0	5338	2418	7254	22900	1800	1800	1800
106	3765	0	7900	7110	30404	4518	0	6320	5688	25843	4969	0	4108	4518	24550	0	5465	2464	7392	23322	1820	1820	1820
107	3853	0	8050	7245	30954	4623	0	6440	5796	26310	5085	0	4186	4604	24994	0	5593	2511	7533	23744	1840	1840	1840
108	3941	0	8200	7380	31504	4729	0	6560	5904	26778	5201	0	4264	4690	25439	0	5721	2558	7674	24167	1860	1860	1860
109	4029	0	8350	7515	32054	4834	0	6680	6012	27245	5317	0	4342	4776	25882	0	5848	2605	7815	24587	1880	1880	1880
110	4117	0	8500	7650	32604	4940	0	6800	6120	27713	5434	0	4420	4862	26327	0	5977	2652	7956	25010	1900	1900	1900
111	4205	0	8650	7785	33154	5046	0	6920	6228	28180	5550	0	4498	4947	26771	0	6105	2698	8094	25432	1920	1920	1920
112	4293	0	8800	7920	33704	5151	0	7040	6336	28648	5666	0	4576	5033	27215	0	6232	2745	8235	25854	1940	1940	1940
113	4381	0	8950	8055	34254	5257	0	7160	6444	29115	5782	0	4654	5119	27659	0	6360	2792	8376	26276	1960	1960	1960
114	4469	0	9100	8190	34804	5362	0	7280	6552	29583	5898	0	4732	5205	28103	0	6487	2839	8517	26697	1980	1980	1980
115	4557	0	9250	8325	35354	5468	0	7400	6660	30050	6014	0	4810	5291	28547	0	6615	2886	8658	27119	2000	2000	2000
116	4645	0	9400	8460	35904	5574	0	7520	6768	30518	6131	0	4888	5376	28992	0	6744	2932	8796	27542	2020	2020	2020
117	4733	0	9550	8595	36454	5679	0	7640	6876	30985	6246	0	4966	5462	29435	0	6870	2979	8937	27963	2040	2040	2040
118	4821	0	9700	8730	37004	5785	0	7760	6984	31453	6363	0	5044	5548	29880	0	6999	3026	9078	28386	2060	2060	2060
119	4909	0	9850	8865	37554	5890	0	7880	7092	31920	6479	0	5122	5634	30324	0	7126	3073	9219	28807	2080	2080	2080
120	4997	0	10000	9000	38104	5996	0	8000	7200	32388	6595	0	5200	5720	30768	0	7254	3120	9360	29229	2100	2100	2100
121	5085	0	10150	9135	38654	6102	0	8120	7308	32855	6712	0	5278	5805	31212	0	7383	3166	9498	29651	2120	2120	2120
122	5173	0	10300	9270	39204	6207	0	8240	7416	33323	6827	0	5356	5891	31656	0	7509	3213	9639	30073	2140	2140	2140
123	5261	0	10450	9405	39754	6313	0	8360	7524	33790	6944	0	5434	5977	32100	0	7638	3260	9780	30495	2160	2160	2160
124	5349	0	10600	9540	40304	6418	0	8480	7632	34258	7059	0	5512	6063	32545	0	7764	3307	9921	30917	2180	2180	2180
125	5437	0	10750	9675	40854	6524	0	8600	7740	34725	7176	0	5590	6149	32988	0	7893	3354	10062	31338	2200	2200	2200
126	5525	0	10900	9810	41404	6630	0	8720	7848	35193	7293	0	5668	6234	33433	0	8022	3400	10200	31761	2220	2220	2220
127	5613	0	11050	9945	41954	6735	0	8840	7956	35660	7408	0	5746	6320	33877	0	8148	3447	10341	32183	2240	2240	2240
128	5701	0	11200	10080	42504	6841	0	8960	8064	36128	7525	0	5824	6406	34321	0	8277	3494	10482	32604	2260	2260	2260
129	5789	0	11350	10215	43054	6946	0	9080	8172	36595	7640	0	5902	6492	34765	0	8404	3541	10623	33026	2280	2280	2280
130	5877	0	11500	10350	43604	7052	0	9200	8280	37063	7757	0	5980	6578	35209	0	8532	3588	10764	33448	2300	2300	2300
131	5965	0	11650	10485	44154	7158	0	9320	8388	37530	7873	0	6058	6663	35653	0	8660	3634	10902	33870	2320	2320	2320
132	6053	0	11800	10620	44704	7263	0	9440	8496	37998	7989	0	6136	6749	36098	0	8787	3681	11043	34293	2340	2340	2340
133	6141	0	11950	10755	45254	7369	0	9560	8604	38465	8105	0	6214	6835	36541	0	8915	3728	11184	34713	2360	2360	2360
134	6229	0	12100	10890	45804	7474	0	9680	8712	38933	8221	0	6292	6921	36986	0	9043	3775	11325	35136	2380	2380	2380
135	6317	0	12250	11025	46354	7580	0	9800	8820	39400	8338	0	6370	7007	37430	0	9171	3822	11466	35558	2400	2400	2400
136	6405	0	12400	11160	46904	7686	0	9920	8928	39868	8454	0	6448	7092	37874	0	9299	3868	11604	35980	2420	2420	2420
137	6493	0	12550	11295	47454	7791	0	10040	9036	40335	8570	0	6526	7178	38318	0	9427	3915	11745	36402	2440	2440	2440
138	6581	0	12700	11430	48004	7897	0	10160	9144	40803	8686	0	6604	7264	38762	0	9554	3962	11886	36823	2460	2460	2460
139	6669	0	12850	11565	48554	8002	0	10280	9252	41270	8802	0	6682	7350	39206	0	9682	4009	12027	37245	2480	2480	2480
140	6757	0	13000	11700	49104	8108	0	10400	9360	41738	8918	0	6760	7436	39651	0	9809	4056	12168	37668	2500	2500	2500
141	6845	0	13150	11835	49654	8214	0	10520	9468	42205	9035	0	6838	7521	40094	0	9938	4102	12306	38089	2520	2520	2520
142	6933	0	13300	11970	50204	8319	0	10640	9576	42673	9150	0	6916	7607	40539	0	10065	4149	12447	38512	2540	2540	2540
143	7021	0	13450	12105	50754	8425	0	10760	9684	43140	9267	0	6994	7693	40983	0	10193	4196	12588	38933	2560	2560	2560
144	7109	0	13600	12240	51304	8530	0	10880	9792	43608	9383	0	7072	7779	41427	0	10321	4243	12729	39355	2580	2580	2580
145	7202	0	13800	12420	51854	8642	0	11040	9936	44075	9506	0	7176	7893	41871	0	10456	4305	12915	39777	2600	2600	2600
146	7296	0	14000	12600	52404	8755	0	11200	10080	44543	9630	0	7280	8008	42315	0	10593	4368	13104	40199	2620	2620	2620
147	7389	0	14200	12780	52954	8866	0	11360	10224	45010	9752	0	7384	8122	42759	0	10727	4430	13290	40621	2640	2640	2640
148	7483	0	14400	12960	53504	8979	0	11520	10368	45478	9876	0	7488	8236	43204	0	10863	4492	13476	41043	2660	2660	2660
149	7576	0	14600	13140	54054	9091	0	11680	10512	45945	10000	0	7592	8351	43647	0	11000	4555	13665	41464	2680	2680	2680
150	7670	0	14800	13320	54604	9204	0	11840	10656	46413	10124	0	7696	8465	44092	0	11136	4617	13851	41887	2700	2700	2700
151	7763	0	15000	13500	55154	9315	0	12000	10800	46880	10246	0	7800	8580	44536	0	11270	4680	14040	42309	2720	2720	2720
152	7857	0	15200	13680	55704	9428	0	12160	10944	47348	10370	0	7904	8694	44980	0	11407	4742	14226	42731	2740	2740	2740
153	7950	0	15400	13860	56254	9540	0	12320	11088	47815	10494	0	8008	8808	45424	0	11543	4804	14412	43152	2760	2760	2760
154	8044	0	15600	14040	56804	9652	0	12480	11232	48283	10617	0	8112	8923	45868	0	11678	4867	14601	43574	2780	2780	2780
155	8143	0	15800	14220	57354	9771	0	12640	11376	48750	10748	0	8216	9037	46312	0	11822	4929	14787	43996	2800	2800	2800
156	8242	0	16000	14400	57904	9890	0	12800	11520	49218	10879	0	8320	9152	46757	0	11966	4992	14976	44419	2820	2820	2820
157	8341	0	16200	14580	58454	10009	0	12960	11664	49685	11009	0	8424	9266	47200	0	12109	5054	15162	44840	2840	2840	2840
158	8440	0	16400	14760	59004	10128	0	13120	11808	50153	11140	0	8528	9380	47645	0	12254	5116	15348	45262	2860	2860	2860
159	8539	0	16600	14940	59554	10246	0	13280	11952	50620	11270	0	8632	9495	48089	0	12397	5179	15537	45684	2880	2880	2880
160	8649	0	16800	15120	60104	10378	0	13440	12096	51088	11415	0	8736	9609	48533	0	12556	5241	15723	46106	2900	2900	2900
161	8759	0	17000	15300	60654	10510	0	13600	12240	51555	11561	0	8840	9724	48977	0	12717	5304	15912	46528	2920	2920	2920
162	8869	0	17200	15480	61204	10642	0	13760	12384	52023	11706	0	8944	9838	49421	0	12876	5366	16098	46949	2940	2940	2940
163	8979	0	17400	15660	61754	10774	0	13920	12528	52490	11851	0	9048	9952	49865	0	13036	5428	16284	47371	2960	2960	2960
164	9089	0	17600	15840	62304	10906	0	14080	12672	52958	11996	0	9152	10067	50310	0	13195	5491	16473	47794	2980	2980	2980
165	9210	0	17800	16020	62854	11052	0	14240	12816	53425	12157	0	9256	10181	50753	0	13372	5553	16659	48215	3000	3000	3000
166	9331	0	18000	16200	63404	11197	0	14400	12960	53893	12316	0	9360	10296	51198	0	13547	5616	16848	48638	3020	3020	3020
167	9452	0	18200	16380	63954	11342	0	14560	13104	54360	12476	0	9464	10410	51642	0	13723	5678	17034	49059	3040	3040	3040
168	9573	0	18400	16560	64504	11487	0	14720	13248	54828	12635	0	9568	10524	52086	0	13898	5740	17220	49481	3060	3060	3060
169	9694	0	18600	16740	65054	11632	0	14880	13392	55295	12795	0	9672	10639	52530	0	14074	5803	17409	49903	3080	3080	3080
170	9859	0	18800	16920	65604	11830	0	15040	13536	55763	13013	0	9776	10753	52974	0	14314	5865	17595	50325	3100	3100	3100
171	10024	0	19000	17100	66154	12028	0	15200	13680	56230	13230	0	9880	10868	53418	0	14553	5928	17784	50747	3120	3120	3120
172	10189	0	19200	17280	66704	12226	0	15360	13824	56698	13448	0	9984	10982	53863	0	14792	5990	17970	51169	3140	3140	3140
173	10354	0	19400	17460	67254	12424	0	15520	13968	57165	13666	0	10088	11096	54306	0	15032	6052	18156	51590	3160	3160	3160
174	10519	0	19600	17640	67804	12622	0	15680	14112	57633	13884	0	10192	11211	54751	0	15272	6115	18345	52013	3180	3180	3180
175	10684	0	19800	17820	68354	12820	0	15840	14256	58100	14102	0	10296	11325	55195	0	15512	6177	18531	52435	3200	3200	3200
176	10849	0	20000	18000	68904	13018	0	16000	14400	58568	14319	0	10400	11440	55639	0	15750	6240	18720	52857	3220	3220	3220
177	11014	0	20200	18180	69454	13216	0	16160	14544	59035	14537	0	10504	11554	56083	0	15990	6302	18906	53278	3240	3240	3240
178	11179	0	20400	18360	70004	13414	0	16320	14688	59503	14755	0	10608	11668	56527	0	16230	6364	19092	53700	3260	3260	3260
179	11344	0	20600	18540	70554	13612	0	16480	14832	59970	14973	0	10712	11783	56971	0	16470	6427	19281	54122	3280	3280	3280
180	11509	0	20800	18720	71104	13810	0	16640	14976	60438	15191	0	10816	11897	57416	0	16710	6489	19467	54545	3300	3300	3300
181	11674	0	21000	18900	71654	14008	0	16800	15120	60905	15408	0	10920	12012	57859	0	16948	6552	19656	54966	3320	3320	3320
182	11839	0	21200	19080	72204	14206	0	16960	15264	61373	15626	0	11024	12126	58304	0	17188	6614	19842	55388	3340	3340	3340
183	12004	0	21400	19260	72754	14404	0	17120	15408	61840	15844	0	11128	12240	58748	0	17428	6676	20028	55810	3360	3360	3360
184	12169	0	21600	19440	73304	14602	0	17280	15552	62308	16062	0	11232	12355	59192	0	17668	6739	20217	56232	3380	3380	3380
185	12334	0	21800	19620	73854	14800	0	17440	15696	62775	16280	0	11336	12469	59636	0	17908	6801	20403	56654	3400	3400	3400
186	12499	0	22000	19800	74404	14998	0	17600	15840	63243	16497	0	11440	12584	60080	0	18146	6864	20592	57076	3420	3420	3420
187	12664	0	22200	19980	74954	15196	0	17760	15984	63710	16715	0	11544	12698	60524	0	18386	6926	20778	57497	3440	3440	3440
188	12829	0	22400	20160	75504	15394	0	17920	16128	64178	16933	0	11648	12812	60969	0	18626	6988	20964	57920	3460	3460	3460
189	12994	0	22600	20340	76054	15592	0	18080	16272	64645	17151	0	11752	12927	61412	0	18866	7051	21153	58341	3480	3480	3480
190	13104	0	22800	20520	76604	15724	0	18240	16416	65113	17296	0	11856	13041	61857	0	19025	7113	21339	58764	3500	3500	3500
191	13214	0	23000	20700	77154	15856	0	18400	16560	65580	17441	0	11960	13156	62301	0	19185	7176	21528	59185	3520	3520	3520
192	13324	0	23200	20880	77704	15988	0	18560	16704	66048	17586	0	12064	13270	62745	0	19344	7238	21714	59607	3540	3540	3540
193	13434	0	23400	21060	78254	16120	0	18720	16848	66515	17732	0	12168	13384	63189	0	19505	7300	21900	60029	3560	3560	3560
194	13544	0	23600	21240	78804	16252	0	18880	16992	66983	17877	0	12272	13499	63633	0	19664	7363	22089	60451	3580	3580	3580
195	13654	0	23800	21420	79354	16384	0	19040	17136	67450	18022	0	12376	13613	64077	0	19824	7425	22275	60873	3600	3600	3600
196	13764	0	24000	21600	79904	16516	0	19200	17280	67918	18167	0	12480	13728	64522	0	19983	7488	22464	61295	3620	3620	3620
197	13874	0	24200	21780	80454	16648	0	19360	17424	68385	18312	0	12584	13842	64965	0	20143	7550	22650	61716	3640	3640	3640
198	13984	0	24400	21960	81004	16780	0	19520	17568	68853	18458	0	12688	13956	65410	0	20303	7612	22836	62139	3660	3660	3660
199	14094	0	24600	22140	81554	16912	0	19680	17712	69320	18603	0	12792	14071	65854	0	20463	7675	23025	62561	3680	3680	3680
200	14204	0	24800	22320	82104	17044	0	19840	17856	69788	18748	0	12896	14185	66298	0	20622	7737	23211	62983	3700	3700	3700
