number	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number
80	M094	22072	0	0	0	63108000	1700	1700	1700	620000	992	55800	49600	43400	31000	5580
81	M094	22477	0	0	0	65856000	1720	1720	1720	630000	1008	56700	50400	44100	31500	5670
82	M094	22680	0	0	0	66324000	1740	1740	1740	630000	1008	56700	50400	44100	31500	5670
83	M094	23085	0	0	0	67332000	1760	1760	1760	630000	1008	56700	50400	44100	31500	5670
84	M094	23490	0	0	0	68340000	1780	1780	1780	630000	1008	56700	50400	44100	31500	5670
85	M094	24930	0	0	0	71148000	1800	1800	1800	640000	1024	57600	51200	44800	32000	5760
86	M094	25335	0	0	0	72156000	1820	1820	1820	640000	1024	57600	51200	44800	32000	5760
87	M094	25785	0	0	0	73284000	1840	1840	1840	640000	1024	57600	51200	44800	32000	5760
88	M094	25987	0	0	0	73752000	1860	1860	1860	650000	1040	58500	52000	45500	32500	5850
89	M094	26437	0	0	0	74880000	1880	1880	1880	650000	1040	58500	52000	45500	32500	5850
90	M094	27787	0	0	0	80808000	1900	1900	1900	650000	1040	58500	52000	45500	32500	5850
91	M094	28012	0	0	0	81324000	1920	1920	1920	650000	1040	58500	52000	45500	32500	5850
92	M094	28485	0	0	0	82500000	1940	1940	1940	660000	1056	59400	52800	46200	33000	5940
93	M094	28957	0	0	0	83676000	1960	1960	1960	660000	1056	59400	52800	46200	33000	5940
94	M094	29430	0	0	0	84852000	1980	1980	1980	660000	1056	59400	52800	46200	33000	5940
95	M094	30388	0	0	0	88188000	2000	2000	2000	670000	1072	60300	53600	46900	33500	6030
96	M094	30861	0	0	0	89364000	2020	2020	2020	670000	1072	60300	53600	46900	33500	6030
97	M094	31086	0	0	0	89880000	2040	2040	2040	670000	1072	60300	53600	46900	33500	6030
98	M094	31558	0	0	0	91056000	2060	2060	2060	670000	1072	60300	53600	46900	33500	6030
99	M094	32031	0	0	0	92232000	2080	2080	2080	680000	1088	61200	54400	47600	34000	6120
100	M094	33448	0	0	0	98328000	2100	2100	2100	940000	1504	84600	75200	65800	47000	8460
101	M094	33696	0	0	0	98892000	2120	2120	2120	940000	1504	84600	75200	65800	47000	8460
102	M094	34236	0	0	0	100236000	2140	2140	2140	940000	1504	84600	75200	65800	47000	8460
103	M094	34776	0	0	0	101580000	2160	2160	2160	950000	1520	85500	76000	66500	47500	8550
104	M094	35316	0	0	0	102924000	2180	2180	2180	950000	1520	85500	76000	66500	47500	8550
105	M094	36450	0	0	0	106908000	2200	2200	2200	950000	1520	85500	76000	66500	47500	8550
106	M094	36990	0	0	0	108252000	2220	2220	2220	960000	1536	86400	76800	67200	48000	8640
107	M094	37530	0	0	0	109596000	2240	2240	2240	960000	1536	86400	76800	67200	48000	8640
108	M094	37777	0	0	0	110160000	2260	2260	2260	960000	1536	86400	76800	67200	48000	8640
109	M094	38317	0	0	0	111504000	2280	2280	2280	960000	1536	86400	76800	67200	48000	8640
110	M094	40927	0	0	0	117648000	2300	2300	2300	970000	1552	87300	77600	67900	48500	8730
111	M094	41490	0	0	0	122304000	2320	2320	2320	970000	1552	87300	77600	67900	48500	8730
112	M094	41760	0	0	0	122916000	2340	2340	2340	970000	1552	87300	77600	67900	48500	8730
113	M094	42367	0	0	0	124428000	2360	2360	2360	980000	1568	88200	78400	68600	49000	8820
114	M094	42975	0	0	0	125940000	2380	2380	2380	980000	1568	88200	78400	68600	49000	8820
115	M094	43947	0	0	0	129672000	2400	2400	2400	980000	1568	88200	78400	68600	49000	8820
116	M094	44554	0	0	0	131184000	2420	2420	2420	990000	1584	89100	79200	69300	49500	8910
117	M094	45162	0	0	0	132696000	2440	2440	2440	990000	1584	89100	79200	69300	49500	8910
118	M094	45432	0	0	0	133308000	2460	2460	2460	990000	1584	89100	79200	69300	49500	8910
119	M094	46039	0	0	0	134820000	2480	2480	2480	1000000	1600	90000	80000	70000	50000	9000
120	M094	50139	0	0	0	146892000	2500	2500	2500	1330000	2128	119700	106400	93100	66500	11970
121	M094	50431	0	0	0	147564000	2520	2520	2520	1330000	2128	119700	106400	93100	66500	11970
122	M094	51061	0	0	0	149136000	2540	2540	2540	1340000	2144	120600	107200	93800	67000	12060
123	M094	51354	0	0	0	149808000	2560	2560	2560	1340000	2144	120600	107200	93800	67000	12060
124	M094	51984	0	0	0	151380000	2580	2580	2580	1340000	2144	120600	107200	93800	67000	12060
125	M094	53424	0	0	0	156552000	2600	2600	2600	1350000	2160	121500	108000	94500	67500	12150
126	M094	53716	0	0	0	157224000	2620	2620	2620	1350000	2160	121500	108000	94500	67500	12150
127	M094	54346	0	0	0	158796000	2640	2640	2640	1350000	2160	121500	108000	94500	67500	12150
128	M094	55044	0	0	0	160548000	2660	2660	2660	1360000	2176	122400	108800	95200	68000	12240
129	M094	55336	0	0	0	161220000	2680	2680	2680	1360000	2176	122400	108800	95200	68000	12240
130	M094	56034	0	0	0	162972000	2700	2700	2700	1360000	2176	122400	108800	95200	68000	12240
131	M094	56349	0	0	0	163692000	2720	2720	2720	1370000	2192	123300	109600	95900	68500	12330
132	M094	57069	0	0	0	165492000	2740	2740	2740	1370000	2192	123300	109600	95900	68500	12330
133	M094	57789	0	0	0	167292000	2760	2760	2760	1370000	2192	123300	109600	95900	68500	12330
134	M094	58104	0	0	0	168012000	2780	2780	2780	1370000	2192	123300	109600	95900	68500	12330
135	M094	59769	0	0	0	174012000	2800	2800	2800	1380000	2208	124200	110400	96600	69000	12420
136	M094	60084	0	0	0	174732000	2820	2820	2820	1380000	2208	124200	110400	96600	69000	12420
137	M094	60804	0	0	0	176532000	2840	2840	2840	1380000	2208	124200	110400	96600	69000	12420
138	M094	61524	0	0	0	178332000	2860	2860	2860	1390000	2224	125100	111200	97300	69500	12510
139	M094	61839	0	0	0	179052000	2880	2880	2880	1390000	2224	125100	111200	97300	69500	12510
140	M094	63459	0	0	0	185652000	2900	2900	2900	1810000	2896	162900	144800	126700	90500	16290
141	M094	64201	0	0	0	193008000	2920	2920	2920	1810000	2896	162900	144800	126700	90500	16290
142	M094	64539	0	0	0	193776000	2940	2940	2940	1810000	2896	162900	144800	126700	90500	16290
143	M094	65281	0	0	0	195624000	2960	2960	2960	1820000	2912	163800	145600	127400	91000	16380
144	M094	65619	0	0	0	196392000	2980	2980	2980	1820000	2912	163800	145600	127400	91000	16380
145	M094	69489	0	0	0	203220000	3000	3000	3000	1820000	2912	163800	145600	127400	91000	16380
146	M094	69826	0	0	0	203988000	3020	3020	3020	1830000	2928	164700	146400	128100	91500	16470
147	M094	70636	0	0	0	206016000	3040	3040	3040	1830000	2928	164700	146400	128100	91500	16470
148	M094	70974	0	0	0	206784000	3060	3060	3060	1830000	2928	164700	146400	128100	91500	16470
149	M094	71784	0	0	0	208812000	3080	3080	3080	1840000	2944	165600	147200	128800	92000	16560
150	M094	72594	0	0	0	210840000	3100	3100	3100	2860000	4576	257400	228800	200200	143000	25740
151	M094	72954	0	0	0	211656000	3120	3120	3120	2860000	4576	257400	228800	200200	143000	25740
152	M094	73786	0	0	0	213732000	3140	3140	3140	2860000	4576	257400	228800	200200	143000	25740
153	M094	74619	0	0	0	215808000	3160	3160	3160	2870000	4592	258300	229600	200900	143500	25830
154	M094	74979	0	0	0	216624000	3180	3180	3180	2870000	4592	258300	229600	200900	143500	25830
155	M094	76554	0	0	0	222840000	3200	3200	3200	2870000	4592	258300	229600	200900	143500	25830
156	M094	77386	0	0	0	224916000	3220	3220	3220	2880000	4608	259200	230400	201600	144000	25920
157	M094	78219	0	0	0	226992000	3240	3240	3240	2880000	4608	259200	230400	201600	144000	25920
158	M094	78579	0	0	0	227808000	3260	3260	3260	2880000	4608	259200	230400	201600	144000	25920
159	M094	79411	0	0	0	229884000	3280	3280	3280	2890000	4624	260100	231200	202300	144500	26010
160	M094	79771	0	0	0	230700000	3300	3300	3300	3390000	5424	305100	271200	237300	169500	30510
161	M094	80626	0	0	0	232836000	3320	3320	3320	3390000	5424	305100	271200	237300	169500	30510
162	M094	81009	0	0	0	233712000	3340	3340	3340	3390000	5424	305100	271200	237300	169500	30510
163	M094	81391	0	0	0	234588000	3360	3360	3360	3400000	5440	306000	272000	238000	170000	30600
164	M094	82314	0	0	0	236904000	3380	3380	3380	3400000	5440	306000	272000	238000	170000	30600
165	M094	84586	0	0	0	245220000	3400	3400	3400	3400000	5440	306000	272000	238000	170000	30600
166	M094	85509	0	0	0	247536000	3420	3420	3420	3410000	5456	306900	272800	238700	170500	30690
167	M094	86431	0	0	0	249852000	3440	3440	3440	3410000	5456	306900	272800	238700	170500	30690
168	M094	87354	0	0	0	252168000	3460	3460	3460	3410000	5456	306900	272800	238700	170500	30690
169	M094	88276	0	0	0	254484000	3480	3480	3480	3420000	5472	307800	273600	239400	171000	30780
170	M094	92691	0	0	0	267360000	3500	3500	3500	3420000	5472	307800	273600	239400	171000	30780
171	M094	93636	0	0	0	269724000	3520	3520	3520	3420000	5472	307800	273600	239400	171000	30780
172	M094	94041	0	0	0	270648000	3540	3540	3540	3430000	5488	308700	274400	240100	171500	30870
173	M094	94446	0	0	0	271572000	3560	3560	3560	3430000	5488	308700	274400	240100	171500	30870
174	M094	94851	0	0	0	272496000	3580	3580	3580	3430000	5488	308700	274400	240100	171500	30870
175	M094	97281	0	0	0	281460000	3600	3600	3600	3440000	5504	309600	275200	240800	172000	30960
176	M094	98226	0	0	0	283824000	3620	3620	3620	3440000	5504	309600	275200	240800	172000	30960
177	M094	98631	0	0	0	284748000	3640	3640	3640	3450000	5520	310500	276000	241500	172500	31050
178	M094	99576	0	0	0	287292000	3660	3660	3660	3450000	5520	310500	276000	241500	172500	31050
179	M094	99981	0	0	0	288216000	3680	3680	3680	3450000	5520	310500	276000	241500	172500	31050
180	M094	100926	0	0	0	290760000	3700	3700	3700	4040000	6464	363600	323200	282800	202000	36360
181	M094	101893	0	0	0	293352000	3720	3720	3720	4050000	6480	364500	324000	283500	202500	36450
182	M094	102861	0	0	0	295944000	3740	3740	3740	4050000	6480	364500	324000	283500	202500	36450
183	M094	103828	0	0	0	298536000	3760	3760	3760	4050000	6480	364500	324000	283500	202500	36450
184	M094	104256	0	0	0	299508000	3780	3780	3780	4060000	6496	365400	324800	284200	203000	36540
185	M094	106303	0	0	0	307680000	3800	3800	3800	4060000	6496	365400	324800	284200	203000	36540
186	M094	107271	0	0	0	310272000	3820	3820	3820	4060000	6496	365400	324800	284200	203000	36540
187	M094	108238	0	0	0	312864000	3840	3840	3840	4070000	6512	366300	325600	284900	203500	36630
188	M094	108666	0	0	0	313836000	3860	3860	3860	4070000	6512	366300	325600	284900	203500	36630
189	M094	109633	0	0	0	316428000	3880	3880	3880	4080000	6528	367200	326400	285600	204000	36720
190	M094	110601	0	0	0	319020000	3900	3900	3900	4080000	6528	367200	326400	285600	204000	36720
191	M094	111051	0	0	0	320040000	3920	3920	3920	4080000	6528	367200	326400	285600	204000	36720
192	M094	112041	0	0	0	322680000	3940	3940	3940	4090000	6544	368100	327200	286300	204500	36810
193	M094	113031	0	0	0	325500000	3960	3960	3960	4090000	6544	368100	327200	286300	204500	36810
194	M094	113481	0	0	0	326520000	3980	3980	3980	4090000	6544	368100	327200	286300	204500	36810
195	M094	116226	0	0	0	337140000	4000	4000	4000	4100000	6560	369000	328000	287000	205000	36900
196	M094	117216	0	0	0	339960000	4020	4020	4020	4100000	6560	369000	328000	287000	205000	36900
197	M094	117666	0	0	0	340980000	4040	4040	4040	4110000	6576	369900	328800	287700	205500	36990
198	M094	118656	0	0	0	343800000	4060	4060	4060	4110000	6576	369900	328800	287700	205500	36990
199	M094	119106	0	0	0	344820000	4080	4080	4080	4110000	6576	369900	328800	287700	205500	36990
200	M094	120456	0	0	0	350640000	4100	4100	4100	4800000	7680	432000	384000	336000	240000	43200
