number	number	number	number	number
31114	311	14	0.305	0
31115	311	15	0.31	0
31116	311	16	0.315	0
31117	311	17	0.322	0
31118	311	18	0.329	0
31119	311	19	0.336	0
31120	311	20	0.343	0
31201	312	1	0.353	0
31202	312	2	0.359	0
31203	312	3	0.365	0
31204	312	4	0.371	0
31205	312	5	0.377	0
31206	312	6	0.383	0
31207	312	7	0.389	0
31208	312	8	0.396	0
31209	312	9	0.403	0
31210	312	10	0.41	0
31211	312	11	0.417	0
31212	312	12	0.424	0
31213	312	13	0.431	0
31214	312	14	0.438	0
31215	312	15	0.445	0
31216	312	16	0.452	0
31217	312	17	0.459	0
31218	312	18	0.466	0
31219	312	19	0.473	0
31220	312	20	0.48	0
32101	321	1	1.8	0
32102	321	2	1.84	0
32103	321	3	1.88	0
32104	321	4	1.92	0
32105	321	5	1.96	0
32106	321	6	2	0
32107	321	7	2.04	0
32108	321	8	2.08	0
32109	321	9	2.12	0
32110	321	10	2.16	0
32111	321	11	2.2	0
32112	321	12	2.24	0
32113	321	13	2.28	0
32114	321	14	2.32	0
32115	321	15	2.36	0
32116	321	16	2.4	0
32117	321	17	2.45	0
32118	321	18	2.5	0
32119	321	19	2.55	0
32120	321	20	2.6	0
32201	322	1	2.65	0
32202	322	2	2.7	0
32203	322	3	2.75	0
32204	322	4	2.8	0
32205	322	5	2.85	0
32206	322	6	2.9	0
32207	322	7	2.95	0
32208	322	8	3	0
32209	322	9	3.05	0
32210	322	10	3.1	0
32211	322	11	3.15	0
32212	322	12	3.2	0
32213	322	13	3.25	0
32214	322	14	3.3	0
32215	322	15	3.35	0
32216	322	16	3.4	0
32217	322	17	3.45	0
32218	322	18	3.5	0
32219	322	19	3.55	0
32220	322	20	3.6	0
40101	401	1	0.85	0
40102	401	2	0.87	0
40103	401	3	0.89	0
40104	401	4	0.91	0
40105	401	5	0.93	0
40106	401	6	0.95	0
40107	401	7	0.97	0
40108	401	8	0.99	0
40109	401	9	1.01	0
40110	401	10	1.03	0
40111	401	11	1.05	0
40112	401	12	1.07	0
40113	401	13	1.09	0
40114	401	14	1.11	0
40115	401	15	1.13	0
40116	401	16	1.15	0
40117	401	17	1.175	0
40118	401	18	1.2	0
40119	401	19	1.225	0
40120	401	20	1.25	0
40201	402	1	1.3	0
40202	402	2	1.32	0
40203	402	3	1.34	0
40204	402	4	1.36	0
40205	402	5	1.38	0
40206	402	6	1.4	0
40207	402	7	1.42	0
40208	402	8	1.44	0
40209	402	9	1.46	0
40210	402	10	1.48	0
40211	402	11	1.5	0
40212	402	12	1.52	0
40213	402	13	1.54	0
40214	402	14	1.56	0
40215	402	15	1.58	0
40216	402	16	1.6	0
40217	402	17	1.625	0
40218	402	18	1.65	0
40219	402	19	1.675	0
40220	402	20	1.7	0
41101	411	1	0.85	0
41102	411	2	0.87	0
41103	411	3	0.89	0
41104	411	4	0.91	0
41105	411	5	0.93	0
41106	411	6	0.95	0
41107	411	7	0.97	0
41108	411	8	0.99	0
41109	411	9	1.01	0
41110	411	10	1.03	0
41111	411	11	1.05	0
41112	411	12	1.07	0
41113	411	13	1.09	0
41114	411	14	1.11	0
41115	411	15	1.13	0
41116	411	16	1.15	0
41117	411	17	1.175	0
41118	411	18	1.2	0
41119	411	19	1.225	0
41120	411	20	1.25	0
41201	412	1	1.3	0
41202	412	2	1.32	0
41203	412	3	1.34	0
41204	412	4	1.36	0
41205	412	5	1.38	0
41206	412	6	1.4	0
41207	412	7	1.42	0
41208	412	8	1.44	0
41209	412	9	1.46	0
41210	412	10	1.48	0
41211	412	11	1.5	0
41212	412	12	1.52	0
41213	412	13	1.54	0
41214	412	14	1.56	0
41215	412	15	1.58	0
41216	412	16	1.6	0
41217	412	17	1.625	0
41218	412	18	1.65	0
41219	412	19	1.675	0
41220	412	20	1.7	0
42101	421	1	0.227	0
42102	421	2	0.232	0
42103	421	3	0.237	0
42104	421	4	0.242	0
42105	421	5	0.247	0
42106	421	6	0.252	0
42107	421	7	0.257	0
42108	421	8	0.262	0
42109	421	9	0.267	0
42110	421	10	0.272	0
42111	421	11	0.277	0
42112	421	12	0.282	0
42113	421	13	0.287	0
42114	421	14	0.292	0
42115	421	15	0.297	0
42116	421	16	0.302	0
42117	421	17	0.309	0
42118	421	18	0.316	0
42119	421	19	0.323	0
42120	421	20	0.33	0
42201	422	1	0.347	0
42202	422	2	0.352	0
42203	422	3	0.357	0
42204	422	4	0.362	0
42205	422	5	0.367	0
42206	422	6	0.372	0
42207	422	7	0.377	0
42208	422	8	0.382	0
42209	422	9	0.387	0
42210	422	10	0.392	0
42211	422	11	0.397	0
42212	422	12	0.402	0
42213	422	13	0.407	0
42214	422	14	0.412	0
42215	422	15	0.417	0
42216	422	16	0.422	0
42217	422	17	0.429	0
42218	422	18	0.436	0
42219	422	19	0.443	0
42220	422	20	0.45	0
