number	number	number	array	number	number	number	number	number	number	number
16156	4	6	[3]	150	2200	0	0	0	0	180
16157	4	7	[4]	150	0	2200	0	0	0	180
16158	5	8	[4]	150	0	548	0	0	1706	180
16159	5	9	"[1,2,3]"	150	548	0	0	0	1706	180
16161	1	1	"[1,2,3,4]"	160	0	0	643	643	4012	190
16162	2	2	"[1,2,3,4]"	160	0	0	1930	643	2006	190
16163	3	3	"[1,2,3,4]"	160	0	0	643	1930	2006	190
16164	4	4	[1]	160	2600	0	0	0	0	190
16165	4	5	[2]	160	2600	0	0	0	0	190
16166	4	6	[3]	160	2600	0	0	0	0	190
16167	4	7	[4]	160	0	2600	0	0	0	190
16168	5	8	[4]	160	0	648	0	0	2006	190
16169	5	9	"[1,2,3]"	160	648	0	0	0	2006	190
16171	1	1	"[1,2,3,4]"	170	0	0	753	753	4672	200
16172	2	2	"[1,2,3,4]"	170	0	0	2260	753	2336	200
16173	3	3	"[1,2,3,4]"	170	0	0	753	2260	2336	200
16174	4	4	[1]	170	3040	0	0	0	0	200
16175	4	5	[2]	170	3040	0	0	0	0	200
16176	4	6	[3]	170	3040	0	0	0	0	200
16177	4	7	[4]	170	0	3040	0	0	0	200
16178	5	8	[4]	170	0	758	0	0	2336	200
16179	5	9	"[1,2,3]"	170	758	0	0	0	2336	200
16181	1	1	"[1,2,3,4]"	180	0	0	873	873	5392	210
16182	2	2	"[1,2,3,4]"	180	0	0	2620	873	2696	210
16183	3	3	"[1,2,3,4]"	180	0	0	873	2620	2696	210
16184	4	4	[1]	180	3520	0	0	0	0	210
16185	4	5	[2]	180	3520	0	0	0	0	210
16186	4	6	[3]	180	3520	0	0	0	0	210
16187	4	7	[4]	180	0	3520	0	0	0	210
16188	5	8	[4]	180	0	878	0	0	2696	210
16189	5	9	"[1,2,3]"	180	878	0	0	0	2696	210
16191	1	1	"[1,2,3,4]"	190	0	0	1003	1003	6172	220
16192	2	2	"[1,2,3,4]"	190	0	0	3010	1003	3086	220
16193	3	3	"[1,2,3,4]"	190	0	0	1003	3010	3086	220
16194	4	4	[1]	190	4040	0	0	0	0	220
16195	4	5	[2]	190	4040	0	0	0	0	220
16196	4	6	[3]	190	4040	0	0	0	0	220
16197	4	7	[4]	190	0	4040	0	0	0	220
16198	5	8	[4]	190	0	1008	0	0	3086	220
16199	5	9	"[1,2,3]"	190	1008	0	0	0	3086	220
16201	1	1	"[1,2,3,4]"	200	0	0	1143	1143	7012	230
16202	2	2	"[1,2,3,4]"	200	0	0	3430	1143	3506	230
16203	3	3	"[1,2,3,4]"	200	0	0	1143	3430	3506	230
16204	4	4	[1]	200	4600	0	0	0	0	230
16205	4	5	[2]	200	4600	0	0	0	0	230
16206	4	6	[3]	200	4600	0	0	0	0	230
16207	4	7	[4]	200	0	4600	0	0	0	230
16208	5	8	[4]	200	0	1148	0	0	3506	230
16209	5	9	"[1,2,3]"	200	1148	0	0	0	3506	230
