number	string	string	string	number	number	number	number	number	number	number	array2	array2	number	number	array	number	array2	array	array2	array	number	string	array	array2
1021	港口1	resource/scene/bf006/bf006_merge.sce		1002	122	333	11	1020	0	0	"[[11021,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	11	"[4045,4050]"	0	"[[4045,-50,2]]"	[]	"[[4050,4,1],[4050,4.1,2],[4050,4.2,3],[4050,4.5,1],[4050,4.6,2],[4050,4.7,3],[4050,5,1],[4050,5.1,2],[4050,5.2,3]]"	[]	555	雅典	"[78,165]"	"[[133,254],[169,268]]"
1022	港口2	resource/scene/bf006/bf006_merge.sce		1002	124	336	11	1021	0	0	"[[11023,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	11	"[4045,4050]"	0	"[[4050,-110,1],[4045,-20,1],[4045,40,1],[4050,70,3],[4045,160,3],[4045,220,3]]"	[]	"[[4050,10,3],[4045,10.3,3],[4045,10.6,3],[4050,12,1],[4045,12.3,1],[4045,12.6,1],[4050,14,2],[4045,14.3,2],[4045,14.6,2]]"	[]	555	雅典	"[192,210]"	"[[253,293],[296,303]]"
1023	港口3	resource/scene/bf006/bf006_merge.sce		1002	126	339	12	1022	0	0	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	12	"[4040,4045,4050]"	0	"[[4050,0,3],[4050,0,1],[4040,100,1],[4040,130,3],[4040,180,2],[4040,240,3],[4040,290,1]]"	[]	"[[4040,15,3],[4040,16,1],[4045,17,2],[4040,18,3],[4040,19,1]]"	[]	563	雅典	"[321,235]"	"[[385,303],[423,287]]"
1024	港口4	resource/scene/bf006/bf006_merge.sce		1002	128	342	12	1023	0	0	"[[11022,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	12	"[4040,4045,4050]"	0	[]	[]	"[[4040,0.1,3],[4040,0.5,1],[4050,3,1],[4050,3.1,2],[4050,3.2,3],[4045,8,2],[4040,9,3],[4045,10,3],[4045,11,1],[4040,12,1],[4045,13,1],[4045,14,3]]"	[]	563	雅典	"[435,189]"	"[[484,229],[508,200]]"
1025	港口5	resource/scene/bf006/bf006_merge.sce		1002	130	345	13	1024	0	1	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	13	"[4040,4050]"	4038	"[[4050,-100,3],[4050,50,1],[4050,250,2]]"	[]	"[[4040,7.5,3],[4040,8,1],[4040,8.5,2],[4040,9,3],[4040,10,1],[4040,11,2]]"	"[4038,5]"	569	雅典	"[515,98]"	"[[561,143],[599,136]]"
1026	港口6	resource/scene/bf006/bf006_merge.sce		1002	132	348	13	1025	0	0	"[[11021,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	13	"[4040,4045]"	0	"[[4045,-50,2],[4045,10,3],[4045,10,1],[4045,70,2],[4045,190,2],[4045,310,2]]"	[]	"[[4045,3.2,2],[4045,4.1,2],[4045,5,2],[4045,5.9,2],[4045,6.8,2],[4045,7.7,2],[4040,20,2]]"	[]	569	雅典	"[601,102]"	"[[630,214],[637,259]]"
1027	港口7	resource/scene/bf006/bf006_merge.sce		1002	134	351	14	1026	0	0	"[[11023,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	14	[4040]	0	"[[4040,-350,2],[4040,-300,3],[4040,-250,1],[4040,-200,2],[4040,-140,1],[4040,-70,3],[4040,10,1],[4040,100,2],[4040,200,3],[4040,310,1]]"	[]	[]	[]	577	雅典	"[623,234]"	"[[648,356],[655,413]]"
1028	港口8	resource/scene/bf006/bf006_merge.sce		1002	136	354	14	1027	0	0	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	14	"[4032,4040,4045]"	0	"[[4032,-50,2],[4045,50,3],[4045,50,1],[4045,120,3],[4045,120,1]]"	[]	"[[4045,5,2],[4040,5.3,3],[4040,5.3,1],[4045,10,3],[4045,10,1],[4040,10.3,2]]"	[]	577	雅典	"[644,390]"	"[[677,502],[723,514]]"
1029	港口9	resource/scene/bf006/bf006_merge.sce		1002	138	357	15	1028	0	0	"[[11022,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	15	"[4034,4040,4045,4050]"	0	"[[4034,0,2],[4034,100,3],[4034,100,1]]"	[]	"[[4050,2,3],[4050,2,2],[4050,2,1],[4045,8,2],[4040,9,3],[4040,10,1],[4040,15,3],[4040,15,2],[4040,15,1],[4040,20,3],[4040,20,1]]"	[]	777	雅典	"[742,418]"	"[[793,462],[824,433]]"
1030	港口10	resource/scene/bf006/bf006_merge.sce		1002	140	360	15	1029	0	1	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	15	"[4045,4050]"	4001	"[[4050,0,3],[4050,5,2],[4050,10,1]]"	[]	"[[4050,8,3],[4050,8,2],[4050,8,1],[4045,15,3],[4045,15,2],[4045,15,1]]"	"[4001,5]"	777	雅典	"[835,329]"	[]
1031	港口11	resource/scene/bf001/bf001_merge.sce		1002	142	364	16	1030	0	0	"[[11021,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	16	"[4032,4034]"	0	"[[4032,-50,3],[4032,70,2],[4034,250,3],[4034,250,1]]"	[]	"[[4032,5,1],[4032,7,3],[4032,9,2],[4032,11,1],[4034,11.3,2],[4032,13,3],[4032,13.3,1]]"	[]	793	雅典	"[60,342]"	"[[97,374],[115,334]]"
1032	港口12	resource/scene/bf001/bf001_merge.sce		1002	144	368	16	1031	0	0	"[[11023,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	16	"[4032,4034]"	0	"[[4032,-70,1],[4032,-60,2],[4032,-50,3],[4034,150,1],[4034,160,2],[4034,170,3],[4032,350,1],[4032,360,2],[4032,370,3]]"	[]	[]	[]	793	雅典	"[117,220]"	"[[154,252],[176,216]]"
1033	港口13	resource/scene/bf001/bf001_merge.sce		1002	146	372	17	1032	0	0	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	17	"[4032,4033]"	0	"[[4033,150,2]]"	[]	"[[4032,3,3],[4032,3,1],[4032,3.4,3],[4032,3.4,1],[4032,3.8,3],[4032,3.8,1],[4032,4.2,3],[4032,4.2,1]]"	[]	804	雅典	"[180,110]"	"[[225,150],[254,128]]"
1034	港口14	resource/scene/bf001/bf001_merge.sce		1002	148	376	17	1033	0	0	"[[11022,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	17	"[4034,4035]"	0	"[[4035,200,3],[4035,200,1]]"	[]	"[[4034,3,3],[4034,3,2],[4034,3,1],[4034,3.4,3],[4034,3.4,2],[4034,3.4,1]]"	[]	804	雅典	"[278,65]"	"[[320,168],[342,204]]"
1035	港口15	resource/scene/bf001/bf001_merge.sce		1002	150	380	18	1034	0	1	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	18	"[4032,4034]"	3017	"[[4032,-50,1],[4032,0,2],[4034,110,3],[4034,110,1]]"	[]	"[[4032,12,3],[4032,14,1],[4034,16,2],[4032,20,3],[4032,22,1]]"	"[3017,10]"	812	雅典	"[347,166]"	"[[389,278],[416,307]]"
1036	港口16	resource/scene/bf001/bf001_merge.sce		1002	152	384	18	1035	0	0	"[[11021,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	18	"[4033,4035]"	0	"[[4033,-80,3],[4033,20,1],[4035,120,3],[4033,220,1],[4035,320,3]]"	[]	"[[4035,13,3],[4035,13.5,3],[4033,20,2],[4033,20.5,2],[4035,25,1],[4035,25.5,1]]"	[]	812	雅典	"[444,240]"	"[[502,292],[535,266]]"
1037	港口17	resource/scene/bf001/bf001_merge.sce		1002	154	388	19	1036	0	0	"[[11023,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	19	"[4033,4035]"	0	[]	[]	"[[4033,0.1,2],[4033,1.4,3],[4033,2.4,1],[4035,5,2],[4035,5.4,3],[4035,5.4,1],[4033,12,2],[4035,12.4,3],[4035,12.4,1],[4033,15,2],[4035,18.4,3]]"	[]	833	雅典	"[549,165]"	"[[605,214],[646,201]]"
1038	港口18	resource/scene/bf001/bf001_merge.sce		1002	156	392	19	1037	0	0	"[[11022,5000,3],[11024,5000,3],[11026,5000,3]]"	[]	0	19	"[4035,4051]"	0	"[[4035,-250,2],[4035,-150,3],[4035,-50,1],[4035,50,2],[4035,150,3],[4035,250,1]]"	[]	"[[4051,7,2],[4051,8,3],[4051,8,1],[4051,12,2],[4051,13,3],[4051,13,1]]"	[]	833	雅典	"[665,152]"	"[[707,260],[727,297]]"
1039	港口19	resource/scene/bf001/bf001_merge.sce		1002	158	396	20	1038	0	0	"[[11022,5000,3],[11025,5000,3],[11026,5000,3]]"	[]	0	20	"[4033,4035,4046]"	0	"[[4033,-150,2],[4046,-20,3],[4046,90,1],[4035,230,3],[4035,230,1],[4035,330,2]]"	[]	"[[4033,10,2],[4046,12,3],[4033,14,1],[4035,16,3],[4046,18,2],[4033,20,1],[4035,22,3],[4046,24,2]]"	[]	939	雅典	"[725,263]"	"[[763,379],[779,422]]"
1040	港口20	resource/scene/bf001/bf001_merge.sce		1002	160	400	20	1039	0	1	"[[11031,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	20	"[4033,4035]"	4036	"[[4033,-150,2],[4033,-80,1],[4033,60,3],[4033,100,1],[4035,300,3],[4035,300,1]]"	"[4036,200,2]"	[]	[]	939	雅典	"[777,389]"	[]
1041	特洛伊平原1	resource/scene/bf002/bf002_merge.sce		1002	163	405	21	1040	0	0	"[[11033,5000,3],[11035,5000,3],[11036,5000,3]]"	[]	0	21	"[4041,4046,4051]"	0	"[[4046,-50,2],[4046,20,3],[4046,20,1],[4046,90,2],[4051,250,3],[4051,250,1]]"	[]	"[[4051,13,2],[4046,13.3,1],[4046,13.3,3],[4051,13.6,2],[4041,23,3],[4041,23,2],[4041,23,1]]"	[]	1778	雅典	"[69,84]"	"[[122,172],[150,195]]"
1042	特洛伊平原2	resource/scene/bf002/bf002_merge.sce		1002	166	410	21	1041	0	0	"[[11032,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	21	"[4041,4046,4051]"	0	"[[4051,0,3],[4051,0,2],[4051,0,1],[4041,150,3],[4041,150,2],[4041,150,1],[4041,210,3],[4041,210,2],[4041,210,1]]"	[]	"[[4046,20,3]]"	[]	1778	雅典	"[157,153]"	"[[184,265],[195,303]]"
1043	特洛伊平原3	resource/scene/bf002/bf002_merge.sce		1002	169	415	22	1042	0	0	"[[11032,5000,3],[11035,5000,3],[11036,5000,3]]"	[]	0	22	"[4041,4046,4047]"	0	"[[4046,-30,2],[4047,40,3],[4047,110,1],[4046,180,3],[4046,250,1],[4047,320,2]]"	[]	"[[4041,7,3],[4041,7,2],[4041,7,1],[4047,14,2],[4046,16,3],[4046,18,1]]"	[]	2009	雅典	"[190,266]"	"[[220,374],[237,410]]"
1044	特洛伊平原4	resource/scene/bf002/bf002_merge.sce		1002	172	420	22	1043	0	0	"[[11032,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	22	"[4041,4046,4051]"	0	"[[4051,-50,3],[4051,-50,2],[4051,-50,1],[4046,20,3],[4046,20,2],[4046,20,1],[4041,90,3],[4041,90,2],[4041,90,1]]"	[]	[]	[]	2009	雅典	"[238,371]"	"[[278,476],[310,499]]"
1045	特洛伊平原5	resource/scene/bf002/bf002_merge.sce		1002	175	425	23	1044	0	1	"[[11031,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	23	"[4041,4051]"	4055	"[[4041,0,2],[4041,50,3],[4041,180,3],[4041,180,1]]"	[]	"[[4051,11,3],[4051,11,1],[4051,13,3],[4051,13,1]]"	"[4055,12]"	2240	雅典	"[333,421]"	"[[387,472],[415,445]]"
1046	特洛伊平原6	resource/scene/bf002/bf002_merge.sce		1002	178	430	23	1045	0	0	"[[11033,5000,3],[11035,5000,3],[11036,5000,3]]"	[]	0	23	"[4042,4047,4052]"	0	"[[4052,180,3],[4052,180,2],[4052,180,1]]"	[]	"[[4052,10,3],[4052,10,2],[4052,10,1],[4047,10.5,3],[4047,10.5,2],[4047,10.5,1],[4042,10.8,3],[4042,10.8,2],[4042,10.8,1]]"	[]	2240	雅典	"[425,342]"	"[[470,385],[494,355]]"
1047	特洛伊平原7	resource/scene/bf002/bf002_merge.sce		1002	181	435	24	1046	0	0	"[[11032,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	24	"[4042,4047,4052]"	0	[]	[]	"[[4052,1,3],[4047,2,1],[4042,3,2],[4052,5,1],[4047,7,3],[4042,9,2],[4052,12,3],[4047,15,2],[4042,18,1],[4052,21,2],[4047,24,1],[4047,24,3],[4042,27,3],[4042,27,1]]"	[]	2470	雅典	"[501,252]"	"[[545,297],[574,270]]"
1048	特洛伊平原8	resource/scene/bf002/bf002_merge.sce		1002	184	440	24	1047	0	0	"[[11032,5000,3],[11035,5000,3],[11036,5000,3]]"	[]	0	24	"[4042,4047,4052]"	0	"[[4073,200,2],[4042,140,3],[4042,140,1],[4042,250,3],[4042,250,1]]"	[]	"[[4047,11,3],[4047,11,2],[4047,11,1],[4042,15,3],[4042,15,2],[4042,15,1]]"	[]	2470	雅典	"[587,172]"	"[[644,234],[685,235]]"
1049	特洛伊平原9	resource/scene/bf002/bf002_merge.sce		1002	187	445	25	1048	0	0	"[[11032,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	25	"[4042,4047,4052,4071]"	0	"[[4052,-30,2],[4052,50,3],[4052,50,1],[4071,150,2],[4042,240,3],[4042,240,1]]"	[]	"[[4047,12,3],[4047,14,2],[4047,16,1],[4047,18,2],[4047,20,3]]"	[]	2739	雅典	"[710,172]"	"[[767,262],[805,281]]"
1050	特洛伊平原10	resource/scene/bf002/bf002_merge.sce		1002	190	450	25	1049	0	1	"[[11031,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	25	"[4042,4047]"	4039	"[[4047,-30,2],[4047,10,3],[4047,10,1],[4047,90,2],[4047,130,3],[4047,130,1]]"	[]	"[[4042,10,3],[4042,11,1],[4042,14,2],[4042,16,1],[4042,18,3]]"	"[4039,12]"	2739	雅典	"[825,226]"	[]
1051	特洛伊平原11	resource/scene/bf002/bf002_merge.sce		1002	193	456	26	1050	0	0	"[[11033,5000,3],[11035,5000,3],[11036,5000,3]]"	[]	0	26	"[4071,4073]"	0	"[[4073,150,3],[4073,150,2],[4073,150,1],[4073,230,3],[4073,230,2],[4073,230,1]]"	[]	"[[4071,6,1],[4071,11,2],[4071,16,3],[4071,21,3]]"	[]	2953	雅典	"[108,162]"	"[[169,219],[209,202]]"
1052	特洛伊平原12	resource/scene/bf002/bf002_merge.sce		1002	196	462	26	1051	0	0	"[[11032,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	26	"[4071,4073]"	0	"[[4071,-50,2],[4073,30,3],[4071,80,1],[4071,180,3],[4073,250,2]]"	[]	"[[4071,8,3],[4073,8.4,2],[4071,11,1],[4073,11.4,3],[4071,14,1],[4071,16,2]]"	[]	2953	雅典	"[232,113]"	"[[290,171],[329,157]]"
1053	特洛伊平原13	resource/scene/bf002/bf002_merge.sce		1002	199	468	27	1052	0	0	"[[11032,5000,3],[11035,5000,3],[11036,5000,3]]"	[]	0	27	"[4048,4071,4073]"	0	"[[4048,-130,2],[4071,-50,3],[4071,0,3],[4071,50,3],[4071,130,1],[4071,180,1],[4071,230,1]]"	[]	"[[4073,16,3],[4073,16,2],[4073,16,1],[4073,19,3],[4073,19,2],[4073,19,1]]"	[]	3183	雅典	"[354,70]"	"[[415,132],[461,126]]"
1054	特洛伊平原14	resource/scene/bf002/bf002_merge.sce		1002	202	474	27	1053	0	0	"[[11032,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	27	[4073]	0	[]	[]	"[[4073,0.5,3],[4073,0.7,2],[4073,0.9,1],[4073,1.5,3],[4073,1.7,2],[4073,1.9,1],[4073,2.5,3],[4073,2.7,2],[4073,2.9,1]]"	[]	3183	雅典	"[488,64]"	"[[510,178],[495,216]]"
1055	特洛伊平原15	resource/scene/bf002/bf002_merge.sce		1002	205	480	28	1054	0	1	"[[11031,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	28	"[4071,4073]"	4019	"[[4073,-100,3],[4073,-100,2],[4073,-100,1],[4073,10,3],[4073,10,2],[4073,10,1],[4071,170,1],[4071,170,2],[4071,170,3]]"	"[4019,80,2]"	[]	[]	3400	雅典	"[458,184]"	"[[457,294],[239,330]]"
1056	特洛伊平原16	resource/scene/bf002/bf002_merge.sce		1002	208	486	28	1055	0	0	"[[11033,5000,3],[11035,5000,3],[11036,5000,3]]"	[]	0	28	"[4043,4048,4052]"	0	"[[4052,-20,2],[4052,20,3],[4052,20,1],[4043,110,2],[4043,170,3],[4043,170,1],[4043,230,3],[4043,230,1]]"	[]	"[[4048,18,3],[4048,18.2,3],[4048,18.4,3]]"	[]	3400	雅典	"[403,299]"	"[[405,413],[411,452]]"
1057	特洛伊平原17	resource/scene/bf002/bf002_merge.sce		1002	211	492	29	1056	0	0	"[[11032,5000,3],[11034,5000,3],[11036,5000,3]]"	[]	0	29	"[4043,4048,4052]"	0	"[[4048,-100,2],[4048,20,3],[4048,20,1],[4052,90,2],[4052,120,3],[4052,120,1],[4043,250,2],[4043,280,3],[4043,280,1],[4043,350,2],[4043,380,3],[4043,380,1]]"	[]	[]	[]	3632	雅典	"[434,395]"	"[[497,459],[538,447]]"
1058	特洛伊平原18	resource/scene/bf002/bf002_merge.sce		1002	214	498	29	1057	0	0	"[[11032,5000,3],[11035,5000,3],[11036,5000,3]]"	[]	0	29	"[4043,4048,4072]"	0	"[[4048,-90,2],[4048,-20,3],[4048,-20,1],[4072,60,2],[4048,140,3],[4048,140,1],[4043,250,3],[4043,250,2],[4043,250,1]]"	[]	"[[4043,12,3],[4043,12,2],[4043,12,1]]"	[]	3632	雅典	"[566,357]"	"[[626,416],[668,399]]"
