number	string	number	number	number	number	number	number	number	number	number	number
16063	米诺陶之靴	50	16053	11062	20	11064	20	11066	20	12063	1
16064	米诺陶之枪	50	16054	11061	20	11064	20	11066	20	12064	1
16065	米诺陶之剑	50	16055	11061	20	11064	20	11066	20	12065	1
16066	米诺陶之弓	50	16056	11061	20	11064	20	11066	20	12066	1
16067	米诺陶之杖	50	16057	11061	20	11064	20	11066	20	12067	1
16068	米诺陶之眼	50	16058	11063	20	11065	20	11066	20	12068	1
16069	米诺陶之心	50	16059	11063	20	11065	20	11066	20	12069	1
16071	海格力斯之盔	60	16061	11072	25	11074	25	11076	25	12071	1
16072	海格力斯之甲	60	16062	11072	25	11075	25	11076	25	12072	1
16073	海格力斯之靴	60	16063	11072	25	11074	25	11076	25	12073	1
16074	海格力斯之枪	60	16064	11071	25	11074	25	11076	25	12074	1
16075	海格力斯之剑	60	16065	11071	25	11074	25	11076	25	12075	1
16076	海格力斯之弓	60	16066	11071	25	11074	25	11076	25	12076	1
16077	海格力斯之杖	60	16067	11071	25	11074	25	11076	25	12077	1
16078	海格力斯之眼	60	16068	11073	25	11075	25	11076	25	12078	1
16079	海格力斯之心	60	16069	11073	25	11075	25	11076	25	12079	1
16081	阿喀琉斯之盔	70	16071	11082	25	11084	25	11086	25	12081	1
16082	阿喀琉斯之甲	70	16072	11082	25	11085	25	11086	25	12082	1
16083	阿喀琉斯之靴	70	16073	11082	25	11084	25	11086	25	12083	1
16084	阿喀琉斯之枪	70	16074	11081	25	11084	25	11086	25	12084	1
16085	阿喀琉斯之剑	70	16075	11081	25	11084	25	11086	25	12085	1
16086	阿喀琉斯之弓	70	16076	11081	25	11084	25	11086	25	12086	1
16087	阿喀琉斯之杖	70	16077	11081	25	11084	25	11086	25	12087	1
16088	阿喀琉斯之眼	70	16078	11083	25	11085	25	11086	25	12088	1
16089	阿喀琉斯之心	70	16079	11083	25	11085	25	11086	25	12089	1
16091	瓦尔基里之盔	80	16081	11092	25	11094	25	11096	25	12091	1
16092	瓦尔基里之甲	80	16082	11092	25	11095	25	11096	25	12092	1
16093	瓦尔基里之靴	80	16083	11092	25	11094	25	11096	25	12093	1
16094	瓦尔基里之枪	80	16084	11091	25	11094	25	11096	25	12094	1
16095	瓦尔基里之剑	80	16085	11091	25	11094	25	11096	25	12095	1
16096	瓦尔基里之弓	80	16086	11091	25	11094	25	11096	25	12096	1
16097	瓦尔基里之杖	80	16087	11091	25	11094	25	11096	25	12097	1
16098	瓦尔基里之眼	80	16088	11093	25	11095	25	11096	25	12098	1
16099	瓦尔基里之心	80	16089	11093	25	11095	25	11096	25	12099	1
16101	芬里尔之盔	90	16091	11102	25	11104	25	11106	25	12101	1
16102	芬里尔之甲	90	16092	11102	25	11105	25	11106	25	12102	1
16103	芬里尔之靴	90	16093	11102	25	11104	25	11106	25	12103	1
16104	芬里尔之枪	90	16094	11101	25	11104	25	11106	25	12104	1
16105	芬里尔之剑	90	16095	11101	25	11104	25	11106	25	12105	1
16106	芬里尔之弓	90	16096	11101	25	11104	25	11106	25	12106	1
16107	芬里尔之杖	90	16097	11101	25	11104	25	11106	25	12107	1
16108	芬里尔之眼	90	16098	11103	25	11105	25	11106	25	12108	1
16109	芬里尔之心	90	16099	11103	25	11105	25	11106	25	12109	1
16111	阿特拉斯之盔	100	16101	11112	25	11114	25	11116	25	12111	1
16112	阿特拉斯之甲	100	16102	11112	25	11115	25	11116	25	12112	1
16113	阿特拉斯之靴	100	16103	11112	25	11114	25	11116	25	12113	1
16114	阿特拉斯之枪	100	16104	11111	25	11114	25	11116	25	12114	1
16115	阿特拉斯之剑	100	16105	11111	25	11114	25	11116	25	12115	1
16116	阿特拉斯之弓	100	16106	11111	25	11114	25	11116	25	12116	1
16117	阿特拉斯之杖	100	16107	11111	25	11114	25	11116	25	12117	1
16118	阿特拉斯之眼	100	16108	11113	25	11115	25	11116	25	12118	1
16119	阿特拉斯之心	100	16109	11113	25	11115	25	11116	25	12119	1
16121	复仇女神之盔	110	16111	11122	25	11124	25	11126	25	12121	1
16122	复仇女神之甲	110	16112	11122	25	11125	25	11126	25	12122	1
16123	复仇女神之靴	110	16113	11122	25	11124	25	11126	25	12123	1
16124	复仇女神之枪	110	16114	11121	25	11124	25	11126	25	12124	1
16125	复仇女神之剑	110	16115	11121	25	11124	25	11126	25	12125	1
16126	复仇女神之弓	110	16116	11121	25	11124	25	11126	25	12126	1
16127	复仇女神之杖	110	16117	11121	25	11124	25	11126	25	12127	1
16128	复仇女神之眼	110	16118	11123	25	11125	25	11126	25	12128	1
16129	复仇女神之心	110	16119	11123	25	11125	25	11126	25	12129	1
16131	死神之盔	120	16121	11132	25	11134	25	11136	25	12131	1
16132	死神之甲	120	16122	11132	25	11135	25	11136	25	12132	1
16133	死神之靴	120	16123	11132	25	11134	25	11136	25	12133	1
16134	死神之枪	120	16124	11131	25	11134	25	11136	25	12134	1
16135	死神之剑	120	16125	11131	25	11134	25	11136	25	12135	1
16136	死神之弓	120	16126	11131	25	11134	25	11136	25	12136	1
16137	死神之杖	120	16127	11131	25	11134	25	11136	25	12137	1
16138	死神之眼	120	16128	11133	25	11135	25	11136	25	12138	1
16139	死神之心	120	16129	11133	25	11135	25	11136	25	12139	1
16141	波塞冬之盔	130	16131	11142	25	11144	25	11146	25	12141	1
16142	波塞冬之甲	130	16132	11142	25	11145	25	11146	25	12142	1
16143	波塞冬之靴	130	16133	11142	25	11144	25	11146	25	12143	1
16144	波塞冬之枪	130	16134	11141	25	11144	25	11146	25	12144	1
16145	波塞冬之剑	130	16135	11141	25	11144	25	11146	25	12145	1
16146	波塞冬之弓	130	16136	11141	25	11144	25	11146	25	12146	1
16147	波塞冬之杖	130	16137	11141	25	11144	25	11146	25	12147	1
16148	波塞冬之眼	130	16138	11143	25	11145	25	11146	25	12148	1
16149	波塞冬之心	130	16139	11143	25	11145	25	11146	25	12149	1
16151	哈迪斯之盔	140	16141	11152	25	11154	25	11156	25	12151	1
16152	哈迪斯之甲	140	16142	11152	25	11155	25	11156	25	12152	1
16153	哈迪斯之靴	140	16143	11152	25	11154	25	11156	25	12153	1
16154	哈迪斯之枪	140	16144	11151	25	11154	25	11156	25	12154	1
16155	哈迪斯之剑	140	16145	11151	25	11154	25	11156	25	12155	1
16156	哈迪斯之弓	140	16146	11151	25	11154	25	11156	25	12156	1
16157	哈迪斯之杖	140	16147	11151	25	11154	25	11156	25	12157	1
16158	哈迪斯之眼	140	16148	11153	25	11155	25	11156	25	12158	1
16159	哈迪斯之心	140	16149	11153	25	11155	25	11156	25	12159	1
16161	宙斯之盔	150	16151	11162	25	11164	25	11166	25	12161	1
16162	宙斯之甲	150	16152	11162	25	11165	25	11166	25	12162	1
16163	宙斯之靴	150	16153	11162	25	11164	25	11166	25	12163	1
16164	宙斯之枪	150	16154	11161	25	11164	25	11166	25	12164	1
16165	宙斯之剑	150	16155	11161	25	11164	25	11166	25	12165	1
16166	宙斯之弓	150	16156	11161	25	11164	25	11166	25	12166	1
16167	宙斯之杖	150	16157	11161	25	11164	25	11166	25	12167	1
16168	宙斯之眼	150	16158	11163	25	11165	25	11166	25	12168	1
16169	宙斯之心	150	16159	11163	25	11165	25	11166	25	12169	1
16171	奥丁之盔	160	16161	11172	25	11174	25	11176	25	12171	1
16172	奥丁之甲	160	16162	11172	25	11175	25	11176	25	12172	1
16173	奥丁之靴	160	16163	11172	25	11174	25	11176	25	12173	1
16174	奥丁之枪	160	16164	11171	25	11174	25	11176	25	12174	1
16175	奥丁之剑	160	16165	11171	25	11174	25	11176	25	12175	1
16176	奥丁之弓	160	16166	11171	25	11174	25	11176	25	12176	1
16177	奥丁之杖	160	16167	11171	25	11174	25	11176	25	12177	1
16178	奥丁之眼	160	16168	11173	25	11175	25	11176	25	12178	1
16179	奥丁之心	160	16169	11173	25	11175	25	11176	25	12179	1
16181	盖亚之盔	170	16171	11182	25	11184	25	11186	25	12181	1
16182	盖亚之甲	170	16172	11182	25	11185	25	11186	25	12182	1
16183	盖亚之靴	170	16173	11182	25	11184	25	11186	25	12183	1
16184	盖亚之枪	170	16174	11181	25	11184	25	11186	25	12184	1
16185	盖亚之剑	170	16175	11181	25	11184	25	11186	25	12185	1
16186	盖亚之弓	170	16176	11181	25	11184	25	11186	25	12186	1
16187	盖亚之杖	170	16177	11181	25	11184	25	11186	25	12187	1
16188	盖亚之眼	170	16178	11183	25	11185	25	11186	25	12188	1
16189	盖亚之心	170	16179	11183	25	11185	25	11186	25	12189	1
16191	克洛诺斯之盔	180	16181	11192	25	11194	25	11196	25	12191	1
16192	克洛诺斯之甲	180	16182	11192	25	11195	25	11196	25	12192	1
16193	克洛诺斯之靴	180	16183	11192	25	11194	25	11196	25	12193	1
16194	克洛诺斯之枪	180	16184	11191	25	11194	25	11196	25	12194	1
16195	克洛诺斯之剑	180	16185	11191	25	11194	25	11196	25	12195	1
16196	克洛诺斯之弓	180	16186	11191	25	11194	25	11196	25	12196	1
16197	克洛诺斯之杖	180	16187	11191	25	11194	25	11196	25	12197	1
16198	克洛诺斯之眼	180	16188	11193	25	11195	25	11196	25	12198	1
16199	克洛诺斯之心	180	16189	11193	25	11195	25	11196	25	12199	1
16201	诸神黄昏之盔	190	16191	11202	25	11204	25	11206	25	12201	1
16202	诸神黄昏之甲	190	16192	11202	25	11205	25	11206	25	12202	1
16203	诸神黄昏之靴	190	16193	11202	25	11204	25	11206	25	12203	1
16204	诸神黄昏之枪	190	16194	11201	25	11204	25	11206	25	12204	1
16205	诸神黄昏之剑	190	16195	11201	25	11204	25	11206	25	12205	1
16206	诸神黄昏之弓	190	16196	11201	25	11204	25	11206	25	12206	1
16207	诸神黄昏之杖	190	16197	11201	25	11204	25	11206	25	12207	1
16208	诸神黄昏之眼	190	16198	11203	25	11205	25	11206	25	12208	1
16209	诸神黄昏之心	190	16199	11203	25	11205	25	11206	25	12209	1
