number	string	string	number	number	number	number	number	string	string	string	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	array	number	number	number		
2014	瓦尔基里	女武神首领	1	4	0	2000	1	H014	H014_output	H014_normal_attack	hit_11	0.2	0.3	90	190	210	1.8	20	130	0	276	228	1280	50	300	300	111	200	200	[]	1	0	1126 		
2015	布伦希尔德	女武神	1	3	0	1000	1	H015	H015_output	H015_normal_attack	hit_11	0.2	0.5	90	190	210	1.8	20	107	0	220	184	1280	50	300	300	111	200	200	[]	1	0	1082 		
2016	诗寇蒂	女武神	4	3	0	1000	1	H016	H016_output	H016_normal_attack	hit_42	0.2	0.5	60	190	180	1.65	230	0	208	99	133	676	300	300	50	411	350	200	[]	1	1	1067 		
2017	斯露德	女武神	3	2	0	200	1	H017	H017_output	H017_normal_attack	hit_31	0.4	0.8	100	190	180	1.6	260	158	0	79	91	616	200	300	100	301	350	200	[]	1	1	956 		
2018	托尔	雷神	2	4	0	2000	2	H018	H018_output	H018_normal_attack	hit_11	0.4	0.2	100	210	220	1.45	40	231	0	114	79	960	100	300	200	221	350	200	[]	2	0	1020 		
2019	洛基	邪神	4	4	0	2000	2	H019	H019_output	H019_normal_attack	hit_43	0.2	0.2	100	200	150	1.65	240	0	260	99	155	832	300	300	50	421	350	200	[]	1	1	1111 		
2020	海姆达尔	圣域守护神	1	3	0	1000	2	H020	H020_output	H020_normal_attack	hit_11	0.2	0.2	80	230	150	1.8	20	104	0	229	187	676	50	300	300	101	200	200	[]	1	0	1060 		
2021	齐格弗里德	屠龙英雄	2	3	0	1000	2	H021	H021_output	H021_normal_attack	hit_11	0.2	0.3	100	200	200	1.45	40	177	0	115	85	780	100	300	200	201	350	200	[]	1	0	983 		
2038	阿伽门农	迈锡尼王	3	3	0	1000	2	H038	H038_output	H038_normal_attack	hit_31	0.4	0.5	100	210	150	1.6	270	188	0	90	115	728	200	300	100	301	350	200	[]	1	1	989 		
2039	帕里斯	特洛伊之子	3	2	0	200	2	H039	H039_output	H039_normal_attack	hit_31	0.5	0.6	120	200	180	1.6	260	161	0	77	87	616	200	300	100	301	350	200	[]	1	1	956 		
2044	赫克托尔	特洛伊之墙	1	2	0	200	2	H044	H044_output	H044_normal_attack	hit_11	0.4	0.2	90	220	180	1.8	20	91	0	190	150	880	50	300	300	101	200	200	[]	1	0	1037 		
2049	列奥尼达	斯巴达王	1	4	0	2000	2	H049	H049_output	H049_normal_attack	hit_11	0.4	0.3	90	220	200	1.8	20	128	0	282	230	1280	50	300	300	121	200	200	[]	2	0	1127 		
2054	伊阿宋	阿尔戈英雄	2	2	0	200	2	H054	H054_output	H054_normal_attack	hit_11	0.3	0.4	100	210	170	1.45	40	155	0	83	70	660	100	300	200	201	350	200	[]	1	0	951 		
2055	阿喀琉斯	第一勇士	2	2	0	200	2	H055	H055_output	H055_normal_attack	hit_11	0.3	0.2	100	210	200	1.45	40	152	0	88	71	660	100	300	200	221	350	200	[]	1	0	951 		
2058	泰兰德	精灵女王	2	3	0	1000	1	H058	H058_output	H058_normal_attack	hit_11	0.2	0.3	100	200	220	1.45	40	175	0	120	86	780	100	300	200	201	350	200	[]	1	0	983 		
2061	希尔瓦娜斯	逐风者	3	3	0	1000	1	H061	H061_output	H061_normal_attack	hit_31	0.5	0.5	100	200	170	1.6	270	187	0	94	114	728	200	300	100	301	350	200	[]	1	1	989 		
2064	凯兰崔尔	精灵大法师	4	2	0	200	1	H064	H064_output	H064_normal_attack	hit_42	0.3	0.4	90	200	110	1.65	220	0	178	78	106	572	300	300	50	411	350	200	[]	1	1	1030 		
2069	索林橡木盾	孤山复国者	1	2	0	200	2	H069	H069_output	H069_normal_attack	hit_11	0.2	0	90	170	100	1.8	20	88	0	194	158	880	50	300	300	101	200	200	[]	1	0	1039 		
2070	法夫纳	巨龙化身	4	2	0	200	1	H070	H070_output	H070_normal_attack	hit_42	0.3	0.2	80	170	110	1.65	220	0	176	84	112	572	300	300	50	411	350	200	[]	1	1	1033 		
2076	波塞冬	海皇	2	5	3	10000	1	H076	H076_output	H076_normal_attack	hit_11	0.2	0.2	100	215	180	1.45	50	269	0	184	133	1200	100	300	200	211	350	200	[]	1	0	1090 		
2077	哈迪斯	冥皇	1	5	3	10000	2	H077	H077_output	H077_normal_attack	hit_11	0.2	0.2	90	210	350	1.8	20	162	0	350	282	1600	50	300	300	121	200	200	[]	1	0	1196 		
2103	火热丘比特	小爱神	3	4	3	2000	1	H103	H103_output	H103_normal_attack	hit_31	0.3	0.2	60	170	200	1.6	280	233	0	105	139	896	200	300	100	301	350	200	[]	1	1	1034 		
5001	柏拉图	思维之枪	1	1	0	100	2	H053	H048_output	H053_normal_attack	hit_11	0.2	0	80	210	180	1.8	20	78	0	164	164	800	50	300	300	101	200	200	[]	1	0	1023 		
5002	阿卡纳尼亚	骑士	1	1	0	100	2	H053	H048_output	H053_normal_attack	hit_11	0.2	0	80	210	180	1.8	20	79	0	163	161	800	50	300	300	101	200	200	[]	1	0	1022 		
5003	埃阿斯	山地骑兵	1	1	0	100	2	H053	H048_output	H053_normal_attack	hit_11	0.2	0	80	210	180	1.8	20	80	0	160	160	800	50	300	300	101	200	200	[]	1	0	1021 		
5004	奥古斯都	游侠	2	1	0	100	2	H048	H048_output	H048_normal_attack	hit_11	0.2	0	100	210	200	1.45	40	130	0	106	66	600	100	300	200	201	350	200	[]	1	0	939 		
5005	耶卡斯	佣兵	2	1	0	100	2	H048	H048_output	H048_normal_attack	hit_11	0.2	0	100	210	200	1.45	40	134	0	91	69	600	100	300	200	201	350	200	[]	1	0	938 		
5006	洛迪金	断弦	3	1	0	100	2	H041	H041_output	H041_normal_attack	hit_31	0.2	0.2	80	240	180	1.6	250	148	0	62	86	560	200	300	100	301	350	200	[]	1	1	941 		
5007	安东尼奥	箭雨	3	1	0	100	2	H041	H041_output	H041_normal_attack	hit_31	0.2	0.2	80	240	180	1.6	250	146	0	70	82	560	200	300	100	301	350	200	[]	1	1	941 		
5008	伊瑞丝	英雄世家	2	1	0	100	1	H060	H060_output	H060_normal_attack	hit_11	0.2	0.2	100	190	190	1.45	40	140	0	79	62	600	100	300	200	201	350	200	[]	1	0	936 		
5009	尤娜	镇魂之刃	2	1	0	100	1	H060	H060_output	H060_normal_attack	hit_11	0.2	0.2	100	190	190	1.45	40	140	0	78	63	600	100	300	200	201	350	200	[]	1	0	936 		
5010	拉维妮雅	魅力之箭	3	1	0	100	1	H057	H057_output	H057_normal_attack	hit_31	0.2	0.2	80	190	160	1.6	250	143	0	76	88	560	200	300	100	301	350	200	[]	1	1	943 		
5011	卡特丽娜	风暴之箭	3	1	0	100	1	H057	H057_output	H057_normal_attack	hit_31	0.3	0.3	80	190	160	1.6	250	143	0	78	86	560	200	300	100	301	350	200	[]	1	1	943 		
5012	萝斯	玫瑰夫人	4	1	0	100	1	H063	H063_output	H063_normal_attack	hit_42	0.3	0.3	80	190	200	1.65	210	0	155	72	115	520	300	300	50	411	350	200	[]	1	1	1015 		
5013	达芙妮	月桂术士	4	1	0	100	1	H063	H063_output	H063_normal_attack	hit_42	0.3	0.3	80	190	200	1.65	210	0	156	71	114	520	300	300	50	411	350	200	[]	1	1	1015 		
5014	奥罗拉	曙光之女	4	1	0	100	1	H063	H063_output	H063_normal_attack	hit_42	0.3	0.3	80	190	200	1.65	210	0	158	69	112	520	300	300	50	411	350	200	[]	1	1	1015 		
