number	string	number	number	number	number	number	number	number	string	string
4081	战纹·矮人战斧	4	8	70	1	1600	12000	160		
4091	战纹·矮人战斧	4	9	70	1	1800	20000	160		
4101	战纹·矮人战斧	4	10	70	1	2000	0	160		
5011	战纹·提尔之力	5	1	70	1	400	200	320		
5021	战纹·提尔之力	5	2	70	1	800	500	320		
5031	战纹·提尔之力	5	3	70	1	1200	1000	320		
5041	战纹·提尔之力	5	4	70	1	1600	2000	320		
5051	战纹·提尔之力	5	5	70	1	2000	3000	320		
5061	战纹·提尔之力	5	6	70	1	2400	5000	320		
5071	战纹·提尔之力	5	7	70	1	2800	8000	320		
5081	战纹·提尔之力	5	8	70	1	3200	12000	320		
5091	战纹·提尔之力	5	9	70	1	3600	20000	320		
5101	战纹·提尔之力	5	10	70	1	4000	0	320		
1012	灵纹·塔尔	1	1	70	2	20	200	20		
1022	灵纹·塔尔	1	2	70	2	40	500	20		
1032	灵纹·塔尔	1	3	70	2	60	1000	20		
1042	灵纹·塔尔	1	4	70	2	80	2000	20		
1052	灵纹·塔尔	1	5	70	2	100	3000	20		
1062	灵纹·塔尔	1	6	70	2	120	5000	20		
1072	灵纹·塔尔	1	7	70	2	140	8000	20		
1082	灵纹·塔尔	1	8	70	2	160	12000	20		
1092	灵纹·塔尔	1	9	70	2	180	20000	20		
1102	灵纹·塔尔	1	10	70	2	200	0	20		
2012	灵纹·拉尔	2	1	70	2	50	200	40		
2022	灵纹·拉尔	2	2	70	2	100	500	40		
2032	灵纹·拉尔	2	3	70	2	150	1000	40		
2042	灵纹·拉尔	2	4	70	2	200	2000	40		
2052	灵纹·拉尔	2	5	70	2	250	3000	40		
2062	灵纹·拉尔	2	6	70	2	300	5000	40		
2072	灵纹·拉尔	2	7	70	2	350	8000	40		
2082	灵纹·拉尔	2	8	70	2	400	12000	40		
2092	灵纹·拉尔	2	9	70	2	450	20000	40		
2102	灵纹·拉尔	2	10	70	2	500	0	40		
3012	灵纹·欧特	3	1	70	2	100	200	80		
3022	灵纹·欧特	3	2	70	2	200	500	80		
3032	灵纹·欧特	3	3	70	2	300	1000	80		
3042	灵纹·欧特	3	4	70	2	400	2000	80		
3052	灵纹·欧特	3	5	70	2	500	3000	80		
3062	灵纹·欧特	3	6	70	2	600	5000	80		
3072	灵纹·欧特	3	7	70	2	700	8000	80		
3082	灵纹·欧特	3	8	70	2	800	12000	80		
3092	灵纹·欧特	3	9	70	2	900	20000	80		
3102	灵纹·欧特	3	10	70	2	1000	0	80		
4012	灵纹·秘法喷泉	4	1	70	2	200	200	160		
4022	灵纹·秘法喷泉	4	2	70	2	400	500	160		
4032	灵纹·秘法喷泉	4	3	70	2	600	1000	160		
4042	灵纹·秘法喷泉	4	4	70	2	800	2000	160		
4052	灵纹·秘法喷泉	4	5	70	2	1000	3000	160		
4062	灵纹·秘法喷泉	4	6	70	2	1200	5000	160		
4072	灵纹·秘法喷泉	4	7	70	2	1400	8000	160		
4082	灵纹·秘法喷泉	4	8	70	2	1600	12000	160		
4092	灵纹·秘法喷泉	4	9	70	2	1800	20000	160		
4102	灵纹·秘法喷泉	4	10	70	2	2000	0	160		
5012	灵纹·芙蕾之灵	5	1	70	2	400	200	320		
5022	灵纹·芙蕾之灵	5	2	70	2	800	500	320		
5032	灵纹·芙蕾之灵	5	3	70	2	1200	1000	320		
5042	灵纹·芙蕾之灵	5	4	70	2	1600	2000	320		
5052	灵纹·芙蕾之灵	5	5	70	2	2000	3000	320		
5062	灵纹·芙蕾之灵	5	6	70	2	2400	5000	320		
5072	灵纹·芙蕾之灵	5	7	70	2	2800	8000	320		
5082	灵纹·芙蕾之灵	5	8	70	2	3200	12000	320		
5092	灵纹·芙蕾之灵	5	9	70	2	3600	20000	320		
5102	灵纹·芙蕾之灵	5	10	70	2	4000	0	320		
1013	盾纹·索尔	1	1	70	3	20	200	20		
1023	盾纹·索尔	1	2	70	3	40	500	20		
1033	盾纹·索尔	1	3	70	3	60	1000	20		
1043	盾纹·索尔	1	4	70	3	80	2000	20		
1053	盾纹·索尔	1	5	70	3	100	3000	20		
1063	盾纹·索尔	1	6	70	3	120	5000	20		
1073	盾纹·索尔	1	7	70	3	140	8000	20		
1083	盾纹·索尔	1	8	70	3	160	12000	20		
1093	盾纹·索尔	1	9	70	3	180	20000	20		
1103	盾纹·索尔	1	10	70	3	200	0	20		
2013	盾纹·查姆	2	1	70	3	50	200	40		
2023	盾纹·查姆	2	2	70	3	100	500	40		
2033	盾纹·查姆	2	3	70	3	150	1000	40		
2043	盾纹·查姆	2	4	70	3	200	2000	40		
2053	盾纹·查姆	2	5	70	3	250	3000	40		
2063	盾纹·查姆	2	6	70	3	300	5000	40		
2073	盾纹·查姆	2	7	70	3	350	8000	40		
2083	盾纹·查姆	2	8	70	3	400	12000	40		
2093	盾纹·查姆	2	9	70	3	450	20000	40		
2103	盾纹·查姆	2	10	70	3	500	0	40		
3013	盾纹·萨德	3	1	70	3	100	200	80		
3023	盾纹·萨德	3	2	70	3	200	500	80		
3033	盾纹·萨德	3	3	70	3	300	1000	80		
3043	盾纹·萨德	3	4	70	3	400	2000	80		
3053	盾纹·萨德	3	5	70	3	500	3000	80		
3063	盾纹·萨德	3	6	70	3	600	5000	80		
3073	盾纹·萨德	3	7	70	3	700	8000	80		
3083	盾纹·萨德	3	8	70	3	800	12000	80		
3093	盾纹·萨德	3	9	70	3	900	20000	80		
3103	盾纹·萨德	3	10	70	3	1000	0	80		
4013	盾纹·树人皮肤	4	1	70	3	200	200	160		
4023	盾纹·树人皮肤	4	2	70	3	400	500	160		
4033	盾纹·树人皮肤	4	3	70	3	600	1000	160		
4043	盾纹·树人皮肤	4	4	70	3	800	2000	160		
4053	盾纹·树人皮肤	4	5	70	3	1000	3000	160		
4063	盾纹·树人皮肤	4	6	70	3	1200	5000	160		
4073	盾纹·树人皮肤	4	7	70	3	1400	8000	160		
4083	盾纹·树人皮肤	4	8	70	3	1600	12000	160		
4093	盾纹·树人皮肤	4	9	70	3	1800	20000	160		
4103	盾纹·树人皮肤	4	10	70	3	2000	0	160		
5013	盾纹·海姆之护	5	1	70	3	400	200	320		
5023	盾纹·海姆之护	5	2	70	3	800	500	320		
5033	盾纹·海姆之护	5	3	70	3	1200	1000	320		
5043	盾纹·海姆之护	5	4	70	3	1600	2000	320		
5053	盾纹·海姆之护	5	5	70	3	2000	3000	320		
5063	盾纹·海姆之护	5	6	70	3	2400	5000	320		
5073	盾纹·海姆之护	5	7	70	3	2800	8000	320		
5083	盾纹·海姆之护	5	8	70	3	3200	12000	320		
5093	盾纹·海姆之护	5	9	70	3	3600	20000	320		
5103	盾纹·海姆之护	5	10	70	3	4000	0	320		
1014	界纹·特尔	1	1	70	4	20	200	20		
1024	界纹·特尔	1	2	70	4	40	500	20		
1034	界纹·特尔	1	3	70	4	60	1000	20		
1044	界纹·特尔	1	4	70	4	80	2000	20		
1054	界纹·特尔	1	5	70	4	100	3000	20		
1064	界纹·特尔	1	6	70	4	120	5000	20		
1074	界纹·特尔	1	7	70	4	140	8000	20		
1084	界纹·特尔	1	8	70	4	160	12000	20		
1094	界纹·特尔	1	9	70	4	180	20000	20		
1104	界纹·特尔	1	10	70	4	200	0	20		
2014	界纹·马尔	2	1	70	4	50	200	40		
2024	界纹·马尔	2	2	70	4	100	500	40		
2034	界纹·马尔	2	3	70	4	150	1000	40		
2044	界纹·马尔	2	4	70	4	200	2000	40		
2054	界纹·马尔	2	5	70	4	250	3000	40		
2064	界纹·马尔	2	6	70	4	300	5000	40		
2074	界纹·马尔	2	7	70	4	350	8000	40		
2084	界纹·马尔	2	8	70	4	400	12000	40		
2094	界纹·马尔	2	9	70	4	450	20000	40		
2104	界纹·马尔	2	10	70	4	500	0	40		
3014	界纹·伐克斯	3	1	70	4	100	200	80		
3024	界纹·伐克斯	3	2	70	4	200	500	80		
3034	界纹·伐克斯	3	3	70	4	300	1000	80		
3044	界纹·伐克斯	3	4	70	4	400	2000	80		
3054	界纹·伐克斯	3	5	70	4	500	3000	80		
3064	界纹·伐克斯	3	6	70	4	600	5000	80		
3074	界纹·伐克斯	3	7	70	4	700	8000	80		
3084	界纹·伐克斯	3	8	70	4	800	12000	80		
3094	界纹·伐克斯	3	9	70	4	900	20000	80		
3104	界纹·伐克斯	3	10	70	4	1000	0	80		
4014	界纹·秘法庇护	4	1	70	4	200	200	160		
4024	界纹·秘法庇护	4	2	70	4	400	500	160		
4034	界纹·秘法庇护	4	3	70	4	600	1000	160		
4044	界纹·秘法庇护	4	4	70	4	800	2000	160		
4054	界纹·秘法庇护	4	5	70	4	1000	3000	160		
4064	界纹·秘法庇护	4	6	70	4	1200	5000	160		
4074	界纹·秘法庇护	4	7	70	4	1400	8000	160		
4084	界纹·秘法庇护	4	8	70	4	1600	12000	160		
4094	界纹·秘法庇护	4	9	70	4	1800	20000	160		
4104	界纹·秘法庇护	4	10	70	4	2000	0	160		
5014	界纹·精灵之约	5	1	70	4	400	200	320		
5024	界纹·精灵之约	5	2	70	4	800	500	320		
5034	界纹·精灵之约	5	3	70	4	1200	1000	320		
5044	界纹·精灵之约	5	4	70	4	1600	2000	320		
5054	界纹·精灵之约	5	5	70	4	2000	3000	320		
5064	界纹·精灵之约	5	6	70	4	2400	5000	320		
5074	界纹·精灵之约	5	7	70	4	2800	8000	320		
5084	界纹·精灵之约	5	8	70	4	3200	12000	320		
5094	界纹·精灵之约	5	9	70	4	3600	20000	320		
5104	界纹·精灵之约	5	10	70	4	4000	0	320		
1015	命纹·安姆	1	1	80	5	50	200	20		
1025	命纹·安姆	1	2	80	5	100	500	20		
1035	命纹·安姆	1	3	80	5	150	1000	20		
1045	命纹·安姆	1	4	80	5	200	2000	20		
1055	命纹·安姆	1	5	80	5	250	3000	20		
1065	命纹·安姆	1	6	80	5	300	5000	20		
1075	命纹·安姆	1	7	80	5	350	8000	20		
1085	命纹·安姆	1	8	80	5	400	12000	20		
1095	命纹·安姆	1	9	80	5	450	20000	20		
1105	命纹·安姆	1	10	80	5	500	0	20		
2015	命纹·埃欧	2	1	80	5	125	200	40		
2025	命纹·埃欧	2	2	80	5	250	500	40		
2035	命纹·埃欧	2	3	80	5	375	1000	40		
2045	命纹·埃欧	2	4	80	5	500	2000	40		
2055	命纹·埃欧	2	5	80	5	625	3000	40		
2065	命纹·埃欧	2	6	80	5	750	5000	40		
2075	命纹·埃欧	2	7	80	5	875	8000	40		
2085	命纹·埃欧	2	8	80	5	1000	12000	40		
2095	命纹·埃欧	2	9	80	5	1125	20000	40		
2105	命纹·埃欧	2	10	80	5	1250	0	40		
3015	命纹·蓝姆	3	1	80	5	250	200	80		
3025	命纹·蓝姆	3	2	80	5	500	500	80		
3035	命纹·蓝姆	3	3	80	5	750	1000	80		
3045	命纹·蓝姆	3	4	80	5	1000	2000	80		
3055	命纹·蓝姆	3	5	80	5	1250	3000	80		
3065	命纹·蓝姆	3	6	80	5	1500	5000	80		
3075	命纹·蓝姆	3	7	80	5	1750	8000	80		
3085	命纹·蓝姆	3	8	80	5	2000	12000	80		
3095	命纹·蓝姆	3	9	80	5	2250	20000	80		
3105	命纹·蓝姆	3	10	80	5	2500	0	80		
4015	命纹·圣树枝叶	4	1	80	5	500	200	160		
4025	命纹·圣树枝叶	4	2	80	5	1000	500	160		
4035	命纹·圣树枝叶	4	3	80	5	1500	1000	160		
4045	命纹·圣树枝叶	4	4	80	5	2000	2000	160		
4055	命纹·圣树枝叶	4	5	80	5	2500	3000	160		
4065	命纹·圣树枝叶	4	6	80	5	3000	5000	160		
4075	命纹·圣树枝叶	4	7	80	5	3500	8000	160		
4085	命纹·圣树枝叶	4	8	80	5	4000	12000	160		
4095	命纹·圣树枝叶	4	9	80	5	4500	20000	160		
4105	命纹·圣树枝叶	4	10	80	5	5000	0	160		
5015	命纹·诺德之血	5	1	80	5	1000	200	320		
5025	命纹·诺德之血	5	2	80	5	2000	500	320		
5035	命纹·诺德之血	5	3	80	5	3000	1000	320		
5045	命纹·诺德之血	5	4	80	5	4000	2000	320		
5055	命纹·诺德之血	5	5	80	5	5000	3000	320		
5065	命纹·诺德之血	5	6	80	5	6000	5000	320		
5075	命纹·诺德之血	5	7	80	5	7000	8000	320		
5085	命纹·诺德之血	5	8	80	5	8000	12000	320		
5095	命纹·诺德之血	5	9	80	5	9000	20000	320		
5105	命纹·诺德之血	5	10	80	5	10000	0	320		
1016	暴纹·那夫	1	1	80	6	8	200	20		
1026	暴纹·那夫	1	2	80	6	15	500	20		
1036	暴纹·那夫	1	3	80	6	23	1000	20		
1046	暴纹·那夫	1	4	80	6	30	2000	20		
1056	暴纹·那夫	1	5	80	6	38	3000	20		
1066	暴纹·那夫	1	6	80	6	45	5000	20		
1076	暴纹·那夫	1	7	80	6	53	8000	20		
1086	暴纹·那夫	1	8	80	6	60	12000	20		
1096	暴纹·那夫	1	9	80	6	68	20000	20		
1106	暴纹·那夫	1	10	80	6	75	0	20		
2016	暴纹·乌姆	2	1	80	6	15	200	40		
2026	暴纹·乌姆	2	2	80	6	30	500	40		
2036	暴纹·乌姆	2	3	80	6	45	1000	40		
2046	暴纹·乌姆	2	4	80	6	60	2000	40		
2056	暴纹·乌姆	2	5	80	6	75	3000	40		
2066	暴纹·乌姆	2	6	80	6	90	5000	40		
2076	暴纹·乌姆	2	7	80	6	105	8000	40		
2086	暴纹·乌姆	2	8	80	6	120	12000	40		
2096	暴纹·乌姆	2	9	80	6	135	20000	40		
2106	暴纹·乌姆	2	10	80	6	150	0	40		
3016	暴纹·罗	3	1	80	6	30	200	80		
3026	暴纹·罗	3	2	80	6	60	500	80		
3036	暴纹·罗	3	3	80	6	90	1000	80		
3046	暴纹·罗	3	4	80	6	120	2000	80		
3056	暴纹·罗	3	5	80	6	150	3000	80		
3066	暴纹·罗	3	6	80	6	180	5000	80		
3076	暴纹·罗	3	7	80	6	210	8000	80		
3086	暴纹·罗	3	8	80	6	240	12000	80		
3096	暴纹·罗	3	9	80	6	270	20000	80		
3106	暴纹·罗	3	10	80	6	300	0	80		
4016	暴纹·兽人狂暴	4	1	80	6	60	200	160		
4026	暴纹·兽人狂暴	4	2	80	6	120	500	160		
4036	暴纹·兽人狂暴	4	3	80	6	180	1000	160		
4046	暴纹·兽人狂暴	4	4	80	6	240	2000	160		
4056	暴纹·兽人狂暴	4	5	80	6	300	3000	160		
4066	暴纹·兽人狂暴	4	6	80	6	360	5000	160		
4076	暴纹·兽人狂暴	4	7	80	6	420	8000	160		
4086	暴纹·兽人狂暴	4	8	80	6	480	12000	160		
4096	暴纹·兽人狂暴	4	9	80	6	540	20000	160		
4106	暴纹·兽人狂暴	4	10	80	6	600	0	160		
5016	暴纹·奥丁之怒	5	1	80	6	120	200	320		
5026	暴纹·奥丁之怒	5	2	80	6	240	500	320		
5036	暴纹·奥丁之怒	5	3	80	6	360	1000	320		
5046	暴纹·奥丁之怒	5	4	80	6	480	2000	320		
5056	暴纹·奥丁之怒	5	5	80	6	600	3000	320		
5066	暴纹·奥丁之怒	5	6	80	6	720	5000	320		
5076	暴纹·奥丁之怒	5	7	80	6	840	8000	320		
5086	暴纹·奥丁之怒	5	8	80	6	960	12000	320		
5096	暴纹·奥丁之怒	5	9	80	6	1080	20000	320		
5106	暴纹·奥丁之怒	5	10	80	6	1200	0	320		
1017	巧纹·海尔	1	1	75	7	8	200	20		
1027	巧纹·海尔	1	2	75	7	15	500	20		
1037	巧纹·海尔	1	3	75	7	23	1000	20		
1047	巧纹·海尔	1	4	75	7	30	2000	20		
1057	巧纹·海尔	1	5	75	7	38	3000	20		
1067	巧纹·海尔	1	6	75	7	45	5000	20		
1077	巧纹·海尔	1	7	75	7	53	8000	20		
1087	巧纹·海尔	1	8	75	7	60	12000	20		
1097	巧纹·海尔	1	9	75	7	68	20000	20		
1107	巧纹·海尔	1	10	75	7	75	0	20		
2017	巧纹·科	2	1	75	7	15	200	40		
2027	巧纹·科	2	2	75	7	30	500	40		
2037	巧纹·科	2	3	75	7	45	1000	40		
2047	巧纹·科	2	4	75	7	60	2000	40		
2057	巧纹·科	2	5	75	7	75	3000	40		
2067	巧纹·科	2	6	75	7	90	5000	40		
2077	巧纹·科	2	7	75	7	105	8000	40		
2087	巧纹·科	2	8	75	7	120	12000	40		
2097	巧纹·科	2	9	75	7	135	20000	40		
2107	巧纹·科	2	10	75	7	150	0	40		
3017	巧纹·司特	3	1	75	7	30	200	80		
3027	巧纹·司特	3	2	75	7	60	500	80		
3037	巧纹·司特	3	3	75	7	90	1000	80		
3047	巧纹·司特	3	4	75	7	120	2000	80		
3057	巧纹·司特	3	5	75	7	150	3000	80		
3067	巧纹·司特	3	6	75	7	180	5000	80		
3077	巧纹·司特	3	7	75	7	210	8000	80		
3087	巧纹·司特	3	8	75	7	240	12000	80		
3097	巧纹·司特	3	9	75	7	270	20000	80		
3107	巧纹·司特	3	10	75	7	300	0	80		
4017	巧纹·妖精嬉戏	4	1	75	7	60	200	160		
4027	巧纹·妖精嬉戏	4	2	75	7	120	500	160		
4037	巧纹·妖精嬉戏	4	3	75	7	180	1000	160		
4047	巧纹·妖精嬉戏	4	4	75	7	240	2000	160		
4057	巧纹·妖精嬉戏	4	5	75	7	300	3000	160		
4067	巧纹·妖精嬉戏	4	6	75	7	360	5000	160		
4077	巧纹·妖精嬉戏	4	7	75	7	420	8000	160		
4087	巧纹·妖精嬉戏	4	8	75	7	480	12000	160		
4097	巧纹·妖精嬉戏	4	9	75	7	540	20000	160		
4107	巧纹·妖精嬉戏	4	10	75	7	600	0	160		
5017	巧纹·洛基之诈	5	1	75	7	120	200	320		
5027	巧纹·洛基之诈	5	2	75	7	240	500	320		
5037	巧纹·洛基之诈	5	3	75	7	360	1000	320		
5047	巧纹·洛基之诈	5	4	75	7	480	2000	320		
5057	巧纹·洛基之诈	5	5	75	7	600	3000	320		
5067	巧纹·洛基之诈	5	6	75	7	720	5000	320		
5077	巧纹·洛基之诈	5	7	75	7	840	8000	320		
5087	巧纹·洛基之诈	5	8	75	7	960	12000	320		
5097	巧纹·洛基之诈	5	9	75	7	1080	20000	320		
5107	巧纹·洛基之诈	5	10	75	7	1200	0	320		
1018	目纹·艾尔	1	1	75	8	8	200	20		
1028	目纹·艾尔	1	2	75	8	15	500	20		
1038	目纹·艾尔	1	3	75	8	23	1000	20		
1048	目纹·艾尔	1	4	75	8	30	2000	20		
1058	目纹·艾尔	1	5	75	8	38	3000	20		
1068	目纹·艾尔	1	6	75	8	45	5000	20		
1078	目纹·艾尔	1	7	75	8	53	8000	20		
1088	目纹·艾尔	1	8	75	8	60	12000	20		
1098	目纹·艾尔	1	9	75	8	68	20000	20		
1108	目纹·艾尔	1	10	75	8	75	0	20		
2018	目纹·爱斯	2	1	75	8	15	200	40		
2028	目纹·爱斯	2	2	75	8	30	500	40		
2038	目纹·爱斯	2	3	75	8	45	1000	40		
2048	目纹·爱斯	2	4	75	8	60	2000	40		
2058	目纹·爱斯	2	5	75	8	75	3000	40		
2068	目纹·爱斯	2	6	75	8	90	5000	40		
2078	目纹·爱斯	2	7	75	8	105	8000	40		
2088	目纹·爱斯	2	8	75	8	120	12000	40		
2098	目纹·爱斯	2	9	75	8	135	20000	40		
2108	目纹·爱斯	2	10	75	8	150	0	40		
3018	目纹·沙尔	3	1	75	8	30	200	80		
3028	目纹·沙尔	3	2	75	8	60	500	80		
3038	目纹·沙尔	3	3	75	8	90	1000	80		
3048	目纹·沙尔	3	4	75	8	120	2000	80		
3058	目纹·沙尔	3	5	75	8	150	3000	80		
3068	目纹·沙尔	3	6	75	8	180	5000	80		
3078	目纹·沙尔	3	7	75	8	210	8000	80		
3088	目纹·沙尔	3	8	75	8	240	12000	80		
3098	目纹·沙尔	3	9	75	8	270	20000	80		
3108	目纹·沙尔	3	10	75	8	300	0	80		
4018	目纹·精灵神弓	4	1	75	8	60	200	160		
4028	目纹·精灵神弓	4	2	75	8	120	500	160		
4038	目纹·精灵神弓	4	3	75	8	180	1000	160		
4048	目纹·精灵神弓	4	4	75	8	240	2000	160		
4058	目纹·精灵神弓	4	5	75	8	300	3000	160		
4068	目纹·精灵神弓	4	6	75	8	360	5000	160		
4078	目纹·精灵神弓	4	7	75	8	420	8000	160		
4088	目纹·精灵神弓	4	8	75	8	480	12000	160		
4098	目纹·精灵神弓	4	9	75	8	540	20000	160		
4108	目纹·精灵神弓	4	10	75	8	600	0	160		
5018	目纹·巴德之眼	5	1	75	8	120	200	320		
5028	目纹·巴德之眼	5	2	75	8	240	500	320		
5038	目纹·巴德之眼	5	3	75	8	360	1000	320		
5048	目纹·巴德之眼	5	4	75	8	480	2000	320		
5058	目纹·巴德之眼	5	5	75	8	600	3000	320		
5068	目纹·巴德之眼	5	6	75	8	720	5000	320		
5078	目纹·巴德之眼	5	7	75	8	840	8000	320		
5088	目纹·巴德之眼	5	8	75	8	960	12000	320		
5098	目纹·巴德之眼	5	9	75	8	1080	20000	320		
5108	目纹·巴德之眼	5	10	75	8	1200	0	320		
1019	怒纹·多尔	1	1	85	9	10	200	20		
1029	怒纹·多尔	1	2	85	9	11	500	20		
1039	怒纹·多尔	1	3	85	9	11	1000	20		
1049	怒纹·多尔	1	4	85	9	12	2000	20		
1059	怒纹·多尔	1	5	85	9	12	3000	20		
1069	怒纹·多尔	1	6	85	9	13	5000	20		
1079	怒纹·多尔	1	7	85	9	13	8000	20		
1089	怒纹·多尔	1	8	85	9	14	12000	20		
1099	怒纹·多尔	1	9	85	9	14	20000	20		
1109	怒纹·多尔	1	10	85	9	15	0	20		
2019	怒纹·卢姆	2	1	85	9	15	200	40		
2029	怒纹·卢姆	2	2	85	9	17	500	40		
2039	怒纹·卢姆	2	3	85	9	19	1000	40		
2049	怒纹·卢姆	2	4	85	9	21	2000	40		
2059	怒纹·卢姆	2	5	85	9	23	3000	40		
2069	怒纹·卢姆	2	6	85	9	25	5000	40		
2079	怒纹·卢姆	2	7	85	9	27	8000	40		
2089	怒纹·卢姆	2	8	85	9	29	12000	40		
2099	怒纹·卢姆	2	9	85	9	31	20000	40		
2109	怒纹·卢姆	2	10	85	9	33	0	40		
3019	怒纹·奥多	3	1	85	9	20	200	80		
3029	怒纹·奥多	3	2	85	9	23	500	80		
3039	怒纹·奥多	3	3	85	9	26	1000	80		
3049	怒纹·奥多	3	4	85	9	29	2000	80		
3059	怒纹·奥多	3	5	85	9	32	3000	80		
3069	怒纹·奥多	3	6	85	9	35	5000	80		
3079	怒纹·奥多	3	7	85	9	38	8000	80		
3089	怒纹·奥多	3	8	85	9	41	12000	80		
3099	怒纹·奥多	3	9	85	9	44	20000	80		
3109	怒纹·奥多	3	10	85	9	47	0	80		
4019	怒纹·龙之逆鳞	4	1	85	9	25	200	160		
4029	怒纹·龙之逆鳞	4	2	85	9	29	500	160		
4039	怒纹·龙之逆鳞	4	3	85	9	33	1000	160		
4049	怒纹·龙之逆鳞	4	4	85	9	37	2000	160		
4059	怒纹·龙之逆鳞	4	5	85	9	41	3000	160		
4069	怒纹·龙之逆鳞	4	6	85	9	45	5000	160		
4079	怒纹·龙之逆鳞	4	7	85	9	49	8000	160		
4089	怒纹·龙之逆鳞	4	8	85	9	53	12000	160		
4099	怒纹·龙之逆鳞	4	9	85	9	57	20000	160		
4109	怒纹·龙之逆鳞	4	10	85	9	61	0	160		
5019	怒纹·托尔之火	5	1	85	9	55	200	320		
5029	怒纹·托尔之火	5	2	85	9	60	500	320		
5039	怒纹·托尔之火	5	3	85	9	65	1000	320		
5049	怒纹·托尔之火	5	4	85	9	70	2000	320		
5059	怒纹·托尔之火	5	5	85	9	75	3000	320		
5069	怒纹·托尔之火	5	6	85	9	80	5000	320		
5079	怒纹·托尔之火	5	7	85	9	85	8000	320		
5089	怒纹·托尔之火	5	8	85	9	90	12000	320		
5099	怒纹·托尔之火	5	9	85	9	95	20000	320		
5109	怒纹·托尔之火	5	10	85	9	100	0	320		
