number	string	number	number	number	number	array	number	string	string	number	string	string	number	number
1076	孤山矮人	22	0	1075	1	"[1063,1]"	121	孤山曾是一个古老的矮人王国，但一条巨龙给他们带来了灭顶之灾，再去会会他们，看看他们的目的是什么。	好的。	121	他们想要复国？疯狂的想法。	太疯狂了。	454	380
1077	孤山复国	22	0	1076	1	"[1064,1]"	121	再去和他们战斗，看看他们到底有多坚定。	好的。	121	孤山矮人的意志和山石一样坚定。	是啊。	454	398
1078	索林·橡木盾	23	0	1077	1	"[1065,1]"	121	去打败孤山王子，那个曾经用橡木枝作为盾牌的勇敢矮人，指引他的方向，让他不再迷茫。	好的。	121	年轻人，你得到了索林的认可，也得到了我的认可。	荣幸之至！	499	398
1079	雷神托尔	23	0	1078	0	[]	121	去找我的儿子托尔，他会为你指出孤山复国的方向。	传说中的雷神？	122	嘿，小子！你想试试拿起我的锤子吗？	没兴趣啊！	250	208
1080	屠龙大业	23	0	1079	1	"[1066,1]"	122	要复国，先屠龙。先去杀些小龙习惯习惯。	我这就去！	122	干得不错，小龙也是龙啊。	没错。	499	417
1081	初探龙穴	24	0	1080	1	"[1067,1]"	122	往冰原深处走，就能看到龙穴了，去侦查一下。	好的。	122	干得不错。	谢谢。	543	417
1082	捣毁龙蛋	24	0	1081	1	"[1068,1]"	122	去捣毁一些龙蛋，一般来说，这样做能够引起成年龙的注意，不过稍有危险。	有多危险？！	122	平安归来，不错不错。	死不了。	543	439
1083	大闹龙穴	25	0	1082	1	"[1069,1]"	122	再热闹一点，才能把盘踞在孤山的巨龙引出来。	好的。	122	杀得漂亮！	谢谢！	592	439
1084	巨龙法夫纳	25	0	1083	1	"[1070,1]"	122	法夫纳就是摧毁孤山的巨龙！打败他！	好的！	122	没错那是一个矮人，但他也是一条巨龙！看来我们早晚要遇到他的龙形态。	估计会更强大。	592	460
1085	追寻法夫纳	26	0	1084	1	"[1071,1]"	122	消灭冰原上的精灵，追寻法夫纳的踪迹。	好的！	122	干得不错。	谢谢。	657	460
1086	飞过的痕迹	26	0	1085	1	"[1072,1]"	122	法夫纳逃走了，留下精灵佣兵替他断后，不要留情。	好的！	122	干得不错。	谢谢。	657	481
1087	肮脏的交易	27	0	1086	1	"[1073,1]"	122	法夫纳霸占孤山的时候，夺走了无数珍宝，现在他居然拿这些宝藏蛊惑高尚的精灵加入他，真是罪不可赦。	真是肮脏。	122	干得不错。	谢谢。	726	481
1088	高贵的种族	27	0	1087	1	"[1074,1]"	122	给这些精灵们致命一击，让他们迷途知返。	好的！	122	干得不错。	谢谢。	726	503
1089	法夫纳的灭亡	28	0	1088	1	"[1075,1]"	122	我已经找到法夫纳的踪迹了，消灭它，为孤山复仇！	为了索林！	122	孤山复国了，索林终于复仇了！	是啊。	796	503
1090	精灵的异常	28	0	1089	1	"[1076,1]"	124	嘿，尊贵的客人，我们之前似乎有些过节，不过精灵们出现异常的不安，其中的原因我们都很想知道，不是吗？	没错。	124	看来我们还是有希望合作的，嘿嘿。	暂时的。	796	524
1091	优雅的精灵	29	0	1090	1	"[1077,1]"	124	即使是受蛊惑的精灵，仍旧那么优雅高贵。	是啊。	124	干得不错。	谢谢。	870	524
1092	世界树之实	29	0	1091	1	"[1078,1]"	124	精灵族是由世界树的果实诞生的，华美荣耀，现在，这果子有些蒙尘了。	是啊。	124	干得不错。	谢谢。	870	549
1093	法力饥渴	30	0	1092	1	"[1079,1]"	124	一些精灵对魔法的追求已经到了疯狂的程度，杀掉这些疯狂的法师。	好的。	124	干得不错。	谢谢。	944	549
1094	黑暗圣地守护者	30	0	1093	1	"[1080,1]"	124	黑暗圣地守护者本是一个高尚的人，就连奥丁本人也曾向她请教过学问，没想到她居然堕落至此。	这事真的和你无关？	124	不要怀疑，我的朋友，我是站在你这边的。	是吗？	944	610
1095	黑暗精灵	31	0	1094	1	"[1081,1]"	124	世上还有一种黑暗精灵，据说他们的心灵和外表一样黑暗，至少表里如一，不是吗，嘿嘿。	很合你胃口啊。	124	干得不错。	谢谢。	1042	610
1096	月之暗面	31	0	1095	1	"[1082,1]"	124	精灵是崇拜月夜的种族，所以黑暗精灵就像月之暗面一样，一直存在，时强时弱。	很神秘。	124	干得不错。	谢谢。	1042	674
1097	神秘祭祀	32	0	1096	1	"[1083,1]"	124	黑暗精灵们似乎在举行某种仪式，希望不是什么邪恶的召唤术。	我去看看。	124	似乎是种净化仪式？	是的。	1140	674
1098	神圣净化	32	0	1097	1	"[1084,1]"	124	真是可笑，整个精灵族被邪恶入侵，最终竟然需要被认作邪恶的黑暗精灵来主持净化，这一定是骗局，揭穿他们！	确实很可疑。	124	你成功地阻止了仪式的进行，就差一步了。	什么一步？	1140	739
1099	摧毁月亮石	33	0	1098	1	"[1085,1]"	124	战胜精灵守卫，摧毁仪式的月亮石，销毁它吸收的邪恶！	好的！	124	哈哈哈哈！我的计划成功啦，月石中的邪恶都释放出来了，这一切都归功于你，愚蠢的英雄！	你欺骗了我！	1243	739
1100	丰饶女神	33	0	1099	0	[]	125	看看你都做了什么！但这全怪洛基过分狡诈，去找芙蕾，看看她能否挽回局面。	我铸下大错了。	123	现在不是自责的时候，准备迎战奥丁昔日的盟友吧。	他们都被邪恶沾染了？	626	402
1101	彩虹之桥	33	0	1100	1	"[1086,1]"	123	阿斯加德通往外界的道路名叫彩虹之桥，上面的生物已经躁动不安了，去消灭他们。	好的！	123	干得不错！	谢谢！	1243	807
1102	彩虹之泪	34	0	1101	1	"[1087,1]"	123	史莱姆像彩虹桥一般五彩斑斓，但昔日的可爱已不复存在。	只好消灭它们了。	123	干得不错！	谢谢！	1347	807
1103	蠕动的琼浆	34	0	1102	1	"[1088,1]"	123	史莱姆是彩虹桥凝聚生成的灵体，也是温驯的伙伴，现在它们与烂泥无异。	是的。	123	干得不错！	谢谢！	1347	874
1104	清除障碍	35	0	1103	1	"[1089,1]"	123	看来只能把所有的史莱姆全都消灭了。	是啊。	123	真不愿看到这些。	是啊。	1457	874
1105	破晓之神	35	0	1104	1	"[1090,1]"	123	阿斯加德的守护之神，破晓之神海姆达尔也被邪恶沾染了，让他清醒过来，在他还没有忘记职责之前。	好的。	123	海姆达尔清醒了！	真是不幸中的万幸。	1457	945
1106	赎罪之行	36	0	1105	1	"[1091,1]"	121	我希望你为我找来一样东西，一样能够抵挡邪恶的东西。挡下来袭的尼伯龙根矮人，为你的行为赎罪。	好的。	121	做的不错。	谢谢。	1609	945
1107	尼伯龙根矮人	36	0	1106	1	"[1092,1]"	121	尼伯龙根的矮人拿走了属于我的东西，他们应该受到惩罚！	好的。	121	做的不错。	谢谢。	1609	1015
1108	尼伯龙根的指环	37	0	1107	1	"[1093,1]"	121	对，那是一只指环，它代表财富和权势，只有我配拥有它！把它给我找出来！	奥丁似乎变了。	121	我的……宝贝！（奥丁眼中充满了贪婪）	好熟悉的台词……	1769	1015
1109	屠龙英雄的传说	37	0	1108	1	"[1094,1]"	121	我的宝贝到手了，但是有人要抢走它，不能让他们得逞！我是天神，遵守我的旨意！	好吧。	121	做的不错。什么？那个屠龙英雄来了？	是的。	1769	1088
1110	齐格弗里德之死	38	0	1109	1	"[1095,1]"	121	齐格弗里德是重铸诺顿圣剑的选中之人，曾手刃巨龙，并沐浴在龙血中的强大英雄，他也要我的指环？不，拦住他！	好吧。	121	英雄的逝去令人惋惜，不过比起我的宝贝指环，死去一两个英雄又算的了什么呢？	奥丁真的变了。	1929	1088
1111	抵挡进攻	38	0	1110	1	"[1096,1]"	125	奥丁受到指环的迷惑，已经分不清善恶了，但他仍是我们的神，我们仍要守住阿斯加德，之后再想法拯救奥丁。	好的。	125	干得不错，这批精灵部队似乎是由女武神布伦希尔德指挥的。	是的。	1929	1162
1112	复仇的女武神	39	0	1111	1	"[1097,1]"	125	奥丁指使你杀死了布伦希尔德的爱人齐格弗里德，现在这位女武神来找自己的父亲报杀夫之仇了。	真是一场悲剧。	125	当前重要的不是谁是谁非，而是守住阿斯加德，保护奥丁。	是的。	2096	1162
1113	英雄与女武神	39	0	1112	1	"[1098,1]"	125	布伦希尔德是战无不胜的女武神，但是屠龙英雄齐格弗里德却战胜了她，从此女武神和英雄就相爱了，没想到两人竟落到这步境地。	真是一对有情人。	125	没人愿意看到布伦希尔德落到这步境地。	是的。	2096	1239
1114	女武神的挽歌	40	0	1113	1	"[1099,1]"	125	布伦希尔德已经送葬了自己的爱人，看来她决心已定。	是啊。	125	布伦希尔德的部队已经打光了，接下来她准备怎么办？	我也很想知道。	2263	1239
1115	诸神的黄昏	40	0	1114	1	"[1100,1]"	125	这回布伦希尔德将亲自出战，无论如何要抵挡住她的进攻！	好的！	121	布伦希尔德，我的女儿，齐格弗里德，屠龙的英雄！我究竟做了什么！	你被指环迷惑了。	2263	1316
1116	斯巴达在召唤	41	0	1115	0	[]	121	布伦希尔德用她的生命惊醒了我，也赶走了盘踞在极北之地的邪恶阴霾，我赞赏你的勇气和力量，回希腊吧，那里更需要你。	我该去斯巴达看看。	134	欢迎你返回希腊，我的英雄！	这里暖和得多。	1230	658
1117	斯巴达之王	41	0	1116	0	[]	134	这里是斯巴达，雅典城最有力的盟友，为战斗而生的民族！去见见他们的国王吧。	好的！	133	据说你是一名厉害的英雄，斯巴达人欢迎的方式就是战斗！	我喜欢战斗！	1230	658
1118	荣耀之战	41	0	1117	1	"[1101,1]"	133	斯巴达人不承认你昔日的荣耀，想要赢得尊重，就必须去竞技场打败敌人。	我这就去！	133	还不错，比只会撕咬的土狗强一些。	谢谢。	2463	1316
1119	战士与懦夫	41	0	1118	1	"[1102,1]"	133	斯巴达人不问出身，在战场上没有将军和下级的区别，只有懦夫和战士的区别。	我会证明自己的。	133	看来你比一般的小杂鱼多会几招。	那是当然。	2463	1396
1120	失败等于死亡	42	0	1119	1	"[1103,1]"	133	斯巴达人从出生起就面临战斗，体弱的孩子会被遗弃，就连斯巴达的女人们都是强悍无比的。	我相信我的天赋。	133	也许你有资格跟斯巴达的女人们过过招了。	随时奉陪！	2663	1396
1121	只有一个赢家	42	0	1120	1	"[1104,1]"	133	历史只会记住胜利者，而每场战斗只有一个胜利者。	没错。	133	你得到了我的认可，去参加更强的战斗吧！	好的！	2663	1475
1122	逃亡的国王	43	0	1121	1	"[1105,1]"	133	一个叫伊阿宋的人自称是逃亡的国王，管他呢，至少他是个很出色的战士，不过我想看看你们谁更出色。	没问题。	133	尽管我的字典里没有平局一词，但这次你和伊阿宋的表现都非常不错。	谢谢！	2871	1475
1123	全希腊的庆典	43	0	1122	1	"[1106,1]"	134	在奥林匹斯众神的护佑下，希腊人赢得了长久的和平。因此他们决定举行盛大的运动会来庆祝，去夺取冠军吧！这并不比战争容易。	好的！	134	做的不错！	谢谢！	2871	1558
1124	角斗士之战	44	0	1123	1	"[1107,1]"	134	战胜角斗士！	好的！	134	做的不错！	谢谢！	3080	1558
1125	成为强者	44	0	1124	1	"[1108,1]"	134	去夺得奖励，为了雅典！	好的！	134	做的不错！	谢谢！	3080	1640
1126	橄榄枝头环	45	0	1125	1	"[1109,1]"	134	橄榄枝编成的头环虽然一文不值，但它代表了至高的荣誉，只有冠军才配戴上它。	我将把它奉献给女神。	134	做的不错！	谢谢！	3298	1640
1127	大力神的挑战	45	0	1126	1	"[1110,1]"	134	大力神赫拉克勒斯是一位全能的运动者，从他手里夺得冠军，将是你巨大的荣耀！	没错！	134	做的不错！	谢谢！	3298	1727
1128	奔赴战场	46	0	1127	1	"[1111,1]"	133	在奥林匹斯运动会举行期间，侵略者已经集结了，但比起奥运比赛，这些侵略者只是小菜一碟，现在去收拾他们也不迟。	没错！	133	做的不错！	谢谢！	3515	1727
1129	苍茫之鹰	46	0	1128	1	"[1112,1]"	133	去消灭巨鹰！	好的！	133	做的不错！	谢谢！	3515	1812
1130	来自东方的巨鸟	47	0	1129	1	"[1113,1]"	133	消灭那些大雕！	好的！	133	做的不错！	谢谢！	3742	1812
1131	飞禽马戏团	47	0	1130	1	"[1114,1]"	133	用遮天蔽日的箭雨来解决那些烦人的鸟类吧！	好的！	133	做的不错！	谢谢！	3742	1902
1132	狮身人面怪	48	0	1131	1	"[1115,1]"	133	斯芬克斯之谜问道：什么动物早晨用四条腿走路，中午用两条腿走路，晚上用三条腿走路？回答它并杀死它！	答案是人！	133	做的不错！	谢谢！	3968	1902
1133	波斯人来了	48	0	1132	1	"[1116,1]"	133	波斯人来了！	出击！	133	做的不错！	谢谢！	3968	1990
1134	温泉关布防	49	0	1133	1	"[1117,1]"	133	速去温泉关布防！	好的！	133	做的不错！	谢谢！	4204	1990
1135	温泉关战役	49	0	1134	1	"[1118,1]"	133	利用温泉关狭窄地势，挡住波斯军队！	好的！	133	做的不错！	谢谢！	4204	2082
1136	斯巴达300勇士	50	0	1135	1	"[1119,1]"	133	敌军据说有50万人，不，只是50万只蝼蚁而已，我们有300名斯巴达勇士就足够了！	没错！	133	做的不错！	谢谢！	4440	2082
1137	斯巴达从不低头	50	0	1136	1	"[1120,1]"	133	对方派来了强大的食人妖，消灭它！	好的！	133	斯巴达人永不言败！	谢谢！	4440	2174
1138	妖术之惑	51	0	1137	1	"[1121,1]"	133	波斯人竟通过妖术招来了凤凰！消灭它们！	好的。	133	做的不错！	谢谢！	4713	2174
1139	百眼孔雀	51	0	1138	1	"[1122,1]"	133	波斯人派来了孔雀！这种神圣生物的尾羽被天后赫拉安放了百眼巨人的眼睛，威力莫测！	我去消灭它们。	133	做的不错！	谢谢！	4713	2270
1140	涅槃与监视	52	0	1139	1	"[1123,1]"	133	干掉这些孔雀与凤凰！	好的！	133	做的不错！	谢谢！	4990	2270
1141	胜利之路	52	0	1140	1	"[1124,1]"	133	波斯人的妖术在减弱！大军溃败在即！	乘胜追击！	133	做的不错！	谢谢！	4990	2364
1142	波斯王子	53	0	1141	1	"[1125,1]"	133	干掉薛西斯，干掉整个波斯的首脑，把他们赶回东方！	好的！	133	波斯人战败了！我们胜利了！	谢谢！	5273	2364
1143	愤怒的战神	53	0	1142	0	[]	131	哼，愚蠢的斯巴达人，你们应该为我而战，而不是为了虚幻的荣誉而战！你们会后悔的！	走着瞧！	134	也许，是时候换掉这个不省心的战神了。	我该怎么做？	2636	1235
1144	战神的报复	53	0	1143	1	"[1126,1]"	134	阿瑞斯的报复开始了，小心行事！	好的。	134	做的不错！	谢谢！	5273	2463
1145	史莱姆逆袭	54	0	1144	1	"[1127,1]"	134	史莱姆攻击并不强，但数量太多了！	我会小心的。	134	做的不错！	谢谢！	5555	2463
1146	战神与爱神	54	0	1145	1	"[1128,1]"	134	战神阿瑞斯并不是爱神维纳斯的丈夫，但他们一直保持着暧昧。这让我很嫉妒……哦不，让我很愤怒。	太不道德了！	134	做的不错！	谢谢！	5555	2560
1147	小爱神的狡诈	55	0	1146	1	"[1129,1]"	134	小爱神丘比特是战神和爱神的私生子，除了人尽皆知的爱心箭之外，丘比特射出的铅箭则会让人再也不相信爱情。	我再也不相信爱情了！	134	做的不错！	谢谢！	5851	2560
1148	战胜丘比特	55	0	1147	1	"[1130,1]"	134	打败丘比特，让战神心痛一下。	好的！	134	做的不错！	谢谢！	5851	2662
