number	number	string	number	number	array	number	array2	array	array2	array	number	number	number	number	number	number
4033	4032	3034	65	2	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	1812	405	4860	5832	6998	8397
4034	4033	3035	67	2	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	1860	425	5100	6120	7344	8812
4035	4034	3031	69	2	[3031]	0	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	[]	1908	445	5340	6408	7689	9226
4036	4035	3032	71	2	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	1956	465	5580	6696	8035	9642
4037	4036	3033	73	2	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	2004	485	5820	6984	8380	10056
4038	4037	3034	75	2	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	2052	505	6060	7272	8726	10471
4039	4038	3035	77	2	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	2100	525	6300	7560	9072	10886
4040	4039	3030	79	3	[3031]	3030	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	"[3030,20,2]"	2148	545	6540	7848	9417	11300
4041	4040	3032	81	3	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	2244	565	6780	8136	9763	11715
4042	4041	3033	83	3	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	2340	585	7020	8424	10108	12129
4043	4042	3034	85	3	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	2436	605	7260	8712	10454	12544
4044	4043	3035	87	3	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	2532	625	7500	9000	10800	12960
4045	4044	3031	89	3	[3031]	0	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	[]	2628	645	7740	9288	11145	13374
4046	4045	3032	91	3	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	2724	665	7980	9576	11491	13789
4047	4046	3033	93	3	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	2820	685	8220	9864	11836	14203
4048	4047	3034	95	3	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	2916	705	8460	10152	12182	14618
4049	4048	3035	97	3	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	3012	725	8700	10440	12528	15033
4050	4049	3026	99	4	[3031]	3026	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	"[3026,20,2]"	3108	745	8940	10728	12873	15447
4051	4050	3032	101	3	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	3204	785	9420	11304	13564	16276
4052	4051	3033	103	3	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	3300	825	9900	11880	14256	17107
4053	4052	3034	105	3	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	3396	865	10380	12456	14947	17936
4054	4053	3035	107	3	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	3492	905	10860	13032	15638	18765
4055	4054	3031	109	3	[3031]	0	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	[]	3588	945	11340	13608	16329	19594
4056	4055	3032	111	3	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	3684	985	11820	14184	17020	20424
4057	4056	3033	113	3	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	3780	1025	12300	14760	17712	21254
4058	4057	3034	115	3	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	3876	1065	12780	15336	18403	22083
4059	4058	3035	117	3	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	3972	1105	13260	15912	19094	22912
4060	4059	3027	119	3	[3031]	3027	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	"[3027,20,2]"	4068	1145	13740	16488	19785	23742
4061	4060	3032	121	4	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	4164	1185	14220	17064	20476	24571
4062	4061	3033	123	4	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	4260	1225	14700	17640	21168	25401
4063	4062	3034	125	4	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	4356	1265	15180	18216	21859	26230
4064	4063	3035	127	4	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	4452	1305	15660	18792	22550	27060
4065	4064	3031	129	4	[3031]	0	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	[]	4548	1345	16140	19368	23241	27889
4066	4065	3032	131	4	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	4644	1385	16620	19944	23932	28718
4067	4066	3033	133	4	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	4740	1425	17100	20520	24624	29548
4068	4067	3034	135	4	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	4836	1465	17580	21096	25315	30378
4069	4068	3035	137	4	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	4932	1505	18060	21672	26006	31207
4070	4069	3028	139	4	[3031]	3028	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	"[3028,20,2]"	5028	1545	18540	22248	26697	32036
4071	4070	3032	141	4	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	5124	1585	19020	22824	27388	32865
4072	4071	3033	143	4	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	5220	1625	19500	23400	28080	33696
4073	4072	3034	145	4	[3034]	0	"[[3034,-200,2],[3034,-150,3],[3034,-150,1],[3034,-30,3],[3034,-30,2],[3034,-30,1],[3034,60,3],[3034,60,2],[3034,60,1],[3034,150,3],[3034,150,2],[3034,150,1],[3034,240,3],[3034,240,2],[3034,240,1]]"	[]	[]	[]	5316	1665	19980	23976	28771	34525
4074	4073	3035	147	4	[3035]	0	"[[3035,-200,2],[3035,-150,3],[3035,-150,1],[3035,-30,3],[3035,-30,2],[3035,-30,1],[3035,60,3],[3035,60,2],[3035,60,1],[3035,150,3],[3035,150,2],[3035,150,1],[3035,240,3],[3035,240,2],[3035,240,1]]"	[]	[]	[]	5412	1705	20460	24552	29462	35354
4075	4074	3031	149	4	[3031]	0	"[[3031,-200,2],[3031,-150,3],[3031,-150,1],[3031,-30,3],[3031,-30,2],[3031,-30,1],[3031,60,3],[3031,60,2],[3031,60,1],[3031,150,3],[3031,150,2],[3031,150,1],[3031,240,3],[3031,240,2],[3031,240,1]]"	[]	[]	[]	5508	1745	20940	25128	30153	36183
4076	4075	3032	151	4	[3032]	0	"[[3032,-200,2],[3032,-150,3],[3032,-150,1],[3032,-30,3],[3032,-30,2],[3032,-30,1],[3032,60,3],[3032,60,2],[3032,60,1],[3032,150,3],[3032,150,2],[3032,150,1],[3032,240,3],[3032,240,2],[3032,240,1]]"	[]	[]	[]	5604	1785	21420	25704	30844	37012
4077	4076	3033	153	4	[3033]	0	"[[3033,-200,2],[3033,-150,3],[3033,-150,1],[3033,-30,3],[3033,-30,2],[3033,-30,1],[3033,60,3],[3033,60,2],[3033,60,1],[3033,150,3],[3033,150,2],[3033,150,1],[3033,240,3],[3033,240,2],[3033,240,1]]"	[]	[]	[]	5700	1825	21900	26280	31536	37843
