number	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	array	array	array
46	M094	6840	0	0	0	8406000	1020	1020	1020	268000	1340	107200	80400	53600	26800	6700	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
47	M094	7042	0	0	0	8658000	1040	1040	1040	274000	1370	109600	82200	54800	27400	6850	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
48	M094	7245	0	0	0	8910000	1060	1060	1060	280000	1400	112000	84000	56000	28000	7000	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
49	M094	7447	0	0	0	10689000	1080	1080	1080	286000	1430	114400	85800	57200	28600	7150	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
50	M094	7650	0	0	0	10983000	1100	1100	1100	291000	1456	116400	87300	58200	29100	7280	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
51	M094	7875	0	0	0	11305000	1120	1120	1120	299000	1496	119600	89700	59800	29900	7480	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
52	M094	8100	0	0	0	11627000	1140	1140	1140	307000	1536	122800	92100	61400	30700	7680	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
53	M094	8347	0	0	0	11984000	1160	1160	1160	315000	1576	126000	94500	63000	31500	7880	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
54	M094	8595	0	0	0	14104000	1180	1180	1180	322000	1610	128800	96600	64400	32200	8050	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
55	M094	9031	0	0	0	15072000	1200	1200	1200	330000	1650	132000	99000	66000	33000	8250	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
56	M094	9279	0	0	0	15480000	1220	1220	1220	338000	1690	135200	101400	67600	33800	8450	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
57	M094	9526	0	0	0	15888000	1240	1240	1240	346000	1730	138400	103800	69200	34600	8650	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
58	M094	9774	0	0	0	16296000	1260	1260	1260	353000	1766	141200	105900	70600	35300	8830	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
59	M094	10021	0	0	0	18792000	1280	1280	1280	361000	1806	144400	108300	72200	36100	9030	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
60	M094	11322	0	0	0	20331000	1300	1300	1300	369000	1846	147600	110700	73800	36900	9230	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
61	M094	11592	0	0	0	21591000	1320	1320	1320	379000	1896	151600	113700	75800	37900	9480	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
62	M094	11749	0	0	0	21861000	1340	1340	1340	388000	1940	155200	116400	77600	38800	9700	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
63	M094	12019	0	0	0	22356000	1360	1360	1360	398000	1990	159200	119400	79600	39800	9950	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
64	M094	12334	0	0	0	22941000	1380	1380	1380	408000	2040	163200	122400	81600	40800	10200	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
65	M094	12892	0	0	0	27040000	1400	1400	1400	417000	2086	166800	125100	83400	41700	10430	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
66	M094	13207	0	0	0	27690000	1420	1420	1420	427000	2136	170800	128100	85400	42700	10680	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
67	M094	13365	0	0	0	27990000	1440	1440	1440	437000	2186	174800	131100	87400	43700	10930	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
68	M094	13680	0	0	0	28640000	1460	1460	1460	446000	2230	178400	133800	89200	44600	11150	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
69	M094	13995	0	0	0	29290000	1480	1480	1480	456000	2280	182400	136800	91200	45600	11400	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
70	M094	15210	0	0	0	37334000	1500	1500	1500	466000	2330	186400	139800	93200	46600	11650	5000	26	2000	1500	1000	500	130	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
71	M094	15547	0	0	0	38093000	1520	1520	1520	475000	2376	190000	142500	95000	47500	11880	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
72	M094	15885	0	0	0	38852000	1540	1540	1540	485000	2426	194000	145500	97000	48500	12130	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
73	M094	16222	0	0	0	39611000	1560	1560	1560	495000	2476	198000	148500	99000	49500	12380	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
74	M094	16560	0	0	0	44040000	1580	1580	1580	504000	2520	201600	151200	100800	50400	12600	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
75	M094	17266	0	0	0	46428000	1600	1600	1600	514000	2570	205600	154200	102800	51400	12850	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
76	M094	17649	0	0	0	47376000	1620	1620	1620	524000	2620	209600	157200	104800	52400	13100	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
77	M094	17829	0	0	0	47784000	1640	1640	1640	533000	2666	213200	159900	106600	53300	13330	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
78	M094	18211	0	0	0	48732000	1660	1660	1660	543000	2716	217200	162900	108600	54300	13580	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
79	M094	18594	0	0	0	49680000	1680	1680	1680	553000	2766	221200	165900	110600	55300	13830	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
80	M094	22072	0	0	0	63108000	1700	1700	1700	562000	2810	224800	168600	112400	56200	14050	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
81	M094	22477	0	0	0	65856000	1720	1720	1720	572000	2860	228800	171600	114400	57200	14300	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
82	M094	22680	0	0	0	66324000	1740	1740	1740	582000	2910	232800	174600	116400	58200	14550	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
83	M094	23085	0	0	0	67332000	1760	1760	1760	591000	2956	236400	177300	118200	59100	14780	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
84	M094	23490	0	0	0	68340000	1780	1780	1780	601000	3006	240400	180300	120200	60100	15030	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
85	M094	24930	0	0	0	71148000	1800	1800	1800	611000	3056	244400	183300	122200	61100	15280	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
86	M094	25335	0	0	0	72156000	1820	1820	1820	621000	3106	248400	186300	124200	62100	15530	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
87	M094	25785	0	0	0	73284000	1840	1840	1840	630000	3150	252000	189000	126000	63000	15750	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
88	M094	25987	0	0	0	73752000	1860	1860	1860	640000	3200	256000	192000	128000	64000	16000	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
89	M094	26437	0	0	0	74880000	1880	1880	1880	650000	3250	260000	195000	130000	65000	16250	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
90	M094	27787	0	0	0	80808000	1900	1900	1900	659000	3296	263600	197700	131800	65900	16480	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
91	M094	28012	0	0	0	81324000	1920	1920	1920	669000	3346	267600	200700	133800	66900	16730	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
92	M094	28485	0	0	0	82500000	1940	1940	1940	679000	3396	271600	203700	135800	67900	16980	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
93	M094	28957	0	0	0	83676000	1960	1960	1960	688000	3440	275200	206400	137600	68800	17200	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
94	M094	29430	0	0	0	84852000	1980	1980	1980	698000	3490	279200	209400	139600	69800	17450	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
95	M094	30388	0	0	0	88188000	2000	2000	2000	708000	3540	283200	212400	141600	70800	17700	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
96	M094	30861	0	0	0	89364000	2020	2020	2020	717000	3586	286800	215100	143400	71700	17930	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
97	M094	31086	0	0	0	89880000	2040	2040	2040	727000	3636	290800	218100	145400	72700	18180	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
98	M094	31558	0	0	0	91056000	2060	2060	2060	737000	3686	294800	221100	147400	73700	18430	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
99	M094	32031	0	0	0	92232000	2080	2080	2080	746000	3730	298400	223800	149200	74600	18650	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
100	M094	33448	0	0	0	98328000	2100	2100	2100	756000	3780	302400	226800	151200	75600	18900	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
101	M094	33696	0	0	0	98892000	2120	2120	2120	770000	3850	308000	231000	154000	77000	19250	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
102	M094	34236	0	0	0	100236000	2140	2140	2140	783000	3916	313200	234900	156600	78300	19580	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
103	M094	34776	0	0	0	101580000	2160	2160	2160	797000	3986	318800	239100	159400	79700	19930	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
104	M094	35316	0	0	0	102924000	2180	2180	2180	810000	4050	324000	243000	162000	81000	20250	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
105	M094	36450	0	0	0	106908000	2200	2200	2200	824000	4120	329600	247200	164800	82400	20600	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
106	M094	36990	0	0	0	108252000	2220	2220	2220	837000	4186	334800	251100	167400	83700	20930	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
107	M094	37530	0	0	0	109596000	2240	2240	2240	851000	4256	340400	255300	170200	85100	21280	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
108	M094	37777	0	0	0	110160000	2260	2260	2260	864000	4320	345600	259200	172800	86400	21600	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
109	M094	38317	0	0	0	111504000	2280	2280	2280	878000	4390	351200	263400	175600	87800	21950	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
110	M094	40927	0	0	0	117648000	2300	2300	2300	892000	4460	356800	267600	178400	89200	22300	6000	30	2400	1800	1200	600	150	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
111	M094	41490	0	0	0	122304000	2320	2320	2320	909000	4546	363600	272700	181800	90900	22730	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
112	M094	41760	0	0	0	122916000	2340	2340	2340	926000	4630	370400	277800	185200	92600	23150	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
113	M094	42367	0	0	0	124428000	2360	2360	2360	944000	4720	377600	283200	188800	94400	23600	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
114	M094	42975	0	0	0	125940000	2380	2380	2380	961000	4806	384400	288300	192200	96100	24030	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
115	M094	43947	0	0	0	129672000	2400	2400	2400	979000	4896	391600	293700	195800	97900	24480	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
116	M094	44554	0	0	0	131184000	2420	2420	2420	996000	4980	398400	298800	199200	99600	24900	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
117	M094	45162	0	0	0	132696000	2440	2440	2440	1014000	5070	405600	304200	202800	101400	25350	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
118	M094	45432	0	0	0	133308000	2460	2460	2460	1031000	5156	412400	309300	206200	103100	25780	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
119	M094	46039	0	0	0	134820000	2480	2480	2480	1048000	5240	419200	314400	209600	104800	26200	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
120	M094	50139	0	0	0	146892000	2500	2500	2500	1066000	5330	426400	319800	213200	106600	26650	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
121	M094	50431	0	0	0	147564000	2520	2520	2520	1087000	5436	434800	326100	217400	108700	27180	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
122	M094	51061	0	0	0	149136000	2540	2540	2540	1108000	5540	443200	332400	221600	110800	27700	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
123	M094	51354	0	0	0	149808000	2560	2560	2560	1130000	5650	452000	339000	226000	113000	28250	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
124	M094	51984	0	0	0	151380000	2580	2580	2580	1151000	5756	460400	345300	230200	115100	28780	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
125	M094	53424	0	0	0	156552000	2600	2600	2600	1172000	5860	468800	351600	234400	117200	29300	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
126	M094	53716	0	0	0	157224000	2620	2620	2620	1194000	5970	477600	358200	238800	119400	29850	7000	36	2800	2100	1400	700	180	[15032]	[15031]	"[15021,15022,15023,15024,15025,15026,15027,15028,15029,15030]"
