number	string	string	string	number	string	number	number	number
11024	破皮	破旧的兽皮。	制造斯巴达装备的材料	3	1077	20	1	2
11034	破毛皮	破旧的毛皮。	制造半人马装备的材料	3	1078	30	1	2
11044	轻羽毛	野鸟的羽毛。	制造美杜莎装备的材料	3	1079	40	1	2
11054	实心羽	陆行鸟的羽毛。	制造独眼巨人装备的材料	3	1080	50	1	2
11064	五彩羽毛	镶有百眼巨人之眼的孔雀尾羽。	制造米诺陶装备的材料	3	1081	60	1	2
11074	哥布林甲片	小妖怪的护甲。	制造海格力斯装备的材料	3	1082	70	1	2
11084	蝙蝠翼膜	喷火蝙蝠的翼膜，在它被烧着前割下的。	制造阿喀琉斯装备的材料	3	1083	80	1	2
11094	巨兽鬃毛	食人妖的鬃毛，在白天会石化。	制造瓦尔基里装备的材料	3	1084	90	1	2
11104	巨人的睫毛	百眼巨人有很多睫毛，但你很难活着拿到。	制造芬里尔装备的材料	3	1085	100	1	2
11114	滑腻的鳞片	许德拉脖颈上的鳞片。	制造阿斯特拉装备的材料	3	1086	110	1	2
11124	遗落之骨	这是一块奇美拉的遗骨。	制造复仇女神装备的材料	3	1078	120	1	2
11134	化石之牙	兽人勇士力战美杜莎后仅存的遗骸。	制造死神装备的材料	3	1079	130	1	2
11144	折断的大骨	在战斗中被雷神之锤砸断的骨骸。	制造波塞冬装备的材料	3	1080	140	1	2
11154	鲸须	海仙女们用作竖琴琴弦的材料。	制造宙斯装备的材料	3	1081	150	1	2
11164	猛犸之牙	凶猛的猛犸人用自己的獠牙做成长矛。	制造哈迪斯装备的材料	3	1082	160	1	2
11174	火龙翼膜	齐格弗里德说它是鸡肉味儿的，嘎嘣脆。	制造奥丁装备的材料	3	1083	170	1	2
11184	龙骨	看样子有人闯入过龙冢并活着回来了。	制造盖亚装备的材料	3	1084	180	1	2
11194	龙筋	东方三太子一时兴起抽来的龙筋。	制造克洛诺斯装备的材料	3	1085	190	1	2
11204	龙的逆鳞	矮人王国世代供奉的战利品。	制造诸神黄昏装备的材料	3	1086	200	1	2
11025	石灰石	一般的石料。	制造斯巴达装备的材料	3	1039	20	1	2
11035	岩盐	一般的石料。	制造半人马装备的材料	3	1040	30	1	2
11045	黑辰砂	泛着幽光的矿石。	制造美杜莎装备的材料	3	1041	40	1	2
11055	白云石	它反射着云端的女武神英姿。	制造独眼巨人装备的材料	3	1042	50	1	2
11065	白榴石	重要的矿石。	制造米诺陶装备的材料	3	1043	60	1	2
11075	金云母	坚硬的石料。	制造海格力斯装备的材料	3	1044	70	1	2
11085	尖晶石	极北之地的人们用大块的尖晶石制作方尖碑。	制造阿喀琉斯装备的材料	3	1045	80	1	2
11095	蓝闪石	泛着蓝光的矿石。	制造瓦尔基里装备的材料	3	1046	90	1	2
11105	低霞石	内含落霞之美的矿石。	制造芬里尔装备的材料	3	1047	100	1	2
11115	电气石	囊括世间的各种色彩，像是彩虹从天上射向地心。	制造阿斯特拉装备的材料	3	1048	110	1	2
11125	天青石	珍贵的矿石。	制造复仇女神装备的材料	3	1040	120	1	2
11135	菱锌矿	闪着华美的光泽。	制造死神装备的材料	3	1041	130	1	2
11145	青闪石	闪烁夺目的石块。	制造波塞冬装备的材料	3	1042	140	1	2
11155	辉龙石	和龙伴生的矿石。	制造宙斯装备的材料	3	1043	150	1	2
11165	锆石	媲美钻石的矿石。	制造哈迪斯装备的材料	3	1044	160	1	2
11175	冰晶石	冰霜巨人的核心。	制造奥丁装备的材料	3	1045	170	1	2
11185	橄榄石	翠绿的石料，拥有平静人心的能力。	制造盖亚装备的材料	3	1046	180	1	2
11195	白鹭石	据说是奥丁的右眼变成的。	制造克洛诺斯装备的材料	3	1047	190	1	2
11205	狱炎石	支撑冥界的基石。	制造诸神黄昏装备的材料	3	1048	200	1	2
11026	橡木	索林用它当盾，抵挡了半兽人大军	制造斯巴达装备的材料	3	1020	20	1	2
11036	柚木	结实的木材。	制造半人马装备的材料	3	1021	30	1	2
11046	柳木	坚硬的木材，雅典人用它造弓。	制造美杜莎装备的材料	3	1022	40	1	2
11056	松木	极北之地常见的木料。	制造独眼巨人装备的材料	3	1023	50	1	2
11066	樟木	高雅的木材。	制造米诺陶装备的材料	3	1024	60	1	2
11076	柏木	少年赛帕里西亚斯化身柏树，从此永远与神鹿相伴。	制造海格力斯装备的材料	3	1025	70	1	2
11086	黄杨木	用于雕塑神像的木料。	制造阿喀琉斯装备的材料	3	1026	80	1	2
11096	桦木	桦树的节巴是逝去爱人凝望的眼睛。	制造瓦尔基里装备的材料	3	1027	90	1	2
11106	楠木	阿尔戈号就是由巨大的楠木建成的。	制造芬里尔装备的材料	3	1028	100	1	2
11116	榉木	极北之地的英雄们用它制作强大的标枪。	制造阿斯特拉装备的材料	3	1029	110	1	2
11126	影木	如果目不转睛地盯着影木，可以看到它在慢慢移动。	制造复仇女神装备的材料	3	1021	120	1	2
11136	红木	战神华丽的座驾就是用它打造的。	制造死神装备的材料	3	1022	130	1	2
11146	黑檀	女武神制式盾牌的制作材料。	制造波塞冬装备的材料	3	1023	140	1	2
11156	乌木	比金属还坚硬的木料。	制造宙斯装备的材料	3	1024	150	1	2
11166	铁力木	囚禁米诺陶洛斯的樊笼就是用它打造的。	制造哈迪斯装备的材料	3	1025	160	1	2
11176	丁纹木	坚硬又轻盈的木料。	制造奥丁装备的材料	3	1026	170	1	2
11186	紫檀	产自东方神秘国度的珍贵木材。	制造盖亚装备的材料	3	1027	180	1	2
11196	星木	月神之弓的弓胎就是用它打造的。	制造克洛诺斯装备的材料	3	1028	190	1	2
11206	世界树的繁枝	只有神选之人才能折下小小的一枝。	制造诸神黄昏装备的材料	3	1029	200	1	2
12021	斯巴达之盔图纸	记载斯巴达人制造装备所用的技术。	斯巴达装备的制作图纸	5	1115	10	2	2
12022	斯巴达之甲图纸	记载斯巴达人制造装备所用的技术。	斯巴达装备的制作图纸	5	1116	10	2	2
12023	斯巴达之靴图纸	记载斯巴达人制造装备所用的技术。	斯巴达装备的制作图纸	5	1117	10	2	2
12024	斯巴达之枪图纸	记载斯巴达人制造装备所用的技术。	斯巴达装备的制作图纸	5	1118	10	2	2
12025	斯巴达之剑图纸	记载斯巴达人制造装备所用的技术。	斯巴达装备的制作图纸	5	1119	10	2	2
12026	斯巴达之弓图纸	记载斯巴达人制造装备所用的技术。	斯巴达装备的制作图纸	5	1120	10	2	2
12027	斯巴达之杖图纸	记载斯巴达人制造装备所用的技术。	斯巴达装备的制作图纸	5	1121	10	2	2
12028	斯巴达之眼图纸	记载斯巴达人制造装备所用的技术。	斯巴达装备的制作图纸	5	1122	10	2	2
12029	斯巴达之心图纸	记载斯巴达人制造装备所用的技术。	斯巴达装备的制作图纸	5	1123	10	2	2
12031	半人马之盔图纸	记载半人马制造装备所用的技术。	半马装备的制作图纸	5	1115	10	2	2
12032	半人马之甲图纸	记载半人马制造装备所用的技术。	半马装备的制作图纸	5	1116	10	2	2
12033	半人马之靴图纸	记载半人马制造装备所用的技术。	半马装备的制作图纸	5	1117	10	2	2
12034	半人马之枪图纸	记载半人马制造装备所用的技术。	半马装备的制作图纸	5	1118	10	2	2
12035	半人马之剑图纸	记载半人马制造装备所用的技术。	半马装备的制作图纸	5	1119	10	2	2
12036	半人马之弓图纸	记载半人马制造装备所用的技术。	半马装备的制作图纸	5	1120	10	2	2
12037	半人马之杖图纸	记载半人马制造装备所用的技术。	半马装备的制作图纸	5	1121	10	2	2
12038	半人马之眼图纸	记载半人马制造装备所用的技术。	半马装备的制作图纸	5	1122	10	2	2
12039	半人马之心图纸	记载半人马制造装备所用的技术。	半马装备的制作图纸	5	1123	10	2	2
12041	美杜莎之盔图纸	记载美杜莎制造装备所用的技术。	美杜莎装备的制作图纸	5	1115	10	3	2
12042	美杜莎之甲图纸	记载美杜莎制造装备所用的技术。	美杜莎装备的制作图纸	5	1116	10	3	2
12043	美杜莎之靴图纸	记载美杜莎制造装备所用的技术。	美杜莎装备的制作图纸	5	1117	10	3	2
12044	美杜莎之枪图纸	记载美杜莎制造装备所用的技术。	美杜莎装备的制作图纸	5	1118	10	3	2
12045	美杜莎之剑图纸	记载美杜莎制造装备所用的技术。	美杜莎装备的制作图纸	5	1119	10	3	2
12046	美杜莎之弓图纸	记载美杜莎制造装备所用的技术。	美杜莎装备的制作图纸	5	1120	10	3	2
12047	美杜莎之杖图纸	记载美杜莎制造装备所用的技术。	美杜莎装备的制作图纸	5	1121	10	3	2
12048	美杜莎之眼图纸	记载美杜莎制造装备所用的技术。	美杜莎装备的制作图纸	5	1122	10	3	2
12049	美杜莎之心图纸	记载美杜莎制造装备所用的技术。	美杜莎装备的制作图纸	5	1123	10	3	2
12051	独眼巨人之盔图纸	记载独眼巨人制造装备所用的技术。	独眼巨装备的制作图纸	5	1115	10	3	2
12052	独眼巨人之甲图纸	记载独眼巨人制造装备所用的技术。	独眼巨装备的制作图纸	5	1116	10	3	2
12053	独眼巨人之靴图纸	记载独眼巨人制造装备所用的技术。	独眼巨装备的制作图纸	5	1117	10	3	2
12054	独眼巨人之枪图纸	记载独眼巨人制造装备所用的技术。	独眼巨装备的制作图纸	5	1118	10	3	2
12055	独眼巨人之剑图纸	记载独眼巨人制造装备所用的技术。	独眼巨装备的制作图纸	5	1119	10	3	2
12056	独眼巨人之弓图纸	记载独眼巨人制造装备所用的技术。	独眼巨装备的制作图纸	5	1120	10	3	2
12057	独眼巨人之杖图纸	记载独眼巨人制造装备所用的技术。	独眼巨装备的制作图纸	5	1121	10	3	2
12058	独眼巨人之眼图纸	记载独眼巨人制造装备所用的技术。	独眼巨装备的制作图纸	5	1122	10	3	2
12059	独眼巨人之心图纸	记载独眼巨人制造装备所用的技术。	独眼巨装备的制作图纸	5	1123	10	3	2
12061	米诺陶之盔图纸	记载米诺陶制造装备所用的技术。	米诺陶装备的制作图纸	5	1115	10	4	2
12062	米诺陶之甲图纸	记载米诺陶制造装备所用的技术。	米诺陶装备的制作图纸	5	1116	10	4	2
12063	米诺陶之靴图纸	记载米诺陶制造装备所用的技术。	米诺陶装备的制作图纸	5	1117	10	4	2
12064	米诺陶之枪图纸	记载米诺陶制造装备所用的技术。	米诺陶装备的制作图纸	5	1118	10	4	2
12065	米诺陶之剑图纸	记载米诺陶制造装备所用的技术。	米诺陶装备的制作图纸	5	1119	10	4	2
12066	米诺陶之弓图纸	记载米诺陶制造装备所用的技术。	米诺陶装备的制作图纸	5	1120	10	4	2
12067	米诺陶之杖图纸	记载米诺陶制造装备所用的技术。	米诺陶装备的制作图纸	5	1121	10	4	2
12068	米诺陶之眼图纸	记载米诺陶制造装备所用的技术。	米诺陶装备的制作图纸	5	1122	10	4	2
12069	米诺陶之心图纸	记载米诺陶制造装备所用的技术。	米诺陶装备的制作图纸	5	1123	10	4	2
12071	海格力斯之盔图纸	记载海格力斯制造装备所用的技术。	海格力斯装备的制作图纸	5	1115	10	4	2
12072	海格力斯之甲图纸	记载海格力斯制造装备所用的技术。	海格力斯装备的制作图纸	5	1116	10	4	2
12073	海格力斯之靴图纸	记载海格力斯制造装备所用的技术。	海格力斯装备的制作图纸	5	1117	10	4	2
12074	海格力斯之枪图纸	记载海格力斯制造装备所用的技术。	海格力斯装备的制作图纸	5	1118	10	4	2
12075	海格力斯之剑图纸	记载海格力斯制造装备所用的技术。	海格力斯装备的制作图纸	5	1119	10	4	2
12076	海格力斯之弓图纸	记载海格力斯制造装备所用的技术。	海格力斯装备的制作图纸	5	1120	10	4	2
12077	海格力斯之杖图纸	记载海格力斯制造装备所用的技术。	海格力斯装备的制作图纸	5	1121	10	4	2
12078	海格力斯之眼图纸	记载海格力斯制造装备所用的技术。	海格力斯装备的制作图纸	5	1122	10	4	2
12079	海格力斯之心图纸	记载海格力斯制造装备所用的技术。	海格力斯装备的制作图纸	5	1123	10	4	2
12081	阿喀琉斯之盔图纸	记载阿喀琉斯制造装备所用的技术。	阿喀琉斯装备的制作图纸	5	1115	10	4	2
12082	阿喀琉斯之甲图纸	记载阿喀琉斯制造装备所用的技术。	阿喀琉斯装备的制作图纸	5	1116	10	4	2
12083	阿喀琉斯之靴图纸	记载阿喀琉斯制造装备所用的技术。	阿喀琉斯装备的制作图纸	5	1117	10	4	2
12084	阿喀琉斯之枪图纸	记载阿喀琉斯制造装备所用的技术。	阿喀琉斯装备的制作图纸	5	1118	10	4	2
12085	阿喀琉斯之剑图纸	记载阿喀琉斯制造装备所用的技术。	阿喀琉斯装备的制作图纸	5	1119	10	4	2
12086	阿喀琉斯之弓图纸	记载阿喀琉斯制造装备所用的技术。	阿喀琉斯装备的制作图纸	5	1120	10	4	2
12087	阿喀琉斯之杖图纸	记载阿喀琉斯制造装备所用的技术。	阿喀琉斯装备的制作图纸	5	1121	10	4	2
12088	阿喀琉斯之眼图纸	记载阿喀琉斯制造装备所用的技术。	阿喀琉斯装备的制作图纸	5	1122	10	4	2
12089	阿喀琉斯之心图纸	记载阿喀琉斯制造装备所用的技术。	阿喀琉斯装备的制作图纸	5	1123	10	4	2
12091	瓦尔基里之盔图纸	记载瓦尔基里制造装备所用的技术。	瓦尔基里装备的制作图纸	5	1115	10	4	2
12092	瓦尔基里之甲图纸	记载瓦尔基里制造装备所用的技术。	瓦尔基里装备的制作图纸	5	1116	10	4	2
12093	瓦尔基里之靴图纸	记载瓦尔基里制造装备所用的技术。	瓦尔基里装备的制作图纸	5	1117	10	4	2
12094	瓦尔基里之枪图纸	记载瓦尔基里制造装备所用的技术。	瓦尔基里装备的制作图纸	5	1118	10	4	2
12095	瓦尔基里之剑图纸	记载瓦尔基里制造装备所用的技术。	瓦尔基里装备的制作图纸	5	1119	10	4	2
12096	瓦尔基里之弓图纸	记载瓦尔基里制造装备所用的技术。	瓦尔基里装备的制作图纸	5	1120	10	4	2
12097	瓦尔基里之杖图纸	记载瓦尔基里制造装备所用的技术。	瓦尔基里装备的制作图纸	5	1121	10	4	2
12098	瓦尔基里之眼图纸	记载瓦尔基里制造装备所用的技术。	瓦尔基里装备的制作图纸	5	1122	10	4	2
12099	瓦尔基里之心图纸	记载瓦尔基里制造装备所用的技术。	瓦尔基里装备的制作图纸	5	1123	10	4	2
12101	芬里尔之盔图纸	记载芬里尔制造装备所用的技术。	芬里尔装备的制作图纸	5	1115	10	5	2
12102	芬里尔之甲图纸	记载芬里尔制造装备所用的技术。	芬里尔装备的制作图纸	5	1116	10	5	2
12103	芬里尔之靴图纸	记载芬里尔制造装备所用的技术。	芬里尔装备的制作图纸	5	1117	10	5	2
12104	芬里尔之枪图纸	记载芬里尔制造装备所用的技术。	芬里尔装备的制作图纸	5	1118	10	5	2
12105	芬里尔之剑图纸	记载芬里尔制造装备所用的技术。	芬里尔装备的制作图纸	5	1119	10	5	2
12106	芬里尔之弓图纸	记载芬里尔制造装备所用的技术。	芬里尔装备的制作图纸	5	1120	10	5	2
12107	芬里尔之杖图纸	记载芬里尔制造装备所用的技术。	芬里尔装备的制作图纸	5	1121	10	5	2
12108	芬里尔之眼图纸	记载芬里尔制造装备所用的技术。	芬里尔装备的制作图纸	5	1122	10	5	2
12109	芬里尔之心图纸	记载芬里尔制造装备所用的技术。	芬里尔装备的制作图纸	5	1123	10	5	2
12111	阿特拉斯之盔图纸	记载阿特拉斯制造装备所用的技术。	阿特拉斯装备的制作图纸	5	1115	10	5	2
12112	阿特拉斯之甲图纸	记载阿特拉斯制造装备所用的技术。	阿特拉斯装备的制作图纸	5	1116	10	5	2
12113	阿特拉斯之靴图纸	记载阿特拉斯制造装备所用的技术。	阿特拉斯装备的制作图纸	5	1117	10	5	2
12114	阿特拉斯之枪图纸	记载阿特拉斯制造装备所用的技术。	阿特拉斯装备的制作图纸	5	1118	10	5	2
12115	阿特拉斯之剑图纸	记载阿特拉斯制造装备所用的技术。	阿特拉斯装备的制作图纸	5	1119	10	5	2
12116	阿特拉斯之弓图纸	记载阿特拉斯制造装备所用的技术。	阿特拉斯装备的制作图纸	5	1120	10	5	2
12117	阿特拉斯之杖图纸	记载阿特拉斯制造装备所用的技术。	阿特拉斯装备的制作图纸	5	1121	10	5	2
12118	阿特拉斯之眼图纸	记载阿特拉斯制造装备所用的技术。	阿特拉斯装备的制作图纸	5	1122	10	5	2
12119	阿特拉斯之心图纸	记载阿特拉斯制造装备所用的技术。	阿特拉斯装备的制作图纸	5	1123	10	5	2
12121	复仇女神之盔图纸	记载复仇女神制造装备所用的技术。	复仇女神装备的制作图纸	5	1115	10	5	2
12122	复仇女神之甲图纸	记载复仇女神制造装备所用的技术。	复仇女神装备的制作图纸	5	1116	10	5	2
12123	复仇女神之靴图纸	记载复仇女神制造装备所用的技术。	复仇女神装备的制作图纸	5	1117	10	5	2
12124	复仇女神之枪图纸	记载复仇女神制造装备所用的技术。	复仇女神装备的制作图纸	5	1118	10	5	2
12125	复仇女神之剑图纸	记载复仇女神制造装备所用的技术。	复仇女神装备的制作图纸	5	1119	10	5	2
12126	复仇女神之弓图纸	记载复仇女神制造装备所用的技术。	复仇女神装备的制作图纸	5	1120	10	5	2
12127	复仇女神之杖图纸	记载复仇女神制造装备所用的技术。	复仇女神装备的制作图纸	5	1121	10	5	2
12128	复仇女神之眼图纸	记载复仇女神制造装备所用的技术。	复仇女神装备的制作图纸	5	1122	10	5	2
12129	复仇女神之心图纸	记载复仇女神制造装备所用的技术。	复仇女神装备的制作图纸	5	1123	10	5	2
12131	死神之盔图纸	记载死神制造装备所用的技术。	死神装备的制作图纸	5	1115	10	5	2
12132	死神之甲图纸	记载死神制造装备所用的技术。	死神装备的制作图纸	5	1116	10	5	2
12133	死神之靴图纸	记载死神制造装备所用的技术。	死神装备的制作图纸	5	1117	10	5	2
12134	死神之枪图纸	记载死神制造装备所用的技术。	死神装备的制作图纸	5	1118	10	5	2
12135	死神之剑图纸	记载死神制造装备所用的技术。	死神装备的制作图纸	5	1119	10	5	2
12136	死神之弓图纸	记载死神制造装备所用的技术。	死神装备的制作图纸	5	1120	10	5	2
12137	死神之杖图纸	记载死神制造装备所用的技术。	死神装备的制作图纸	5	1121	10	5	2
12138	死神之眼图纸	记载死神制造装备所用的技术。	死神装备的制作图纸	5	1122	10	5	2
12139	死神之心图纸	记载死神制造装备所用的技术。	死神装备的制作图纸	5	1123	10	5	2
12141	波塞冬之盔图纸	记载波塞冬制造装备所用的技术。	波塞冬装备的制作图纸	5	1115	10	5	2
12142	波塞冬之甲图纸	记载波塞冬制造装备所用的技术。	波塞冬装备的制作图纸	5	1116	10	5	2
12143	波塞冬之靴图纸	记载波塞冬制造装备所用的技术。	波塞冬装备的制作图纸	5	1117	10	5	2
12144	波塞冬之枪图纸	记载波塞冬制造装备所用的技术。	波塞冬装备的制作图纸	5	1118	10	5	2
12145	波塞冬之剑图纸	记载波塞冬制造装备所用的技术。	波塞冬装备的制作图纸	5	1119	10	5	2
12146	波塞冬之弓图纸	记载波塞冬制造装备所用的技术。	波塞冬装备的制作图纸	5	1120	10	5	2
12147	波塞冬之杖图纸	记载波塞冬制造装备所用的技术。	波塞冬装备的制作图纸	5	1121	10	5	2
12148	波塞冬之眼图纸	记载波塞冬制造装备所用的技术。	波塞冬装备的制作图纸	5	1122	10	5	2
12149	波塞冬之心图纸	记载波塞冬制造装备所用的技术。	波塞冬装备的制作图纸	5	1123	10	5	2
12151	哈迪斯之盔图纸	记载哈迪斯制造装备所用的技术。	哈迪斯装备的制作图纸	5	1115	10	5	2
12152	哈迪斯之甲图纸	记载哈迪斯制造装备所用的技术。	哈迪斯装备的制作图纸	5	1116	10	5	2
12153	哈迪斯之靴图纸	记载哈迪斯制造装备所用的技术。	哈迪斯装备的制作图纸	5	1117	10	5	2
12154	哈迪斯之枪图纸	记载哈迪斯制造装备所用的技术。	哈迪斯装备的制作图纸	5	1118	10	5	2
12155	哈迪斯之剑图纸	记载哈迪斯制造装备所用的技术。	哈迪斯装备的制作图纸	5	1119	10	5	2
12156	哈迪斯之弓图纸	记载哈迪斯制造装备所用的技术。	哈迪斯装备的制作图纸	5	1120	10	5	2
12157	哈迪斯之杖图纸	记载哈迪斯制造装备所用的技术。	哈迪斯装备的制作图纸	5	1121	10	5	2
12158	哈迪斯之眼图纸	记载哈迪斯制造装备所用的技术。	哈迪斯装备的制作图纸	5	1122	10	5	2
12159	哈迪斯之心图纸	记载哈迪斯制造装备所用的技术。	哈迪斯装备的制作图纸	5	1123	10	5	2
12161	宙斯之盔图纸	记载宙斯制造装备所用的技术。	宙斯装备的制作图纸	5	1115	10	5	2
12162	宙斯之甲图纸	记载宙斯制造装备所用的技术。	宙斯装备的制作图纸	5	1116	10	5	2
12163	宙斯之靴图纸	记载宙斯制造装备所用的技术。	宙斯装备的制作图纸	5	1117	10	5	2
12164	宙斯之枪图纸	记载宙斯制造装备所用的技术。	宙斯装备的制作图纸	5	1118	10	5	2
12165	宙斯之剑图纸	记载宙斯制造装备所用的技术。	宙斯装备的制作图纸	5	1119	10	5	2
12166	宙斯之弓图纸	记载宙斯制造装备所用的技术。	宙斯装备的制作图纸	5	1120	10	5	2
12167	宙斯之杖图纸	记载宙斯制造装备所用的技术。	宙斯装备的制作图纸	5	1121	10	5	2
12168	宙斯之眼图纸	记载宙斯制造装备所用的技术。	宙斯装备的制作图纸	5	1122	10	5	2
12169	宙斯之心图纸	记载宙斯制造装备所用的技术。	宙斯装备的制作图纸	5	1123	10	5	2
12171	奥丁之盔图纸	记载奥丁制造装备所用的技术。	奥丁装备的制作图纸	5	1115	10	5	2
12172	奥丁之甲图纸	记载奥丁制造装备所用的技术。	奥丁装备的制作图纸	5	1116	10	5	2
12173	奥丁之靴图纸	记载奥丁制造装备所用的技术。	奥丁装备的制作图纸	5	1117	10	5	2
12174	奥丁之枪图纸	记载奥丁制造装备所用的技术。	奥丁装备的制作图纸	5	1118	10	5	2
