number	string	string	number	number	array	number	number	string	string	string	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	array	number	number	number	number	number	number	number	number	string	string	string	number	number	number	array	number	number	number	string	string	string	string	string	string	number	number	number	number	string	number	number	string	array	string	string	string	number	string	string	string	string	string	string	string	string	string	string	string	number	number
10	イレーネ	?グライリッヒ	6	8	"[1,2,3]"	98	1	H010	H010_output	H010_normal_attack	hit_11	0.6	0.5	100	170	93	1.6	15	119	124	99	99	819	0	1	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	330	334				332	336	338	H010_auto332_attack	H010_auto336_attack	H010_auto338_attack	1	0.6	50	[]	1	0	100 	S330_magic_H010_attack	S331_magic_H010_attack	S334_magic_H010_attack	S335_magic_H010_attack			0	0	0	0	无	80	1	1110001	"[1110001,1110002]"	win_010	die_010	love_010	13	A	無	12月31日	やぎ座	O	155	B82 W57 H83	星空を眺めること	誰にもルミアを傷つけさせない！	彼女が追い求めるのはただ一人。そのためなら彼女は命を投げ出し、困難や危険を乗り越え生きてゆくことができる。	「現世を切り開くことができる」剣。世界を創造することも、逆に破滅することもできると言われている。	1	201
11	キャロル	?キリアム	16	3	"[1,2,3]"	98	1	H011	H011_output	H011_normal_attack	hit_11	0.6	0.5	100	180	100	1.2	130	100	113	55	55	440	0	0	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	250	252				254	256	258	H011_auto254_attack	H011_auto256_attack	H011_auto258_attack	1	0.6	50	[]	1	1	100 	S250_magic_H011_attack	S251_magic_H011_attack	S252_magic_H011_attack	S253_magic_H011_attack			0	0	0	0	无	10	1	1111001	"[1111001,1111002]"	win_011	die_011	love_011	23	S	無	4月14日	牡羊座	AB	157	B85 W59 H86	武器の手入れ	武器オタだけど写真とかスイーツも大好きな女の子なんだからね。	メカオタ、武器オタ、デザートオタ、写真オタ。どんな時でもポジティブで明るく元気あふれる女の子。	古代中国の十大名剣の一つで威道の剣とも呼ばれる。欧冶子とディオニシスの二大刀工が協力して鍛え上げた。楚の国の鎮国の宝剣。	1	200
12	マクシーン	?エメット	12	6	"[1,2,3]"	98	1	H012	H012_output	H012_normal_attack	hit_11	0.6	0.5	100	170	93	1.6	130	170	170	88	83	792	0	0	0	0	0	"[0.85,0.96,0.85,0.96,0.72]"	350	352				354	356	358	H012_auto354_attack	H012_auto356_attack	H012_auto358_attack	1	0.6	50	[]	1	0	100 	S350_magic_H012_attack	S351_magic_H012_attack	S352_magic_H012_attack	S353_magic_H012_attack			0	0	0	0	无	80	1	1112001	"[1112001,1112002]"	win_012	die_012	love_012	2	SS	無	5月16日	牡牛座	O	170	B93 W64 H94	潜水、サメの餌付け	我有りて敵無し、敵有りて我無し！	指揮能力が非常に高く、数年の間に部隊を育成し無敵の軍にする。あらゆる困難な状況においても怯まずに進軍する。	アーサー王の伝説に登場する聖剣の一つ。魔力を秘めた剣は王の象徴であり、その鞘を持つ者は流血しないといわれる。	1	203
13	ニコラ	?ファリーニ	1	8	"[1,2,3]"	98	1	H013	H013_output	H013_normal_attack	hit_11	0.6	0.5	100	170	113	1.6	15	121	110	99	92	907	0	0	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	100	102				104	106	108	H013_auto104_attack	H013_auto106_attack	H013_auto108_attack	1	0.6	50	[]	1	0	100 	S100_magic_H013_attack	S101_magic_H013_attack	S102_magic_H013_attack	S103_magic_H013_attack			0	0	0	0	无	80	1	1113001	"[1113001,1113002]"	win_013	die_013	love_013	9	A	無	10月1日	てんびん座	B	168	B91 W63 H92	飲酒、酒の醸造	おいしいお酒はどこ～	怠け好きでお酒大好き。小さいことには拘らず、自由気ままで気前がいい。まるで何かを求めるかのように、いつもどこかを旅している。	妖精が鍛造した巨人族の武器で、全長が2メートルを超える巨大な剣である。刀身には美しい模様が浮かんでいる。	1	200
14	水桃	（シュイタオ）	2	3	[0]	98	1	H014	H014_output	H014_normal_attack	hit_11	0.6	0.5	100	170	100	1.3	130	107	100	55	55	465	0	0	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	140	144				142	146	148	H014_auto142_attack	H014_auto146_attack	H014_auto148_attack	1	0.6	50	[]	1	0	100 	S140_magic_H014_attack	S141_magic_H014_attack	S144_magic_H014_attack	S145_magic_H014_attack			0	0	0	0	无	10	1	1114001	"[1114001,1114002]"	win_014	die_014	love_014	4	S	無	9月9日	乙女座	B	165	B85 W62 H87	寺社巡り	邪念を振り払って精神統一すれば、恐れることなど何もありません	チーム?ミラージュのリーダー的存在。少し融通のきかないところはあるが真面目で一本気な性格でメンバーからの信頼は厚い。エッチな話は苦手ですぐに赤くなってしまう。	天下三名槍のうちの一筋である。槍を立てていたところに飛んできた蜻蛉（とんぼ）が当たって二つに切れたことから蜻蛉切の名が付いた。	1	201
15	コーディー	?クロッツ	23	8	"[1,2,3]"	98	1	H015	H015_output	H015_normal_attack	hit_11	0.6	0.5	100	170	100	1.6	130	126	123	93	88	786	0	0	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	200	202				204	206	208	H015_auto204_attack	H015_auto206_attack	H015_auto208_attack	1	0.6	50	[]	1	0	100 	S200_magic_H015_attack	S201_magic_H015_attack	S202_magic_H015_attack	S203_magic_H015_attack			0	0	0	0	无	80	1	1115001	"[1115001,1115002]"	win_015	die_015	love_015	21	A	無	3月26日	牡羊座	O	158	B82 W59 H83	格闘技全般	誰からの挑戦でも受けちゃうよ！	明るくて裏表の無い元気な女の子。格闘技が見るのもするのも大好きで、新しい技を見て覚えては他人にかけようとする。	キリストに突き刺された槍で、この槍を持つ者は世界の運命を支配すると言われている。権威と共に悲劇の象徴でもある。	1	200
16	リーゼロッテ	?コーシカ	4	2	"[1,2,3]"	98	1	H016	H016_output	H016_normal_attack	hit_11	0.6	0.5	100	170	100	1.6	130	90	115	58	55	465	0	1	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	320	322				324	326	328	H016_auto324_attack	H016_auto326_attack	H016_auto328_attack	1	0.6	50	[]	1	0	100 	S320_magic_H016_attack	S321_magic_H016_attack	S322_magic_H016_attack	S323_magic_H016_attack			0	0	0	0	无	10	1	1116001	"[1116001,1116002]"	win_016	die_016	love_016	6	C	無	9月27日	てんびん座	O	153	B80 W55 H81	マスターのお世話	私はいつでもマスターを見守っています。これからもずっと……	主人公である綺嶋深憂に付き従い、フォローやアドバイスを行う。自分の事はあまり語りたがらないがオッドアイの瞳は何を見つめているのか……。	専諸が呉王僚を刺した時の勇絶の剣で、非常に頑強で実践向き。道理に背き謀反を起こした非道の武器である。	1	203
17	リリヤ		22	8	"[1,2,3]"	98	1	H017	H017_output	H017_normal_attack	hit_11	0.6	0.5	100	180	93	2	260	137	124	88	100	786	0	0	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	210	212				214	216	218	H017_auto214_attack	H017_auto216_attack	H017_auto218_attack	1	0.6	50	[]	1	1	100 	S210_magic_H017_attack	S211_magic_H017_attack	S212_magic_H017_attack	S213_magic_H017_attack			0	0	0	0	无	80	1	1117001	"[1117001,1117002]"	win_017	die_017	love_017	11	B	無	9月14日	乙女座	O	148	B78 W54 H79	料理	私の料理は科学的に間違ってはいない。	研究能力に秀でた情報収集担当。様々な実験を好み、その一環として料理を行うが味はヒドイ。	三日月は刀身に三日月形の刃紋が浮かんでいることから名づけられたと言われている。天下五剣のうちで最も美しい一振りだと称えられている。	1	200
18	ディオニシス		18	4	"[1,2,3]"	98	1	H018	H018_output	H018_normal_attack	hit_11	0.6	0.5	100	170	93	1.6	130	122	68	63	60	465	0	0	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	390	392				394	396	398	H018_auto394_attack	H018_auto396_attack	H018_auto398_attack	1	0.6	50	[]	1	0	100 	S390_magic_H018_attack	S391_magic_H018_attack	S392_magic_H018_attack	S393_magic_H018_attack			0	0	0	0	无	10	1	1118001	"[1118001,1118002]"	win_018	die_018	love_018	7	A	無	7月29日	しし座	O	181	B110 W76 H116	エルマいじり	おまえの手は絶対に離さない	ディオニシスとエルマを引き離せる者は誰もいない。どんな喧嘩をしたとしても、彼らは結局は元の鞘に収まるのだ。	ディオニシスはエルマと対の剣である。誰もそれを引き離すことはできない。エルマと同様、一途な剣である。	1	202
19	リンジー	?ワイズ	26	7	"[1,2,3]"	98	1	H019	H019_output	H019_normal_attack	hit_11	0.6	0.5	100	170	113	1.6	15	148	159	99	99	819	1	0	0	0	0	"[0.85,0.96,0.85,0.96,0.72]"	410	412				414	416	418	H019_auto414_attack	H019_auto416_attack	H019_auto418_attack	1	0.6	50	[]	1	0	100 	S410_magic_H019_attack	S411_magic_H019_attack	S412_magic_H019_attack	S413_magic_H019_attack			0	0	0	0	无	80	1	1119001	"[1119001,1119002]"	win_019	die_019	love_019	1	S	無	11月6日	さそり座	O	174	B94 W66 H95	ツーリング	私が主よ！	最強キラーの称号を持つ。チーム?ミラージュの責任者であり、全てを守っている。	魂が宿る不思議な武器。強大なパワーを秘めているがゆえに、完璧な主人を武器自身が求める。	1	202
20	シェスタ	?アルノー	25	5	"[1,2,3]"	98	1	H020	H020_output	H020_normal_attack	hit_11	0.6	0.5	100	170	93	1.4	260	116	115	84	84	564	0	1	0	0	0	"[0.83,0.94,0.83,0.94,0.72]"	190	192				194	196	198	H020_auto194_attack	H020_auto196_attack	H020_auto198_attack	1	0.6	50	[]	1	1	100 	S190_magic_H020_attack	S191_magic_H020_attack	S192_magic_H020_attack	S193_magic_H020_attack			0	0	0	0	无	30	1	1120001	"[1120001,1120002]"	win_020	die_020	love_020	22	B	無	3月6日	うお座	O	150	B78 W56 H79	お昼寝	あ、あの……頑張ります……	いつも眠そうで頼りなさそうだが、強力なヒーリング能力を持つ彼女は、チームの強力な癒し手である。	ヨーロッパの三大聖剣の一つ。キリストに突き刺されたロンギヌスの槍の先端部分だとも伝えられている。	1	203
21	オルガ	?フェリヤ	21	7	"[1,2,3]"	98	1	H021	H021_output	H021_normal_attack	hit_11	0.6	0.5	100	170	93	1.6	260	126	129	99	99	763	0	0	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	110	112				114	116	118	H021_auto114_attack	H021_auto116_attack	H021_auto118_attack	1	0.6	50	[]	1	0	100 	S110_magic_H021_attack	S111_magic_H021_attack	S112_magic_H021_attack	S113_magic_H021_attack			0	0	0	0	无	80	1	1121001	"[1121001,1121002]"	win_021	die_021	love_021	17	S	無	11月10日	さそり座	O	167	B92 W63 H93	イタズラ	水晶球さん、私の運命の契約者は誰かしら？	美人でセクシーな腹黒女。魔性の美しさを持つ、超危険人物である。	左文字が鍛え、板部岡江雪が所持していたのでこの名がついた。その後は徳川家康に渡った剣である。	1	203
22	ミリアム	?ブランカフォルト	14	4	"[1,2,3]"	98	1	H022	H022_output	H022_normal_attack	hit_11	0.6	0.5	100	170	133	1.6	15	85	75	75	73	495	0	0	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	340	342				344	346	348	H022_auto344_attack	H022_auto346_attack	H022_auto348_attack	1	0.6	50	[]	1	0	100 	S340_magic_H022_attack	S341_magic_H022_attack	S342_magic_H022_attack	S343_magic_H022_attack			0	0	0	0	无	10	1	1122001	"[1122001,1122002]"	win_022	die_022	love_022	12	A	無	8月1日	しし座	O	160	B86 W60 H87	ショッピング	どんな事があろうとも、私は騎士としての誇りを守り抜きますわ	貴族の血を引く名家のお嬢様。プライドが高く、少し高飛車なところはあるが本人には悪気は全く無い。少し常識知らずな面がある。	この世で最も鋭いとされる剣であり、「天使の剣」と呼ばれている。これを持つ者は天帝と天使の庇護を受ける。	1	203
23	エミリ		8	1	"[1,2,3]"	98	1	H023	H023_output	H023_normal_attack	hit_11	0.6	0.5	100	170	113	1.6	15	95	95	60	60	495	0	0	0	0	0	"[0.82,0.93,0.82,0.93,0.72]"	220	222				224	226	228	H023_auto224_attack	H023_auto226_attack	H023_auto228_attack	1	0.6	50	[]	1	0	100 	S220_magic_H023_attack	S221_magic_H023_attack	S222_magic_H023_attack	S223_magic_H023_attack			0	0	0	0	无	10	1	1123001	"[1123001,1123002]"	win_023	die_023	love_023	24	B	無	6月12日	双子座	O	155	B81 W57 H82	日向ぼっこ	私を捕まえられるかニャー？	やりたい放題のやんちゃ猫。イタズラが見付かると猫の姿に変身して逃げるツンデレ娘。	シャムシールは中近東で生まれた剣である。三日月のように美しく細い刀身が特徴の武器。	1	201
24	ウルリカ	?オストラン	10	1	"[1,2,3]"	98	1	H024	H024_output	H024_normal_attack	hit_11	0.6	0.5	100	170	100	1.6	130	119	121	73	73	623	0	1	0	0	0	"[0.83,0.94,0.83,0.94,0.72]"	170	172				174	176	178	H024_auto174_attack	H024_auto176_attack	H024_auto178_attack	1	0.6	50	[]	1	0	100 	S170_magic_H024_attack	S171_magic_H024_attack	S172_magic_H024_attack	S173_magic_H024_attack			0	0	0	0	无	30	1	1124001	"[1124001,1124002]"	win_024	die_024	love_024	5	S	無	1月10日	やぎ座	O	162	B87 W59 H88 	研究	日が落ちて暗くなった時、影の色が濃くなるのが怖い。	辛い過去の記憶を自ら封印している。暗闇を怖がっているが、夜の世界の平和を守ることに固執している。	神代三剣の一振りである。建御雷神や神武天皇が所有していたとされる。	1	202
25	エルマ	?バーディ	15	8	"[1,2,3]"	98	2	H025	H025_output	H025_normal_attack	hit_11	0.6	0.5	100	170	100	1.6	130	126	143	93	88	786	0	0	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	280	282				284	286	288	H025_auto284_attack	H025_auto286_attack	H025_auto288_attack	1	0.6	50	[]	1	0	100 	S280_magic_H025_attack	S281_magic_H025_attack	S282_magic_H025_attack	S283_magic_H025_attack			0	0	0	0	无	80	1	1125001	"[1125001,1125002]"	win_025	die_025	love_025	8	A	無	2月3日	みずがめ座	O	180	B110 W76 H115 	ディオニシスと一緒にいる事	ねえディオン、二人がずっと一緒にいられる方法ってないのかな？	ディオニシスとエルマを引き離せる者は誰もいない。どんな喧嘩をしたとしても、彼らは結局は元の鞘に収まるのだ。	エルマはディオニシスと一対の剣である。誰もそれを引き離すことはできない。ディオニシスと同様、一途な剣である。	1	200
26	ルミア	?シャピー	29	9	"[1,2,3]"	98	1	H026	H026_output	H026_normal_attack	hit_11	0.6	0.5	100	170	100	1.6	15	102	100	109	101	945	0	0	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	370	372	376			374	378		H026_auto374_attack	H026_auto378_attack		1	0.6	50	[]	1	0	100 	S370_magic_H026_attack	S371_magic_H026_attack	S372_magic_H026_attack	S373_magic_H026_attack	S376_magic_H026_attack	S377_magic_H026_attack	0	0	0	0	无	10	1	1126001	"[1126001,1126002]"	win_026	die_026	love_026	26	B	無	1月1日	やぎ座	0	153	B80 W55 H81	美味しい料理を食べる事	世界中の美味しい料理をを食べ尽くすんだから	無邪気で素直。誰とでもすぐに仲良くなり、人を良い方向に導く不思議なパワーを持つ。無敵の超大食い。	「堅硬の剣」には雷の力が宿っており、その攻撃は雷のように速く、一瞬で強大なダメージを与えられる。	1	201
30	ロシェル	?コロン	33	10	"[1,2,3]"	98	1	H030	H030_output	H030_normal_attack	hit_11	0.6	0.5	100	170	100	1.6	130	126	129	99	99	763	0	0	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	470	472				474	476	478	H030_auto474_attack	H030_auto476_attack	H030_auto478_attack	1	0.6	50	[]	1	0	100 	S470_magic_H030_attack	S471_magic_H030_attack	S472_magic_H030_attack	S473_magic_H030_attack			0	0	0	0	无	80	1	1130001	"[1130001,1130002]"	win_030	die_030	love_030	30	A	無	2月27日	うお座	0	158	B86 W61 H87	歌を歌う	私のライブに見に来てね	可愛く天真爛漫な少女。素晴らしい声を持ち、トップアイドルに目指している。	佐佐木小次郎が所有するものらしい。備前国の刀工「長光」が作られたそうです。	1	201
31	ティアナ	?オルトラ	34	10	"[1,2,3]"	98	1	H031	H031_output	H031_normal_attack	hit_11	0.6	0.5	100	170	100	1.6	130	156	153	93	88	786	0	0	0	0	0	"[0.86,0.97,0.86,0.97,0.73]"	480	482				484	486	488	H031_auto484_attack	H031_auto486_attack	H031_auto488_attack	1	0.6	50	[]	1	0	100 	S480_magic_H031_attack	S481_magic_H031_attack	S482_magic_H031_attack	S483_magic_H031_attack			0	0	0	0	无	10	1	1131001	"[1131001,1131002]"	win_031	die_031	love_031	31	SS	無	4月29日	牡牛座	0	157	B82 W61 H83	各種占い	占いによれば、次の次ぐらいに成功するような気がします。	感情の浮き沈みが大きく、ちょっとしたことで落ち込みがち。	宵練剣と含光、承影は孔周の三宝剣と呼ばれる	1	201
41	トゥーラ		44	10	"[1,2,3]"	98	1	H041	H041_output	H041_normal_attack	hit_11	0.6	0.5	100	170	100	1.6	15	100	100	109	105	940	0	0	0	0	0	"[0.84,0.95,0.84,0.95,0.72]"	760	762				764	766	768	H041_auto764_attack	H041_auto766_attack	H041_auto768_attack	1	0.6	50	[]	1	0	100 	S760_magic_H041_attack	S761_magic_H041_attack	S762_magic_H041_attack	S763_magic_H041_attack			0	0	0	0	无	80	1	1141001	"[1141001,1141002]"	win_041	die_041	love_041	41	A	無	1月26日	みずがめ座	A	145	B87 W54 H82	読書（主に恋愛系）	沸騰するような恋愛がしてみたい……	湖から生まれた妖精。心根はやさしいが少々思い込みが激しい。	日本の江戸時代、警察官が使っている武器「袖搦（そでがらみ）」である。	1	203
42	アリーチェ	?カッチャ	45	10	"[1,2,3]"	98	1	H042	H042_output	H042_normal_attack	hit_11	0.6	0.5	100	170	100	1.6	260	136	140	83	98	786	0	0	0	0	0	"[0.85,0.96,0.85,0.96,0.72]"	770	772				774	776	778	H042_auto774_attack	H042_auto776_attack	H042_auto778_attack	1	0.6	50	[]	1	0	100 	S770_magic_H042_attack	S771_magic_H042_attack	S772_magic_H042_attack	S773_magic_H042_attack			0	0	0	0	无	80	1	1142001	"[1142001,1142002]"	win_042	die_042	love_042	42	A	無	4月1日	牡羊座	O	156	B83 W57 H85	手品	種も仕掛けも見て見ぬふりでお願いね?	サーカスで働いていた少女。手品が好きだが腕前はいまいち。	越王勾践の八振りの剣の一つとなります。憑かれた者はこれを見ると、怖くて逃げてしまう伝説がある。	1	200
