number	number	number	number	array2
3045	3	45	4020	"[[5,30,2]]"
3046	3	46	4140	"[[1,1.2]]"
3047	3	47	4260	"[[2,2.5]]"
3048	3	48	4380	"[[3,1]]"
3049	3	49	4620	"[[4,2.5]]"
3050	3	50	4770	"[[5,30,2]]"
3051	3	51	4920	"[[1,1.2]]"
3052	3	52	5070	"[[2,2.5]]"
3053	3	53	5220	"[[3,1]]"
3054	3	54	5520	"[[4,2.5]]"
3055	3	55	5670	"[[5,30,2]]"
3056	3	56	5820	"[[1,1.2]]"
3057	3	57	5970	"[[2,2.5]]"
3058	3	58	6120	"[[3,1]]"
3059	3	59	6420	"[[4,2.5]]"
3060	3	60	0	"[[5,30,2]]"
4000	4	0	10	[]
4001	4	1	30	"[[1,1.2]]"
4002	4	2	60	"[[2,2.5]]"
4003	4	3	100	"[[3,1]]"
4004	4	4	180	"[[4,2.5]]"
4005	4	5	220	"[[5,35,1]]"
4006	4	6	260	"[[1,1.2]]"
4007	4	7	300	"[[2,2.5]]"
4008	4	8	340	"[[3,1]]"
4009	4	9	420	"[[4,2.5]]"
4010	4	10	470	"[[5,35,1]]"
4011	4	11	520	"[[1,1.2]]"
4012	4	12	570	"[[2,2.5]]"
4013	4	13	620	"[[3,1]]"
4014	4	14	720	"[[4,2.5]]"
4015	4	15	770	"[[5,35,1]]"
4016	4	16	820	"[[1,1.2]]"
4017	4	17	870	"[[2,2.5]]"
4018	4	18	920	"[[3,1]]"
4019	4	19	1020	"[[4,2.5]]"
4020	4	20	1100	"[[5,35,1]]"
4021	4	21	1180	"[[1,1.2]]"
4022	4	22	1260	"[[2,2.5]]"
4023	4	23	1340	"[[3,1]]"
4024	4	24	1500	"[[4,2.5]]"
4025	4	25	1580	"[[5,35,1]]"
4026	4	26	1660	"[[1,1.2]]"
4027	4	27	1740	"[[2,2.5]]"
4028	4	28	1820	"[[3,1]]"
4029	4	29	1980	"[[4,2.5]]"
4030	4	30	2080	"[[5,35,1]]"
4031	4	31	2180	"[[1,1.2]]"
4032	4	32	2280	"[[2,2.5]]"
4033	4	33	2380	"[[3,1]]"
4034	4	34	2580	"[[4,2.5]]"
4035	4	35	2680	"[[5,35,1]]"
4036	4	36	2780	"[[1,1.2]]"
4037	4	37	2880	"[[2,2.5]]"
4038	4	38	2980	"[[3,1]]"
4039	4	39	3180	"[[4,2.5]]"
4040	4	40	3300	"[[5,35,1]]"
4041	4	41	3420	"[[1,1.2]]"
4042	4	42	3540	"[[2,2.5]]"
4043	4	43	3660	"[[3,1]]"
4044	4	44	3900	"[[4,2.5]]"
4045	4	45	4020	"[[5,35,2]]"
4046	4	46	4140	"[[1,1.2]]"
4047	4	47	4260	"[[2,2.5]]"
4048	4	48	4380	"[[3,1]]"
4049	4	49	4620	"[[4,2.5]]"
4050	4	50	4770	"[[5,35,2]]"
4051	4	51	4920	"[[1,1.2]]"
4052	4	52	5070	"[[2,2.5]]"
4053	4	53	5220	"[[3,1]]"
4054	4	54	5520	"[[4,2.5]]"
4055	4	55	5670	"[[5,35,2]]"
4056	4	56	5820	"[[1,1.2]]"
4057	4	57	5970	"[[2,2.5]]"
4058	4	58	6120	"[[3,1]]"
4059	4	59	6420	"[[4,2.5]]"
4060	4	60	0	"[[5,35,2]]"
5000	5	0	10	[]
5001	5	1	30	"[[1,1.2]]"
5002	5	2	60	"[[2,2.5]]"
5003	5	3	100	"[[3,1]]"
5004	5	4	180	"[[4,2.5]]"
5005	5	5	220	"[[5,40,1]]"
5006	5	6	260	"[[1,1.2]]"
5007	5	7	300	"[[2,2.5]]"
5008	5	8	340	"[[3,1]]"
5009	5	9	420	"[[4,2.5]]"
5010	5	10	470	"[[5,40,1]]"
5011	5	11	520	"[[1,1.2]]"
5012	5	12	570	"[[2,2.5]]"
5013	5	13	620	"[[3,1]]"
5014	5	14	720	"[[4,2.5]]"
5015	5	15	770	"[[5,40,1]]"
5016	5	16	820	"[[1,1.2]]"
5017	5	17	870	"[[2,2.5]]"
5018	5	18	920	"[[3,1]]"
5019	5	19	1020	"[[4,2.5]]"
5020	5	20	1100	"[[5,40,1]]"
5021	5	21	1180	"[[1,1.2]]"
5022	5	22	1260	"[[2,2.5]]"
5023	5	23	1340	"[[3,1]]"
5024	5	24	1500	"[[4,2.5]]"
5025	5	25	1580	"[[5,40,1]]"
5026	5	26	1660	"[[1,1.2]]"
5027	5	27	1740	"[[2,2.5]]"
5028	5	28	1820	"[[3,1]]"
5029	5	29	1980	"[[4,2.5]]"
5030	5	30	2080	"[[5,40,1]]"
5031	5	31	2180	"[[1,1.2]]"
5032	5	32	2280	"[[2,2.5]]"
5033	5	33	2380	"[[3,1]]"
5034	5	34	2580	"[[4,2.5]]"
5035	5	35	2680	"[[5,40,1]]"
5036	5	36	2780	"[[1,1.2]]"
5037	5	37	2880	"[[2,2.5]]"
5038	5	38	2980	"[[3,1]]"
5039	5	39	3180	"[[4,2.5]]"
5040	5	40	3300	"[[5,40,1]]"
5041	5	41	3420	"[[1,1.2]]"
5042	5	42	3540	"[[2,2.5]]"
5043	5	43	3660	"[[3,1]]"
5044	5	44	3900	"[[4,2.5]]"
5045	5	45	4020	"[[5,40,2]]"
5046	5	46	4140	"[[1,1.2]]"
5047	5	47	4260	"[[2,2.5]]"
5048	5	48	4380	"[[3,1]]"
5049	5	49	4620	"[[4,2.5]]"
5050	5	50	4770	"[[5,40,2]]"
5051	5	51	4920	"[[1,1.2]]"
5052	5	52	5070	"[[2,2.5]]"
5053	5	53	5220	"[[3,1]]"
5054	5	54	5520	"[[4,2.5]]"
5055	5	55	5670	"[[5,40,2]]"
5056	5	56	5820	"[[1,1.2]]"
5057	5	57	5970	"[[2,2.5]]"
5058	5	58	6120	"[[3,1]]"
5059	5	59	6420	"[[4,2.5]]"
5060	5	60	0	"[[5,40,2]]"
