number	string	number	number	number	number	number	number	number	number	number	number	array	number	number	number	number	number	number	array	number	array
16	M104	696	0	348	348	35370000	0	10000	0	28500 	200000	"[20000,20000,20000,20000]"	150	34500 	28750 	23000 	19167 	13417 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
17	M104	718	0	359	359	36360000	0	10000	0	28667 	200000	"[20000,20000,20000,20000]"	150	34800 	29000 	23200 	19333 	13533 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
18	M104	739	0	369	369	37350000	0	10000	0	28833 	200000	"[20000,20000,20000,20000]"	150	35100 	29250 	23400 	19500 	13650 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
19	M104	761	0	380	380	38340000	0	10000	0	29000 	200000	"[20000,20000,20000,20000]"	150	35400 	29500 	23600 	19667 	13767 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
20	M104	934	0	467	467	46890000	0	10000	0	29167 	200000	"[20000,20000,20000,20000]"	150	35700 	29750 	23800 	19833 	13883 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
21	M104	955	0	477	477	47880000	0	10000	0	29500 	200000	"[20000,20000,20000,20000]"	150	36000 	30000 	24000 	20000 	14000 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
22	M104	1002	0	501	501	50040000	0	10000	0	29833 	200000	"[20000,20000,20000,20000]"	150	36300 	30250 	24200 	20167 	14117 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
23	M104	1024	0	512	512	51030000	0	10000	0	30167 	200000	"[20000,20000,20000,20000]"	150	36600 	30500 	24400 	20333 	14233 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
24	M104	1045	0	522	522	52020000	0	10000	0	30500 	200000	"[20000,20000,20000,20000]"	150	36900 	30750 	24600 	20500 	14350 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
25	M104	1067	0	533	533	53010000	0	10000	0	30833 	200000	"[20000,20000,20000,20000]"	150	37200 	31000 	24800 	20667 	14467 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
26	M104	1089	0	544	544	54000000	0	10000	0	31167 	200000	"[20000,20000,20000,20000]"	150	37500 	31250 	25000 	20833 	14583 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
27	M104	1528	0	764	764	71190000	0	10000	0	31500 	200000	"[20000,20000,20000,20000]"	150	37800 	31500 	25200 	21000 	14700 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
28	M104	1549	0	774	774	72180000	0	10000	0	31833 	200000	"[20000,20000,20000,20000]"	150	38100 	31750 	25400 	21167 	14817 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
29	M104	1571	0	785	785	73170000	0	10000	0	32167 	200000	"[20000,20000,20000,20000]"	150	38400 	32000 	25600 	21333 	14933 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
30	M104	1593	0	796	796	74160000	0	10000	0	32500 	200000	"[20000,20000,20000,20000]"	150	38700 	32250 	25800 	21500 	15050 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
31	M104	1614	0	807	807	75150000	0	10000	0	33000 	200000	"[20000,20000,20000,20000]"	150	39000 	32500 	26000 	21667 	15167 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
32	M104	1636	0	818	818	76140000	0	10000	0	33667 	200000	"[20000,20000,20000,20000]"	150	39300 	32750 	26200 	21833 	15283 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
33	M104	1657	0	828	828	77130000	0	10000	0	34333 	200000	"[20000,20000,20000,20000]"	150	39600 	33000 	26400 	22000 	15400 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
34	M104	1679	0	839	839	78120000	0	10000	0	35000 	200000	"[20000,20000,20000,20000]"	150	39900 	33250 	26600 	22167 	15517 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
35	M104	2188	0	1094	1094	102060000	0	10000	0	35667 	200000	"[20000,20000,20000,20000]"	150	40200 	33500 	26800 	22333 	15633 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
36	M104	2210	0	1105	1105	103050000	0	10000	0	36333 	200000	"[20000,20000,20000,20000]"	150	40500 	33750 	27000 	22500 	15750 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
37	M104	2232	0	1116	1116	104040000	0	10000	0	37000 	200000	"[20000,20000,20000,20000]"	150	40800 	34000 	27200 	22667 	15867 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
38	M104	2253	0	1126	1126	105030000	0	10000	0	37667 	200000	"[20000,20000,20000,20000]"	150	41100 	34250 	27400 	22833 	15983 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
39	M104	2275	0	1137	1137	106020000	0	10000	0	38167 	200000	"[20000,20000,20000,20000]"	150	41400 	34500 	27600 	23000 	16100 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
40	M104	3409	0	1704	1704	162729000	0	10000	0	38833 	200000	"[20000,20000,20000,20000]"	150	41700 	34750 	27800 	23167 	16217 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
41	M104	3432	0	1716	1716	163820475	0	10000	0	39833 	200000	"[20000,20000,20000,20000]"	150	42000 	35000 	28000 	23333 	16333 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
42	M104	3456	0	1728	1728	164911950	0	10000	0	40833 	200000	"[20000,20000,20000,20000]"	150	42300 	35250 	28200 	23500 	16450 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
43	M104	3480	0	1740	1740	166003425	0	10000	0	41833 	200000	"[20000,20000,20000,20000]"	150	42600 	35500 	28400 	23667 	16567 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
44	M104	3503	0	1751	1751	167094900	0	10000	0	42833 	200000	"[20000,20000,20000,20000]"	150	42900 	35750 	28600 	23833 	16683 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
45	M104	3991	0	1995	1995	191107350	0	10000	0	43667 	200000	"[20000,20000,20000,20000]"	150	43200 	36000 	28800 	24000 	16800 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
46	M104	4015	0	2007	2007	192198825	0	10000	0	44667 	200000	"[20000,20000,20000,20000]"	150	43500 	36250 	29000 	24167 	16917 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
47	M104	4038	0	2019	2019	193290300	0	10000	0	45667 	200000	"[20000,20000,20000,20000]"	150	43800 	36500 	29200 	24333 	17033 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
48	M104	4062	0	2031	2031	194381775	0	10000	0	46667 	200000	"[20000,20000,20000,20000]"	150	44100 	36750 	29400 	24500 	17150 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
49	M104	4085	0	2042	2042	195473250	0	10000	0	47667 	200000	"[20000,20000,20000,20000]"	150	44400 	37000 	29600 	24667 	17267 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
50	M104	5072	0	2536	2536	242619300	0	10000	0	48500 	200000	"[20000,20000,20000,20000]"	150	44700 	37250 	29800 	24833 	17383 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
51	M104	5097	0	2548	2548	243762750	0	10000	0	49833 	200000	"[20000,20000,20000,20000]"	150	45000 	37500 	30000 	25000 	17500 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
52	M104	5121	0	2560	2560	244906200	0	10000	0	51167 	200000	"[20000,20000,20000,20000]"	150	45300 	37750 	30200 	25167 	17617 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
53	M104	5146	0	2573	2573	246049650	0	10000	0	52500 	200000	"[20000,20000,20000,20000]"	150	45600 	38000 	30400 	25333 	17733 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
54	M104	5171	0	2585	2585	247193100	0	10000	0	53667 	200000	"[20000,20000,20000,20000]"	150	45900 	38250 	30600 	25500 	17850 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
55	M104	5906	0	2953	2953	281912400	0	10000	0	55000 	200000	"[20000,20000,20000,20000]"	150	46200 	38500 	30800 	25667 	17967 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
56	M104	5931	0	2965	2965	283055850	0	10000	0	56333 	200000	"[20000,20000,20000,20000]"	150	46500 	38750 	31000 	25833 	18083 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
57	M104	5956	0	2978	2978	284199300	0	10000	0	57667 	200000	"[20000,20000,20000,20000]"	150	46800 	39000 	31200 	26000 	18200 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
58	M104	5980	0	2990	2990	285342750	0	10000	0	58833 	200000	"[20000,20000,20000,20000]"	150	47100 	39250 	31400 	26167 	18317 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
59	M104	6005	0	3002	3002	286486200	0	10000	0	60167 	200000	"[20000,20000,20000,20000]"	150	47400 	39500 	31600 	26333 	18433 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
60	M104	7311	0	3655	3655	351558900	0	10000	0	61500 	200000	"[20000,20000,20000,20000]"	150	47700 	39750 	31800 	26500 	18550 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
61	M104	7336	0	3668	3668	352702350	0	10000	0	63167 	200000	"[20000,20000,20000,20000]"	150	48000 	40000 	32000 	26667 	18667 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
62	M104	7360	0	3680	3680	353845800	0	10000	0	64667 	200000	"[20000,20000,20000,20000]"	150	48300 	40250 	32200 	26833 	18783 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
63	M104	7385	0	3692	3692	354989250	0	10000	0	66333 	200000	"[20000,20000,20000,20000]"	150	48600 	40500 	32400 	27000 	18900 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
64	M104	7410	0	3705	3705	356132700	0	10000	0	68000 	200000	"[20000,20000,20000,20000]"	150	48900 	40750 	32600 	27167 	19017 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
65	M104	8701	0	4350	4350	419237910	0	10000	0	69500 	200000	"[20000,20000,20000,20000]"	150	49200 	41000 	32800 	27333 	19133 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
66	M104	8726	0	4363	4363	420412545	0	10000	0	71167 	200000	"[20000,20000,20000,20000]"	150	49500 	41250 	33000 	27500 	19250 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
67	M104	8752	0	4376	4376	421587180	0	10000	0	72833 	200000	"[20000,20000,20000,20000]"	150	49800 	41500 	33200 	27667 	19367 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
68	M104	8777	0	4388	4388	422761815	0	10000	0	74333 	200000	"[20000,20000,20000,20000]"	150	50100 	41750 	33400 	27833 	19483 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
69	M104	8802	0	4401	4401	423936450	0	10000	0	76000 	200000	"[20000,20000,20000,20000]"	150	50400 	42000 	33600 	28000 	19600 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
70	M104	10277	0	5138	5138	494057340	0	10000	0	77667 	200000	"[20000,20000,20000,20000]"	150	50700 	42250 	33800 	28167 	19717 	"[10002,10002,10002,10001]"	20001	"[30001,30002,30003,30003,30003]"
