number	array	array	array	number	number	string	string	array	array	string	string	string
20	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		1	（うっ、ドラゴンでもあの龍使い的な奴）小さき人類よ、無駄な抵抗はしない方がいいぞ、我の業火で木っ端微塵になってしまうからな。		[2]	[0]			
21	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	こんなに大っきいファイアーボール！ドラゴンの龍鱗も硬い、通常攻撃は効かないよ！連続技で勝負するぞ！攻撃の瞬間最高ゲージになるんだ。		[1]	[22]			
22	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		1	連続技って何？		[1]	[23]			
23	"[112,-2]"	"[1,1]"	"[1.1,1.1]"		0	さっきみたいに、仲間と一緒に連続技を出すんだ、敵に巻き返しのチャンスを与えないように！一発で仕留めるんだ！		[2]	[0]			
24	"[-1,112]"	"[1,1]"	"[1.1,1.1]"		1	俺がやる！ついてきて！		[2]	[0]			
25	"[109,-1]"	"[1,1]"	"[1.1,1.1]"		0	来たぞ！火山に帰っておねんねしてなこのフタ龍め！！ふ～それじゃあ任せたわ。		[2]	[0]			
26	"[-1,-2]"	"[1,1]"	"[1.1,1.1]"		1	大丈夫！おりゃぁぁああ！肉の塊にしてやるぞ！！		[2]	[0]			
27	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	くそ、火がまだ充分足りてなかったようだ、今回は逃してやる、あっはっはっは！		[1]	[28]			
28	"[109,-2]"	"[1,1]"	"[1.1,1.1]"		0	やっと攻撃をしのいだよ。最近の邪悪な殺器の侵入が多くなってきてる、今回は迷いのドラゴンだ、このままじゃ次の最強の契約者が出てこないと鸢舞ももう耐え切れないよ！		[1]	[29]			
29	"[109,-2]"	"[1,1]"	"[1.1,1.1]"		1	何？殺器……最強の契約者？……鸢舞組織って？		[1]	[30]			
30	"[109,-2]"	"[1,1]"	"[1.1,1.1]"		0	鸢舞は正義の味方よ、アニメでもよくある勝つ方の。小僧、才能があるようだ、入って見る気はないか、99人のかわいこちゃんとともに世界を救うんだ。		[1]	[31]			
31	"[109,-2]"	"[1,1]"	"[1.1,1.1]"		1	（混乱中）何？！なになになに……世界を救うには99人のかわいこちゃんとデートすればいいって……カワイコちゃんとあんなことやこんなこともできるのかな？		[1]	[32]			
32	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	私から説明するわ。		[2]	[0]			
100000	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		1	さっきの説明でもうわかったかな？		[2]	[100001]			
100001	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0	フェルケちゃん、今自分も同じって言わなかった……まさか本当に同じって意味？		[2]	[100002]			
100002	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		1	そう、私も殺器。		[2]	[100003]			
100003	"[-2,116]"	"[1,1]"	"[1.09,1.1]"		1	……マスター、……マスター……。お目覚めですか、マスター？		[1]	[100004]			
100004	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0	……んんっ？　ここは……ええ！？　なんだ、ここは？　さっきまで家にいたはず……マスター？　マスターって俺のこと？　っていうか、うわっっ、きみは誰！？　知ってる人だっけ？		[1]	[100005]			
100005	"[-2,116]"	"[1,1]"	"[1.09,1.1]"		1	どうやら、まだアムネジアに囚われているようですね……。でも御安心下さい。私たちと契約を結べば、いずれはマスターのレゾンデートルも取り戻せるでしょう。		[1]	[100006]			
100006	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0	レゾンデートル？　アムネジア？　ちょっと待って、なにがなんだか、さっぱり……わからないんだけど。いやいや、その前に、俺は……俺は、誰だ！？　ああああ、誰だ、俺！？　名前も覚えてない！？　なんで、そんなことってある！？		[1]	[100007]			
100007	"[-2,116]"	"[1,1]"	"[1.09,1.1]"		1	落ち着いて下さい。マスターの名前は**です。そして私はマスターと運命を共にするリーゼロッテ·コーシカ。		[2]	[100001]			
100008	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0	そ、そうか。俺は、**……きみは、リーゼロッテ·コーシカ。……と言われても、あんまり覚えて無いけど、なんだろう……聞いたこともあるような……無いような……。なんでこんなに、何もわからないんだ……？　記憶喪失……？　それともアレか、若年性の……いやだあああ！		[1]	[100009]			
100009	"[109,116]"	"[1,1]"	"[1.1,1.1]"		0	あら、ようやくマスターのお目覚め？　じゃあさっさとアビスに戻りましょう。		[1]	[100010]			
100010	"[109,-2]"	"[1,1]"	"[1.1,1.1]"		1	うわっ、今度はなに！？　アビスに戻る？　っていうか、きみは……知ってる人？　ゴメン、俺、なんにも覚えてなくてさ……		[2]	[100002]			
100011	"[109,-2]"	"[1,1]"	"[1.1,1.1]"		0	アタシの名前まで忘れちゃってるの！？　信じられない……もう。アタシはクラレッタ·ミューラ。「神撃のスナイパー」って言えば、どう、思い出したでしょ？		[1]	[100012]			
100012	"[109,-2]"	"[1,1]"	"[1.1,1.1]"		1	クラレッタ·ミューラ……神撃のスナイパー？　……うぷぷぷっ、って、あ、いやいや、カッコイイね。その「神撃のスナイパー」っていう二つ名は自分で付けたの？		[1]	[100013]			
100013	"[109,116]"	"[1,1]"	"[1.1,1.1]"		0	（赤面）バッカじゃないの！？　二つ名なんて自分で付けるわけないじゃない！　……己の信じる道を歩んでいたら、自然とそう呼ばれるようになった……それだけの事よ。		[1]	[100014]			
100014	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		1	へーーーー、そうなんだあ……って、ちょっと待て。……リーゼロッテ·コーシカ、クラレッタ·ミューラ、**……。なんだ……？		[1]	[100015]			
100015	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		1	　聞き覚えがあるっていうか……そりゃあ自分の名前なんだから、当たり前っていえばそうなんだけど……そういうのじゃなくて……なんだろう、これ？		[1]	[100016]			
100016	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	では、参りましょう。マスターはまだ目覚めたばかりで混乱しているようです。私たちが案内しますので、その通りに操作をお願いできますか？		[2]	[100002]			
100017	"[-2,109]"	"[1,1]"	"[1.09,1.1]"		1	さあ、さっさとザコ敵を片付けて、サンクチュアリであるアビスに戻るわよ！		[2]	[100003]			
100026	"[-2,114]"	"[1,1]"	"[1.1,1.1]"		1	ようこそ、マスター……と言ってもまだ「マスター候補」でしたわね。私は水桃（シュイタオ）。これからよろしくお願いしますね。		[1]	[100027]			
100027	"[-2,103]"	"[1,1]"	"[1.09,1.1]"		1	……葵華（あいか）。よろしく。		[1]	[100028]			
100028	"[-2,122]"	"[1,1]"	"[1.09,1.1]"		1	私はミリアム·ブランカフォルト。ようこそ、チーム·ミラージュへ。歓迎いたしますわ。		[1]	[100030]			
100029	"[-2,122]"	"[1,1]"	"[1.09,1.1]"		0			[1]	[100030]			
100030	"[-2,115]"	"[1,1]"	"[1.09,1.1]"		1	私はコーディー。コーディー·クロッツよ。気軽にコーディーって呼んでね！		[1]	[100031]			
100031	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		1	ノエリア·グランジェだ。早速だが貴様には戦闘訓練を受けてもらう必要がある。準備は良いか？		[1]	[100032]			
100032	"[-2,115]"	"[1,1]"	"[1.1,1.1]"		0	……準備って言われても……くそっ、なにが起こってるのか相変わらずさっぱりだけど、こんな美少女に囲まれるなら悪くない！　戦闘訓練でもなんでも、やってやるさ！　さあ来いや！　ミスター·チーム·ミラージュとは俺のことだ！		[2]	[100003]			
100033	"[114,115]"	"[1,1]"	"[1.1,1.1]"		0	さすがはマスター候補と行ったところですね。初陣とは思えない戦果でした。		[1]	[100034]			
100034	"[114,115]"	"[1,1]"	"[1.1,1.1]"		1	やるじゃない！　これだったらヴァルハラへ導かれるのも夢じゃないって気がするよ！		[1]	[100037]			
100035	"[114,115]"	"[1,1]"	"[1.1,1.1]"		0			[1]	[100036]			
100036	"[114,115]"	"[1,1]"	"[1.1,1.1]"		1			[1]	[100037]			
100037	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		1	……コーディー、無責任に褒めて調子に乗らせてはいけませんわ。私から見ればまだまだです。……そうでしょう、ノエリア？		[1]	[100038]			
100038	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		1	確かに基礎はいくらか出来ているようだが、教育の余地は多く残されている。若干、尚早な気もするが貴様と契約しよう。さあ、覚悟はいいか？　いくぞ！		[2]	[100004]			
100039	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		1			[1]	[100040]			
100040	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0			[2]	[100004]			
100041	"[-2,114]"	"[1,1]"	"[1.1,1.1]"		1	早速ノエリアに目を付けられたようですね。彼女の特訓は少し厳しいかもしれないけれど、ヴァルハラへ導かれるために必要な試練です。頑張ってくださいね。		[1]	[100042]			
100042	"[107,114]"	"[1,1]"	"[1.1,1.1]"		0	聞き捨てならないな、水桃。マスターであるからには一刻も早く、それにふさわしくなってもらわねばならぬ、それが世の理。厳しい厳しくない、そのような卑近な問題ではない。		[1]	[100043]			
100043	"[-2,114]"	"[1,1]"	"[1.1,1.1]"		0	（……しっかし、なんなんだ、いったい！？　訳もわからないまま戦ったりしてるけど……なんとなく体が動くのも不思議……。でもダメだ、やっぱり何も思い出せない！！）		[1]	[100045]			
100044	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		1			[1]	[100045]			
100045	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	（このチーム·ミラージュの少女たちは、みんな『ヴァルハラ』を目指してるんだな？　ヴァルハラ……ヴァルハラ……なんか覚えてるような気もするんだよな……そこまで行けば、なにかがある……そうだ……確かにそんな記憶が……）		[1]	[100046]			
100046	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		1	おい貴様、聞いているのか！？　今から本格的な訓練を始めるぞ！　私が指導するとはいえ、気を抜けばかすり傷ではすまぬぞ！！		[1]	[100047]			
100047	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		0	え、また訓練！？　ちょっと待って！　え～っと、ヴァルハラ……ヴァルハラ……って、ああ！？　もう戦闘が始まる！？		[2]	[100004]			
100048	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		1	まだまだだな。しかし可能性が無いことは無い。訓練次第で良いマスターになることも出来るだろう。ついてこられればの話だが。		[1]	[100051]			
100049	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		0			[1]	[100050]			
100050	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		1			[1]	[100051]			
100051	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		0	（ノエリアは、可愛いけど『騎士道一直線』という感じだな……）　ええっと、皆は「ヴォイド」という敵の集団と戦っている「チーム·ミラージュ」なんだ……よね？　それで、えっと、俺の役目は……。		[1]	[100052]			
100052	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		1	我々と契約を交わした上で導き手となり、皆をヴァルハラへと誘う宿命を負う――それが貴様の役割だ。分かっているはずだ。		[1]	[100053]			
100053	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		0	（……う～ん、よく分からないけど、やたら大変そうな役目だな……なんで、俺がそんなことに？　ぜんぜん覚えてないって、どういう事なんだよ……。それにしても気になるな……ヴァルハラ……ヴァルハラ……。この辺の単語が、記憶を取り戻す鍵になりそうなんだよなあ……）		[1]	[100054]			
100054	"[-2,107]"	"[1,1]"	"[1.1,1.1]"		1	なんだ、まだ混乱しているのか？　仕方が無いヤツだ、少しだけ休憩時間をやろう。ただしすぐに戻るように。		[2]	[100005]			
100055	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0			[2]	[100005]			
100056	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		1	ノエリアとの特訓の調子はいかがかしら、**？　……聞いたわよ、記憶を失っているのですって？　ふふふ、おかしい。		[1]	[100060]			
100057	"[-2,103]"	"[1,1]"	"[1.1,1.1]"		1			[1]	[100058]			
100058	"[-2,103]"	"[1,1]"	"[1.1,1.1]"		0			[1]	[100059]			
100059	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		1			[1]	[100060]			
100060	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		0	（……おおっと、また新たな美少女の登場だ。なんなんだこの世界は、スゴイな。それもかなりのお嬢様っぽいぞ……自信満々で、なんだか見下されているような……気のせいか？）		[1]	[100063]			
100061	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		1			[1]	[100062]			
100062	"[-2,103]"	"[1,1]"	"[1.1,1.1]"		1			[1]	[100063]			
100063	"[-2,114]"	"[1,1]"	"[1.1,1.1]"		1	**、今日の訓練はミリアムと組んでちょうだい。		[1]	[100064]			
100064	"[114,122]"	"[1,1]"	"[1.1,1.1]"		1	そう、ふふ……早速、貴方の腕前を確認させて頂く機会が来たのですね。記憶を失った貴方に、どこまで期待して良いか少し困りますけど。		[1]	[100065]			
100065	"[114,122]"	"[1,1]"	"[1.1,1.1]"		0	あら。顔色がまるで土のようですけど、気分でも悪いのかしら？　そんな物、気合いでカバーしてもらわねば困りますわ。さあ、私の足手まといにはならないように頼みますよ！		[2]	[100005]			
100066	"[-2,114]"	"[1,1]"	"[1.1,1.1]"		1	今回の戦闘訓練はこれで終了よ。ミリアム、**の成長具合はどうかしら？		[1]	[100067]			
100067	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		1	そうね、悪くは無い……というところかしら？　記憶喪失なんて言うものですから、まるで期待していなかったのですけれど。		[1]	[100070]			
100068	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0			[1]	[100069]			
100069	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		0			[1]	[100072]			
100070	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		1	もちろん、手放しで褒めてあげられるほどではないわよ。そこは勘違いしないでね。……ふふふ。でも、さすがノエリア、というところかしら。彼女の特訓に感謝しなくっちゃね。		[1]	[100071]			
100071	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		0	ああ、うん、ありがとう。（一言一言が、なんだか上から目線だよなあ……）		[1]	[100072]			
100072	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		1	もっと胸を張りなさい。努力をすれば、貴方だって自分の価値を高める事が出来るのよ。……ではまた次の機会に。どれだけ成長しているか楽しみにしていますわ。		[2]	[100006]			
100073	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0	……ふう。この世界についてはなんとなく分かってきたけど、問題はどうして俺がここにいるのか、それから、どうすれば元の世界に戻れるのか、なんだよな……。		[1]	[100074]			
100074	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		1	なにを悩んでいるのですか、マスター？		[1]	[100075]			
100075	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0	ああ、リーゼロッテか。……ねえ、敵のヴォイドって何者なのかな？　やつらは何が目的で攻撃してきてるんだろう？		[1]	[100076]			
100076	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		1	詳しい事は分かっていません。ただ、ヴォイドと戦う事は私たちに課せられたカルマであるという事です。		[1]	[100077]			
100077	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		0	（うーん、なんだろうな……、いくら説明を聞いても、このモヤモヤする感じ……。なんだか、難しい言葉でごまかされてるような……いや、リーゼロッテがごまかしてるとは思わないんだけど……）		[1]	[100078]			
100078	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		1	あら、どうしましたの？　悩むなんて時間の無駄ですけど、相談には乗ってあげてもよろしくてよ。		[2]	[100006]			
100079	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		0			[2]	[100006]			
100080	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		0	ミリアム……じゃあ聞くけど、俺は皆と契約してヴァルハラに行く事が目的なんだよね？　ヴァルハラに行くとどうなるか教えてくれないか？		[1]	[100081]			
100081	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		1	まあ呆れた、本当に忘れてしまったのですね。伝承では……ヴァルハラは神の宮殿で、そこでは戦と饗宴が行われていて、ラグナロクに備えていると聞いてますわ。とするならば、そこからまた新たな戦いに赴くのではないかしら？		[1]	[100082]			
100082	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		0	（……なんだか、どこかでそんな話を聞いたことがあるような……なにかの神話だったかな？　しかし彼女たちも、それほど詳しく知っているわけではないんだな。とすれば、一体どうすれば……）		[1]	[100083]			
100083	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		1	静かに……どこからかクラレッタの声が聞こえてきます。何か揉め事が起こっているようです。		[1]	[100084]			
100084	"[-2,122]"	"[1,1]"	"[1.1,1.1]"		1	あら本当。……休憩室の方からですわね。行ってみましょう。		[2]	[100007]			
100085	"[-2,120]"	"[1,1]"	"[1.1,1.1]"		1	ううっ……ご、ごめんなさい……でも、私……。		[1]	[100086]			
100086	"[109,120]"	"[1,1]"	"[1.1,1.1]"		0	アンタたち、よってたかってシェスタをいじめるなんて……いい加減にしないと怒るわよ！		[1]	[100087]			
100087	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	はあ？　本当のことを言って何が悪い？　シェスタみたいに弱いヤツは、誰も契約なんかしてくれねえって言っただけだ。事実だろーが？　言われて泣いてるなんて、ハハッ、情けねえなあ。		[1]	[100088]			
100088	"[-2,116]"	"[1,1]"	"[1.1,1.1]"		1	……あれはチーム·ウロボロスの連中ですね。ああやって気弱なシェスタをいじめて優越感を得る、たちの悪い連中です。		[1]	[100089]			
100089	"[-2,-1]"	"[1,1]"	"[1.1,1.1]"		0	（チーム·ウロボロス――チーム·ミラージュのライバル……？　まあここは考えるまでもなく、シェスタを助けるのが王道であり正解だな！）		[2]	[100007]			
100090	"[-2,-1]"	"[1,1]"	"[1.1,1.1]"		0	シェスタ、大丈夫だった？		[2]	[100008]			
100091	"[-2,-1]"	"[1,1]"	"[1.1,1.1]"		1			[1]	[100092]			
100092	"[-2,109]"	"[1,1]"	"[1.1,1.1]"		1			[2]	[100008]			
100093	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		0	……あ、ありがとうございます！　私なんかの為に……あ、さっきの戦闘で怪我を？　今、治療しますね！		[1]	[100094]			
100094	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		0			[2]	[100008]			
100095	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		0	いかがでしょうか？　ちゃんと治療出来たと思うんですけど……。あの、本当にすみません……私のことなんか気にかけて下さって……。		[1]	[100096]			
100096	"[120,115]"	"[1,1]"	"[1.1,1.1]"		1	えー！？　すっごーい！　怪我があっという間に治っちゃった！		[1]	[100097]			
100097	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		1	（シェスタはヒーラーの能力を持ってるのか……）　凄い能力だ。……ねえシェスタ、俺たちはヴァルハラに行くための仲間を探していて、ヒーラーの君にもぜひ加わって欲しいんだけど……どうだろう。「私に任せて下さい」って言ってもらえないかな？		[1]	[100098]			
100098	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		0	えええっ！？　でも、でも……私なん……あぁ、いえ……あの……ま、任せて下さいっ！！		[1]	[100099]			
100099	"[120,122]"	"[1,1]"	"[1.1,1.1]"		1	あらあら、ご自分の記憶も失ったままの方が、ずいぶん立派なことを言うようになりましたわね。		[1]	[100100]			
100100	"[120,116]"	"[1,1]"	"[1.1,1.1]"		1	マスターが見初められたのだから大丈夫です。自信をもって私たちと一緒に戦いましょう。		[2]	[100009]			
100101	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		0	今日も**には訓練を受けてもらいます。少しでも早く皆と共鳴できるようになってください。		[1]	[100102]			
100102	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	私とマスターは既にパルスを共鳴できています。あとは、他の皆さんのパルスも感じられるようになってもらえれば良いのですが。		[1]	[100103]			
100103	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		1	（『パルス』とか『共鳴』とか……また聞き慣れない言葉が出てきたぞ……。記憶にはぜんぜん残ってないし、いちいちリーゼロッテに聞くわけにもいかないし……もう少し分かりやすい言葉を使ってくれたらいいんだけどな……）		[1]	[100104]			
100104	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	さあ今日も戦場という舞台で、流麗なる剣舞を踊りましょう。皆様、心の準備はよろしくて！？		[1]	[100105]			
100105	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		1	おうよ！　いつでもＯＫだ！　行くぞ！		[2]	[100009]			
100106	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		0	少しずつだけど着実に成長しているようね。まだ皆とのパルスの共鳴は難しいと思うけれど、いずれは出来るようになると信じているわ。		[1]	[100107]			
100107	"[114,-2]"	"[1,1]"	"[1.1,1.1]"		1	（パルスの共鳴……それが出来たら、どうだっていうんだろう？　……ああ、聞いてみたい！）		[1]	[100108]			
100108	"[122,-2]"	"[1,1]"	"[1.1,1.1]"		0	何をぼんやりしていますの？　次の戦闘に向けて己の内なる魂を磨かねば。確実にヴォイドとの戦闘が近づいていますわ。……まさか、気付いて無いわけではないですよね？		[1]	[100109]			
100109	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	（ヴォイド。……いよいよ本当の戦いが始まるのか。そういえば……もし戦闘で死んじゃったらどうなるんだろう？　もしこれが全部夢だったら、それを切っ掛けに元の世界に戻れたりするとか？　……いや、いやいや、そんな事を考えたらダメだ！）		[1]	[100110]			
100110	"[-1,-2]"	"[1,1]"	"[1.1,1.1]"		1	もちろん、わかってるさ！！　さあ行くぞ、皆、しっかりついて来てくれよ！！		[2]	[100010]			
100111	"[114,-1]"	"[1,1]"	"[1.1,1.1]"		0	それじゃあいよいよ、本格的な実戦訓練を行っていきましょう。パーティーは５人で組んでね。		[2]	[100010]			
100112	"[114,-1]"	"[1,1]"	"[1.1,1.1]"		0	好きなメンバーと組んでいいわよ。気心の知れたメンバーの方が連携も上手くいくでしょうし。		[1]	[100113]			
100113	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	では、私とマスター。それにシェスタとミリアム。あともう一人は……。		[1]	[100114]			
100114	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		1	『好きなメンバー』か。迷っちゃうなあ。ヒーラーはシェスタがいるし、どの娘も可愛いし……うふふふ。どうせなら、戦ってるときも楽しくなっちゃうようなパーティがいいな。誰にしようかな～～？		[1]	[100115]			
100115	"[116,103]"	"[1,1]"	"[1.1,1.1]"		1	あの……私に参加させてもらえますか？		[1]	[100116]			
100116	"[116,103]"	"[1,1]"	"[1.1,1.1]"		0	葵華さん、ありがとう。これで５人ですね。		[1]	[100117]			
100117	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		1	あれ、決まったのか。……という事は、リーゼロッテとシェスタが後衛、葵華は中堅。俺とミリアムが前衛。うん、なかなかいいバランスだぞ。この組み合わせ、いいかも！？		[2]	[100011]			
100118	"[114,-1]"	"[1,1]"	"[1.1,1.1]"		0	パーティは決まったかしら。ではこれより実戦訓練に入ります。メンバー間での連携など、今のうちにしっかり掴んで戦いに慣れておいてね。皆、頑張って！		[2]	[100011]			
100119	"[114,-1]"	"[1,1]"	"[1.1,1.1]"		0	では今から皆で反省会をしましょう。自分に足りないものを自覚して、今後の戦闘の指針にしてね。		[1]	[100120]			
100120	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		0	……ごめんなさいっ！　私、皆さんの足を引っ張ってばっかりで……治療に入るのも遅いし、せっかくパーティに入れていただいたのに……ごめんなさいっ！		[1]	[100121]			
100121	"[120,116]"	"[1,1]"	"[1.1,1.1]"		1	そんなことありません、とても助かりましたよシェスタ。しかしやはり、実戦は緊張感がまったく違いますね。		[1]	[100122]			
100122	"[120,122]"	"[1,1]"	"[1.1,1.1]"		1	あらそう？　私は十分に想定の範囲でしたけれど。逆に皆さんは、ヴォイドとの戦闘をどれだけ甘く考えていらっしゃったのかしら？		[1]	[100123]			
100123	"[120,-2]"	"[1,1]"	"[1.1,1.1]"		1	（相変わらず高飛車なのは鼻につくけど……）　確かにミリアムの言うとおりだ。もっと気を引き締めていかないとな。これからはもう、訓練じゃないんだ……！		[1]	[100124]			
100124	"[-1,103]"	"[1,1]"	"[1.1,1.1]"		1	でも楽しかったですね……次はもっと上手くやれると思います。		[1]	[100125]			
100125	"[-1,120]"	"[1,1]"	"[1.1,1.1]"		1	私も、あの……あの……次は、もっと頑張ります！　だから……次もパーティに入れてください！！		[2]	[100012]			
100126	"[-1,-1]"	"[1,1]"	"[1.1,1.1]"		0	……ズズズゥゥゥ……ン……！　ズズゥゥゥ……ン……！		[1]	[100127]			
100127	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		1	なんだっ！？　遠くで、なにか地響きみたいな音が……鳴ってる……。ヤバイ……なんかヤバイ空気を感じるぞ……敵か？		[1]	[100128]			
100128	"[116,-2]"	"[1,1]"	"[1.1,1.1]"		0	私たちのサンクチュアリであるアビス近辺は安全です。敵の攻撃もここまでは届きません。		[1]	[100129]			
