number	string	array2
63	[应用汇]公会礼包	"[[12401,3],[12402,1],[17502,2]]"
64	[应用汇]开服登陆礼包	"[[12401,3],[11001,10],[11003,2]]"
65	[应用汇]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
66	[应用汇]召集礼包	"[[12402,3],[10003,300],[10013,3],[17502,2],[19001,5],[11003,5]]"
67	[应用汇]入驻礼包	"[[12401,3],[12402,1],[10013,2],[17302,2],[19001,5],[11002,5]]"
68	[UC]属性提升礼包	"[[17102,3],[17202,3],[19002,5],[19003,5],[15001,2000]]"
69	[UC]材料大礼包	"[[12102,10],[12106,10],[12112,10],[12110,10],[12109,10],[12105,10]]"
70	[魅族]新手礼包	"[[10001,50000],[10003,200]]"
71	[魅族]特权礼包	"[[12401,2],[10013,1]]"
72	[魅族]召集礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
73	[魅族]开服登录礼包	"[[12401,3],[11001,10],[11003,2]]"
74	[官方]新手礼包	"[[10001,50000],[10003,200]]"
75	[官方]特权礼包	"[[12401,2],[10013,1]]"
76	[官方]公会礼包	"[[12401,3],[12402,1],[17502,2]]"
77	[官方]预热礼包1	"[[10001,80000],[10003,300],[10013,2],[12401,2],[12402,2]]"
78	[官方]预热礼包2	"[[10013,8],[11003,3]]"
79	[官方]开服登录礼包	"[[12401,3],[11001,10],[11003,2]]"
80	[官方]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
81	[官方]截图活动礼包	"[[10001,80000],[10003,400],[30016,10]]"
82	[官方]召集礼包	"[[10003,300],[12402,3],[10013,3],[17502,2],[11003,5],[19001,5]]"
83	[官方]入驻礼包	"[[12401,3],[12402,1],[10013,2],[17302,2],[19001,5],[11002,5]]"
84	[官方]会长礼包	"[[12401,3],[10013,1],[17402,2],[19001,5],[11001,10]]"
85	[官方]属性提升礼包	"[[17102,3],[17202,3],[19002,5],[19003,5],[15001,2000]]"
86	[官方]材料大礼包	"[[12102,10],[12106,10],[12112,10],[12110,10],[12109,10],[12105,10]]"
87	[UC]万圣节礼包	"[[10001,60000],[12402,2],[10003,400],[10013,5]]"
88	[百度]独家礼包	"[[10001,80000],[10003,400],[30016,10]]"
89	[拇指玩]特权礼包	"[[12401,2],[10013,1]]"
90	[拇指玩]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
91	市场礼包	"[[10003,200],[10001,50000],[10013,10]]"
92	[好盟]新手礼包	"[[10001,50000],[10003,200]]"
93	[好盟]特权礼包	"[[12401,2],[10013,1]]"
94	[好盟]开服登录礼包	"[[12401,3],[11001,10],[11003,2]]"
95	[好盟]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
96	[好盟]推广礼包	"[[10001,50000],[10003,200],[10013,2],[17302,3],[19001,5]]"
97	[7723]新手礼包	"[[10001,50000],[10003,200]]"
98	[7723]特权礼包	"[[12401,2],[10013,1]]"
99	[7723]开服登录礼包	"[[12401,3],[11001,10],[11003,2]]"
100	[7723]召回礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
101	[金立]新手成长礼包	"[[10001,30000],[10003,100]]"
102	[金立]新手豪华礼包	"[[17102,1],[10013,1],[10003,100]]"
103	[金立]新手精品礼包	"[[10001,50000],[10003,200],[30022,5],[19001,5]]"
104	[VIVO]新手尊享礼包	"[[10001,30000],[10003,100]]"
105	[VIVO]新手豪华礼包	"[[17102,1],[10013,1],[10003,100]]"
106	[VIVO]新手精品礼包	"[[10001,50000],[10003,200],[30022,5],[19001,5]]"
107	[OPPO]新手扶持礼包	"[[10001,30000],[10003,100]]"
108	[OPPO]新手白金礼包	"[[17102,1],[10013,1],[10003,100]]"
109	[OPPO]新手至尊礼包	"[[10001,50000],[10003,200],[30022,5],[19001,5]]"
110	[18183]精品礼包	"[[10001,30000],[10003,200],[24001,3]]"
111	[18183]尊享礼包	"[[10001,50000],[10003,200],[10013,1],[15001,200]]"
112	[酷嘟]新手礼包	"[[10001,50000],[10003,200]]"
113	[酷嘟]召集礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
114	[优酷]新手礼包	"[[10001,50000],[10003,200]]"
115	[优酷]新手至尊礼包	"[[10001,50000],[10003,200],[30022,5],[19001,5]]"
116	[叉叉助手]新手礼包	"[[10001,50000],[10003,200]]"
117	[叉叉助手]召集礼包	"[[17502,1],[17102,1],[12001,5],[12002,5],[30018,5]]"
118	开服公会豪华礼包	"[[10003,188],[19002,5],[19003,5],[19004,5]]"
119	开服公会精品礼包	"[[10003,88],[19001,5],[19002,5]]"
120	[追追]新手礼包	"[[10001,50000],[10003,200]]"
121	[追追]新手至尊礼包	"[[10001,50000],[10003,200],[30022,5],[19001,5]]"
122	[辉耀首发]新手成长礼包	"[[10001,30000],[10003,100]]"
123	[辉耀首发]新手豪华礼包	"[[17102,1],[10013,1],[10003,100]]"
124	[辉耀首发]新手至尊礼包	"[[10001,50000],[10003,200],[30022,5],[19001,5]]"
125	[偶玩]独家精品礼包	"[[10003,100],[10005,60],[17101,1],[17301,1]]"
126	微信关注礼包	"[[10013,2],[10003,200],[12402,1],[12106,5],[12003,5]]"
127	[辉耀]普通礼包	"[[10001,30000],[15001,200],[11003,4],[12401,2]]"
128	[辉耀]高级礼包	"[[10001,40000],[10003,50],[30016,5],[12402,3]]"
129	新春礼包	"[[30004,15],[12103,18],[12104,18],[12112,18],[10001,66666]]"
130	女人节礼包	"[[10001,38000],[15001,500],[10013,1],[10015,2],[10040,2]]"
131	贴吧专属高级礼包	"[[17102,1],[10013,1],[10003,100],[10001,88888]]"
132	[潮游]新手礼包	"[[10001,50000],[10003,200]]"
133	[潮游]特权礼包	"[[12401,2],[10013,1]]"
