number	string	array	string	number
1711	手上天使	"[224,235]"	170121	11
1801	黑物质	"[123,8]"	180111	1
1802	生气	"[123,8]"	180112	2
1901	广告牌	"[0,0]"	190111	1
1902	黄金甲	"[58,0]"	190112	2
1903	黑衣人	"[788,185]"	190113	3
1904	痒痒挠	"[59,42]"	190114	4
1906	衣服破	"[218,8]"	190116	6
1907	洗发水	"[95,0]"	190117	7
1908	僵尸娃娃	"[690,204]"	190118	8
1909	翘刘海	"[223,14]"	190119	9
1910	丝袜掉	"[226,9]"	190120	10
2001	星星眼	"[238,108]"	200111	1
2002	挡飞船	"[705,107]"	200112	2
2003	脸红	"[247,125]"	200113	3
2004	枕头	"[386,0]"	200114	4
2005	拿照片	"[165,412]"	200115	5
2006	刺猬	"[165,101]"	200116	6
2007	偷拍	"[232,0]"	200117	7
2008	眼罩	"[232,94]"	200118	8
2009	毛球	"[114,0]"	200119	9
2010	蜘蛛	"[232,0]"	200120	10
2101	冻手	"[0,296]"	210111	1
2102	流泪	"[45,64]"	210112	2
2103	邪笑	"[206,144]"	210113	3
2104	冰块	"[523,347]"	210114	4
2105	雪山	"[526,460]"	210115	5
2107	红酒撒	"[0,490]"	210117	7
2108	手里酒杯	"[82,109]"	210118	8
2109	彩带	"[86,174]"	210119	9
2110	礼帽	"[184,1]"	210120	10
2111	彩旗	"[297,0]"	210121	11
2112	礼花	"[514,314]"	210122	12
2201	脸红	"[197,134]"	220111	1
2202	眼镜	"[197,133]"	220112	2
2203	挎包	"[206,181]"	220113	3
2204	购物袋	"[380,190]"	220114	4
2205	抓裙角	"[487,459]"	220115	5
2206	水母电击	"[68,160]"	220116	6
2207	脸红	"[222,172]"	220117	7
2208	胖次	"[412,406]"	220118	8
2301	身上发光	"[87,60]"	230111	1
2302	掀裙子	"[165,300]"	230112	2
2303	惊吓	"[243,74]"	230113	3
2304	惊吓	"[243,74]"	230114	4
2305	瞌睡	"[274,121]"	230115	5
2306	身上发亮	"[0,0]"	230116	6
2307	掀裙子	"[195,394]"	230117	7
2308	脸红	"[249,157]"	230118	8
2309	生气	"[249,157]"	230119	9
2310	微醒	"[274,121]"	230120	10
2311	开门	"[648,395]"	230121	11
2401	光效	"[0,0]"	240111	1
2402	脸红	"[260,160]"	240112	2
2403	惊吓	"[260,160]"	240113	3
2404	着火	"[110,330]"	240114	4
2501	脸红胖次	"[214,85]"	250111	1
2502	头上鸟巢	"[209,37]"	250112	2
2503	病娇流血	"[192,64]"	250113	3
2504	头上长草	"[217,19]"	250114	4
2505	干将莫邪	"[202,79]"	250115	5
2601	雷弓	"[95,0]"	260111	1
2602	雷箭	"[0,191]"	260112	2
2603	螺旋雷	"[433,373]"	260113	3
2604	玩具1	"[67,440]"	260114	4
2605	玩具2	"[438,227]"	260115	5
2606	玩具3	"[786,239]"	260116	6
2701	头上角	"[170,32]"	270111	1
2702	笑颜	"[213,108]"	270112	2
2703	马背小动物	"[301,231]"	270113	3
2704	地面1	"[605,362]"	270114	4
2705	地面2	"[742,309]"	270115	5
2706	脸红	"[217,108]"	270116	6
2707	箭掉	"[195,162]"	270117	7
2708	粉兔子	"[608,326]"	270118	8
2709	惊喜脸	"[216,110]"	270119	9
2710	锁链1	"[113,378]"	270120	10
2711	锁链2	"[242,448]"	270121	11
2712	锁链3	"[299,378]"	270122	12
2801	卷毛	"[219,71]"	280111	1
2802	脸红	"[258,133]"	280112	2
2803	倒红酒	"[0,302]"	280113	3
2804	腹黑脸	"[255,128]"	280114	4
2805	战旗1	"[0,44]"	280115	5
2806	战旗2	"[406,44]"	280116	6
2807	战字旗	"[703,44]"	280117	7
2808	委屈脸	"[220,131]"	280118	8
2809	大锤上	"[35,0]"	280119	9
2810	大锤下	"[62,276]"	280120	10
2901	手改位置	"[136,183]"	290111	1
2902	笑颜	"[266,97]"	290112	2
2903	抬手	"[344,171]"	290113	3
2904	人偶线1	"[109,0]"	290114	4
2905	死气人偶	"[232,94]"	290115	5
2906	人偶线2	"[333,0]"	290116	6
2907	衣服扒光	"[240,100]"	290117	7
2908	翅膀左	"[95,184]"	290118	8
2909	翅膀右	"[346,140]"	290119	9
3001	猪鼻子	"[200,116]"	300111	1
3002	小猪音箱1	"[13,359]"	300112	2
3003	小猪音箱2	"[458,332]"	300113	3
3004	兔子汤圆	"[290,239]"	300114	4
3005	黑线脸	"[202,106]"	300115	5
3006	黑线兔子1	"[40,415]"	300116	6
3007	黑线兔子2	"[464,386]"	300117	7
3008	委屈脸	"[204,111]"	300118	8
3009	烧麦克风	"[406,120]"	300119	9
3010	大兔子	"[606,137]"	300120	10
3101	委屈脸	"[245,124]"	310111	1
3102	小恶魔	"[77,279]"	310112	2
3103	憧憬脸	"[245,117]"	310113	3
3104	羽毛	"[0,117]"	310114	4
3105	脸红	"[248,125]"	310115	5
3106	猫钻裙子	"[23,353]"	310116	6
3107	害羞	"[247,122]"	310117	7
3108	巧克力	"[325,393]"	310118	8
3109	姐妹娃娃	"[348,442]"	310119	9
3201	邪王真眼	"[256,112]"	320111	1
3202	脸红	"[233,107]"	320112	2
3203	胖次	"[280,92]"	320113	3
3204	咀嚼	"[279,98]"	320114	4
3205	红薯	"[478,28]"	320115	5
3206	果酱	"[129,0]"	320116	6
3301	诡异笑	"[181,54]"	330111	1
3302	左翼	"[42,159]"	330112	2
3303	右翼	"[304,146]"	330113	3
3304	恶魔尾巴	"[332,243]"	330114	4
3305	揪呆毛	"[178,0]"	330115	5
3306	恶魔汗颜	"[382,84]"	330116	6
3307	脸红	"[199,109]"	330117	7
3308	剪衣服	"[113,176]"	330118	8
3309	恶魔怒颜	"[392,84]"	330119	9
3310	乖	"[0,0]"	330120	10
3311	惊吓	"[196,95]"	330121	11
3312	钻裙子	"[97,303]"	330122	12
3313	恶魔流汗	"[388,88]"	330123	13
3401	音符1	"[108,31]"	340111	1
3402	陶醉状	"[248,100]"	340112	2
3403	音符2	"[340,26]"	340113	3
3404	微笑	"[224,99]"	340114	4
3405	鸽子1	"[0,170]"	340115	5
3406	鸽子2	"[297,419]"	340116	6
3407	鸽子3	"[502,0]"	340117	7
3408	鸽子4	"[462,201]"	340118	8
3409	爆炸	"[40,77]"	340119	9
3410	惊讶状	"[246,98]"	340120	10
3411	脸红玫瑰	"[0,98]"	340121	11
3412	坏笑	"[246,98]"	340122	12
3413	炸弹	"[467,0]"	340123	13
3501	发射炮弹	"[480,11]"	350111	1
3502	发射激光	"[840,182]"	350112	2
3503	空军头盔	"[144,50]"	350113	3
3504	发丝	"[285,127]"	350114	4
3505	空军夹克	"[92,363]"	350115	5
3506	剪头发	"[370,58]"	350116	6
3507	闭眼睛	"[183,110]"	350117	7
3508	爆炸	"[324,213]"	350118	8
3509	脸红	"[182,106]"	350119	9
3510	脱鞋子	"[267,319]"	350120	10
3601	笑颜	"[146,135]"	360111	1
3602	苹果灯	"[236,173]"	360112	2
3603	惊讶状	"[145,126]"	360113	3
3604	惊讶状	"[145,126]"	360114	4
3605	毛毛虫	"[149,46]"	360115	5
3606	年糕	"[145,134]"	360116	6
3607	小猴子	"[145,43]"	360117	7
3701	斜眼看	"[219,104]"	370111	1
3702	灭火	"[508,104]"	370112	2
3703	哭泣脸	"[219,104]"	370113	3
3704	食材1	"[114,437]"	370114	4
3705	食材2	"[501,359]"	370115	5
3706	食材3	"[613,340]"	370116	6
3707	食材4	"[729,468]"	370117	7
3708	食材5	"[750,172]"	370118	8
3709	食材6	"[873,254]"	370119	9
3710	食材7	"[883,340]"	370120	10
3711	食材8	"[914,488]"	370121	11
3712	摸摸头	"[217,0]"	370122	12
3713	脸红	"[217,106]"	370123	13
3714	绝赞料理	"[0,48]"	370124	14
3715	投食	"[146,103]"	370125	15
3801	藐视	"[239,95]"	380111	1
3802	手上抓蛇	"[191,287]"	380112	2
3803	彩虹	"[220,0]"	380113	3
3804	钱1	"[0,359]"	380114	4
3805	钱2	"[426,102]"	380115	5
3806	钱3	"[558,33]"	380116	6
3807	钱4	"[810,0]"	380117	7
3808	惊讶状	"[237,97]"	380118	8
3809	红色小龙	"[512,234]"	380119	9
3810	圣诞帽子	"[146,32]"	380120	10
3811	矮人荡秋千	"[97,247]"	380121	11
3901	珠宝	"[122,341]"	390111	1
3902	蝴蝶	"[284,45]"	390112	2
3903	笑颜	"[214,114]"	390113	3
3904	鲜花	"[37,426]"	390114	4
3905	狙击	"[618,376]"	390115	5
3906	猫	"[209,114]"	390116	6
4001	红眼	"[238,107]"	400111	1
4002	鬼1	"[689,162]"	400112	2
4003	鬼2	"[854,67]"	400113	3
4004	脸红	"[239,93]"	400114	4
4005	巧克力	"[336,109]"	400115	5
4006	不爽	"[240,94]"	400116	6
4007	揪尾巴	"[358,306]"	400117	7
4008	幽灵1	"[376,434]"	400118	8
4009	幽灵2	"[579,296]"	400119	9
4010	西瓜1	"[351,117]"	400120	10
4011	西瓜2	"[0,419]"	400121	11
4012	西瓜3	"[265,443]"	400122	12
4013	西瓜4	"[654,428]"	400123	13
4101	水莲花	"[285,109]"	410111	1
4102	鸭子	"[612,408]"	410112	2
4103	开心脸	"[221,83]"	410113	3
4104	小袖搦	"[604,125]"	410114	4
4105	墨水	"[358,394]"	410115	5
4106	无神	"[216,84]"	410116	6
4107	害羞	"[216,84]"	410117	7
4108	UFO	"[349,22]"	410118	8
4201	笑颜	"[236,125]"	420111	1
4202	羽毛	"[267,188]"	420112	2
4203	面具	"[207,121]"	420113	3
4204	咸鱼1	"[69,55]"	420114	4
4205	咸鱼2	"[376,215]"	420115	5
4206	咸鱼3	"[88,333]"	420116	6
4207	唱歌	"[119,121]"	420117	7
4208	怪物笑1	"[557,288]"	420118	8
4209	怪物笑2	"[528,431]"	420119	9
4210	怪物笑3	"[683,416]"	420120	10
4211	害怕	"[209,122]"	420121	11
4212	眼睛1	"[364,148]"	420122	12
4213	眼睛2	"[526,130]"	420123	13
4214	眼睛3	"[668,52]"	420124	14
4301	牙刷	"[293,164]"	430111	1
4302	牙膏	"[159,243]"	430112	2
4303	脑袋翅膀	"[180,57]"	430113	3
4304	惊讶状	"[228,130]"	430114	4
4305	左翅膀	"[99,440]"	430115	5
4306	右翅膀	"[324,447]"	430116	6
4307	回旋镖	"[292,134]"	430117	7
4308	黑暗物质1	"[306,49]"	430118	8
4309	黑暗物质2	"[77,129]"	430119	9
4310	痛苦状	"[229,129]"	430120	10
4311	黑暗物质3	"[109,308]"	430121	11
4312	黑暗物质4	"[309,313]"	430122	12
4313	脸红	"[229,129]"	430123	13
4314	草莓胖次	"[178,324]"	430124	14
4401	皱眉	"[231,85]"	440111	1
4402	子弹1	"[681,94]"	440112	2
4403	子弹2	"[18,382]"	440113	3
4404	子弹3	"[257,309]"	440114	4
4405	子弹4	"[392,131]"	440115	5
4406	领带	"[192,95]"	440116	6
4407	家徽	"[294,330]"	440117	7
4408	微笑	"[249,124]"	440118	8
4409	老鼠	"[419,176]"	440119	9
4410	脸红	"[231,86]"	440120	10
4411	不高兴	"[231,86]"	440121	11
4412	幽灵	"[324,72]"	440122	12
4501	面具	"[189,98]"	450111	1
4502	口水	"[213,155]"	450112	2
4503	烤鸡1	"[575,87]"	450113	3
4504	烤鸡2	"[659,65]"	450114	4
4505	生气	"[197,108]"	450115	5
4506	灭火器	"[563,262]"	450116	6
4507	惊讶	"[195,118]"	450117	7
4508	袜子破	"[292,401]"	450118	8
4509	火苗1	"[779,309]"	450119	9
4510	火苗2	"[953,399]"	450120	10
4601	想吃	"[262,114]"	460111	1
4602	大块肉	"[532,437]"	460112	2
4603	闭眼	"[295,117]"	460113	3
4604	飞鹰	"[545,77]"	460114	4
4605	战伤	"[179,48]"	460115	5
4606	裙子破烂	"[314,326]"	460116	6
4607	长枪断裂	"[544,508]"	460117	7
4608	异瞳	"[266,114]"	460118	8
4609	宝石发光1	"[179,168]"	460119	9
4610	宝石发光2	"[160,254]"	460120	10
4611	长枪发光	"[73,344]"	460121	11
4612	忍不住笑	"[262,117]"	460122	12
4613	痒痒	"[249,287]"	460123	13
4701	尴尬笑	"[231,94]"	470111	1
4702	魔杖脱手	"[376,51]"	470112	2
4703	召唤兽转圈	"[19,94]"	470113	3
4704	惊吓	"[230,91]"	470114	4
4705	蓝色手	"[362,307]"	470115	5
4706	召唤兽	"[102,158]"	470116	6
4707	笑颜	"[233,96]"	470117	7
4708	红心魔杖	"[481,77]"	470118	8
4709	惊讶	"[230,94]"	470119	9
4710	花花1	"[125,270]"	470120	10
4711	花花2	"[263,39]"	470121	11
4712	花花3	"[382,239]"	470122	12
4713	花花4	"[371,353]"	470123	13
4714	魔杖坏掉	"[433,54]"	470124	14
4801	饭团	"[374,132]"	480111	1
4802	鱼竿	"[0,188]"	480112	2
4803	鱼上钩	"[484,0]"	480113	3
4804	松鼠	"[357,42]"	480114	4
4805	双手蒙住眼睛	"[317,42]"	480115	5
4806	委屈脸	"[369,130]"	480116	6
4807	许多棒球	"[504,36]"	480117	7
4901	惊讶表情	"[230,131]"	490111	1
4902	头发	"[287,89]"	490112	2
4903	铃铛	"[332,176]"	490113	3
4904	狐狸	"[469,195]"	490114	4
4905	呆滞表情	"[228,134]"	490115	5
4906	剑带飞扬	"[133,6]"	490116	6
4907	委屈脸	"[229,134]"	490117	7
4908	乌鸦	"[48,298]"	490118	8
4909	刀面发光	"[26,5]"	490119	9
5001	面具	"[144,148]"	500111	1
5002	双目失神	"[144,148]"	500112	2
5003	推进器	"[329,279]"	500113	3
5004	闭一只眼	"[144,148]"	500114	4
5005	折翼	"[445,17]"	500115	5
5006	蜂蜜棍	"[46,387]"	500116	6
5007	嘴角留蜂蜜	"[170,188]"	500117	7
5008	蜂蜜罐	"[545,393]"	500118	8
5009	猎人印记	"[100,143]"	500119	9
5101	血蝙蝠	"[453,392]"	510111	1
5102	骷髅鬼火	"[310,59]"	510112	2
5103	嘴角血迹	"[206,115]"	510113	3
5104	胸口血迹	"[201,206]"	510114	4
5105	烛台鬼火	"[735,108]"	510115	5
5106	一点鬼火	"[828,75]"	510116	6
5107	窗口鬼火	"[900,39]"	510117	7
5108	面部狰狞	"[205,116]"	510118	8
5109	爆衣	"[192,234]"	510119	9
5201	坏笑	"[240,157]"	520111	1
5202	毛笔	"[406,108]"	520112	2
5203	蛇被画黑眼圈	"[509,215]"	520113	3
5204	闭眼	"[267,133]"	520114	4
5205	心型烟雾	"[385,0]"	520115	5
5206	红色感叹号	"[234,105]"	520116	6
5207	水中出现蛇	"[705,257]"	520117	7
5208	生气	"[232,116]"	520118	8
5209	裙子飞起	"[263,296]"	520119	9
5210	白蛇吐舌	"[524,294]"	520120	10
5211	小白兔	"[742,467]"	520121	11
5301	惊恐脸	"[227,132]"	530111	1
5302	脚镣	"[29,458]"	530112	2
5303	大警车撞坏	"[0,465]"	530113	3
5304	小警车撞坏	"[413,402]"	530114	4
5305	委屈脸	"[227,132]"	530115	5
5306	警服撕开	"[201,231]"	530116	6
5307	问号	"[226,104]"	530117	7
5308	钞票	"[455,474]"	530118	8
5309	多张钞票	"[526,401]"	530119	9
5310	小偷	"[625,383]"	530120	10
5311	闭一只眼	"[230,132]"	530121	11
5312	开枪	"[614,0]"	530122	12
5401	出现弓兵	"[693,275]"	540111	1
5402	武器缠绕玫瑰藤	"[500,448]"	540112	2
5403	摘下眼上玫瑰	"[269,121]"	540113	3
5404	生气脸	"[254,97]"	540114	4
5405	剪刀	"[549,409]"	540115	5
5406	害羞脸	"[267,119]"	540116	6
5407	送玫瑰	"[331,149]"	540117	7
5501	羞涩脸	"[157,131]"	550111	1
5502	出现胖次	"[767,283]"	550112	2
5503	害羞脸	"[170,137]"	550113	3
5504	手拿钞票	"[357,403]"	550114	4
5505	一只手	"[95,244]"	550115	5
5506	两只手	"[294,25]"	550116	6
5507	惊恐脸	"[155,129]"	550117	7
5508	鞋破	"[801,314]"	550118	8
5509	羞涩	"[152,131]"	550119	9
5510	胖次掉下	"[372,368]"	550120	10
5601	出汗	"[166,49]"	560111	1
5602	头发旁出火焰	"[112,133]"	560112	2
5603	出朱雀	"[233,37]"	560113	3
5604	羞涩脸	"[231,124]"	560114	4
5605	衣服破	"[200,239]"	560115	5
5606	眯眼	"[263,126]"	560116	6
5607	火花	"[702,20]"	560117	7
5608	嘴里叼食物	"[233,119]"	560118	8
5609	食物1	"[26,477]"	560119	9
5610	食物2	"[450,241]"	560120	10
5611	食物3	"[628,339]"	560121	11
5701	戴眼镜	"[219,126]"	570111	1
5702	拆字1	"[139,0]"	570112	2
5703	拆字2	"[458,28]"	570113	3
5704	惊讶脸	"[221,116]"	570114	4
5705	挖斗放电	"[347,64]"	570115	5
5706	脸黑	"[214,76]"	570116	6
5707	手黑	"[166,296]"	570117	7
5708	田鼠1	"[34,377]"	570118	8
5709	田鼠2	"[694,100]"	570119	9
5801	眯眼	"[226,128]"	580111	1
5802	爱心箭	"[464,146]"	580112	2
5803	兔儿	"[238,24]"	580113	3
5804	兔子	"[463,0]"	580114	4
5805	惊讶脸	"[218,126]"	580115	5
5806	弓碎	"[395,86]"	580116	6
5807	严肃脸	"[224,131]"	580117	7
5808	闪电绕弓上	"[378,0]"	580118	8
5809	闪电绕弓中	"[386,285]"	580119	9
5810	闪电绕弓下	"[256,383]"	580120	10
5811	塔尖碎1	"[634,270]"	580121	11
5812	塔尖碎2	"[896,126]"	580122	12
5813	塔尖碎3	"[944,0]"	580123	13
5814	拿小帽	"[96,73]"	580124	14
5815	正视脸	"[226,129]"	580125	15
5901	狼	"[685,189]"	590111	1
5902	正眼	"[231,145]"	590112	2
5903	鞋拉链开	"[274,413]"	590113	3
5904	骚虎头	"[418,151]"	590114	4
5905	红眼	"[172,155]"	590115	5
5906	左手红纹	"[129,155]"	590116	6
5907	右手红纹	"[308,289]"	590117	7
5908	虎眼	"[429,195]"	590118	8
5909	红月	"[549,20]"	590119	9
5910	笑脸	"[230,145]"	590120	10
5911	萌虎	"[427,95]"	590121	11
6001	笑脸	"[240,122]"	600111	1
6002	蝴蝶	"[503,0]"	600112	2
6003	胸	"[213,123]"	600113	3
6004	害羞脸	"[133,99]"	600114	4
6005	符	"[262,198]"	600115	5
6006	娇嗔	"[159,56]"	600116	6
6007	戴面具	"[339,198]"	600117	7
6008	手无	"[237,122]"	600118	8
6009	飘衣	"[305,198]"	600119	9
6010	补	"[614,134]"	600120	10
6101	圆球	"[256,134]"	610111	1
6102	发光	"[243,117]"	610112	2
6103	眯眼	"[108,90]"	610113	3
10101	动物	"[23,438]"	1010111	1
10102	糖果	"[47,94]"	1010112	2
10103	裙子开	"[168,435]"	1010113	3
10104	花环	"[189,66]"	1010114	4
10105	脸红	"[212,118]"	1010115	5
10106	高兴	"[215,121]"	1010116	6
10107	小鸡	"[366,211]"	1010117	7
10108	坏草	"[392,467]"	1010118	8
10109	冰淇淋	"[442,88]"	1010119	9
10110	欧巴桑	"[545,273]"	1010120	10
10111	草丛	"[687,314]"	1010121	11
10112	帽子	"[181,32]"	1010122	12
10201	炮火	"[0,225]"	1020111	1
10202	水枪	"[175,0]"	1020112	2
10203	透视镜发光	"[178,110]"	1020113	3
10204	惊吓	"[183,104]"	1020114	4
10205	手臂发光	"[353,171]"	1020115	5
10206	导弹乱飞	"[381,145]"	1020116	6
10207	荧光水母	"[630,386]"	1020117	7
10208	枪变香蕉	"[230,282]"	1020118	8
10209	流汗	"[165,79]"	1020119	9
10210	身上绳子	"[46,91]"	1020120	10
10301	变色	"[0,114]"	1030111	1
10302	手中礼物	"[0,250]"	1030112	2
10303	怪长角	"[206,32]"	1030113	3
10304	怪闭眼	"[208,127]"	1030114	4
10305	脸红	"[328,244]"	1030115	5
10306	手上书	"[440,258]"	1030116	6
10307	便当盒	"[440,290]"	1030117	7
10308	加特技	"[595,99]"	1030118	8
