number	string	string
178	0.0001+%d*0	0
179	0.0001+%d*0	0
180	0.3+%d*0.003	0
181	0.3+%d*0.003	0
182	0.0001+%d*0	0
183	0.0001+%d*0	0
184	0.25+%d*0.0025	0
185	0.25+%d*0.0025	0
186	0.0001+%d*0	0
187	0.0001+%d*0	0
188	0.0001+%d*0	0
189	0.0001+%d*0	0
190	0.0001+%d*0	0
191	0.0001+%d*0	0
192	0.0001+%d*0	0
193	0.0001+%d*0	0
194	0.25+%d*0.0025	0
195	0.25+%d*0.0025	0
196	0.35+%d*0.003	0
197	0.35+%d*0.003	0
198	0.0001+%d*0	0
199	0.0001+%d*0	0
200	0.8+%d*0.008	0
201	0.8+%d*0.008	0
202	0.75+%d*0.0075	0
203	0.75+%d*0.0075	0
204	0.25+%d*0.002	0
205	0.25+%d*0.002	0
206	0.25+%d*0.002	0
207	0.25+%d*0.002	0
208	0.0001+%d*0	0
209	0.0001+%d*0	0
210	0.3+%d*0.003	0
211	0.3+%d*0.003	0
212	0.55+%d*0.0055	0
213	0.55+%d*0.0055	0
214	0.25+%d*0.0025	0
215	0.35+%d*0.0025	0
216	0.25+%d*0.0025	0
217	0.25+%d*0.0025	0
218	0.0001+%d*0	0
219	0.0001+%d*0	0
220	0.45+%d*0.0045	0
221	0.45+%d*0.0045	0
222	0.3+%d*0.003	0
223	0.3+%d*0.003	0
224	0.25+%d*0.002	0
225	0.25+%d*0.002	0
226	0.0001+%d*0	0
227	0.0001+%d*0	0
228	0.0001+%d*0	0
229	0.0001+%d*0	0
230	0.55+%d*0.003	0
231	0.55+%d*0.003	0
232	0.75+%d*0.0075	0
233	0.75+%d*0.0075	0
234	0.3+%d*0.002	0
235	0.45+%d*0.002	0
236	0.3+%d*0.003	0
237	0.6+%d*0.003	0
238	0.0001+%d*0	0
239	0.0001+%d*0	0
250	0.17+%d*0.0017	0
251	0.17+%d*0.0017	0
252	0.22+%d*0.0022	0
253	0.22+%d*0.0022	0
254	0.05+%d*0.005	0
255	0.06+%d*0.005	0
256	0.0001+%d*0	0
257	0.0001+%d*0	0
258	0.0001+%d*0	0
259	0.0001+%d*0	0
400	0.2+%d*0.002	0
401	0.3+%d*0.002	0
402	0.0001+%d*0	0
403	0.0001+%d*0	0
404	0.25+%d*0.0025	0
405	0.25+%d*0.0025	0
406	0.0001+%d*0	0
407	0.0001+%d*0	0
408	0.0001+%d*0	0
409	0.0001+%d*0	0
290	0.0001+%d*0	0
291	0.0001+%d*0	0
292	0.25+0.0025*%d	0
293	0.25+0.0025*%d	0
294	0.0001+%d*0	0
295	0.0001+%d*0	0
296	0.0001+%d*0	0
297	0.0001+%d*0	0
298	0.0001+%d*0	0
299	0.0001+%d*0	0
300	0.18+%d*0.002	0
301	0.22+%d*0.002	0
302	0.85+%d*0.008	0
303	1+%d*0.008	0
304	0.09+%d*0.0009	0
305	0.09+%d*0.0009	0
306	0.0001+%d*0	0
307	0.0001+%d*0	0
308	0.0001+%d*0	0
309	0.0001+%d*0	0
310	0.35+%d*0.001	0
311	0.35+%d*0.001	0
312	0.36+%d*0.001	0
313	0.36+%d*0.001	0
314	0.4+%d*0.001	0
315	0.4+%d*0.001	0
316	0.12+%d*0.0012	0
317	0.12+%d*0.0012	0
318	0.0001+%d*0	0
319	0.0001+%d*0	0
320	0.0001+%d*0	0
321	0.0001+%d*0	0
322	0.5+%d*0.005	0
323	0.5+%d*0.005	0
324	0.3+%d*0.002	0
325	0.3+%d*0.002	0
326	0.3+%d*0.002	0
327	0.3+%d*0.002	0
328	0.0001+%d*0	0
329	0.0001+%d*0	0
330	0.2+%d*0.002	0
331	0.2+%d*0.002	0
332	0.3+%d*0.002	0
333	0.3+%d*0.002	0
334	0.12+%d*0.0012	0
335	0.12+%d*0.0012	0
336	0.0001+%d*0	0
337	0.0001+%d*0	0
338	0.0001+%d*0	0
339	0.0001+%d*0	0
340	0.0001+%d*0	0
341	0.0001+%d*0	0
342	0.0001+%d*0	0
343	0.0001+%d*0	0
344	0.25+%d0.002	0
345	0.25+%d0.002	0
346	0.0001+%d*0	0
347	0.0001+%d*0	0
348	0.0001+%d*0	0
349	0.0001+%d*0	0
350	0.16+0.0016*%d	0
351	0.16+0.0016*%d	0
352	0.8+0.008*%d	0
353	0.8+0.008*%d	0
354	0.35+0.025*%d	0
355	0.35+0.025*%d	0
356	0.0001+%d*0	0
357	0.0001+%d*0	0
358	0.0001+%d*0	0
359	0.0001+%d*0	0
360	0.5+%d*0.005	0
361	0.5+%d*0.005	0
362	0.0001+%d*0	0
363	0.0001+%d*0	0
364	0.25+%d*0.0025	0
365	0.25+%d*0.0025	0
366	0.0001+%d*0	0
367	0.0001+%d*0	0
368	0.0001+%d*0	0
369	0.0001+%d*0	0
370	0.0001+%d*0	0
371	0.0001+%d*0	0
372	0.3+%d*0.003	0
373	0.3+%d*0.003	0
374	0.0001+%d*0	0
375	0.0001+%d*0	0
376	0.0001+%d*0	0
377	0.0001+%d*0	0
378	0.0001+%d*0	0
379	0.0001+%d*0	0
380	0.45+%d*0.004	0
381	0.45+%d*0.004	0
382	0.6+%d*0.0006	0
383	0.6+%d*0.0006	0
384	0.25+%d*0.0025	0
385	0.25+%d*0.0025	0
386	0.0001+%d*0	0
387	0.0001+%d*0	0
388	0.0001+%d*0	0
389	0.0001+%d*0	0
390	0.5+0.005*%d	0
391	0.5+0.005*%d	0
392	0.42+0.004*%d	0
393	0.42+0.004*%d	0
394	0.25+0.0025*%d	0
395	0.25+0.0025*%d	0
396	0.0001+%d*0	0
397	0.0001+%d*0	0
398	0.0001+%d*0	0
399	0.0001+%d*0	0
280	0.25+0.0025*%d	0
281	0.25+0.0025*%d	0
282	0.25+0.0025*%d	0
283	0.25+0.0025*%d	0
284	0.0001+%d*0	0
285	0.0001+%d*0	0
286	0.0001+%d*0	0
287	0.0001+%d*0	0
288	0.0001+%d*0	0
289	0.0001+%d*0	0
410	0.24+0.0024*%d	0
411	0.28+0.0024*%d	0
412	0.0001+%d*0	0
413	0.0001+%d*0	0
414	0.0001+%d*0	0
415	0.0001+%d*0	0
416	0.0001+%d*0	0
417	0.0001+%d*0	0
418	0.0001+%d*0	0
419	0.0001+%d*0	0
420	0.45+%d*0.004	0
421	0.45+%d*0.004	0
422	0.55+%d*0.005	0
423	0.55+%d*0.005	0
424	0.35+%d*0.002	0
425	0.35+%d*0.002	0
426	0.0001+%d*0	0
427	0.0001+%d*0	0
428	0.0001+%d*0	0
429	0.0001+%d*0	0
430	0.33+%d*0.003	0
431	0.33+%d*0.003	0
432	0.0001+%d*0	0
433	0.0001+%d*0	0
434	0.0001+%d*0	0
435	0.0001+%d*0	0
436	0.35+%d*0.002	0
437	0.35+%d*0.002	0
438	0.0001+%d*0	0
439	0.0001+%d*0	0
440	0.3+%d*0.003	0
441	0.4+%d*0.003	0
442	0.0001+%d*0	0
443	0.0001+%d*0	0
444	0.25+%d*0.002	0
445	0.25+%d*0.002	0
446	0.0001+%d*0	0
447	0.0001+%d*0	0
448	0.0001+%d*0	0
449	0.0001+%d*0	0
450	0.45+%d*0.0045	0
451	0.45+%d*0.0045	0
452	0.35+%d*0.0035	0
453	0.35+%d*0.0035	0
454	0.25+%d*0.0025	0
455	0.25+%d*0.0025	0
456	0.0001+%d*0	0
457	0.0001+%d*0	0
458	0.0001+%d*0	0
459	0.0001+%d*0	0
460	0.6+%d*0.006	0
461	0.6+%d*0.006	0
462	0.0001+%d*0	0
463	0.0001+%d*0	0
464	0.2+%d*0.002	0
465	0.2+%d*0.002	0
466	0.0001+%d*0	0
467	0.0001+%d*0	0
468	0.0001+%d*0	0
469	0.0001+%d*0	0
470	0.75+%d*0.007	0
471	0.75+%d*0.007	0
472	0.25+%d*0.002	0
473	0.3+%d*0.002	0
474	0.7+%d*0.007	0
475	0.85+%d*0.007	0
476	0.0001+%d*0	0
477	0.0001+%d*0	0
478	0.0001+%d*0	0
479	0.0001+%d*0	0
480	0.0001+%d*0	0
481	0.0001+%d*0	0
482	0.0001+%d*0	0
483	0.0001+%d*0	0
484	0.25+%d*0.0025	0
485	0.25+%d*0.0025	0
486	0.0001+%d*0	0
487	0.0001+%d*0	0
488	0.0001+%d*0	0
489	0.0001+%d*0	0
490	0.45+%d*0.0045	0
491	0.45+%d*0.0045	0
492	0.85+%d*0.0085	0
493	0.85+%d*0.0085	0
494	0.25+%d*0.0025	0
495	0.25+%d*0.0025	0
496	0.0001+%d*0	0
497	0.0001+%d*0	0
498	0.0001+%d*0	0
499	0.0001+%d*0	0
502	1+%d*0	0
503	1+%d*0	0
512	1+%d*0	0
513	1+%d*0	0
522	1+%d*0	0
523	1+%d*0	0
524	1+%d*0	0
525	1+%d*0	0
526	1+%d*0	0
527	1+%d*0	0
528	1+%d*0	0
529	1+%d*0	0
530	1+%d*0	0
531	1+%d*0	0
532	1+%d*0	0
533	1+%d*0	0
534	1+%d*0	0
535	1+%d*0	0
536	1+%d*0	0
537	1+%d*0	0
538	1+%d*0	0
539	1+%d*0	0
540	1+%d*0	0
541	1+%d*0	0
542	1+%d*0	0
543	1+%d*0	0
544	1+%d*0	0
545	1+%d*0	0
546	1+%d*0	0
547	1+%d*0	0
548	1+%d*0	0
549	1+%d*0	0
550	1+%d*0	0
551	1+%d*0	0
552	1+%d*0	0
553	1+%d*0	0
554	1+%d*0	0
555	1+%d*0	0
556	1+%d*0	0
557	1+%d*0	0
558	1+%d*0	0
559	1+%d*0	0
560	1+%d*0	0
561	1+%d*0	0
562	1+%d*0	0
563	1+%d*0	0
564	1+%d*0	0
565	1+%d*0	0
566	1+%d*0	0
567	1+%d*0	0
568	1+%d*0	0
569	1+%d*0	0
570	1+%d*0	0
571	1+%d*0	0
572	1+%d*0	0
573	1+%d*0	0
574	1+%d*0	0
575	1+%d*0	0
576	1+%d*0	0
577	1+%d*0	0
578	1+%d*0	0
579	1+%d*0	0
580	1+%d*0	0
581	1+%d*0	0
582	1+%d*0	0
583	1+%d*0	0
584	1+%d*0	0
585	1+%d*0	0
586	1+%d*0	0
587	1+%d*0	0
588	1+%d*0	0
589	1+%d*0	0
590	1+%d*0	0
591	1+%d*0	0
592	1+%d*0	0
593	1+%d*0	0
594	1+%d*0	0
595	1+%d*0	0
596	1+%d*0	0
597	1+%d*0	0
598	1+%d*0	0
599	1+%d*0	0
600	1+%d*0	0
601	1+%d*0	0
602	0.75+%d*0	0
603	1+%d*0	0
604	0.35+%d*0	0
605	1+%d*0	0
606	0.35+%d*0	0
607	1+%d*0	0
608	0.35+%d*0	0
609	1+%d*0	0
610	0.75+%d*0	0
611	1+%d*0	0
612	0.75+%d*0	0
613	1+%d*0	0
614	0.35+%d*0	0
615	1+%d*0	0
616	0.35+%d*0	0
617	1+%d*0	0
618	0.35+%d*0	0
619	1+%d*0	0
620	0.75+%d*0	0
621	1+%d*0	0
622	0.35+%d*0	0
623	1+%d*0	0
624	0.75+%d*0	0
625	1+%d*0	0
626	0.35+%d*0	0
627	1+%d*0	0
628	1+%d*0	0
629	0.75+%d*0	0
630	1+%d*0	0
631	1+%d*0	0
632	1+%d*0	0
633	0.75+%d*0	0
634	0.75+%d*0	0
635	0.75+%d*0	0
636	0.35+%d*0	0
637	0.75+%d*0	0
638	0.75+%d*0	0
639	1+%d*0	0
640	0.35+%d*0	0
641	1+%d*0	0
642	0.45+%d*0	0
643	1+%d*0	0
644	1+%d*0	0
645	1+%d*0	0
646	1+%d*0	0
647	1+%d*0	0
648	1+%d*0	0
649	1+%d*0	0
650	1+%d*0	0
651	1+%d*0	0
652	1+%d*0	0
653	1+%d*0	0
654	1+%d*0	0
655	1+%d*0	0
656	1+%d*0	0
657	1+%d*0	0
658	1+%d*0	0
659	1+%d*0	0
660	1+%d*0	0
661	1+%d*0	0
662	1+%d*0	0
663	1+%d*0	0
664	1+%d*0	0
665	1+%d*0	0
666	1+%d*0	0
667	1+%d*0	0
668	1+%d*0	0
669	1+%d*0	0
670	1+%d*0	0
671	1+%d*0	0
672	1+%d*0	0
673	1+%d*0	0
674	1+%d*0	0
675	1+%d*0	0
676	1+%d*0	0
677	1+%d*0	0
678	1+%d*0	0
679	1+%d*0	0
680	1+%d*0	0
681	1+%d*0	0
682	1+%d*0	0
683	1+%d*0	0
684	1+%d*0	0
685	1+%d*0	0
686	1+%d*0	0
687	1+%d*0	0
688	1+%d*0	0
689	1+%d*0	0
690	1+%d*0	0
691	1+%d*0	0
692	1+%d*0	0
693	1+%d*0	0
694	1+%d*0	0
695	1+%d*0	0
696	1+%d*0	0
697	1+%d*0	0
698	1+%d*0	0
699	1+%d*0	0
700	0.3+%d*0.002	0
701	0.3+%d*0.002	0
702	0.55+%d*0.0055	0
703	0.55+%d*0.0055	0
704	0.25+%d*0.0025	0
705	0.35+%d*0.0025	0
706	0.25+%d*0.0025	0
707	0.25+%d*0.0025	0
708	0.0001+%d*0	0
709	0.0001+%d*0	0
710	0.7+%d*0.007	0
711	0.7+%d*0.007	0
712	0.35+%d*0.0035	0
713	0.35+%d*0.0035	0
714	0.0001+%d*0	0
715	0.0001+%d*0	0
716	0.0001+%d*0	0
717	0.0001+%d*0	0
718	0.0001+%d*0	0
719	0.0001+%d*0	0
720	0.0001+%d*0	0
721	0.0001+%d*0	0
722	0.25+%d*0.0025	0
723	0.3+%d*0.0025	0
724	0.0001+%d*0	0
725	0.0001+%d*0	0
726	0.0001+%d*0	0
727	0.0001+%d*0	0
728	0.0001+%d*0	0
729	0.0001+%d*0	0
730	0.6+%d*0.005	0
731	0.6+%d*0.005	0
732	0.45+%d*0.0045	0
733	0.45+%d*0.0045	0
734	0.3+%d*0.0025	0
735	0.3+%d*0.0025	0
736	0.0001+%d*0	0
737	0.0001+%d*0	0
738	0.0001+%d*0	0
739	0.0001+%d*0	0
740	0.0001+%d*0	0
741	0.0001+%d*0	0
742	0.5+%d*0.005	0
743	0.5+%d*0.005	0
744	0.2+%d*0.002	0
745	0.3+%d*0.002	0
746	0.0001+%d*0	0
747	0.0001+%d*0	0
748	0.0001+%d*0	0
749	0.0001+%d*0	0
750	0.18+%d*0.002	0
751	0.22+%d*0.002	0
752	0.85+%d*0.008	0
753	1+%d*0.008	0
754	0.3+%d*0.003	0
755	0.3+%d*0.003	0
756	0.0001+%d*0	0
757	0.0001+%d*0	0
758	0.0001+%d*0	0
759	0.0001+%d*0	0
760	0.65+%d*0.006	0
761	0.65+%d*0.006	0
762	0.25+%d*0.0025	0
763	0.25+%d*0.0026	0
764	0.12+%d*0.0015	0
765	0.12+%d*0.0012	0
766	0.0001+%d*0	0
767	0.0001+%d*0	0
768	0.0001+%d*0	0
769	0.0001+%d*0	0
770	0.3+%d*0.003	0
771	0.3+%d*0.003	0
772	0.3+%d*0.003	0
773	0.3+%d*0.003	0
774	0.0001+%d*0	0
775	0.0001+%d*0	0
776	0.25+%d*0.0025	0
777	0.25+%d*0.0025	0
778	0.0001+%d*0	0
779	0.0001+%d*0	0
780	0.6+%d*0.005	0
781	0.6+%d*0.005	0
782	0.40+%d*0.004	0
783	0.45+%d*0.004	0
784	0.25+%d*0.0025	0
785	0.25+%d*0.0025	0
786	0.0001+%d*0	0
787	0.0001+%d*0	0
788	0.0001+%d*0	0
789	0.0001+%d*0	0
790	0.43+%d*0.004	0
791	0.50+%d*0.004	0
792	0.60+%d*0.006	0
793	0.65+%d*0.006	0
794	0.15+%d*0.0015	0
795	0.15+%d*0.0015	0
796	0.0001+%d*0	0
797	0.0001+%d*0	0
798	0.0001+%d*0	0
799	0.0001+%d*0	0
800	0.75+%d*0.007	0
801	0.75+%d*0.007	0
802	0.25+%d*0.002	0
803	0.3+%d*0.002	0
804	0.25+%d*0.0025	0
805	0.3+%d*0.0025	0
806	0.0001+%d*0	0
807	0.0001+%d*0	0
808	0.0001+%d*0	0
809	0.0001+%d*0	0
810	0.55+%d*0.0055	0
811	0.55+%d*0.0055	0
812	0.26+%d*0.0026	0
813	0.26+%d*0.0026	0
814	0.25+%d*0.0025	0
815	0.25+%d*0.0025	0
816	0.0001+%d*0	0
817	0.0001+%d*0	0
818	0.0001+%d*0	0
819	0.0001+%d*0	0
820	0.2+%d*0.002	0
821	0.3+%d*0.002	0
822	0.35+%d*0.0035	0
823	0.35+%d*0.0035	0
824	0.25+%d*0.0025	0
825	0.25+%d*0.0025	0
826	0.2+%d*0.0002	0
827	0.25+%d*0.0002	0
828	0.0001+%d*0	0
829	0.0001+%d*0	0
830	0.65+%d*0.005	0
831	0.80+%d*0.005	0
832	0.6+%d*0.006	0
833	0.6+%d*0.006	0
834	0.25+%d*0.0025	0
835	0.25+%d*0.0025	0
836	0.0001+%d*0	0
837	0.0001+%d*0	0
838	0.0001+%d*0	0
839	0.0001+%d*0	0
840	0.25+%d*0.0025	0
841	0.35+%d*0.0025	0
842	0.2+%d*0.02	0
843	0.25+%d*0.02	0
844	0.25+%d*0.0025	0
845	0.25+%d*0.0025	0
846	0.0001+%d*0	0
847	0.0001+%d*0	0
848	0.0001+%d*0	0
849	0.0001+%d*0	0
850	0.4+%d*0.004	0
851	0.4+%d*0.004	0
852	0.2+%d*0.002	0
853	0.2+%d*0.002	0
854	0.15+%d*0.0015	0
855	0.15+%d*0.0015	0
856	0.0001+%d*0	0
857	0.0001+%d*0	0
858	0.0001+%d*0	0
859	0.0001+%d*0	0
860	0.5+%d*0.005	0
861	0.6+%d*0.005	0
862	0.45+%d*0.003	0
863	0.45+%d*0.003	0
864	0.35+%d*0.002	0
865	0.45+%d*0.002	0
866	0.0001+%d*0	0
867	0.0001+%d*0	0
868	0.0001+%d*0	0
869	0.0001+%d*0	0
870	0.45+%d*0.0045	0
871	0.5+%d*0.0045	0
872	0.6+%d*0.006	0
873	0.6+%d*0.006	0
874	0.2+%d*0.0025	0
875	0.25+%d*0.0025	0
876	0.0001+%d*0	0
877	0.0001+%d*0	0
878	0.0001+%d*0	0
879	0.0001+%d*0	0
880	0.45+%d*0.0045	0
881	0.5+%d*0.0045	0
882	0.25+%d*0.0025	0
883	0.3+%d*0.0025	0
884	0.25+%d*0.002	0
885	0.25+%d*0.002	0
886	0.0001+%d*0	0
887	0.0001+%d*0	0
888	0.0001+%d*0	0
889	0.0001+%d*0	0
890	0.6+%d*0.005	0
891	0.6+%d*0.005	0
892	0.35+%d*0.0035	0
893	0.4+%d*0.0035	0
894	0.25+%d*0.0025	0
895	0.25+%d*0.0025	0
896	0.0001+%d*0	0
897	0.0001+%d*0	0
898	0.0001+%d*0	0
899	0.0001+%d*0	0
900	0.0001+%d*0	0
901	0.0001+%d*0	0
902	0.35+%d*0.004	0
903	0.4+%d*0.004	0
904	0.25+%d*0.0025	0
905	0.25+%d*0.0025	0
906	0.0001+%d*0	0
907	0.0001+%d*0	0
908	0.0001+%d*0	0
909	0.0001+%d*0	0
910	0.15+%d*0.004	0
911	0.15+%d*0.004	0
912	0.6+%d*0.004	0
913	0.6+%d*0.004	0
914	0.25+%d*0.0025	0
915	0.25+%d*0.0025	0
916	0.0001+%d*0	0
917	0.0001+%d*0	0
918	0.0001+%d*0	0
919	0.0001+%d*0	0
920	0.2+%d*0.002	0
921	0.2+%d*0.002	0
922	0.15+%d*0.0015	0
923	0.15+%d*0.0015	0
924	0.25+%d*0.0025	0
925	0.25+%d*0.0025	0
926	0.0001+%d*0	0
927	0.0001+%d*0	0
928	0.0001+%d*0	0
929	0.0001+%d*0	0
930	0.45+%d*0.002	0
931	0.45+%d*0.002	0
932	0.6+%d*0.0065	0
933	0.6+%d*0.0065	0
934	0.25+%d*0.0025	0
935	0.25+%d*0.0025	0
936	0.0001+%d*0	0
937	0.0001+%d*0	0
938	0.0001+%d*0	0
939	0.0001+%d*0	0
940	0.5+%d*0.004	0
941	0.55+%d*0.004	0
942	0.25+%d*0.0025	0
943	0.3+%d*0.0025	0
944	0.25+%d*0.0025	0
945	0.35+%d*0.0025	0
946	0.0001+%d*0	0
947	0.0001+%d*0	0
948	0.0001+%d*0	0
949	0.0001+%d*0	0
950	0.3+%d*0.0035	0
951	0.35+%d*0.0035	0
952	0.5+%d*0.005	0
953	0.5+%d*0.005	0
954	0.25+%d*0.0025	0
955	0.25+%d*0.0025	0
956	0.0001+%d*0	0
957	0.0001+%d*0	0
958	0.0001+%d*0	0
959	0.0001+%d*0	0
960	0.25+%d*0.0025	0
961	0.3+%d*0.0025	0
962	0.55+%d*0.0055	0
963	0.6+%d*0.0055	0
964	0.25+%d*0.0025	0
965	0.35+%d*0.0025	0
966	0.0001+%d*0	0
967	0.0001+%d*0	0
968	0.0001+%d*0	0
969	0.0001+%d*0	0
