number	string	array	string	string	number	array	array
1303	觉醒前3：点胸出节操	"[253,181,351,276]"	v1100	v1301003	2	[130113]	"[1301,1302,1304,1305]"
1304	觉醒前4：点酒壶酒壶破	"[359,181,443,276]"	v1100	v1301001	3	[130114]	"[1301,1302,1303,1305]"
1305	觉醒前5：点树出晴天娃娃	"[670,71,872,329]"	v1100	v1301002	2	[130115]	"[1301,1302,1303,1304]"
1401	觉醒后1：点拳套变baka	"[138,158,247,249]"	v1100	v1401001	1	[140111]	"[1402,1403,1404,1405]"
1402	觉醒后2：点沙袋右下角呆喵被打飞	"[522,209,745,433]"	v1100	v1401002	2	[140112]	"[1401,1403,1404,1405]"
1403	觉醒后3：点沙袋左上角沙袋破	"[384,0,522,433]"	v1100	v1401003	3	[140113]	"[1401,1402,1404,1405]"
1404	觉醒后4：点胖次勾胖次	"[125,329,275,401]"	v1100	v1401001	1	[140114]	"[1401,1402,1403,1405]"
1405	觉醒后5：点衣服破衣术	"[247,205,355,336]"	v1100	v1401002	2	[140115]	"[1401,1402,1403,1404]"
1406	觉醒前1：点柱子出小广告	"[403,38,627,386]"	v1100	v1401003	2	[140116]	"[1407,1408,1409,1410]"
1407	觉醒前2：点枪尖变竹笋	"[90,38,180,168]"	v1100	v1401001	1	[140117]	"[1406,1408,1409,1410]"
1408	觉醒前3：点脑袋出抓虫网	"[203,92,299,197]"	v1100	v1401002	2	[140118]	"[1406,1407,1409,1410]"
1409	觉醒前4：点屁屁带子断	"[143,386,324,508]"	v1100	v1401003	3	[140119]	"[1406,1407,1408,1410]"
1410	觉醒前5：点胳膊夹面包	"[180,197,228,376]"	v1100	v1401001	2	[140120]	"[1406,1407,1408,1409]"
1501	觉醒前1:身后死神要索命	"[414,0,667,447]"	v1100	v1501001	1	"[150111,150112]"	[1503]
1503	觉醒前2:脸上蜜蜂蜇大包	"[232,89,386,243]"	v1100	v1501002	1	"[150113,150114]"	[1501]
1505	觉醒后1：手上心	"[136,150,216,288]"	v1100	v1501003	1	[150115]	[]
1506	觉醒后2:笑颜	"[238,59,525,346]"	v1100	v1501001	1	[150116]	[]
1507	觉醒后2:身后点心	"[238,59,525,346]"	v1100	v1501002	1	[150117]	[]
1601	鱼肠觉醒前1：章鱼缠身	"[211,154,359,417]"	v1100	v1601001	1	"[160111,160112,160113]"	[]
1701	觉醒前1：点胸蓝条变红色	"[245,243,337,311]"	v1100	v1701001	1	"[170111,170112]"	"[1702,1703,1704,1705]"
1702	觉醒前2：点身体出警告	"[128,179,245,294]"	v1100	v1701002	2	"[170111,170112,170113,170114,170115]"	"[1701,1703,1704,1705]"
1703	觉醒前3：点脸出奶嘴	"[334,147,417,240]"	v1100	v1701003	2	[170116]	"[1701,1702,1704,1705]"
1704	觉醒前4：点头顶出黑暗料理	"[293,68,444,147]"	v1100	v1701001	4	[170117]	"[1701,1702,1703,1705]"
1705	觉醒前5：点玻璃罩身上出碎片	"[454,116,653,519]"	v1100	v1701002	3	"[170111,170112,170113,170114,170118]"	"[1701,1702,1703,1704]"
1708	觉醒后1：笑颜	"[233,103,325,229]"	v1100	v1701003	1	"[170119,170121]"	[1709]
1709	觉醒后2：手里出现权杖	"[202,321,400,401]"	v1100	v1701001	1	[170120]	[1708]
1801	觉醒前1：周围出现黑色物质	"[228,424,337,575]"	v1100	v1801001	1	[180111]	[]
1802	觉醒前2：生气	"[349,181,455,377]"	v1100	v1801002	3	[180112]	[]
1901	觉醒前1：点广告牌出生发水	"[336,117,472,223]"	v1100	v1901001	2	[190111]	"[1902,1903,1904]"
1902	觉醒前2：点胸出黄金甲	"[105,201,188,270]"	v1100	v1901002	10	[190112]	"[1901,1903,1904]"
1903	觉醒前3：点车轮出黑衣人	"[585,524,1024,576]"	v1100	v1901003	1	[190113]	"[1901,1902,1904]"
1904	觉醒前4：点刀尖变痒痒挠	"[336,354,522,524]"	v1100	v1901001	3	[190114]	"[1901,1902,1903]"
1906	觉醒后1：点胸衣服破	"[270,158,357,193]"	v1100	v1901002	5	[190116]	"[1907,1908,1909,1910]"
1907	觉醒后2：点手出洗发水	"[155,134,197,175]"	v1100	v1901003	1	[190117]	"[1906,1908,1909,1910]"
1908	觉醒后3：点箱子出僵尸娃娃	"[763,390,1024,521]"	v1100	v1901001	2	[190118]	"[1906,1907,1909,1910]"
1909	觉醒后4：点脑袋刘海翘起	"[279,56,318,90]"	v1100	v1901002	3	[190119]	"[1906,1907,1908,1910]"
1910	觉醒后5：点腿丝袜掉	"[333,325,375,413]"	v1100	v1901003	2	[190120]	"[1906,1907,1908,1909]"
2001	觉醒后1：星星眼	"[219,74,313,181]"	v1100	v2001001	1	"[200111,200112,200114]"	[2003]
2003	觉醒后2：脸红	"[266,288,428,411]"	v1100	v2001002	1	"[200113,200115]"	[2001]
2006	觉醒前1：点胖次出刺猬	"[216,359,310,439]"	v1100	v2001003	3	[200116]	"[2007,2008,2009,2010]"
2007	觉醒前2：点水面出晴天娃娃	"[447,503,632,576]"	v1100	v2001001	2	[200117]	"[2006,2008,2009,2010]"
2008	觉醒前3：点脸出眼罩	"[249,97,338,190]"	v1100	v2001002	2	[200118]	"[2006,2007,2009,2010]"
2009	觉醒前4：点枕头出毛球	"[393,162,580,461]"	v1100	v2001003	2	[200119]	"[2006,2007,2008,2010]"
2010	觉醒前5：点树右侧出蜘蛛	"[339,0,447,79]"	v1100	v2001001	3	[200120]	"[2006,2007,2008,2009]"
2101	觉醒前1：点上半身流泪出冻手	"[258,101,436,394]"	v1100	v2101001	1	"[210113,210114]"	[2104]
2104	觉醒前2：点法杖邪笑冻狐狸	"[88,46,218,213]"	v1100	v2101002	2	"[210111,210112,210115]"	[2101]
2107	觉醒后1：点身体出酒杯和红酒	"[170,191,414,531]"	v1100	v2101003	1	"[210117,210118]"	[2110]
2110	觉醒后2：点毕业出礼花彩带等	"[29,375,499,534]"	v1100	v2101001	3	"[210119,210120,210121,210122]"	[2107]
2201	杜兰德尔觉醒后2：点裙子脸红	"[215,417,502,558]"	v1100	v2201001	3	"[220111,220115]"	[2202]
2202	杜兰德尔觉醒后1：点手出眼镜	"[197,174,265,346]"	v1100	v2201002	1	"[220112,220113,220114]"	[2201]
2206	杜兰德尔觉醒前1：点剑出水母	"[141,269,233,413]"	v1100	v2201003	1	[220116]	[2207]
2207	杜兰德尔觉醒前2：点裙摆脸红	"[97,451,463,576]"	v1100	v2201001	2	[220117]	[2206]
2301	觉醒前1：点人物旁气球身上发光	"[436,275,539,395]"	v1100	v2301001	1	[230111]	"[2302,2303,2305]"
2302	觉醒前2：点裙子生气	"[166,291,325,395]"	v1100	v2301002	1	[230113]	"[2301,2303,2305]"
2303	觉醒前3：点门受惊吓	"[707,395,979,576]"	v1100	v2301003	2	"[230114,230121]"	"[2301,2302,2305]"
2305	觉醒前4：点脸瞌睡、半醒	"[259,80,355,182]"	v1100	v2301001	1	"[230115,230120]"	"[2301,2302,2303]"
2306	觉醒后1：点旁边枕头发光	"[503,282,609,388]"	v1100	v2301002	1	[230116]	"[2307,2309]"
2307	觉醒后2：点衣服下摆掀裙子	"[239,376,348,439]"	v1100	v2301003	1	[230118]	"[2306,2309]"
2309	觉醒后3：点脸生气	"[239,105,348,219]"	v1100	v2301001	2	[230119]	"[2306,2307]"
2401	觉醒前1：光效	"[167,123,446,382]"	v1100	v2401001	1	[240111]	[]
2402	觉醒后1：点屁屁脸红	"[241,282,396,553]"	v1100	v2401002	1	[240112]	[]
2403	觉醒后2：点锅惊吓脸	"[67,345,206,459]"	v1100	v2401003	2	[240113]	[]
2404	觉醒后2：点锅着火	"[67,345,206,459]"	v1100	v2401001	2	[240114]	[]
2501	觉醒前1：点手刀上出胖次	"[117,310,195,352]"	v1100	v2501001	1	[250111]	"[2502,2503,2504,2505]"
2502	觉醒前2：点脸脸红	"[215,120,314,172]"	v1100	v2501002	2	[250112]	"[2501,2503,2504,2505]"
2503	觉醒前3：点胸口变病娇	"[215,201,314,297]"	v1100	v2501003	2	[250113]	"[2501,2502,2504,2505]"
2504	觉醒前4：点头顶长草	"[206,26,314,106]"	v1100	v2501001	2	[250114]	"[2501,2502,2503,2505]"
2505	觉醒前5：点刀出干将莫邪	"[215,310,412,342]"	v1100	v2501002	3	[250115]	"[2501,2502,2503,2504]"
2601	卡拉德波加觉醒前1：点盾变雷电箭	"[188,0,386,126]"	v1100	v2601001	3	"[260111,260112,260113]"	[2602]
2602	卡拉德波加觉醒前2：点城堡有玩具飞下来	"[625,77,873,193]"	v1100	v2601003	2	"[260114,260115,260116]"	[2601]
2701	湛卢觉醒前1：点脑袋头上角掉	"[207,34,283,118]"	v1100	v2701001	3	[270111]	"[2702,2703,2704,2705]"
2702	湛卢觉醒前2：点马背小动物趴在上面	"[283,291,399,353]"	v1100	v2701002	2	"[270112,270113,270114,270115]"	"[2701,2703,2704,2705]"
2703	湛卢觉醒前3：点胸变蘑菇	"[182,177,283,244]"	v1100	v2701003	2	"[270116,270117]"	"[2701,2702,2704,2705]"
2704	湛卢觉醒前4：点兔子变成人	"[610,353,676,467]"	v1100	v2701001	1	[270118]	"[2701,2702,2703,2705]"
2705	湛卢觉醒前5：点马腿被锁链绑	"[105,379,483,467]"	v1100	v2701002	2	"[270119,270120,270121,270122]"	"[2701,2702,2703,2704]"
2801	雷切觉醒前1：点脑袋变卷毛	"[230,82,359,209]"	v1100	v2801001	2	[280111]	"[2802,2803,2804,2805]"
2802	雷切觉醒前2：点脚红酒倒脚上	"[95,421,180,555]"	v1100	v2801002	3	"[280112,280113]"	"[2801,2803,2804,2805]"
2803	雷切觉醒前3：点墙上旗子战意蓄发	"[737,25,904,270]"	v1100	v2801003	2	"[280114,280115,280116,280117]"	"[2801,2802,2804,2805]"
2804	雷切觉醒前4：点胸带子提起来	"[217,240,343,319]"	v1100	v2801001	2	[280118]	"[2801,2802,2803,2805]"
2805	雷切觉醒前5：点裙底旗子变锤子	"[197,402,316,474]"	v1100	v2801002	3	"[280119,280120]"	"[2801,2802,2803,2804]"
2901	鬼彻觉醒前1：点手变抬手	"[130,323,209,420]"	v1100	v2901001	2	"[290111,290112,290113]"	"[2902,2903,2904]"
2902	鬼彻觉醒前2：点脑袋变人偶	"[209,49,348,186]"	v1100	v2901002	2	"[290114,290115,290116]"	"[2901,2903,2904]"
2903	鬼彻觉醒前3：点胸衣服被扒光	"[274,214,375,323]"	v1100	v2901003	3	[290117]	"[2901,2902,2904]"
2904	鬼彻觉醒前4：点幽灵长翅膀	"[426,74,489,134]"	v1100	v2901001	2	"[290118,290119]"	"[2901,2902,2903]"
3001	备前长船觉醒前1：点脑袋变猪鼻子	"[199,129,291,202]"	v1100	v3001001	3	"[300111,300112,300113]"	"[3002,3003,3004,3005]"
3002	备前长船觉醒前2：点左边兔子音箱麦克风变兔子汤圆	"[31,397,144,536]"	v1100	v3001002	2	[300114]	"[3001,3003,3004,3005]"
3003	备前长船觉醒前3：点兔子耳朵变黑线脸	"[186,0,325,99]"	v1100	v3001003	3	"[300115,300116,300117]"	"[3001,3002,3004,3005]"
3004	备前长船觉醒前4：点麦克风坏掉	"[406,258,511,364]"	v1100	v3001001	4	"[300118,300119]"	"[3001,3002,3003,3005]"
3005	备前长船觉醒前5：点右侧出现大兔子	"[615,58,892,258]"	v1100	v3001002	3	[300120]	"[3001,3002,3003,3004]"
3101	宵练觉醒前1：点脑袋肩膀出现小恶魔	"[193,54,328,195]"	v1100	v3101001	2	"[310111,310112]"	"[3102,3103,3104,3105]"
3102	宵练觉醒前2：点法杖出羽毛	"[328,8,619,154]"	v1100	v3101002	2	"[310113,310114]"	"[3101,3103,3104,3105]"
3103	宵练觉醒前3：点裙子有猫	"[102,384,193,488]"	v1100	v3101003	3	"[310115,310116]"	"[3101,3102,3104,3105]"
3104	宵练觉醒前4：点手出巧克力	"[286,358,393,445]"	v1100	v3101001	3	"[310117,310118]"	"[3101,3102,3103,3105]"
3105	宵练觉醒前5：点手前地面出姐妹娃娃	"[402,445,507,520]"	v1100	v3101002	2	[310119]	"[3101,3102,3103,3104]"
3201	含光觉醒前1：点脑袋出邪王真眼	"[282,87,398,178]"	v1100	v3201001	2	[320111]	"[3202,3203,3204,3205]"
3202	含光觉醒前2：点肚子衣服被划破	"[213,262,308,337]"	v1100	v3201002	3	[320112]	"[3201,3203,3204,3205]"
3203	含光觉醒前3：点胳膊出胖次	"[406,123,542,240]"	v1100	v3201003	2	[320113]	"[3201,3202,3204,3205]"
3204	含光觉醒前4：点手出红薯	"[542,87,622,178]"	v1100	v3201001	3	"[320114,320115]"	"[3201,3202,3203,3205]"
3205	含光觉醒前5：点胸倒果酱	"[236,200,308,240]"	v1100	v3201002	3	[320116]	"[3201,3202,3203,3204]"
3301	承影觉醒前1：点恶魔黑化	"[373,46,477,165]"	v1100	v3301001	3	"[330111,330112,330113,330114]"	"[3302,3303,3304,3305]"
3302	承影觉醒前2：点头顶揪呆毛	"[172,50,298,113]"	v1100	v3301002	4	"[330115,330116]"	"[3301,3303,3304,3305]"
3303	承影觉醒前3：点胸衣服剪开	"[172,197,298,277]"	v1100	v3301003	3	"[330117,330118,330119]"	"[3301,3302,3304,3305]"
3304	承影觉醒前4：点魔杖宝石净化	"[503,416,633,470]"	v1100	v3301001	2	[330120]	"[3301,3302,3303,3305]"
3305	承影觉醒前5：点裙子有小恶魔钻出来	"[119,350,351,470]"	v1100	v3301002	3	"[330121,330122,330123]"	"[3301,3302,3303,3304]"
3401	七星龙渊觉醒前1：点脑袋唱歌	"[251,73,326,166]"	v1100	v3401001	3	"[340111,340112,340113]"	"[3402,3403,3404,3405]"
3402	七星龙渊觉醒前2：点太阳标志变出鸽子	"[383,319,540,441]"	v1100	v3401002	2	"[340114,340115,340116,340117,340118]"	"[3401,3403,3404,3405]"
3403	七星龙渊觉醒前3：点气球爆炸	"[54,113,129,189]"	v1100	v3401003	4	"[340119,340120]"	"[3401,3402,3404,3405]"
3404	七星龙渊觉醒前4：点话筒变玫瑰花	"[175,152,239,242]"	v1100	v3401004	3	[340121]	"[3401,3402,3403,3405]"
3405	七星龙渊觉醒前5：点手出炸弹	"[460,73,540,113]"	v1100	v3401005	2	"[340122,340123]"	"[3401,3402,3403,3404]"
3501	轩辕觉醒前1：点炮筒发射激光	"[402,278,559,354]"	v1100	v3501001	2	"[350111,350112]"	"[3502,3503,3504,3505]"
3502	轩辕觉醒前2：点头盔戴脑袋上	"[97,366,207,478]"	v1100	v3501002	3	"[350113,350114,350115]"	"[3501,3503,3504,3505]"
3503	轩辕觉醒前3：点头发末梢头发被剪	"[402,131,597,278]"	v1100	v3501003	2	[350116]	"[3501,3502,3504,3505]"
3504	轩辕觉醒前4：点帽子飞船爆炸	"[642,169,715,242]"	v1100	v3501004	4	"[350117,350118]"	"[3501,3502,3503,3505]"
3505	轩辕觉醒前5：点鞋子被脱掉	"[297,322,444,576]"	v1100	v3501005	3	"[350119,350120]"	"[3501,3502,3503,3504]"
3601	大夏龙雀觉醒前1：点灯变苹果灯	"[386,444,496,549]"	v1100	v3601001	3	"[360111,360112]"	"[3602,3603,3604,3605]"
3602	大夏龙雀觉醒前2：点蝴蝶结被叼走	"[178,221,248,278]"	v1100	v3601002	2	"[360113,360114]"	"[3601,3603,3604,3605]"
3603	大夏龙雀觉醒前3：点脑袋有毛毛虫	"[154,126,237,209]"	v1100	v3601003	3	[360115]	"[3601,3602,3604,3605]"
3604	大夏龙雀觉醒前4：点手咬年糕	"[248,370,282,470]"	v1100	v3601004	3	[360116]	"[3601,3602,3603,3605]"
3605	大夏龙雀觉醒前5：点包子头出现小猴子	"[209,80,282,160]"	v1100	v3601005	2	[360117]	"[3601,3602,3603,3604]"
3701	纳西尔圣剑觉醒前1：点锅厨房失火	"[512,194,609,275]"	v1100	v3701001	2	"[370111,370112]"	"[3702,3703,3704,3705]"
3702	纳西尔圣剑觉醒前2：点微波炉食材变妖怪	"[692,275,876,372]"	v1100	v3701002	3	"[370113,370114,370115,370116,370117,370118,370119,370120,370121]"	"[3701,3703,3704,3705]"
3703	纳西尔圣剑觉醒前3：点头顶摸摸头	"[205,44,319,113]"	v1100	v3701003	2	"[370122,370123]"	"[3701,3702,3704,3705]"
3704	纳西尔圣剑觉醒前4：点锅变绝赞料理	"[108,319,227,398]"	v1100	v3701004	2	[370124]	"[3701,3702,3703,3705]"
3705	纳西尔圣剑觉醒前5：点脸投食	"[205,113,319,194]"	v1100	v3701005	3	[370125]	"[3701,3702,3703,3704]"
3801	葵文越前觉醒前1：点手徒手抓蛇	"[282,281,370,332]"	v1100	v3801001	3	"[380111,380112]"	"[3802,3803,3804,3805]"
3802	葵文越前觉醒前2：点头有彩虹流下来	"[207,65,311,175]"	v1100	v3801002	2	[380113]	"[3801,3803,3804,3805]"
3803	葵文越前觉醒前3：点旗子变成钱	"[567,46,631,206]"	v1100	v3801003	3	"[380114,380115,380116,380117]"	"[3801,3802,3804,3805]"
3804	葵文越前觉醒前4：点球变成红色小龙	"[519,258,672,419]"	v1100	v3801004	3	"[380118,380119]"	"[3801,3802,3803,3805]"
3805	葵文越前觉醒前5：点胳膊变小矮人荡秋千	"[156,239,263,326]"	v1100	v3801005	3	"[380120,380121]"	"[3801,3802,3803,3804]"
3901	瑞佩尔觉醒前1：点剑尖挂宝珠	"[141,362,226,540]"	v1100	v3901001	2	[390111]	"[3902,3903,3904]"
3902	瑞佩尔觉醒前2：点面具变蝴蝶	"[314,53,389,164]"	v1100	v3901002	3	"[390112,390113]"	"[3901,3903,3904]"
3903	瑞佩尔觉醒前3：点杜兰德尔变鲜花	"[0,453,79,576]"	v1100	v3901003	2	"[390114,390115]"	"[3901,3902,3904]"
3904	瑞佩尔觉醒前4：点胸部出现猫	"[268,164,365,232]"	v1100	v3901004	3	[390116]	"[3901,3902,3903]"
4001	莎拉维尔觉醒前1：点树出现鬼	"[668,170,768,354]"	v1100	v4001001	2	"[400111,400112,400113]"	"[4002,4003,4004,4005]"
4002	莎拉维尔觉醒前2：点脑袋脸红	"[237,49,318,170]"	v1100	v4001002	3	"[400114,400115]"	"[4001,4003,4004,4005]"
4003	莎拉维尔觉醒前3：点尾巴抓尾巴	"[360,388,609,465]"	v1100	v4001003	2	"[400116,400117]"	"[4001,4002,4004,4005]"
4004	莎拉维尔觉醒前4：点骷髅出幽灵	"[318,465,414,551]"	v1100	v4001004	2	"[400118,400119]"	"[4001,4002,4003,4005]"
4005	莎拉维尔觉醒前5：点剑尖出西瓜	"[62,354,170,521]"	v1100	v4001005	3	"[400120,400121,400122,400123]"	"[4001,4002,4003,4004]"
4101	袖搦觉醒前1：点手变水莲	"[294,101,359,199]"	v1100	v4101001	2	[410111]	"[4102,4103,4104,4105]"
4102	袖搦觉醒前2：点袖子变出鸭子	"[180,367,294,492]"	v1100	v4101002	3	"[410112,410113]"	"[4101,4103,4104,4105]"
4103	袖搦觉醒前3：点脑袋变出小袖搦	"[180,49,294,160]"	v1100	v4101003	2	[410114]	"[4101,4102,4104,4105]"
4104	袖搦觉醒前4：点腿出墨水	"[359,367,485,492]"	v1100	v4101001	3	"[410115,410116]"	"[4101,4102,4103,4105]"
4105	袖搦觉醒前5：点天空出UFO	"[359,49,485,160]"	v1100	v4101002	2	"[410117,410118]"	"[4101,4102,4103,4104]"
4201	却邪觉醒前1：点帽子出羽毛	"[184,29,371,86]"	v1100	v4201001	2	"[420111,420112]"	"[4202,4203,4204,4205]"
4202	却邪觉醒前2：点脑袋出面具	"[184,106,290,184]"	v1100	v4201002	3	[420113]	"[4201,4203,4204,4205]"
4203	却邪觉醒前3：点手出咸鱼	"[112,245,184,318]"	v1100	v4201003	2	"[420114,420115,420116]"	"[4201,4202,4204,4205]"
4204	却邪觉醒前4：点怪物的脸人物唱歌	"[526,245,645,318]"	v1100	v4201001	3	"[420117,420118,420119,420120]"	"[4201,4202,4203,4205]"
4205	却邪觉醒前5：点星星出现眼睛	"[487,29,526,184]"	v1100	v4201002	4	"[420121,420122,420123,420124]"	"[4201,4202,4203,4204]"
4301	纯钧觉醒前1：点手榴弹变成牙刷	"[297,163,381,205]"	v1100	v4301001	2	"[430111,430112]"	"[4302,4303,4304,4305]"
4302	纯钧觉醒前2：点帽子长翅膀	"[202,65,297,141]"	v1100	v4301002	3	"[430113,430114,430115,430116]"	"[4301,4303,4304,4305]"
4303	纯钧觉醒前3：点右上飞机出回旋镖	"[381,0,572,163]"	v1100	v4301003	2	[430117]	"[4301,4302,4304,4305]"
4304	纯钧觉醒前4：点炮箱出现黑暗物质	"[297,405,381,517]"	v1100	v4301004	3	"[430118,430119,430120,430121]"	"[4301,4302,4303,4305]"
