number	number	string	number	array	array	number	number	array	number	number	array	number	number	array	number	number	number	number
7005	7	鳳凰	74 	"[208,120]"	"[202,201]"	3	33 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7004	0
7006	7	白羊	84 	"[258,10]"	"[203,200]"	1	41 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7005	0
7007	7	磨羯	95 	"[348,100]"	"[200,201]"	4	33 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7006	0
7008	7	天蝎	105 	"[448,120]"	"[202,201]"	2	41 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7007	0
7009	7	金牛	116 	"[440,-10]"	"[203,200]"	3	33 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7008	0
7010	7	獅子	126 	"[543,90]"	"[202,201]"	1	41 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7009	0
7011	7	双魚	137 	"[573,-30]"	[203]	2	41 	[203]	3	33	[203]	4	33	[]	-1	-1	7010	0
7012	7	朱雀	147 	"[623,170]"	"[202,200,201]"	4	33 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7011	0
7013	7	玄武	158 	"[683,10]"	"[202,200,201]"	2	41 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7012	0
7014	7	青龙	168 	"[748,140]"	"[203,202]"	4	33 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7013	0
7015	7	白虎	179 	"[830,15]"	"[203,202,200,201]"	5	132 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7014	507
8000	8	昇格詳細	0 	[]	"[203,202,200,201]"	5	198 	[]	-1	-1	[]	-1	-1	[]	-1	-1	7015	0
8001	8	天馬	36 	"[-30,30]"	"[202,200,201]"	3	36 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8000	0
8002	8	天竜	48 	"[18,110]"	"[202,201]"	1	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8001	0
8003	8	白鳥	60 	"[73,-10]"	"[203,200]"	2	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8002	0
8004	8	仙女	72 	"[138,150]"	"[203,200]"	1	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8003	0
8005	8	鳳凰	84 	"[188,-10]"	"[202,201]"	3	36 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8004	0
8006	8	白羊	96 	"[235,75]"	"[203,200]"	1	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8005	0
8007	8	磨羯	108 	"[320,-10]"	"[200,201]"	4	36 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8006	0
8008	8	天蝎	120 	"[330,90]"	"[202,201]"	2	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8007	0
8009	8	金牛	132 	"[440,70]"	"[203,200]"	3	36 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8008	0
8010	8	獅子	144 	"[510,-10]"	"[202,201]"	1	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8009	0
8011	8	双魚	156 	"[540,100]"	[203]	2	45 	[203]	3	36	[203]	4	36	[]	-1	-1	8010	0
8012	8	朱雀	168 	"[690,150]"	"[202,200,201]"	4	36 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8011	0
8013	8	玄武	180 	"[660,25]"	"[202,200,201]"	2	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8012	0
8014	8	青龙	192 	"[760,-10]"	"[203,202]"	4	36 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8013	0
8015	8	白虎	204 	"[830,150]"	"[203,202,200,201]"	5	144 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8014	508
9000	9	昇格詳細	0 	[]	"[203,202,200,201]"	5	216 	[]	-1	-1	[]	-1	-1	[]	-1	-1	8015	0
9001	9	天馬	42 	"[-30,125]"	"[202,200,201]"	3	39 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9000	0
9002	9	天竜	56 	"[13,10]"	"[202,201]"	1	49 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9001	0
9003	9	白鳥	70 	"[108,40]"	"[203,200]"	2	49 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9002	0
9004	9	仙女	84 	"[88,175]"	"[203,200]"	1	49 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9003	0
9005	9	鳳凰	98 	"[208,120]"	"[202,201]"	3	39 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9004	0
9006	9	白羊	112 	"[258,10]"	"[203,200]"	1	49 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9005	0
9007	9	磨羯	126 	"[348,100]"	"[200,201]"	4	39 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9006	0
9008	9	天蝎	140 	"[448,120]"	"[202,201]"	2	49 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9007	0
9009	9	金牛	154 	"[440,-10]"	"[203,200]"	3	39 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9008	0
9010	9	獅子	168 	"[543,90]"	"[202,201]"	1	49 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9009	0
9011	9	双魚	182 	"[573,-30]"	[203]	2	49 	[203]	3	39	[203]	4	39	[]	-1	-1	9010	0
9012	9	朱雀	196 	"[623,170]"	"[202,200,201]"	4	39 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9011	0
9013	9	玄武	210 	"[683,10]"	"[202,200,201]"	2	49 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9012	0
9014	9	青龙	224 	"[748,140]"	"[203,202]"	4	39 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9013	0
9015	9	白虎	238 	"[830,15]"	"[203,202,200,201]"	5	156 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9014	509
10000	10	昇格詳細	0 	[]	"[203,202,200,201]"	5	234 	[]	-1	-1	[]	-1	-1	[]	-1	-1	9015	0
10001	10	天馬	48 	"[-30,30]"	"[202,200,201]"	3	42 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10000	0
10002	10	天竜	64 	"[18,110]"	"[202,201]"	1	53 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10001	0
10003	10	白鳥	80 	"[73,-10]"	"[203,200]"	2	53 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10002	0
10004	10	仙女	96 	"[138,150]"	"[203,200]"	1	53 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10003	0
10005	10	鳳凰	112 	"[188,-10]"	"[202,201]"	3	42 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10004	0
10006	10	白羊	128 	"[235,75]"	"[203,200]"	1	53 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10005	0
10007	10	磨羯	144 	"[320,-10]"	"[200,201]"	4	42 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10006	0
10008	10	天蝎	160 	"[330,90]"	"[202,201]"	2	53 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10007	0
10009	10	金牛	176 	"[440,70]"	"[203,200]"	3	42 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10008	0
10010	10	獅子	192 	"[510,-10]"	"[202,201]"	1	53 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10009	0
10011	10	双魚	208 	"[540,100]"	[203]	2	53 	[203]	3	42	[203]	4	42	[]	-1	-1	10010	0
10012	10	朱雀	224 	"[690,150]"	"[202,200,201]"	4	42 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10011	0
10013	10	玄武	240 	"[660,25]"	"[202,200,201]"	2	53 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10012	0
10014	10	青龙	256 	"[760,-10]"	"[203,202]"	4	42 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10013	0
10015	10	白虎	272 	"[830,150]"	"[203,202,200,201]"	5	168 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10014	510
11000	11	昇格詳細	0 	[]	"[203,202,200,201]"	5	252 	[]	-1	-1	[]	-1	-1	[]	-1	-1	10015	0
11001	11	天馬	54 	"[-30,125]"	"[202,200,201]"	3	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11000	0
11002	11	天竜	72 	"[13,10]"	"[202,201]"	1	56 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11001	0
11003	11	白鳥	90 	"[108,40]"	"[203,200]"	2	56 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11002	0
11004	11	仙女	108 	"[88,175]"	"[203,200]"	1	56 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11003	0
11005	11	鳳凰	126 	"[208,120]"	"[202,201]"	3	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11004	0
11006	11	白羊	144 	"[258,10]"	"[203,200]"	1	56 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11005	0
11007	11	磨羯	162 	"[348,100]"	"[200,201]"	4	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11006	0
11008	11	天蝎	180 	"[448,120]"	"[202,201]"	2	56 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11007	0
11009	11	金牛	198 	"[440,-10]"	"[203,200]"	3	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11008	0
11010	11	獅子	216 	"[543,90]"	"[202,201]"	1	56 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11009	0
11011	11	双魚	234 	"[573,-30]"	[203]	2	56 	[203]	3	45	[203]	4	45	[]	-1	-1	11010	0
11012	11	朱雀	252 	"[623,170]"	"[202,200,201]"	4	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11011	0
11013	11	玄武	270 	"[683,10]"	"[202,200,201]"	2	56 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11012	0
11014	11	青龙	288 	"[748,140]"	"[203,202]"	4	45 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11013	0
11015	11	白虎	306 	"[830,15]"	"[203,202,200,201]"	5	180 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11014	511
12000	12	昇格詳細	0 	[]	"[203,202,200,201]"	5	270 	[]	-1	-1	[]	-1	-1	[]	-1	-1	11015	0
12001	12	天馬	60 	"[-30,30]"	"[202,200,201]"	3	48 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12000	0
12002	12	天竜	80 	"[18,110]"	"[202,201]"	1	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12001	0
12003	12	白鳥	100 	"[73,-10]"	"[203,200]"	2	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12002	0
12004	12	仙女	120 	"[138,150]"	"[203,200]"	1	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12003	0
12005	12	鳳凰	140 	"[188,-10]"	"[202,201]"	3	48 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12004	0
12006	12	白羊	160 	"[235,75]"	"[203,200]"	1	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12005	0
12007	12	磨羯	180 	"[320,-10]"	"[200,201]"	4	48 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12006	0
12008	12	天蝎	200 	"[330,90]"	"[202,201]"	2	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12007	0
12009	12	金牛	220 	"[440,70]"	"[203,200]"	3	48 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12008	0
12010	12	獅子	240 	"[510,-10]"	"[202,201]"	1	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12009	0
12011	12	双魚	260 	"[540,100]"	[203]	2	60 	[203]	3	48	[203]	4	48	[]	-1	-1	12010	0
12012	12	朱雀	280 	"[690,150]"	"[202,200,201]"	4	48 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12011	0
12013	12	玄武	300 	"[660,25]"	"[202,200,201]"	2	60 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12012	0
12014	12	青龙	320 	"[760,-10]"	"[203,202]"	4	48 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12013	0
12015	12	白虎	340 	"[830,150]"	"[203,202,200,201]"	5	192 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12014	512
13000	13	昇格詳細	0 	[]	"[203,202,200,201]"	5	288 	[]	-1	-1	[]	-1	-1	[]	-1	-1	12015	0
13001	13	天馬	68 	"[-30,125]"	"[202,200,201]"	3	51 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13000	0
13002	13	天竜	90 	"[13,10]"	"[202,201]"	1	64 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13001	0
13003	13	白鳥	113 	"[108,40]"	"[203,200]"	2	64 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13002	0
13004	13	仙女	135 	"[88,175]"	"[203,200]"	1	64 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13003	0
13005	13	鳳凰	158 	"[208,120]"	"[202,201]"	3	51 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13004	0
13006	13	白羊	180 	"[258,10]"	"[203,200]"	1	64 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13005	0
13007	13	磨羯	203 	"[348,100]"	"[200,201]"	4	51 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13006	0
13008	13	天蝎	225 	"[448,120]"	"[202,201]"	2	64 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13007	0
13009	13	金牛	248 	"[440,-10]"	"[203,200]"	3	51 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13008	0
13010	13	獅子	270 	"[543,90]"	"[202,201]"	1	64 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13009	0
13011	13	双魚	293 	"[573,-30]"	[203]	2	64 	[203]	3	51	[203]	4	51	[]	-1	-1	13010	0
13012	13	朱雀	315 	"[623,170]"	"[202,200,201]"	4	51 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13011	0
13013	13	玄武	338 	"[683,10]"	"[202,200,201]"	2	64 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13012	0
13014	13	青龙	360 	"[748,140]"	"[203,202]"	4	51 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13013	0
13015	13	白虎	383 	"[830,15]"	"[203,202,200,201]"	5	204 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13014	513
14000	14	昇格詳細	0 	[]	"[203,202,200,201]"	5	306 	[]	-1	-1	[]	-1	-1	[]	-1	-1	13015	0
14001	14	天馬	75 	"[-30,30]"	"[202,200,201]"	3	54 	[]	-1	-1	[]	-1	-1	[]	-1	-1	14000	0
