number	number	array
270114	4	"[0,3]"
270115	5	"[0,3]"
270116	6	"[1,3]"
270117	7	"[0,3]"
270118	8	"[0,3]"
270119	9	"[1,3]"
270120	10	"[0,3]"
270121	11	"[0,3]"
270122	12	"[0,3]"
280111	1	"[0,3]"
280112	2	"[1,3]"
280113	3	"[0,3]"
280114	4	"[1.5,4]"
280115	5	"[1,4]"
280116	6	"[1,4]"
280117	7	"[0,4]"
280118	8	"[0,3]"
280119	9	"[0,3]"
280120	10	"[0,3]"
290111	1	"[0,3]"
290112	2	"[0,3]"
290113	3	"[0,3]"
290114	4	"[0,3]"
290115	5	"[0,3]"
290116	6	"[0,3]"
290117	7	"[0,3]"
290118	8	"[0,3]"
290119	9	"[0,3]"
300111	1	"[0,3]"
300112	2	"[0,3]"
300113	3	"[0,3]"
300114	4	"[0,3]"
300115	5	"[0,3]"
300116	6	"[0,3]"
300117	7	"[0,3]"
300118	8	"[1,3]"
300119	9	"[0,3]"
300120	10	"[0,3]"
310111	1	"[0,3]"
310112	2	"[0,3]"
310113	3	"[1,3]"
310114	4	"[0,3]"
310115	5	"[1,3]"
310116	6	"[0,3]"
310117	7	"[0,3]"
310118	8	"[0,3]"
310119	9	"[0,3]"
320111	1	"[0,3.5]"
320112	2	"[0,3.5]"
320113	3	"[0,3.5]"
320114	4	"[0,3.5]"
320115	5	"[0,3.5]"
320116	6	"[0,3.5]"
330111	1	"[1,3.5]"
330112	2	"[0,3.5]"
330113	3	"[0,3.5]"
330114	4	"[0,3.5]"
330115	5	"[0,3.5]"
330116	6	"[1,3.5]"
330117	7	"[1,3.5]"
330118	8	"[0,3.5]"
330119	9	"[1,3.5]"
330120	10	"[0,3.5]"
330121	11	"[1,3.5]"
330122	12	"[0,3.5]"
330123	13	"[1,3.5]"
340111	1	"[1,3.5]"
340112	2	"[0,3.5]"
340113	3	"[1,3.5]"
340114	4	"[0,3.5]"
340115	5	"[0,3.5]"
340116	6	"[0,3.5]"
340117	7	"[0,3.5]"
340118	8	"[0,3.5]"
340119	9	"[0,3.5]"
340120	10	"[1,3.5]"
340121	11	"[0,3.5]"
340122	12	"[1,3.5]"
340123	13	"[0,3.5]"
350111	1	"[0,3.5]"
350112	2	"[1,3.5]"
350113	3	"[0,3.5]"
350114	4	"[0,3.5]"
350115	5	"[0,3.5]"
350116	6	"[0,3.5]"
350117	7	"[1,3.5]"
350118	8	"[0,3.5]"
350119	9	"[1,3.5]"
350120	10	"[0,3.5]"
360111	1	"[1,3.5]"
360112	2	"[0,3.5]"
360113	3	"[0,3.5]"
360114	4	"[0,3.5]"
360115	5	"[0,3.5]"
360116	6	"[0,3.5]"
360117	7	"[0,3.5]"
370111	1	"[1,3.5]"
370112	2	"[0,3.5]"
370113	3	"[1.5,4]"
370114	4	"[0,3.5]"
370115	5	"[1,3.5]"
370116	6	"[0.5,3.5]"
370117	7	"[1,3.5]"
370118	8	"[0,3.5]"
370119	9	"[1,3.5]"
370120	10	"[0.5,3.5]"
370121	11	"[0.5,3.5]"
370122	12	"[0,3.5]"
370123	13	"[1,3.5]"
370124	14	"[0,3]"
370125	15	"[0,3]"
380111	1	"[0,3.5]"
380112	2	"[0,3.5]"
380113	3	"[0,3.5]"
380114	4	"[0,3.5]"
380115	5	"[0,3.5]"
380116	6	"[0,3.5]"
380117	7	"[0,3.5]"
380118	8	"[1,3.5]"
380119	9	"[0,3.5]"
380120	10	"[0,3.5]"
380121	11	"[0,3.5]"
390111	1	"[0,3.5]"
390112	2	"[0,3.5]"
390113	3	"[1,3.5]"
390114	4	"[0,3.5]"
390115	5	"[0,3.5]"
390116	6	"[0,3.5]"
400111	1	"[0,3.5]"
400112	2	"[1,3.5]"
400113	3	"[1,3.5]"
400114	4	"[0,3.5]"
400115	5	"[0,3.5]"
400116	6	"[1,3.5]"
400117	7	"[0,3.5]"
400118	8	"[0,3.5]"
400119	9	"[0,3.5]"
400120	10	"[0,3.5]"
400121	11	"[0,3.5]"
400122	12	"[0,3.5]"
400123	13	"[0,3.5]"
410111	1	"[0,3.5]"
410112	2	"[0,3.5]"
410113	3	"[1,3.5]"
410114	4	"[0,3.5]"
410115	5	"[0,3.5]"
410116	6	"[1,3.5]"
410117	7	"[0,3.5]"
410118	8	"[0,3.5]"
420111	1	"[1,3.5]"
420112	2	"[0,3.5]"
420113	3	"[0,3.5]"
420114	4	"[0,3.5]"
420115	5	"[1,3.5]"
420116	6	"[1.5,3.5]"
420117	7	"[0,3.5]"
420118	8	"[1,3.5]"
420119	9	"[1,3.5]"
420120	10	"[1,3.5]"
420121	11	"[1,3.5]"
420122	12	"[0,3.5]"
420123	13	"[0,3.5]"
420124	14	"[0,3.5]"
430111	1	"[0,3.5]"
430112	2	"[0,3.5]"
430113	3	"[0,3.5]"
430114	4	"[1,3.5]"
430115	5	"[0,3.5]"
430116	6	"[0,3.5]"
430117	7	"[0,3.5]"
430118	8	"[0,3.5]"
430119	9	"[0,3.5]"
430120	10	"[1,3.5]"
430121	11	"[0,3.5]"
430122	12	"[0,3.5]"
430123	13	"[1,3.5]"
430124	14	"[0,3.5]"
440111	1	"[1,3.5]"
440112	2	"[0,3.5]"
440113	3	"[0,3.5]"
440114	4	"[0,3.5]"
440115	5	"[0,3.5]"
440116	6	"[0,3.5]"
440117	7	"[0,3.5]"
440118	8	"[1,3.5]"
440119	9	"[0,3.5]"
440120	10	"[1,3.5]"
440121	11	"[1,3.5]"
440122	12	"[0,3.5]"
450111	1	"[0,3.5]"
450112	2	"[1,3.5]"
450113	3	"[0,3.5]"
450114	4	"[0.5,3.5]"
450115	5	"[1,3.5]"
450116	6	"[0,3.5]"
450117	7	"[1,3.5]"
450118	8	"[0,3.5]"
450119	9	"[0,1,3.5]"
450120	10	"[0.5,1.5,3.5]"
460111	1	"[1,3.5]"
460112	2	"[0,3.5]"
460113	3	"[0,3.5]"
460114	4	"[0,3.5]"
460115	5	"[0,3.5]"
460116	6	"[0,3.5]"
460117	7	"[0,3.5]"
460118	8	"[0,3.5]"
460119	9	"[1,3.5]"
460120	10	"[1,3.5]"
460121	11	"[1,3.5]"
460122	12	"[1,3.5]"
460123	13	"[0,3.5]"
470111	1	"[1.5,3.5]"
470112	2	"[0,3.5]"
470113	3	"[1,3.5]"
470114	4	"[1,3.5]"
470115	5	"[0,3.5]"
470116	6	"[0,3.5]"
470117	7	"[1,3.5]"
470118	8	"[0,3.5]"
470119	9	"[1,3.5]"
470120	10	"[1,3.5]"
470121	11	"[0,3.5]"
470122	12	"[1,3.5]"
470123	13	"[0,3.5]"
470124	14	"[0,3.5]"
480111	1	"[0,3.5]"
480112	2	"[0,3.5]"
480113	3	"[0.5,3.5]"
480114	4	"[0.5,3.5]"
480115	5	"[0.5,3.5]"
480116	6	"[1,3.5]"
480117	7	"[0.5,3.5]"
490111	1	"[0.5,3.5]"
490112	2	"[0,3.5]"
490113	3	"[0,3.5]"
490114	4	"[0.5,3.5]"
490115	5	"[0.5,3.5]"
490116	6	"[0.5,3.5]"
490117	7	"[0,3.5]"
490118	8	"[0.5,3.5]"
490119	9	"[0,3.5]"
500111	1	"[0,3.5]"
500112	2	"[0,3.5]"
500113	3	"[0,3.5]"
500114	4	"[1,3.5]"
500115	5	"[0,3.5]"
500116	6	"[1,3.5]"
500117	7	"[0.5,3.5]"
500118	8	"[0,3.5]"
500119	9	"[0,3.5]"
510111	1	"[0,3.5]"
510112	2	"[0,3.5]"
510113	3	"[0,3.5]"
510114	4	"[0,3.5]"
510115	5	"[0,3.5]"
510116	6	"[0,3.5]"
510117	7	"[0,3.5]"
510118	8	"[0,3.5]"
510119	9	"[0,3.5]"
520111	1	"[0.5,3.5]"
520112	2	"[0,3.5]"
520113	3	"[0,3.5]"
520114	4	"[0,3.5]"
520115	5	"[0,3.5]"
520116	6	"[0.5,3.5]"
520117	7	"[0,3.5]"
520118	8	"[0,3.5]"
520119	9	"[0,3.5]"
520120	10	"[0,3.5]"
520121	11	"[0,3.5]"
530111	1	"[0,3.5]"
530112	2	"[0,3.5]"
530113	3	"[0,3.5]"
530114	4	"[0,3.5]"
530115	5	"[0.5,3.5]"
530116	6	"[0,3.5]"
530117	7	"[0,3.5]"
530118	8	"[0,3.5]"
530119	9	"[0,3.5]"
530120	10	"[0,3.5]"
530121	11	"[0,3.5]"
530122	12	"[0.5,3.5]"
540111	1	"[0,3.5]"
540112	2	"[0,3.5]"
540113	3	"[0,3.5]"
540114	4	"[0,3.5]"
540115	5	"[0,3.5]"
540116	6	"[0,3.5]"
540117	7	"[0,3.5]"
550111	1	"[0,3.5]"
550112	2	"[0,3.5]"
550113	3	"[0,3.5]"
550114	4	"[0,3.5]"
550115	5	"[0,3.5]"
550116	6	"[0,3.5]"
550117	7	"[0,3.5]"
550118	8	"[0,3.5]"
550119	9	"[0,3.5]"
550120	10	"[0,3.5]"
560111	1	"[0,3.5]"
560112	2	"[0,3.5]"
560113	3	"[0,3.5]"
560114	4	"[0,3.5]"
560115	5	"[0,3.5]"
560116	6	"[0,3.5]"
560117	7	"[0,3.5]"
560118	8	"[0,3.5]"
560119	9	"[0,3.5]"
560120	10	"[0,3.5]"
560121	11	"[0,3.5]"
570111	1	"[0,3.5]"
570112	2	"[0,3.5]"
570113	3	"[0,3.5]"
570114	4	"[0,3.5]"
570115	5	"[0,3.5]"
570116	6	"[0,3.5]"
570117	7	"[0,3.5]"
570118	8	"[0,3.5]"
570119	9	"[0,3.5]"
580111	1	"[0,3.5]"
580112	2	"[0,3.5]"
580113	3	"[0,3.5]"
580114	4	"[0,3.5]"
580115	5	"[0,3.5]"
580116	6	"[0,3.5]"
580117	7	"[0,3.5]"
580118	8	"[0,3.5]"
580119	9	"[0,3.5]"
580120	10	"[0,3.5]"
580121	11	"[0,3.5]"
580122	12	"[0,3.5]"
580123	13	"[0,3.5]"
580124	14	"[0,3.5]"
580125	15	"[0,3.5]"
590111	1	"[0,3.5]"
590112	2	"[0,3.5]"
590113	3	"[0,3.5]"
590114	4	"[0,3.5]"
590115	5	"[0,3.5]"
590116	6	"[0,3.5]"
590117	7	"[0,3.5]"
590118	8	"[0,3.5]"
590119	9	"[0,3.5]"
590120	10	"[0,3.5]"
590121	11	"[0,3.5]"
600111	1	"[0,3.5]"
600112	2	"[0,3.5]"
600113	3	"[0,3.5]"
600114	4	"[0,3.5]"
600115	5	"[0,3.5]"
600116	6	"[0,3.5]"
600117	7	"[0,3.5]"
600118	8	"[0,3.5]"
600119	9	"[0,3.5]"
600120	10	"[0,3.5]"
610111	1	"[0,3.5]"
610112	2	"[0,3.5]"
610113	3	"[0,3.5]"
1010111	1	"[0.5,5]"
1010112	2	"[0,3]"
1010113	3	"[0.5,3]"
1010114	4	"[1,5]"
1010115	5	"[1,3]"
1010116	6	"[1,5]"
1010117	7	"[0.5,5]"
1010118	8	"[0.5,5]"
1010119	9	"[0,3]"
1010120	10	"[1,5]"
1010121	11	"[0,5]"
1010122	12	"[0,3]"
1020111	1	"[1,5]"
1020112	2	"[0,3]"
1020113	3	"[1,5]"
1020114	4	"[1,5]"
1020115	5	"[1,5]"
1020116	6	"[0.5,5]"
1020117	7	"[0,5]"
1020118	8	"[0,3]"
1020119	9	"[1,3]"
1020120	10	"[0,3]"
1030111	1	"[1,3]"
1030112	2	"[0,5]"
1030113	3	"[0.5,3]"
1030114	4	"[1,5]"
1030115	5	"[1,5]"
1030116	6	"[0.5,3]"
1030117	7	"[0,5]"
1030118	8	"[1,3]"
