number	string	number	number	number	string	array	number	string	array	string	number	number	number	number	array2	number	array2	array	array2	array	number
5015	珀修斯	2	4	20	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2107	用飛行鞋、革囊和冥王的隱身帽殺死了蛇女美杜莎，用美杜莎頭顱石化了海怪，救了安德羅墨達公主並結婚，他們成為了英仙座和仙女座	"[32107,18001]"	H107	6	960	20	5014	"[[32107,4000,1],[18001,2000,1]]"	38	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4107,10]"	812
5016	波塞冬	2	5	25	resource/scene/bf005/bf005_merge.sce	"[4057,4060,4063]"	2076	奧林匹斯十二主神之海王，海洋和水域的一切主宰，三叉戟威力巨大翻云覆雨	"[32076,18001]"	H076	6	1000	20	5015	"[[32076,3000,1],[18001,2000,1]]"	40	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4076,10]"	812
5017	蓝缪斯女神	4	3	25	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2084	音樂女神，繆斯9女神之一，赫利孔山的泉水的水泽神女，以阿波罗为首領	"[32084,18001]"	H084	6	1040	20	5016	"[[32084,4000,1],[18001,2000,1]]"	43	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4084,10]"	833
5018	忒修斯	2	4	25	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2081	雅典國王，曾解開米諾斯的迷宮，並戰勝了半人牛怪物。劫持海倫，並試圖劫持冥後，因此被扣留在冥界，後來被海格力斯救出	"[32081,18001]"	H081	6	1080	20	5017	"[[32081,4000,1],[18001,2000,1]]"	46	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4081,10]"	833
5019	阿尔忒弥斯	3	5	30	resource/scene/bf005/bf005_merge.sce	"[4057,4060,4063]"	2078	月神，阿波羅的孿生姐姐，她那致命的箭頭不斷瞄准並射向藐視她存在或忽視她原則的人。	"[32078,18001]"	H078	6	1120	20	5018	"[[32078,3000,1],[18001,2000,1]]"	50	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4078,10]"	939
5020	泰兰德	2	3	30	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2058	月之女祭司，同時還是哨兵的首領，長達一萬多年里領導暗夜精靈一族的杰出精靈女王	"[32058,18001]"	H058	6	1160	20	5019	"[[32058,4000,1],[18001,2000,1]]"	53	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4058,10]"	939
5021	贝瑟芬妮	3	4	30	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2090	冥後，豐產女神，被哈迪斯綁架到冥界結婚。半年在人間使萬物茂盛，半年在冥界使萬物蕭條枯萎	"[32090,18001]"	H090	6	1200	20	5020	"[[32090,4000,1],[18001,2000,1]]"	56	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4090,10]"	939
5022	塔那托斯	2	5	35	resource/scene/bf005/bf005_merge.sce	"[4057,4060,4063]"	2080	死神，黑夜女神之子，哈得斯的首席武官。有一個孿生兄弟——睡神希潑諾斯	"[32080,18001]"	H080	6	1240	20	5021	"[[32080,3000,1],[18001,2000,1]]"	60	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4080,10]"	939
5023	阿伽门农	3	3	35	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2038	希臘諸王之王邁錫尼王，特洛伊戰爭即因他想稱霸愛琴海。足智多謀，擅長矛與標槍，但不常願與人正面交鋒	"[32038,18001]"	H038	6	1280	20	5022	"[[32038,4000,1],[18001,2000,1]]"	63	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4038,10]"	939
5024	俄耳甫斯	4	4	35	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2082	音樂天才，參與奪取金羊毛。後為救愛人闖入地府，最後關頭回頭看她而功虧一簣，後哀傷而死，她的豎琴成為天琴座	"[32082,18001]"	H082	6	1320	20	5023	"[[32082,4000,1],[18001,2000,1]]"	66	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4082,10]"	939
5025	托尔	2	5	40	resource/scene/bf005/bf005_merge.sce	"[4057,4060,4063]"	2018	身材魁武的奧丁長子，北歐掌管戰爭與農業之神。索爾的腰上束著使他力大無比的魔腰帶，手執米奧爾尼爾魔錘	"[32018,18002]"	H018	6	1360	20	5024	"[[32018,3000,1],[18002,2000,1]]"	70	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4018,10]"	939
5026	海姆达尔	1	3	40	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2020	神界的守護神，能眼觀四路耳聽八方，日夜守護在天界入口彩虹橋，防禦冰霜巨人的侵襲。騎金鬃馬肩背號角，可召喚眾神祇	"[32020,18002]"	H020	6	1400	20	5025	"[[32020,4000,1],[18002,2000,1]]"	75	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4020,10]"	939
5027	阿波罗	3	5	42	resource/scene/bf005/bf005_merge.sce	"[4057,4060,4063]"	2004	奧林匹斯十二主神之太陽神，光明、青春和音樂之神，宙斯之子，月神的孿生弟弟	"[32004,18002]"	H004	6	1440	20	5026	"[[32004,3000,1],[18002,2000,1]]"	80	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4004,10]"	939
5028	亚瑟王	2	4	42	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2109	傳說中的英格蘭國王，羅馬帝國瓦解後，率領圓桌騎士團統一了不列顛群島	"[32109,18002]"	H109	6	1480	20	5027	"[[32109,4000,1],[18002,2000,1]]"	85	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4109,10]"	939
5029	赫拉	4	5	45	resource/scene/bf005/bf005_merge.sce	"[4057,4060,4063]"	2075	眾神之王後，奧林匹斯十二主神之二，掌管婚姻，捍衛家庭，權力最高的女神	"[32075,18002]"	H075	6	1520	20	5028	"[[32075,3000,1],[18002,2000,1]]"	90	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4075,10]"	939
5030	海格力斯	2	4	45	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2009	主神宙斯與凡間皇後所生，力大無比，在搖籃里就掐死過毒蛇，完成12项伟绩，被晋升为武仙座	"[32009,18002]"	H009	6	1560	20	5029	"[[32009,4000,1],[18002,2000,1]]"	95	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4009,10]"	939
5031	海伦	4	5	47	resource/scene/bf005/bf005_merge.sce	"[4057,4060,4063]"	2106	宙斯的女兒，世上最美麗的女人，無可匹敵的魅力使希臘各地的英雄們都迷戀於她，引發了特洛伊之戰	"[32106,18002]"	H106	6	1600	20	5030	"[[32106,3000,1],[18002,2000,1]]"	100	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4106,10]"	939
5032	亚马逊女王	2	4	47	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2100	亞馬遜河之下，冥河之上，坐落神秘的亞馬遜王國，而她就是這一片土地上最神秘領域的主宰與守護者，崇尚自由，無憂無慮	"[32100,18002]"	H100	6	1640	20	5031	"[[32100,4000,1],[18002,2000,1]]"	105	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4100,10]"	939
5033	阿瑞斯	2	5	50	resource/scene/bf005/bf005_merge.sce	"[4057,4060,4063]"	2007	奧林匹斯十二主神之戰神，宙斯和赫拉的兒子，力量與權力的象徵，嗜殺血腥與人類禍災的化身	"[32007,18002]"	H007	6	1680	20	5032	"[[32007,3000,1],[18002,2000,1]]"	110	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4007,10]"	939
5034	列奥尼达	1	4	50	resource/scene/bf003/bf003_merge.sce	"[4057,4060,4063]"	2049	斯巴達國王，抵抗波斯入侵的英雄，因叛徒出賣，下令聯軍撤退，他與300斯巴达勇士血戰到底，英勇就义	"[32049,18002]"	H049	6	1720	20	5033	"[[32049,4000,1],[18002,2000,1]]"	115	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4049,10]"	939
5035	哈迪斯	1	5	55	resource/scene/bf005/bf005_merge.sce	"[4057,4060,4063]"	2077	冥王，司掌冥界，統治陰暗的世界，宙斯的哥哥，實力強大而黑暗	"[32077,18002]"	H077	6	1760	20	5034	"[[32077,3000,1],[18002,2000,1]]"	120	"[[4060,-20,2],[4060,40,1],[4060,50,3],[4063,160,2],[4057,220,1],[4057,230,3],[4060,350,1],[4060,360,2],[4060,370,3]]"	[]	"[[4060,12,2],[4060,12.6,1],[4060,14,3],[4060,14.3,1],[4060,14.6,3],[4057,16.3,1],[4057,16.6,3],[4063,18,2]]"	"[4077,10]"	939
