number	string	number	string	string	string	string	number	number	number	number	number	number	number	number	array	number	number	number	number	number	number	number	string	string	number	string	string
3049	望乃	1	H006	H006_output	H006_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1]"	161	1	0.5	10	25	2	0	S161_magic_H006_attack	S162_magic_H006_attack	166	H006_auto166_attack	H006_icon_01
3050	兵士	1	M014	M014_output	M014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1.05]"		1	0.5	10	25	2	0					M014_icon_01
3051	双刀工兵	2	M012	M012_output	M012_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1,1,1,1,1]"		1	0.5	10	25	2	0					M012_icon_01
3052	戦士	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.53,1,1,1,1]"		1	0.5	50	25	2	1					M002_icon_01
3053	ディオニシス	2	H018	H018_output	H018_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1,1,1,1,1]"	392	1	0.5	10	25	2	0	S392_magic_H018_attack	S393_magic_H018_attack	398	H018_auto398_attack	H018_icon_01
3054	幽霊	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.77,0.77,0.84,0.84,0.88]"		1	0.5	10	25	2	0					M001_icon_01
3055	ドラゴン[火]	2	M102	M102_output	M102_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1,1,1,1,1]"	512	1	0.5	10	25	2	0	S512_magic_M102_attack	S513_magic_M102_attack	549	M102_auto549_attack	M102_icon_01
3056	狂戦士	1	M011	M011_output	M011_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.77,0.77,0.84,0.84,0.88]"		1	0.5	10	25	2	0					M011_icon_01
3057	マクシーン	1	H012	H012_output	H012_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1]"	350	1	0.5	10	25	2	0	S350_magic_H012_attack	S351_magic_H012_attack	537	H012_auto537_attack	H012_icon_01
3058	軍事顧問	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[0.94,0.94,0.76,0.76,0.72]"		1	0.5	10	25	2	1					M002_icon_01
3059	霊兵士	3	H009	H009_output	H009_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.36,1.06,0.9,0.9,0.56]"	300	1	0.5	10	25	2	1	S300_magic_H009_attack	S301_magic_H009_attack	328	H009_auto328_attack	H009_icon_01
3060	番兵	2	M004	M004_output	M004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[0.85,0.85,0.8,0.8,0.8]"		1	0.5	10	25	2	0					M004_icon_01
3061	美巴瑠	3	H005	H005_output	H005_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.06,0.26,0.9,0.9,0.86]"	180	1	0.5	10	25	2	1	S180_magic_H005_attack	S181_magic_H005_attack	538	H005_auto538_attack	H005_icon_01
3062	狂剣士	1	H007	H007_output	H007_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.91,0.82,1,1,1.25]"		1	0.5	10	25	2	0					H007_icon_01
3063	ノエリア	1	H007	H007_output	H007_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.76,0.67,1.15,1.15,1.05]"	130	1	0.5	10	25	2	0	S130_magic_H007_attack	S131_magic_H007_attack	138	H007_auto138_attack	H007_icon_01
3064	駆逐者	1	H002	H002_output	H002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.91,0.82,1,1,1.05]"	533	1	0.5	10	25	2	0	S533_magic_H002_attack	S534_magic_H002_attack	532	H002_auto532_attack	H002_icon_01
3065	葵華	2	H003	H003_output	H003_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[0.96,0.96,0.95,0.95,0.95]"	152	1	0.5	10	25	2	1	S152_magic_H003_attack	S153_magic_H003_attack	156	H003_auto156_attack	H003_icon_01
3066	スパイ	2	M004	M004_output	M004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[0.96,0.96,0.95,0.95,0.95]"		1	0.5	10	25	2	0					M004_icon_01
3067	番兵	2	M004	M004_output	M004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[0.96,0.96,0.95,0.95,0.95]"		1	0.5	10	25	2	0					M004_icon_01
3068	軍医	3	M009	M009_output	M009_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.06,1.06,0.9,0.9,0.86]"	646	1	0.5	10	25	2	1	S646_magic_M009_attack		647	M009_auto647_attack	M009_icon_01
3069	戦士	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.44,1.09,0.66,0.66,0.57]"		1	0.5	10	25	2	1					M002_icon_01
3070	軍事顧問	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1,1,1,1,1]"		1	0.5	10	25	2	1					M002_icon_01
3071	勇士	2	H014	H014_output	H014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1,1,1,1,1]"	535	1	0.5	10	25	2	1	S535_magic_H014_attack	S536_magic_H014_attack	536	H014_auto536_attack	H014_icon_01
3072	番兵	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.67,0.67,0.77,0.77,0.88]"		1	0.5	10	25	2	0					M001_icon_01
3073	ガード	2	M004	M004_output	M004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[0.77,0.77,0.67,0.67,0.8]"		1	0.5	10	25	2	0					M004_icon_01
3074	軍事顧問	3	M009	M009_output	M009_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[0.74,0.84,0.76,0.76,0.72]"	646	1	0.5	10	25	2	1	S646_magic_M009_attack		647	M009_auto647_attack	M009_icon_01
3075	隠者	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[1.06,1.16,0.9,0.9,0.86]"		1	0.5	10	25	2	1					M002_icon_01
3076	イレーネ	3	H010	H010_output	H010_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	260	"[0.85,1,0.85,0.85,1]"	360	1	0.5	10	25	2	1	S360_magic_H010_attack	S361_magic_H010_attack	540	H010_auto540_attack	H010_icon_01
3077	巨熊	1	M101	M101_output	M101_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[1,1,1,1,1]"	547	1	0.5	10	25	2	0	S547_magic_M101_attack	S548_magic_M101_attack	546	M101_auto546_attack	M101_icon_01
3078	サイキック	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.77,0.77,0.84,0.84,0.88]"		1	0.5	10	25	2	0					M001_icon_01
3079	メラニー	1	H002	H002_output	H002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.85,0.85,0.9,0.9,0.8]"		1	0.5	15	25	2	0					H002_icon_01
3080	ミリアム	1	H022	H022_output	H022_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.91,0.82,1,1,1.05]"		1	0.5	10	25	2	0					H022_icon_01
3081	魂	1	M103	M103_output	M103_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.77,0.77,0.84,0.84,0.88]"	686	1	0.5	10	25	2	0	S686_magic_M103_attack		687	M103_auto687_attack	M103_icon_01
3082	炎のドラゴン	2	M102	M102_output	M102_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[0.96,0.96,0.95,0.95,0.95]"	688	1	0.5	10	25	2	0	S688_magic_M102_attack	S689_magic_M102_attack	689	M102_auto689_attack	M102_icon_01
3083	巨人	1	M104	M104_output	M104_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.77,0.77,0.84,0.84,0.88]"	690	1	0.5	10	25	2	0	S690_magic_M104_attack		691	M104_auto691_attack	M104_icon_01
3084	爆弾研究者	2	M010	M010_output	M010_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[0.96,0.96,0.95,0.95,0.95]"	692	1	0.5	10	25	2	0	S692_magic_M010_attack		693	M010_auto693_attack	M010_icon_01
3085	爆弾研究者	2	M010	M010_output	M010_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[0.96,0.96,0.95,0.95,0.95]"	694	1	0.5	10	25	2	0	S694_magic_M010_attack		695	M010_auto695_attack	M010_icon_01
3086	破壊マシーン	1	M105	M105_output	M105_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	15	"[0.77,0.77,0.84,0.84,0.88]"	696	1	0.5	10	25	2	0	S696_magic_M105_attack				M105_icon_01
3090	爆弾研究者	2	M010	M010_output	M010_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.65	130	"[1.05,1,1,1,1]"		1	0	48	0	2	0					M010_icon_01
4001	爆弾研究者	2	M010	M010_output	M010_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	0					M010_icon_01
4002	狂戦士	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	0					M001_icon_01
4003	メラニー	1	H002	H002_output	H002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"	533	1	0.5	10	50	2	0	S533_magic_H002_attack	S534_magic_H002_attack	532	H002_auto532_attack	H002_icon_01
4004	葵華	2	H003	H003_output	H003_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"	152	1	0.5	10	50	2	1	S152_magic_H003_attack	S153_magic_H003_attack	156	H003_auto156_attack	H003_icon_01
4005	番兵	2	M004	M004_output	M004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	0					M004_icon_01
4006	狙撃手	3	M013	M013_output	M013_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	1					M013_icon_01
4007	美巴瑠	3	H005	H005_output	H005_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"	180	1	0.5	10	50	2	1	S180_magic_H005_attack	S181_magic_H005_attack	538	H005_auto538_attack	H005_icon_01
4008	兵士	1	M014	M014_output	M014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	0					M014_icon_01
4009	軍医	3	M009	M009_output	M009_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"	646	1	0.5	10	50	2	1	S646_magic_M009_attack		647	M009_auto647_attack	M009_icon_01
4010	戦士	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	1					M002_icon_01
4011	竜牙	1	H007	H007_output	H007_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"	539	1	0.5	10	50	2	0	S539_magic_H007_attack	S540_magic_H007_attack	531	H007_auto531_attack	H007_icon_01
4012	ルミア	2	H024	H024_output	H024_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"	372	1	0.5	10	50	2	1	S372_magic_H024_attack	S373_magic_H024_attack	378	H024_auto378_attack	H024_icon_01
4013	尤奈	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"	541	1	0.5	10	50	2	1	S541_magic_M002_attack	S542_magic_M002_attack	542	M002_auto542_attack	M002_icon_01
4014	霊	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	1					M002_icon_01
4015	忍者	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	0					M001_icon_01
4016	メラニー	1	H002	H002_output	H002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"	543	1	0.5	10	50	2	0	S543_magic_H002_attack	S544_magic_H002_attack	544	H002_auto544_attack	H002_icon_01
4017	リリヤ	3	H017	H017_output	H017_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"	212	1	0.5	10	50	2	1	S212_magic_H017_attack	S213_magic_H017_attack	216	H017_auto216_attack	H017_icon_01
4018	まくら	2	H020	H020_output	H020_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"	190	1	0.5	10	50	2	0	S190_magic_H020_attack	S191_magic_H020_attack	538	H020_auto538_attack	H020_icon_01
4019	幽霊	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	0					M001_icon_01
4020	狂剣士	1	M011	M011_output	M011_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	0					M011_icon_01
4021	双刀工兵	2	M012	M012_output	M012_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	0					M012_icon_01
4022	魂の勇者	1	H014	H014_output	H014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"	144	1	0.5	10	50	2	0	S144_magic_H014_attack	S145_magic_H014_attack	142	H014_auto142_attack	H014_icon_01
4023	望乃	1	H006	H006_output	H006_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"	161	1	0.5	10	50	2	0	S161_magic_H006_attack	S162_magic_H006_attack	166	H006_auto166_attack	H006_icon_01
4024	ノエリア	1	H007	H007_output	H007_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"	130	1	0.5	10	50	2	0	S130_magic_H007_attack	S131_magic_H007_attack	138	H007_auto138_attack	H007_icon_01
4025	冥翠	2	H004	H004_output	H004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"	310	1	0.5	10	50	2	0	S310_magic_H004_attack	S311_magic_H004_attack	316	H004_auto316_attack	H004_icon_01
4026	刺客	2	M004	M004_output	M004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	0					M004_icon_01
4027	冥翠	3	H004	H004_output	H004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"	310	1	0.5	10	50	2	1	S310_magic_H004_attack	S311_magic_H004_attack	316	H004_auto316_attack	H004_icon_01
4028	コーディー	1	H015	H015_output	H015_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"	200	1	0.5	10	50	2	0	S200_magic_H015_attack	S201_magic_H015_attack	208	H015_auto208_attack	H015_icon_01
4029	軍事顧問	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	1					M002_icon_01
4030	エミリ	1	H023	H023_output	H023_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"	220	1	0.5	10	50	2	0	S220_magic_H023_attack	S221_magic_H023_attack	228	H023_auto228_attack	H023_icon_01
4031	麗雅	2	H008	H008_output	H008_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"	230	1	0.5	10	50	2	0	S230_magic_H008_attack	S231_magic_H008_attack	234	H008_auto234_attack	H008_icon_01
4032	キャロル	3	H011	H011_output	H011_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"	250	1	0.5	10	50	2	0	S250_magic_H011_attack	S251_magic_H011_attack	534	H011_auto534_attack	H011_icon_01
4033	勇士	2	H014	H014_output	H014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"	535	1	0.5	10	50	2	1	S535_magic_H014_attack	S536_magic_H014_attack	536	H014_auto536_attack	H014_icon_01
4034	霊兵士	3	H009	H009_output	H009_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[0.9,0.9,0.9,0.9,0.9]"	300	1	0.5	10	50	2	1	S300_magic_H009_attack	S301_magic_H009_attack	308	H009_auto308_attack	H009_icon_01
4035	ミリアム	2	H022	H022_output	H022_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.9,0.9,0.9,0.9,0.9]"		1	0.5	10	50	2	1					H022_icon_01
4036	リーゼロッテ	1	H016	H016_output	H016_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"	320	1	0.5	10	50	2	0	S320_magic_H016_attack	S321_magic_H016_attack	328	H016_auto328_attack	H016_icon_01
4037	魂の勇者	1	H014	H014_output	H014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[0.9,0.9,0.9,0.9,0.9]"	144	1	0.5	10	50	2	0	S144_magic_H014_attack	S145_magic_H014_attack	142	H014_auto142_attack	H014_icon_01
5001	ダークガード	2	M004	M004_output	M004_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[0.92,0.92,0.9,0.9,0.9]"		1	0.5	10	50	2	0					M004_icon_01
5002	ダークガード	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[1.01,1.01,0.86,0.86,0.81]"		1	0.5	10	50	2	0					M002_icon_01
5003	ダークガード	2	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[6,1.25,1.25,1.11,1.11]"	522	1	0.5	10	50	2	0	S522_magic_M001_attack	S523_magic_M001_attack			M001_icon_01
6001	軍医	3	M009	M009_output	M009_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[1.392,1.392,1.2,1.2,1.782]"	646	1	0.5	10	25	2	0	S646_magic_M009_attack		647	M009_auto647_attack	M009_icon_01
6002	狂戦士	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[1.14,1.14,1.32,1.32,2.538]"		1	0.5	10	25	2	0					M001_icon_01
6003	忍者	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[1.02,1.02,1.44,1.56,2.178]"		1	0.5	10	25	2	0					M001_icon_01
6004	爆弾研究者	2	M010	M010_output	M010_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.45	130	"[1.26,1.74,1.14,1.14,1.8]"		1	0.5	10	25	2	0					M010_icon_01
6005	霊	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[1.752,1.392,1.08,1.08,1.602]"		1	0.5	10	25	2	0					M002_icon_01
6006	兵士	1	M014	M014_output	M014_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[1.14,1.14,1.32,1.32,2.178]"		1	0.5	10	25	2	0					M014_icon_01
6007	戦士	3	M002	M002_output	M002_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.6	260	"[1.992,1.572,1.08,1.08,1.512]"		1	0.5	10	25	2	0					M002_icon_01
6008	幽霊	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[1.14,1.14,1.32,1.32,2.178]"		1	0.5	10	25	2	0					M001_icon_01
6009	兵奴	1	M001	M001_output	M001_normal_attack	hit_11	2	0.2	0.2	100	170	66	1.8	15	"[1.38,1.14,1.2,1.32,2.178]"		1	0.5	10	25	2	0					M001_icon_01
