number	string	string	number	number	number	number	number	number	number	number
831	夜幕降临	哈迪斯、塔那托斯	5	2077	2080	0	0	0	2	0.25
832	月之暗面	阿尔忒弥斯、贝瑟芬妮	4	2078	2090	0	0	0	3	0.2
833	血月勾镰	塔那托斯、阿尔忒弥斯	5	2080	2078	0	0	0	1	0.25
834	月女祭祀	阿尔忒弥斯、泰兰德	4	2078	2058	0	0	0	4	0.2
835	镇魂曲	塔那托斯、俄耳甫斯	4	2080	2082	0	0	0	5	0.2
836	死里逃生	塔那托斯、斯巴达战鬼	4	2080	2104	0	0	0	4	0.25
837	舐犊情深	潘多拉、赫斐斯托斯	4	2105	2079	0	0	0	4	0.25
838	希望之火	潘多拉、普罗米修斯	4	2105	2008	0	0	0	1	0.2
839	奇想之旅	潘多拉、奥德修斯	4	2105	2001	0	0	0	1	0.2
840	战争之源	潘多拉、海伦	5	2105	2106	0	0	0	1	0.25
841	倾国之恋	海伦、丘比特、帕里斯、	5	2106	2006	2039	0	0	5	0.2
842	一脉相承	海伦、海格力斯	4	2106	2009	0	0	0	4	0.2
843	希腊之乱	海伦、亚马逊女王	4	2106	2100	0	0	0	1	0.25
844	传奇之恋	丘比特、屠龙齐格飞、布伦希尔德、	4	2006	2021	2015	0	0	1	0.15
845	盗天火颂	普罗米修斯、蓝缪斯女神	3	2008	2084	0	0	0	7	0.1
846	英雄血脉	海格力斯、珀修斯、列奥尼达、	4	2009	2107	2049	0	0	4	0.2
847	金羊毛	海格力斯、俄耳甫斯、忒修斯、伊阿宋	4	2009	2082	2081	2054	0	1	0.25
848	丰饶女神	芙蕾、瓦尔基里	4	2013	2014	0	0	0	4	0.2
849	北欧女神	芙蕾、希尔瓦娜斯、泰兰德、	4	2013	2061	2058	0	0	1	0.15
850	第一勇士	芙蕾和三个英雄	3	-1	-1	-1	-1	0	7	0.2
851	女武神	芙蕾、战场女武神、屠龙齐格飞	3	2013	2016	2021	0	0	6	0.15
852	金腰带	瓦尔基里、亚马逊女王	4	2014	2100	0	0	0	2	0.15
853	女神战歌	瓦尔基里、战场女武神、希尔瓦娜斯、	4	2014	2016	2061	0	0	7	0.15
854	邪恶终结	洛基、海姆达尔	3	2019	2020	0	0	0	2	0.1
855	希腊诸王	列奥尼达、俄狄浦斯王、忒修斯、阿伽门农	4	2049	2087	2081	2038	0	2	0.2
856	密集阵列	列奥尼达、和四个英雄	4	-1	-1	-1	-1	-1	4	0.15
857	王者之剑	赫斐斯托斯、亚瑟王	4	2079	2109	0	0	0	1	0.15
858	力量腰带	赫斐斯托斯、布伦希尔德	3	2079	2015	0	0	0	1	0.1
859	奥德赛	俄耳甫斯、奥德修斯	3	2082	2001	0	0	0	5	0.15
860	特洛伊纪	俄耳甫斯、阿伽门农	3	2082	2038	0	0	0	6	0.15
861	圆桌骑士	俄狄浦斯王、亚瑟王	4	2087	2109	0	0	0	1	0.15
862	宿命亡魂	俄狄浦斯王、斯巴达战鬼	4	2087	2104	0	0	0	4	0.2
863	斯芬克斯	俄狄浦斯王、盲眼歌者、吟游诗人、	4	2087	2089	2088	0	0	5	0.15
864	闭月羞花	亚马逊女王、亚马逊战姬、亚马逊射手、	4	2100	2101	2102	0	0	5	0.15
865	生来英勇	亚马逊女王、珀修斯	4	2100	2107	0	0	0	1	0.15
866	希腊集阵	斯巴达战鬼、和三个英雄	4	-1	-1	-1	-1	0	2	0.2
867	新人组	斯巴达战鬼、斯露德	3	2104	2017	0	0	0	4	0.1
868	亚瑟王颂	亚瑟王、金缪斯女神	3	2109	2086	0	0	0	6	0.1
869	圣杯传奇	亚瑟王、吟游诗人	3	2109	2088	0	0	0	1	0.1
870	不要回头	贝瑟芬妮、忒修斯	4	2090	2081	0	0	0	5	0.1
871	伊里亚特	奥德修斯、盲眼歌者	3	2001	2089	0	0	0	4	0.1
872	森林战争	战场女武神、泰兰德	3	2016	2058	0	0	0	1	0.1
873	尼伯龙根	屠龙齐格飞、布伦希尔德	3	2021	2015	0	0	0	1	0.1
874	宿命之战	阿伽门农、赫克托尔、阿喀琉斯、	3	2038	2044	2055	0	0	1	0.15
875	精灵挽歌	希尔瓦娜斯、金缪斯女神	3	2061	2086	0	0	0	5	0.1
876	巨龙之歌	蓝缪斯女神、法夫纳	2	2084	2070	0	0	0	1	0.08
877	丛林之歌	蓝缪斯女神、亚马逊战姬、亚马逊射手、	3	2084	2101	2102	0	0	1	0.1
878	战神史诗	金缪斯女神、吟游诗人、盲眼歌者、	3	2086	2088	2089	0	0	1	0.1
879	沉鱼落雁	亚马逊战姬、亚马逊射手	3	2101	2102	0	0	0	1	0.15
880	女神之歌	斯露德、凯兰崔尔、绿缪斯女神、	3	2017	2064	2085	0	0	4	0.15
881	兄弟情深	帕里斯、赫克托尔	2	2039	2044	0	0	0	4	0.1
882	阿尔戈号	伊阿宋、绿缪斯女神	2	2054	2085	0	0	0	6	0.08
883	英雄挽歌	阿喀琉斯、红缪斯女神	2	2055	2083	0	0	0	5	0.1
884	种族血仇	凯兰崔尔、索林橡木盾	2	2064	2069	0	0	0	4	0.1
885	矮人乡曲	索林橡木盾、法夫纳、红缪斯女神、	3	2069	2070	2083	0	0	7	0.1
