number	number	string	number	number	number	number
366	36	大夏龙雀碎片	5	200	0	0
372	37	纳西尔圣剑碎片	1	10	0	0
373	37	纳西尔圣剑碎片	2	20	0	0
374	37	纳西尔圣剑碎片	3	50	0	0
375	37	纳西尔圣剑碎片	4	100	0	0
376	37	纳西尔圣剑碎片	5	200	0	0
382	38	葵纹越前碎片	1	10	0	0
383	38	葵纹越前碎片	2	20	0	0
384	38	葵纹越前碎片	3	50	0	0
385	38	葵纹越前碎片	4	100	0	0
386	38	葵纹越前碎片	5	200	0	0
392	39	瑞佩尔碎片	1	10	0	0
393	39	瑞佩尔碎片	2	20	0	0
394	39	瑞佩尔碎片	3	50	0	0
395	39	瑞佩尔碎片	4	100	0	0
396	39	瑞佩尔碎片	5	200	0	0
402	40	莎拉维尔碎片	1	10	0	0
403	40	莎拉维尔碎片	2	20	0	0
404	40	莎拉维尔碎片	3	50	0	0
405	40	莎拉维尔碎片	4	100	0	0
406	40	莎拉维尔碎片	5	200	0	0
422	42	却邪碎片	1	10	0	0
423	42	却邪碎片	2	20	0	0
424	42	却邪碎片	3	50	0	0
425	42	却邪碎片	4	100	0	0
426	42	却邪碎片	5	200	0	0
432	43	纯钧碎片	1	10	0	0
433	43	纯钧碎片	2	20	0	0
434	43	纯钧碎片	3	50	0	0
435	43	纯钧碎片	4	100	0	0
436	43	纯钧碎片	5	200	0	0
412	41	袖搦碎片	1	10	0	0
413	41	袖搦碎片	2	20	0	0
414	41	袖搦碎片	3	50	0	0
415	41	袖搦碎片	4	100	0	0
416	41	袖搦碎片	5	200	0	0
442	44	怪盗碎片	1	10	0	0
443	44	怪盗碎片	2	20	0	0
444	44	怪盗碎片	3	50	0	0
445	44	怪盗碎片	4	100	0	0
446	44	怪盗碎片	5	200	0	0
452	45	焰形剑碎片	1	10	0	0
453	45	焰形剑碎片	2	20	0	0
454	45	焰形剑碎片	3	50	0	0
455	45	焰形剑碎片	4	100	0	0
456	45	焰形剑碎片	5	200	0	0
462	46	加贺清光碎片	1	10	0	0
463	46	加贺清光碎片	2	20	0	0
464	46	加贺清光碎片	3	50	0	0
465	46	加贺清光碎片	4	100	0	0
466	46	加贺清光碎片	5	200	0	0
472	47	克莉斯碎片	1	10	0	0
473	47	克莉斯碎片	2	20	0	0
474	47	克莉斯碎片	3	50	0	0
475	47	克莉斯碎片	4	100	0	0
476	47	克莉斯碎片	5	200	0	0
482	48	棒球碎片	1	10	0	0
483	48	棒球碎片	2	20	0	0
484	48	棒球碎片	3	50	0	0
485	48	棒球碎片	4	100	0	0
486	48	棒球碎片	5	200	0	0
492	49	九尾碎片	1	10	0	0
493	49	九尾碎片	2	20	0	0
494	49	九尾碎片	3	50	0	0
495	49	九尾碎片	4	100	0	0
496	49	九尾碎片	5	200	0	0
502	50	沥泉枪碎片	1	10	0	0
503	50	沥泉枪碎片	2	20	0	0
504	50	沥泉枪碎片	3	50	0	0
505	50	沥泉枪碎片	4	100	0	0
506	50	沥泉枪碎片	5	200	0	0
512	51	火陨碎片	1	10	0	0
513	51	火陨碎片	2	20	0	0
514	51	火陨碎片	3	50	0	0
515	51	火陨碎片	4	100	0	0
516	51	火陨碎片	5	200	0	0
522	52	赤霄碎片	1	10	0	0
523	52	赤霄碎片	2	20	0	0
524	52	赤霄碎片	3	50	0	0
525	52	赤霄碎片	4	100	0	0
526	52	赤霄碎片	5	200	0	0
532	53	灵翼碎片	1	10	0	0
533	53	灵翼碎片	2	20	0	0
534	53	灵翼碎片	3	50	0	0
535	53	灵翼碎片	4	100	0	0
536	53	灵翼碎片	5	200	0	0
542	54	千棘碎片	1	10	0	0
543	54	千棘碎片	2	20	0	0
544	54	千棘碎片	3	50	0	0
545	54	千棘碎片	4	100	0	0
546	54	千棘碎片	5	200	0	0
552	55	麻麻碎片	1	10	0	0
553	55	麻麻碎片	2	20	0	0
554	55	麻麻碎片	3	50	0	0
555	55	麻麻碎片	4	100	0	0
556	55	麻麻碎片	5	200	0	0
562	56	朱雀碎片	1	10	0	0
563	56	朱雀碎片	2	20	0	0
564	56	朱雀碎片	3	50	0	0
565	56	朱雀碎片	4	100	0	0
566	56	朱雀碎片	5	200	0	0
572	57	巨镰碎片	1	10	0	0
573	57	巨镰碎片	2	20	0	0
574	57	巨镰碎片	3	50	0	0
575	57	巨镰碎片	4	100	0	0
576	57	巨镰碎片	5	200	0	0
582	58	震天弓碎片	1	10	0	0
583	58	震天弓碎片	2	20	0	0
584	58	震天弓碎片	3	50	0	0
585	58	震天弓碎片	4	100	0	0
586	58	震天弓碎片	5	200	0	0
592	59	古锭刀碎片	1	10	0	0
593	59	古锭刀碎片	2	20	0	0
594	59	古锭刀碎片	3	50	0	0
595	59	古锭刀碎片	4	100	0	0
596	59	古锭刀碎片	5	200	0	0
602	60	肥前国忠吉碎片	1	10	0	0
603	60	肥前国忠吉碎片	2	20	0	0
604	60	肥前国忠吉碎片	3	50	0	0
605	60	肥前国忠吉碎片	4	100	0	0
606	60	肥前国忠吉碎片	5	200	0	0
612	61	血琥珀碎片	1	10	0	0
613	61	血琥珀碎片	2	20	0	0
614	61	血琥珀碎片	3	50	0	0
615	61	血琥珀碎片	4	100	0	0
616	61	血琥珀碎片	5	200	0	0
1012	101	蜻蜓切（主1）	1	10	0	0
1013	101	蜻蜓切（主1）	2	20	0	0
1014	101	蜻蜓切（主1）	3	50	0	0
1015	101	蜻蜓切（主1）	4	100	0	0
1016	101	蜻蜓切（主1）	5	200	0	0
1022	102	三日月（主2）	1	10	0	0
1023	102	三日月（主2）	2	20	0	0
1024	102	三日月（主2）	3	50	0	0
1025	102	三日月（主2）	4	100	0	0
1026	102	三日月（主2）	5	200	0	0
1032	103	天丛云剑（主3）	1	10	0	0
1033	103	天丛云剑（主3）	2	20	0	0
1034	103	天丛云剑（主3）	3	50	0	0
1035	103	天丛云剑（主3）	4	100	0	0
1036	103	天丛云剑（主3）	5	200	0	0
