number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number
26	620	620	3296	3296	14900	1240	1240	1977	1977	8940	1302	1302	1977	1977	10430	1364	1364	1648	1648	7450	250	250	250	1	1
27	660	660	3416	3416	15800	1320	1320	2049	2049	9480	1386	1386	2049	2049	11060	1452	1452	1708	1708	7900	260	260	260	1	1
28	700	700	3536	3536	16700	1400	1400	2121	2121	10020	1470	1470	2121	2121	11690	1540	1540	1768	1768	8350	270	270	270	1	1
29	740	740	3656	3656	17600	1480	1480	2193	2193	10560	1554	1554	2193	2193	12320	1628	1628	1828	1828	8800	280	280	280	1	1
30	780	780	3776	3776	18500	1560	1560	2265	2265	11100	1638	1638	2265	2265	12950	1716	1716	1888	1888	9250	290	290	290	1	1
31	860	860	3936	3936	19900	1720	1720	2361	2361	11940	1806	1806	2361	2361	13930	1892	1892	1968	1968	9950	300	300	300	1	1
32	940	940	4096	4096	21300	1880	1880	2457	2457	12780	1974	1974	2457	2457	14910	2068	2068	2048	2048	10650	310	310	310	1	1
33	1020	1020	4256	4256	22700	2040	2040	2553	2553	13620	2142	2142	2553	2553	15890	2244	2244	2128	2128	11350	320	320	320	1	1
34	1100	1100	4416	4416	24100	2200	2200	2649	2649	14460	2310	2310	2649	2649	16870	2420	2420	2208	2208	12050	330	330	330	1	1
35	1180	1180	4576	4576	25500	2360	2360	2745	2745	15300	2478	2478	2745	2745	17850	2596	2596	2288	2288	12750	340	340	340	1	1
36	1340	1340	4816	4816	27300	2680	2680	2889	2889	16380	2814	2814	2889	2889	19110	2948	2948	2408	2408	13650	350	350	350	1	1
37	1500	1500	5056	5056	29100	3000	3000	3033	3033	17460	3150	3150	3033	3033	20370	3300	3300	2528	2528	14550	360	360	360	1	1
38	1660	1660	5296	5296	30900	3320	3320	3177	3177	18540	3486	3486	3177	3177	21630	3652	3652	2648	2648	15450	370	370	370	1	1
39	1820	1820	5536	5536	32700	3640	3640	3321	3321	19620	3822	3822	3321	3321	22890	4004	4004	2768	2768	16350	380	380	380	1	1
40	1980	1980	5776	5776	34500	3960	3960	3465	3465	20700	4158	4158	3465	3465	24150	4356	4356	2888	2888	17250	390	390	390	1	1
41	2160	2160	6016	6016	36300	4320	4320	3609	3609	21780	4536	4536	3609	3609	25410	4752	4752	3008	3008	18150	400	400	400	1	1
42	2340	2340	6256	6256	38400	4680	4680	3753	3753	23040	4914	4914	3753	3753	26880	5148	5148	3128	3128	19200	410	410	410	1	1
43	2520	2520	6496	6496	40500	5040	5040	3897	3897	24300	5292	5292	3897	3897	28350	5544	5544	3248	3248	20250	420	420	420	1	1
44	2700	2700	6736	6736	42600	5400	5400	4041	4041	25560	5670	5670	4041	4041	29820	5940	5940	3368	3368	21300	430	430	430	1	1
45	2880	2880	6976	6976	44700	5760	5760	4185	4185	26820	6048	6048	4185	4185	31290	6336	6336	3488	3488	22350	440	440	440	1	1
46	3060	3060	7296	7296	46800	6120	6120	4377	4377	28080	6426	6426	4377	4377	32760	6732	6732	3648	3648	23400	450	450	450	1	1
47	3240	3240	7616	7616	48900	6480	6480	4569	4569	29340	6804	6804	4569	4569	34230	7128	7128	3808	3808	24450	460	460	460	1	1
48	3420	3420	7936	7936	51000	6840	6840	4761	4761	30600	7182	7182	4761	4761	35700	7524	7524	3968	3968	25500	470	470	470	1	1
49	3600	3600	8256	8256	53100	7200	7200	4953	4953	31860	7560	7560	4953	4953	37170	7920	7920	4128	4128	26550	480	480	480	1	1
50	3780	3780	8576	8576	55200	7560	7560	5145	5145	33120	7938	7938	5145	5145	38640	8316	8316	4288	4288	27600	490	490	490	1	1
51	3960	3960	8976	8976	57300	7920	7920	5385	5385	34380	8316	8316	5385	5385	40110	8712	8712	4488	4488	28650	500	500	500	1	1
52	4140	4140	9376	9376	59400	8280	8280	5625	5625	35640	8694	8694	5625	5625	41580	9108	9108	4688	4688	29700	520	520	520	1	1
53	4320	4320	9776	9776	61500	8640	8640	5865	5865	36900	9072	9072	5865	5865	43050	9504	9504	4888	4888	30750	540	540	540	1	1
54	4500	4500	10176	10176	63600	9000	9000	6105	6105	38160	9450	9450	6105	6105	44520	9900	9900	5088	5088	31800	560	560	560	1	1
55	4680	4680	10576	10576	65700	9360	9360	6345	6345	39420	9828	9828	6345	6345	45990	10296	10296	5288	5288	32850	580	580	580	1	1
56	4860	4860	10976	10976	67800	9720	9720	6585	6585	40680	10206	10206	6585	6585	47460	10692	10692	5488	5488	33900	600	600	600	1	1
57	5040	5040	11376	11376	69900	10080	10080	6825	6825	41940	10584	10584	6825	6825	48930	11088	11088	5688	5688	34950	620	620	620	1	1
58	5220	5220	11776	11776	72000	10440	10440	7065	7065	43200	10962	10962	7065	7065	50400	11484	11484	5888	5888	36000	640	640	640	1	1
59	5400	5400	12176	12176	74100	10800	10800	7305	7305	44460	11340	11340	7305	7305	51870	11880	11880	6088	6088	37050	660	660	660	1	1
60	5580	5580	12576	12576	76200	11160	11160	7545	7545	45720	11718	11718	7545	7545	53340	12276	12276	6288	6288	38100	680	680	680	1	1
61	5760	5760	12976	12976	78300	11520	11520	7785	7785	46980	12096	12096	7785	7785	54810	12672	12672	6488	6488	39150	700	700	700	1	1
62	5940	5940	13376	13376	80400	11880	11880	8025	8025	48240	12474	12474	8025	8025	56280	13068	13068	6688	6688	40200	720	720	720	1	1
63	6120	6120	13776	13776	82500	12240	12240	8265	8265	49500	12852	12852	8265	8265	57750	13464	13464	6888	6888	41250	740	740	740	1	1
64	6300	6300	14176	14176	84600	12600	12600	8505	8505	50760	13230	13230	8505	8505	59220	13860	13860	7088	7088	42300	760	760	760	1	1
65	6480	6480	14576	14576	86700	12960	12960	8745	8745	52020	13608	13608	8745	8745	60690	14256	14256	7288	7288	43350	780	780	780	1	1
66	6660	6660	14976	14976	88800	13320	13320	8985	8985	53280	13986	13986	8985	8985	62160	14652	14652	7488	7488	44400	800	800	800	1	1
67	6840	6840	15376	15376	90900	13680	13680	9225	9225	54540	14364	14364	9225	9225	63630	15048	15048	7688	7688	45450	820	820	820	1	1
68	7020	7020	15776	15776	93000	14040	14040	9465	9465	55800	14742	14742	9465	9465	65100	15444	15444	7888	7888	46500	840	840	840	1	1
69	7200	7200	16176	16176	95100	14400	14400	9705	9705	57060	15120	15120	9705	9705	66570	15840	15840	8088	8088	47550	860	860	860	1	1
70	7380	7380	16576	16576	97200	14760	14760	9945	9945	58320	15498	15498	9945	9945	68040	16236	16236	8288	8288	48600	880	880	880	1	1
71	7560	7560	16976	16976	100000	15120	15120	10185	10185	60000	15876	15876	10185	10185	70000	16632	16632	8488	8488	50000	900	900	900	1	1
72	7740	7740	17376	17376	102800	15480	15480	10425	10425	61680	16254	16254	10425	10425	71960	17028	17028	8688	8688	51400	920	920	920	1	1
73	7920	7920	17776	17776	105600	15840	15840	10665	10665	63360	16632	16632	10665	10665	73920	17424	17424	8888	8888	52800	940	940	940	1	1
74	8100	8100	18176	18176	108400	16200	16200	10905	10905	65040	17010	17010	10905	10905	75880	17820	17820	9088	9088	54200	960	960	960	1	1
75	8280	8280	18576	18576	111200	16560	16560	11145	11145	66720	17388	17388	11145	11145	77840	18216	18216	9288	9288	55600	980	980	980	1	1
76	8460	8460	18976	18976	114000	16920	16920	11385	11385	68400	17766	17766	11385	11385	79800	18612	18612	9488	9488	57000	1000	1000	1000	1	1
77	8640	8640	19376	19376	116800	17280	17280	11625	11625	70080	18144	18144	11625	11625	81760	19008	19008	9688	9688	58400	1020	1020	1020	1	1
78	8820	8820	19776	19776	119600	17640	17640	11865	11865	71760	18522	18522	11865	11865	83720	19404	19404	9888	9888	59800	1040	1040	1040	1	1
79	9000	9000	20176	20176	122400	18000	18000	12105	12105	73440	18900	18900	12105	12105	85680	19800	19800	10088	10088	61200	1060	1060	1060	1	1
80	9180	9180	20576	20576	125200	18360	18360	12345	12345	75120	19278	19278	12345	12345	87640	20196	20196	10288	10288	62600	1080	1080	1080	1	1
81	9360	9360	20976	20976	128000	18720	18720	12585	12585	76800	19656	19656	12585	12585	89600	20592	20592	10488	10488	64000	1100	1100	1100	1	1
82	9540	9540	21376	21376	130800	19080	19080	12825	12825	78480	20034	20034	12825	12825	91560	20988	20988	10688	10688	65400	1120	1120	1120	1	1
83	9720	9720	21776	21776	133600	19440	19440	13065	13065	80160	20412	20412	13065	13065	93520	21384	21384	10888	10888	66800	1140	1140	1140	1	1
84	9900	9900	22176	22176	136400	19800	19800	13305	13305	81840	20790	20790	13305	13305	95480	21780	21780	11088	11088	68200	1160	1160	1160	1	1
85	10080	10080	22576	22576	139200	20160	20160	13545	13545	83520	21168	21168	13545	13545	97440	22176	22176	11288	11288	69600	1180	1180	1180	1	1
86	10260	10260	22976	22976	142000	20520	20520	13785	13785	85200	21546	21546	13785	13785	99400	22572	22572	11488	11488	71000	1200	1200	1200	1	1
87	10440	10440	23376	23376	144800	20880	20880	14025	14025	86880	21924	21924	14025	14025	101360	22968	22968	11688	11688	72400	1220	1220	1220	1	1
88	10620	10620	23776	23776	147600	21240	21240	14265	14265	88560	22302	22302	14265	14265	103320	23364	23364	11888	11888	73800	1240	1240	1240	1	1
89	10800	10800	24176	24176	150400	21600	21600	14505	14505	90240	22680	22680	14505	14505	105280	23760	23760	12088	12088	75200	1260	1260	1260	1	1
90	10980	10980	24576	24576	153200	21960	21960	14745	14745	91920	23058	23058	14745	14745	107240	24156	24156	12288	12288	76600	1280	1280	1280	1	1
91	11160	11160	24976	24976	156000	22320	22320	14985	14985	93600	23436	23436	14985	14985	109200	24552	24552	12488	12488	78000	1300	1300	1300	1	1
92	11340	11340	25376	25376	158800	22680	22680	15225	15225	95280	23814	23814	15225	15225	111160	24948	24948	12688	12688	79400	1320	1320	1320	1	1
93	11520	11520	25776	25776	161600	23040	23040	15465	15465	96960	24192	24192	15465	15465	113120	25344	25344	12888	12888	80800	1340	1340	1340	1	1
94	11700	11700	26176	26176	164400	23400	23400	15705	15705	98640	24570	24570	15705	15705	115080	25740	25740	13088	13088	82200	1360	1360	1360	1	1
95	11880	11880	26576	26576	167200	23760	23760	15945	15945	100320	24948	24948	15945	15945	117040	26136	26136	13288	13288	83600	1380	1380	1380	1	1
96	12060	12060	26976	26976	170000	24120	24120	16185	16185	102000	25326	25326	16185	16185	119000	26532	26532	13488	13488	85000	1400	1400	1400	1	1
97	12240	12240	27376	27376	172800	24480	24480	16425	16425	103680	25704	25704	16425	16425	120960	26928	26928	13688	13688	86400	1420	1420	1420	1	1
98	12420	12420	27776	27776	175600	24840	24840	16665	16665	105360	26082	26082	16665	16665	122920	27324	27324	13888	13888	87800	1440	1440	1440	1	1
99	12600	12600	28176	28176	178400	25200	25200	16905	16905	107040	26460	26460	16905	16905	124880	27720	27720	14088	14088	89200	1460	1460	1460	1	1
100	12780	12780	28576	28576	181200	25560	25560	17145	17145	108720	26838	26838	17145	17145	126840	28116	28116	14288	14288	90600	1480	1480	1480	1	1
101	13020	13020	28976	28976	184000	26040	26040	17385	17385	110400	27342	27342	17385	17385	128800	28644	28644	14488	14488	92000	1500	1500	1500	1	1
102	13260	13260	29376	29376	186800	26520	26520	17625	17625	112080	27846	27846	17625	17625	130760	29172	29172	14688	14688	93400	1520	1520	1520	1	1
103	13500	13500	29776	29776	189600	27000	27000	17865	17865	113760	28350	28350	17865	17865	132720	29700	29700	14888	14888	94800	1540	1540	1540	1	1
104	13740	13740	30176	30176	192400	27480	27480	18105	18105	115440	28854	28854	18105	18105	134680	30228	30228	15088	15088	96200	1560	1560	1560	1	1
105	13980	13980	30576	30576	195200	27960	27960	18345	18345	117120	29358	29358	18345	18345	136640	30756	30756	15288	15288	97600	1580	1580	1580	1	1
106	14220	14220	30976	30976	198000	28440	28440	18585	18585	118800	29862	29862	18585	18585	138600	31284	31284	15488	15488	99000	1600	1600	1600	1	1
107	14460	14460	31376	31376	200800	28920	28920	18825	18825	120480	30366	30366	18825	18825	140560	31812	31812	15688	15688	100400	1620	1620	1620	1	1
108	14700	14700	31776	31776	203600	29400	29400	19065	19065	122160	30870	30870	19065	19065	142520	32340	32340	15888	15888	101800	1640	1640	1640	1	1
109	14940	14940	32176	32176	206400	29880	29880	19305	19305	123840	31374	31374	19305	19305	144480	32868	32868	16088	16088	103200	1660	1660	1660	1	1
110	15180	15180	32576	32576	209200	30360	30360	19545	19545	125520	31878	31878	19545	19545	146440	33396	33396	16288	16288	104600	1680	1680	1680	1	1
111	15420	15420	32976	32976	212600	30840	30840	19785	19785	127560	32382	32382	19785	19785	148820	33924	33924	16488	16488	106300	1700	1700	1700	1	1
112	15660	15660	33376	33376	216000	31320	31320	20025	20025	129600	32886	32886	20025	20025	151200	34452	34452	16688	16688	108000	1720	1720	1720	1	1
113	15900	15900	33776	33776	219400	31800	31800	20265	20265	131640	33390	33390	20265	20265	153580	34980	34980	16888	16888	109700	1740	1740	1740	1	1
114	16140	16140	34176	34176	222800	32280	32280	20505	20505	133680	33894	33894	20505	20505	155960	35508	35508	17088	17088	111400	1760	1760	1760	1	1
115	16380	16380	34576	34576	226200	32760	32760	20745	20745	135720	34398	34398	20745	20745	158340	36036	36036	17288	17288	113100	1780	1780	1780	1	1
116	16620	16620	34976	34976	229600	33240	33240	20985	20985	137760	34902	34902	20985	20985	160720	36564	36564	17488	17488	114800	1800	1800	1800	1	1
117	16860	16860	35376	35376	233000	33720	33720	21225	21225	139800	35406	35406	21225	21225	163100	37092	37092	17688	17688	116500	1820	1820	1820	1	1
118	17100	17100	35776	35776	236400	34200	34200	21465	21465	141840	35910	35910	21465	21465	165480	37620	37620	17888	17888	118200	1840	1840	1840	1	1
119	17340	17340	36176	36176	239800	34680	34680	21705	21705	143880	36414	36414	21705	21705	167860	38148	38148	18088	18088	119900	1860	1860	1860	1	1
120	17580	17580	36576	36576	243200	35160	35160	21945	21945	145920	36918	36918	21945	21945	170240	38676	38676	18288	18288	121600	1880	1880	1880	1	1
121	17820	17820	37136	37136	246600	35640	35640	22281	22281	147960	37422	37422	22281	22281	172620	39204	39204	18568	18568	123300	1900	1900	1900	1	1
122	18060	18060	37696	37696	250000	36120	36120	22617	22617	150000	37926	37926	22617	22617	175000	39732	39732	18848	18848	125000	1920	1920	1920	1	1
123	18300	18300	38256	38256	253400	36600	36600	22953	22953	152040	38430	38430	22953	22953	177380	40260	40260	19128	19128	126700	1940	1940	1940	1	1
124	18540	18540	38816	38816	256800	37080	37080	23289	23289	154080	38934	38934	23289	23289	179760	40788	40788	19408	19408	128400	1960	1960	1960	1	1
125	18780	18780	39376	39376	260200	37560	37560	23625	23625	156120	39438	39438	23625	23625	182140	41316	41316	19688	19688	130100	1980	1980	1980	1	1
126	19020	19020	39936	39936	263600	38040	38040	23961	23961	158160	39942	39942	23961	23961	184520	41844	41844	19968	19968	131800	2000	2000	2000	1	1
127	19260	19260	40496	40496	267000	38520	38520	24297	24297	160200	40446	40446	24297	24297	186900	42372	42372	20248	20248	133500	2020	2020	2020	1	1
128	19500	19500	41056	41056	270400	39000	39000	24633	24633	162240	40950	40950	24633	24633	189280	42900	42900	20528	20528	135200	2040	2040	2040	1	1
129	19740	19740	41616	41616	273800	39480	39480	24969	24969	164280	41454	41454	24969	24969	191660	43428	43428	20808	20808	136900	2060	2060	2060	1	1
130	19980	19980	42176	42176	277200	39960	39960	25305	25305	166320	41958	41958	25305	25305	194040	43956	43956	21088	21088	138600	2080	2080	2080	1	1
131	20220	20220	42736	42736	281600	40440	40440	25641	25641	168960	42462	42462	25641	25641	197120	44484	44484	21368	21368	140800	2100	2100	2100	1	1
132	20460	20460	43296	43296	286000	40920	40920	25977	25977	171600	42966	42966	25977	25977	200200	45012	45012	21648	21648	143000	2120	2120	2120	1	1
133	20700	20700	43856	43856	290400	41400	41400	26313	26313	174240	43470	43470	26313	26313	203280	45540	45540	21928	21928	145200	2140	2140	2140	1	1
134	20940	20940	44416	44416	294800	41880	41880	26649	26649	176880	43974	43974	26649	26649	206360	46068	46068	22208	22208	147400	2160	2160	2160	1	1
135	21180	21180	44976	44976	299200	42360	42360	26985	26985	179520	44478	44478	26985	26985	209440	46596	46596	22488	22488	149600	2180	2180	2180	1	1
136	21420	21420	45536	45536	303600	42840	42840	27321	27321	182160	44982	44982	27321	27321	212520	47124	47124	22768	22768	151800	2200	2200	2200	1	1
137	21660	21660	46096	46096	308000	43320	43320	27657	27657	184800	45486	45486	27657	27657	215600	47652	47652	23048	23048	154000	2220	2220	2220	1	1
138	21900	21900	46656	46656	312400	43800	43800	27993	27993	187440	45990	45990	27993	27993	218680	48180	48180	23328	23328	156200	2240	2240	2240	1	1
139	22140	22140	47216	47216	316800	44280	44280	28329	28329	190080	46494	46494	28329	28329	221760	48708	48708	23608	23608	158400	2260	2260	2260	1	1
140	22380	22380	47776	47776	321200	44760	44760	28665	28665	192720	46998	46998	28665	28665	224840	49236	49236	23888	23888	160600	2280	2280	2280	1	1
141	22620	22620	48336	48336	325600	45240	45240	29001	29001	195360	47502	47502	29001	29001	227920	49764	49764	24168	24168	162800	2300	2300	2300	1	1
142	22860	22860	48896	48896	330000	45720	45720	29337	29337	198000	48006	48006	29337	29337	231000	50292	50292	24448	24448	165000	2320	2320	2320	1	1
143	23100	23100	49456	49456	334400	46200	46200	29673	29673	200640	48510	48510	29673	29673	234080	50820	50820	24728	24728	167200	2340	2340	2340	1	1
144	23340	23340	50016	50016	338800	46680	46680	30009	30009	203280	49014	49014	30009	30009	237160	51348	51348	25008	25008	169400	2360	2360	2360	1	1
145	23580	23580	50576	50576	343200	47160	47160	30345	30345	205920	49518	49518	30345	30345	240240	51876	51876	25288	25288	171600	2380	2380	2380	1	1
146	23820	23820	51136	51136	347600	47640	47640	30681	30681	208560	50022	50022	30681	30681	243320	52404	52404	25568	25568	173800	2400	2400	2400	1	1
147	24060	24060	51696	51696	352000	48120	48120	31017	31017	211200	50526	50526	31017	31017	246400	52932	52932	25848	25848	176000	2420	2420	2420	1	1
148	24300	24300	52256	52256	356400	48600	48600	31353	31353	213840	51030	51030	31353	31353	249480	53460	53460	26128	26128	178200	2440	2440	2440	1	1
149	24540	24540	52816	52816	360800	49080	49080	31689	31689	216480	51534	51534	31689	31689	252560	53988	53988	26408	26408	180400	2460	2460	2460	1	1
150	24780	24780	53376	53376	365200	49560	49560	32025	32025	219120	52038	52038	32025	32025	255640	54516	54516	26688	26688	182600	2480	2480	2480	1	1
