number	array	number	array	number
136	"[101,102,103,104,105]"	520	"[106,107,108,109]"	520
137	"[101,102,103,104,105]"	520	"[106,107,108,109]"	520
138	"[101,102,103,104,105]"	520	"[106,107,108,109]"	520
139	"[101,102,103,104,105]"	520	"[106,107,108,109]"	520
140	"[101,102,103,104,105]"	520	"[106,107,108,109]"	520
141	"[101,102,103,104,105]"	540	"[106,107,108,109]"	540
142	"[101,102,103,104,105]"	540	"[106,107,108,109]"	540
143	"[101,102,103,104,105]"	540	"[106,107,108,109]"	540
144	"[101,102,103,104,105]"	540	"[106,107,108,109]"	540
145	"[101,102,103,104,105]"	540	"[106,107,108,109]"	540
146	"[101,102,103,104,105]"	560	"[106,107,108,109]"	560
147	"[101,102,103,104,105]"	560	"[106,107,108,109]"	560
148	"[101,102,103,104,105]"	560	"[106,107,108,109]"	560
149	"[101,102,103,104,105]"	560	"[106,107,108,109]"	560
150	"[101,102,103,104,105]"	560	"[106,107,108,109]"	560
151	"[101,102,103,104,105]"	580	"[106,107,108,109]"	580
152	"[101,102,103,104,105]"	580	"[106,107,108,109]"	580
153	"[101,102,103,104,105]"	580	"[106,107,108,109]"	580
154	"[101,102,103,104,105]"	580	"[106,107,108,109]"	580
155	"[101,102,103,104,105]"	580	"[106,107,108,109]"	580
156	"[101,102,103,104,105]"	600	"[106,107,108,109]"	600
157	"[101,102,103,104,105]"	600	"[106,107,108,109]"	600
158	"[101,102,103,104,105]"	600	"[106,107,108,109]"	600
159	"[101,102,103,104,105]"	600	"[106,107,108,109]"	600
160	"[101,102,103,104,105]"	600	"[106,107,108,109]"	600
161	"[101,102,103,104,105]"	620	"[106,107,108,109]"	620
162	"[101,102,103,104,105]"	620	"[106,107,108,109]"	620
163	"[101,102,103,104,105]"	620	"[106,107,108,109]"	620
164	"[101,102,103,104,105]"	620	"[106,107,108,109]"	620
165	"[101,102,103,104,105]"	620	"[106,107,108,109]"	620
166	"[101,102,103,104,105]"	640	"[106,107,108,109]"	640
167	"[101,102,103,104,105]"	640	"[106,107,108,109]"	640
168	"[101,102,103,104,105]"	640	"[106,107,108,109]"	640
169	"[101,102,103,104,105]"	640	"[106,107,108,109]"	640
170	"[101,102,103,104,105]"	640	"[106,107,108,109]"	640
171	"[101,102,103,104,105]"	660	"[106,107,108,109]"	660
172	"[101,102,103,104,105]"	660	"[106,107,108,109]"	660
173	"[101,102,103,104,105]"	660	"[106,107,108,109]"	660
174	"[101,102,103,104,105]"	660	"[106,107,108,109]"	660
175	"[101,102,103,104,105]"	660	"[106,107,108,109]"	660
176	"[101,102,103,104,105]"	680	"[106,107,108,109]"	680
177	"[101,102,103,104,105]"	680	"[106,107,108,109]"	680
178	"[101,102,103,104,105]"	680	"[106,107,108,109]"	680
179	"[101,102,103,104,105]"	680	"[106,107,108,109]"	680
180	"[101,102,103,104,105]"	680	"[106,107,108,109]"	680
181	"[101,102,103,104,105]"	700	"[106,107,108,109]"	700
182	"[101,102,103,104,105]"	700	"[106,107,108,109]"	700
183	"[101,102,103,104,105]"	700	"[106,107,108,109]"	700
184	"[101,102,103,104,105]"	700	"[106,107,108,109]"	700
185	"[101,102,103,104,105]"	700	"[106,107,108,109]"	700
186	"[101,102,103,104,105]"	720	"[106,107,108,109]"	720
187	"[101,102,103,104,105]"	720	"[106,107,108,109]"	720
188	"[101,102,103,104,105]"	720	"[106,107,108,109]"	720
189	"[101,102,103,104,105]"	720	"[106,107,108,109]"	720
190	"[101,102,103,104,105]"	720	"[106,107,108,109]"	720
191	"[101,102,103,104,105]"	740	"[106,107,108,109]"	740
192	"[101,102,103,104,105]"	740	"[106,107,108,109]"	740
193	"[101,102,103,104,105]"	740	"[106,107,108,109]"	740
194	"[101,102,103,104,105]"	740	"[106,107,108,109]"	740
195	"[101,102,103,104,105]"	740	"[106,107,108,109]"	740
196	"[101,102,103,104,105]"	760	"[106,107,108,109]"	760
197	"[101,102,103,104,105]"	760	"[106,107,108,109]"	760
198	"[101,102,103,104,105]"	760	"[106,107,108,109]"	760
199	"[101,102,103,104,105]"	760	"[106,107,108,109]"	760
200	"[101,102,103,104,105]"	760	"[106,107,108,109]"	760
