number	number	number	number	number	number	number	number	number	number	number
90	90	1	685	657	643	602	4527	0	0	0
91	91	1	693	664	650	609	4578	0	0	0
92	92	1	701	671	657	616	4629	0	0	0
93	93	1	709	678	664	623	4680	0	0	0
94	94	1	717	685	671	630	4731	0	0	0
95	95	1	725	692	678	637	4782	0	0	0
96	96	1	733	699	685	644	4833	0	0	0
97	97	1	741	706	692	651	4884	0	0	0
98	98	1	749	713	699	658	4935	0	0	0
99	99	1	757	720	706	665	4986	0	0	0
100	100	1	765	727	713	672	5037	0	0	0
101	1	2	5	5	6	7	30	0	0	0
102	2	2	10	10	13	14	60	0	0	0
103	3	2	16	16	19	21	90	0	0	0
104	4	2	21	21	26	28	120	0	0	0
105	5	2	27	27	33	36	151	0	0	0
106	6	2	32	32	39	43	181	0	0	0
107	7	2	37	37	46	50	211	0	0	0
108	8	2	43	43	52	57	241	0	0	0
109	9	2	48	48	59	64	271	0	0	0
110	10	2	54	54	66	72	302	0	0	0
111	11	2	59	59	72	79	332	0	0	0
112	12	2	64	64	79	86	362	0	0	0
113	13	2	70	70	85	93	392	0	0	0
114	14	2	75	75	92	100	422	0	0	0
115	15	2	81	81	99	108	453	0	0	0
116	16	2	86	86	105	115	483	0	0	0
117	17	2	91	91	112	122	513	0	0	0
118	18	2	97	97	118	129	543	0	0	0
119	19	2	102	102	125	136	573	0	0	0
120	20	2	108	108	132	144	604	0	0	0
121	21	2	113	113	138	151	634	0	0	0
122	22	2	118	118	145	158	664	0	0	0
123	23	2	124	124	151	165	694	0	0	0
124	24	2	129	129	158	172	724	0	0	0
125	25	2	135	135	165	180	755	0	0	0
126	26	2	140	140	171	187	785	0	0	0
127	27	2	145	145	178	194	815	0	0	0
128	28	2	151	151	184	201	845	0	0	0
129	29	2	156	156	191	208	875	0	0	0
130	30	2	162	162	198	216	906	0	0	0
131	31	2	167	167	204	223	936	0	0	0
132	32	2	172	172	211	230	966	0	0	0
133	33	2	178	178	217	237	996	0	0	0
134	34	2	183	183	224	244	1026	0	0	0
135	35	2	189	189	231	252	1057	0	0	0
136	36	2	194	194	237	259	1087	0	0	0
137	37	2	199	199	244	266	1117	0	0	0
138	38	2	205	205	250	273	1147	0	0	0
139	39	2	210	210	257	280	1177	0	0	0
140	40	2	216	216	264	288	1208	0	0	0
141	41	2	221	221	270	295	1238	0	0	0
142	42	2	226	226	277	302	1268	0	0	0
143	43	2	232	232	283	309	1298	0	0	0
144	44	2	237	237	290	316	1328	0	0	0
145	45	2	243	243	297	324	1359	0	0	0
146	46	2	248	248	303	331	1389	0	0	0
147	47	2	253	253	310	338	1419	0	0	0
148	48	2	259	259	316	345	1449	0	0	0
149	49	2	264	264	323	352	1479	0	0	0
150	50	2	270	270	330	360	1510	0	0	0
151	51	2	275	275	336	367	1540	0	0	0
152	52	2	280	280	343	374	1570	0	0	0
153	53	2	286	286	349	381	1600	0	0	0
154	54	2	291	291	356	388	1630	0	0	0
155	55	2	297	297	363	396	1661	0	0	0
156	56	2	302	302	369	403	1691	0	0	0
157	57	2	307	307	376	410	1721	0	0	0
158	58	2	313	313	382	417	1751	0	0	0
159	59	2	318	318	389	424	1781	0	0	0
160	60	2	324	324	396	432	1812	0	0	0
161	61	2	329	329	402	439	1842	0	0	0
162	62	2	334	334	409	446	1872	0	0	0
163	63	2	340	340	415	453	1902	0	0	0
164	64	2	345	345	422	460	1932	0	0	0
165	65	2	351	351	429	467	1963	0	0	0
166	66	2	356	356	435	475	1993	0	0	0
167	67	2	361	361	442	482	2023	0	0	0
168	68	2	367	367	448	489	2053	0	0	0
169	69	2	372	372	455	496	2083	0	0	0
170	70	2	378	378	462	503	2114	0	0	0
171	71	2	384	384	469	510	2145	0	0	0
172	72	2	390	390	476	517	2176	0	0	0
173	73	2	396	396	483	524	2207	0	0	0
174	74	2	402	402	490	531	2238	0	0	0
175	75	2	408	408	497	538	2269	0	0	0
176	76	2	414	414	504	545	2300	0	0	0
177	77	2	420	420	511	552	2331	0	0	0
178	78	2	426	426	518	559	2362	0	0	0
179	79	2	432	432	525	566	2393	0	0	0
180	80	2	438	438	532	573	2424	0	0	0
181	81	2	444	444	539	580	2455	0	0	0
182	82	2	450	450	546	587	2486	0	0	0
183	83	2	456	456	553	594	2517	0	0	0
184	84	2	462	462	560	601	2548	0	0	0
185	85	2	468	468	567	608	2579	0	0	0
186	86	2	474	474	574	615	2610	0	0	0
187	87	2	480	480	581	622	2641	0	0	0
188	88	2	486	486	588	629	2672	0	0	0
189	89	2	492	492	595	636	2703	0	0	0
190	90	2	498	498	602	643	2734	0	0	0
191	91	2	504	504	609	650	2765	0	0	0
192	92	2	510	510	616	657	2796	0	0	0
193	93	2	516	516	623	664	2827	0	0	0
194	94	2	522	522	630	671	2858	0	0	0
195	95	2	528	528	637	678	2889	0	0	0
196	96	2	534	534	644	685	2920	0	0	0
197	97	2	540	540	651	692	2951	0	0	0
198	98	2	546	546	658	699	2982	0	0	0
199	99	2	552	552	665	706	3013	0	0	0
200	100	2	558	558	672	713	3044	0	0	0
201	1	3	9	9	5	4	29	0	0	0
202	2	3	19	18	10	9	59	0	0	0
203	3	3	29	27	15	14	88	0	0	0
204	4	3	39	36	20	19	118	0	0	0
205	5	3	49	45	26	24	147	0	0	0
206	6	3	59	54	31	29	177	0	0	0
207	7	3	69	63	36	34	206	0	0	0
208	8	3	79	72	41	39	236	0	0	0
209	9	3	89	81	46	44	265	0	0	0
210	10	3	99	90	52	49	295	0	0	0
211	11	3	108	99	57	53	324	0	0	0
212	12	3	118	108	62	58	354	0	0	0
213	13	3	128	117	67	63	383	0	0	0
214	14	3	138	126	72	68	413	0	0	0
215	15	3	148	135	78	73	442	0	0	0
216	16	3	158	144	83	78	472	0	0	0
217	17	3	168	153	88	83	501	0	0	0
218	18	3	178	162	93	88	531	0	0	0
219	19	3	188	171	98	93	560	0	0	0
220	20	3	198	180	104	98	590	0	0	0
221	21	3	207	189	109	102	619	0	0	0
222	22	3	217	198	114	107	649	0	0	0
223	23	3	227	207	119	112	678	0	0	0
224	24	3	237	216	124	117	708	0	0	0
225	25	3	247	225	130	122	737	0	0	0
226	26	3	257	234	135	127	767	0	0	0
227	27	3	267	243	140	132	796	0	0	0
228	28	3	277	252	145	137	826	0	0	0
229	29	3	287	261	150	142	855	0	0	0
230	30	3	297	270	156	147	885	0	0	0
231	31	3	306	279	161	151	914	0	0	0
232	32	3	316	288	166	156	944	0	0	0
233	33	3	326	297	171	161	973	0	0	0
234	34	3	336	306	176	166	1003	0	0	0
235	35	3	346	315	182	171	1032	0	0	0
236	36	3	356	324	187	176	1062	0	0	0
237	37	3	366	333	192	181	1091	0	0	0
238	38	3	376	342	197	186	1121	0	0	0
239	39	3	386	351	202	191	1150	0	0	0
240	40	3	396	360	208	196	1180	0	0	0
241	41	3	405	369	213	200	1209	0	0	0
242	42	3	415	378	218	205	1239	0	0	0
243	43	3	425	387	223	210	1268	0	0	0
244	44	3	435	396	228	215	1298	0	0	0
245	45	3	445	405	234	220	1327	0	0	0
246	46	3	455	414	239	225	1357	0	0	0
247	47	3	465	423	244	230	1386	0	0	0
248	48	3	475	432	249	235	1416	0	0	0
249	49	3	485	441	254	240	1445	0	0	0
250	50	3	495	450	260	245	1475	0	0	0
251	51	3	504	459	265	249	1504	0	0	0
252	52	3	514	468	270	254	1534	0	0	0
253	53	3	524	477	275	259	1563	0	0	0
254	54	3	534	486	280	264	1593	0	0	0
255	55	3	544	495	286	269	1622	0	0	0
256	56	3	554	504	291	274	1652	0	0	0
257	57	3	564	513	296	279	1681	0	0	0
258	58	3	574	522	301	284	1711	0	0	0
259	59	3	584	531	306	289	1740	0	0	0
260	60	3	593	540	312	294	1770	0	0	0
261	61	3	603	549	317	298	1799	0	0	0
262	62	3	613	558	322	303	1829	0	0	0
263	63	3	623	567	327	308	1858	0	0	0
264	64	3	633	576	332	313	1888	0	0	0
265	65	3	643	585	338	318	1917	0	0	0
266	66	3	653	594	343	323	1947	0	0	0
267	67	3	663	603	348	328	1976	0	0	0
268	68	3	673	612	353	333	2006	0	0	0
269	69	3	683	621	358	338	2035	0	0	0
270	70	3	692	630	364	343	2065	0	0	0
271	71	3	701	639	370	348	2095	0	0	0
272	72	3	710	648	376	353	2125	0	0	0
273	73	3	719	657	382	358	2155	0	0	0
274	74	3	728	666	388	363	2185	0	0	0
275	75	3	737	675	394	368	2215	0	0	0
276	76	3	746	684	400	373	2245	0	0	0
277	77	3	755	693	406	378	2275	0	0	0
278	78	3	764	702	412	383	2305	0	0	0
279	79	3	773	711	418	388	2335	0	0	0
280	80	3	782	720	424	393	2365	0	0	0
281	81	3	791	729	430	398	2395	0	0	0
282	82	3	800	738	436	403	2425	0	0	0
283	83	3	809	747	442	408	2455	0	0	0
284	84	3	818	756	448	413	2485	0	0	0
285	85	3	827	765	454	418	2515	0	0	0
286	86	3	836	774	460	423	2545	0	0	0
287	87	3	845	783	466	428	2575	0	0	0
288	88	3	854	792	472	433	2605	0	0	0
289	89	3	863	801	478	438	2635	0	0	0
290	90	3	872	810	484	443	2665	0	0	0
291	91	3	881	819	490	448	2695	0	0	0
292	92	3	890	828	496	453	2725	0	0	0
293	93	3	899	837	502	458	2755	0	0	0
294	94	3	908	846	508	463	2785	0	0	0
295	95	3	917	855	514	468	2815	0	0	0
296	96	3	926	864	520	473	2845	0	0	0
297	97	3	935	873	526	478	2875	0	0	0
298	98	3	944	882	532	483	2905	0	0	0
299	99	3	953	891	538	488	2935	0	0	0
300	100	3	962	900	544	493	2965	0	0	0
301	1	4	5	9	4	5	29	0	0	0
302	2	4	10	19	9	10	59	0	0	0
303	3	4	15	29	14	15	88	0	0	0
304	4	4	21	39	19	20	118	0	0	0
305	5	4	26	49	24	25	147	0	0	0
306	6	4	31	59	29	30	177	0	0	0
307	7	4	37	69	34	35	206	0	0	0
308	8	4	42	79	39	40	236	0	0	0
309	9	4	47	89	44	45	265	0	0	0
310	10	4	53	99	49	50	295	0	0	0
311	11	4	58	108	53	55	324	0	0	0
312	12	4	63	118	58	60	354	0	0	0
313	13	4	68	128	63	65	383	0	0	0
314	14	4	74	138	68	70	413	0	0	0
315	15	4	79	148	73	75	442	0	0	0
316	16	4	84	158	78	80	472	0	0	0
317	17	4	90	168	83	85	501	0	0	0
318	18	4	95	178	88	90	531	0	0	0
319	19	4	100	188	93	95	560	0	0	0
320	20	4	106	198	98	100	590	0	0	0
321	21	4	111	207	102	105	619	0	0	0
322	22	4	116	217	107	110	649	0	0	0
323	23	4	121	227	112	115	678	0	0	0
324	24	4	127	237	117	120	708	0	0	0
325	25	4	132	247	122	125	737	0	0	0
326	26	4	137	257	127	130	767	0	0	0
327	27	4	143	267	132	135	796	0	0	0
328	28	4	148	277	137	140	826	0	0	0
329	29	4	153	287	142	145	855	0	0	0
330	30	4	159	297	147	150	885	0	0	0
331	31	4	164	306	151	155	914	0	0	0
332	32	4	169	316	156	160	944	0	0	0
333	33	4	174	326	161	165	973	0	0	0
334	34	4	180	336	166	170	1003	0	0	0
335	35	4	185	346	171	175	1032	0	0	0
336	36	4	190	356	176	180	1062	0	0	0
337	37	4	196	366	181	185	1091	0	0	0
338	38	4	201	376	186	190	1121	0	0	0
339	39	4	206	386	191	195	1150	0	0	0
340	40	4	212	396	196	200	1180	0	0	0
341	41	4	217	405	200	205	1209	0	0	0
342	42	4	222	415	205	210	1239	0	0	0
343	43	4	227	425	210	215	1268	0	0	0
344	44	4	233	435	215	220	1298	0	0	0
345	45	4	238	445	220	225	1327	0	0	0
346	46	4	243	455	225	230	1357	0	0	0
347	47	4	249	465	230	235	1386	0	0	0
348	48	4	254	475	235	240	1416	0	0	0
349	49	4	259	485	240	245	1445	0	0	0
350	50	4	265	495	245	250	1475	0	0	0
351	51	4	270	504	249	255	1504	0	0	0
352	52	4	275	514	254	260	1534	0	0	0
353	53	4	280	524	259	265	1563	0	0	0
354	54	4	286	534	264	270	1593	0	0	0
355	55	4	291	544	269	275	1622	0	0	0
356	56	4	296	554	274	280	1652	0	0	0
357	57	4	302	564	279	285	1681	0	0	0
358	58	4	307	574	284	290	1711	0	0	0
359	59	4	312	584	289	295	1740	0	0	0
360	60	4	318	593	294	300	1770	0	0	0
361	61	4	323	603	298	305	1799	0	0	0
362	62	4	328	613	303	310	1829	0	0	0
363	63	4	333	623	308	315	1858	0	0	0
364	64	4	339	633	313	320	1888	0	0	0
365	65	4	344	643	318	325	1917	0	0	0
366	66	4	349	653	323	330	1947	0	0	0
367	67	4	355	663	328	335	1976	0	0	0
368	68	4	360	673	333	340	2006	0	0	0
369	69	4	365	683	338	345	2035	0	0	0
370	70	4	371	692	343	350	2065	0	0	0
371	71	4	377	701	348	355	2095	0	0	0
372	72	4	383	710	353	360	2125	0	0	0
373	73	4	389	719	358	365	2155	0	0	0
374	74	4	395	728	363	370	2185	0	0	0
375	75	4	401	737	368	375	2215	0	0	0
376	76	4	407	746	373	380	2245	0	0	0
377	77	4	413	755	378	385	2275	0	0	0
378	78	4	419	764	383	390	2305	0	0	0
379	79	4	425	773	388	395	2335	0	0	0
380	80	4	431	782	393	400	2365	0	0	0
381	81	4	437	791	398	405	2395	0	0	0
382	82	4	443	800	403	410	2425	0	0	0
383	83	4	449	809	408	415	2455	0	0	0
384	84	4	455	818	413	420	2485	0	0	0
385	85	4	461	827	418	425	2515	0	0	0
386	86	4	467	836	423	430	2545	0	0	0
387	87	4	473	845	428	435	2575	0	0	0
388	88	4	479	854	433	440	2605	0	0	0
389	89	4	485	863	438	445	2635	0	0	0
390	90	4	491	872	443	450	2665	0	0	0
391	91	4	497	881	448	455	2695	0	0	0
392	92	4	503	890	453	460	2725	0	0	0
393	93	4	509	899	458	465	2755	0	0	0
394	94	4	515	908	463	470	2785	0	0	0
395	95	4	521	917	468	475	2815	0	0	0
396	96	4	527	926	473	480	2845	0	0	0
397	97	4	533	935	478	485	2875	0	0	0
398	98	4	539	944	483	490	2905	0	0	0
399	99	4	545	953	488	495	2935	0	0	0
400	100	4	551	962	493	500	2965	0	0	0
401	1	5	7	8	5	5	37	0	0	0
402	2	5	15	16	11	11	74	0	0	0
403	3	5	23	24	17	16	111	0	0	0
404	4	5	31	32	23	22	148	0	0	0
405	5	5	39	40	29	27	185	0	0	0
406	6	5	46	48	35	33	222	0	0	0
407	7	5	54	56	41	38	259	0	0	0
408	8	5	62	64	47	44	296	0	0	0
409	9	5	70	72	53	49	333	0	0	0
410	10	5	78	81	59	55	371	0	0	0
411	11	5	85	89	64	60	408	0	0	0
412	12	5	93	97	70	66	445	0	0	0
413	13	5	101	105	76	71	482	0	0	0
414	14	5	109	113	82	77	519	0	0	0
415	15	5	117	121	88	82	556	0	0	0
416	16	5	124	129	94	88	593	0	0	0
417	17	5	132	137	100	93	630	0	0	0
418	18	5	140	145	106	99	667	0	0	0
419	19	5	148	153	112	104	704	0	0	0
420	20	5	156	162	118	110	742	0	0	0
421	21	5	163	170	123	115	779	0	0	0
422	22	5	171	178	129	121	816	0	0	0
423	23	5	179	186	135	126	853	0	0	0
424	24	5	187	194	141	132	890	0	0	0
425	25	5	195	202	147	137	927	0	0	0
426	26	5	202	210	153	143	964	0	0	0
427	27	5	210	218	159	148	1001	0	0	0
428	28	5	218	226	165	154	1038	0	0	0
429	29	5	226	234	171	159	1075	0	0	0
430	30	5	234	243	177	165	1113	0	0	0
431	31	5	241	251	182	170	1150	0	0	0
432	32	5	249	259	188	176	1187	0	0	0
433	33	5	257	267	194	181	1224	0	0	0
434	34	5	265	275	200	187	1261	0	0	0
435	35	5	273	283	206	192	1298	0	0	0
436	36	5	280	291	212	198	1335	0	0	0
437	37	5	288	299	218	203	1372	0	0	0
438	38	5	296	307	224	209	1409	0	0	0
439	39	5	304	315	230	214	1446	0	0	0
440	40	5	312	324	236	220	1484	0	0	0
441	41	5	319	332	241	225	1521	0	0	0
442	42	5	327	340	247	231	1558	0	0	0
443	43	5	335	348	253	236	1595	0	0	0
444	44	5	343	356	259	242	1632	0	0	0
445	45	5	351	364	265	247	1669	0	0	0
446	46	5	358	372	271	253	1706	0	0	0
447	47	5	366	380	277	258	1743	0	0	0
448	48	5	374	388	283	264	1780	0	0	0
449	49	5	382	396	289	269	1817	0	0	0
450	50	5	390	405	295	275	1855	0	0	0
451	51	5	397	413	300	280	1892	0	0	0
452	52	5	405	421	306	286	1929	0	0	0
453	53	5	413	429	312	291	1966	0	0	0
454	54	5	421	437	318	297	2003	0	0	0
455	55	5	429	445	324	302	2040	0	0	0
456	56	5	436	453	330	308	2077	0	0	0
457	57	5	444	461	336	313	2114	0	0	0
458	58	5	452	469	342	319	2151	0	0	0
459	59	5	460	477	348	324	2188	0	0	0
460	60	5	468	486	354	330	2226	0	0	0
461	61	5	475	494	359	335	2263	0	0	0
462	62	5	483	502	365	341	2300	0	0	0
463	63	5	491	510	371	346	2337	0	0	0
464	64	5	499	518	377	352	2374	0	0	0
465	65	5	507	526	383	357	2411	0	0	0
466	66	5	514	534	389	363	2448	0	0	0
467	67	5	522	542	395	368	2485	0	0	0
468	68	5	530	550	401	374	2522	0	0	0
469	69	5	538	558	407	379	2559	0	0	0
470	70	5	546	567	413	385	2597	0	0	0
471	71	5	554	576	419	391	2635	0	0	0
472	72	5	562	585	425	397	2673	0	0	0
473	73	5	570	594	431	403	2711	0	0	0
474	74	5	578	603	437	409	2749	0	0	0
475	75	5	586	612	443	415	2787	0	0	0
476	76	5	594	621	449	421	2825	0	0	0
477	77	5	602	630	455	427	2863	0	0	0
478	78	5	610	639	461	433	2901	0	0	0
479	79	5	618	648	467	439	2939	0	0	0
480	80	5	626	657	473	445	2977	0	0	0
481	81	5	634	666	479	451	3015	0	0	0
482	82	5	642	675	485	457	3053	0	0	0
483	83	5	650	684	491	463	3091	0	0	0
484	84	5	658	693	497	469	3129	0	0	0
485	85	5	666	702	503	475	3167	0	0	0
486	86	5	674	711	509	481	3205	0	0	0
487	87	5	682	720	515	487	3243	0	0	0
488	88	5	690	729	521	493	3281	0	0	0
489	89	5	698	738	527	499	3319	0	0	0
490	90	5	706	747	533	505	3357	0	0	0
491	91	5	714	756	539	511	3395	0	0	0
492	92	5	722	765	545	517	3433	0	0	0
493	93	5	730	774	551	523	3471	0	0	0
494	94	5	738	783	557	529	3509	0	0	0
495	95	5	746	792	563	535	3547	0	0	0
496	96	5	754	801	569	541	3585	0	0	0
497	97	5	762	810	575	547	3623	0	0	0
498	98	5	770	819	581	553	3661	0	0	0
499	99	5	778	828	587	559	3699	0	0	0
500	100	5	786	837	593	565	3737	0	0	0
501	1	6	8	8	7	6	41	0	0	0
502	2	6	16	16	15	13	82	0	0	0
503	3	6	24	24	23	19	123	0	0	0
504	4	6	32	32	30	26	164	0	0	0
505	5	6	40	40	38	33	206	0	0	0
506	6	6	48	48	46	39	247	0	0	0
507	7	6	56	56	53	46	288	0	0	0
508	8	6	64	64	61	52	329	0	0	0
509	9	6	72	72	69	59	370	0	0	0
510	10	6	81	81	77	66	412	0	0	0
511	11	6	89	89	84	72	453	0	0	0
512	12	6	97	97	92	79	494	0	0	0
513	13	6	105	105	100	85	535	0	0	0
514	14	6	113	113	107	92	576	0	0	0
515	15	6	121	121	115	99	618	0	0	0
516	16	6	129	129	123	105	659	0	0	0
517	17	6	137	137	130	112	700	0	0	0
518	18	6	145	145	138	118	741	0	0	0
519	19	6	153	153	146	125	782	0	0	0
520	20	6	162	162	154	132	824	0	0	0
521	21	6	170	170	161	138	865	0	0	0
522	22	6	178	178	169	145	906	0	0	0
523	23	6	186	186	177	151	947	0	0	0
524	24	6	194	194	184	158	988	0	0	0
525	25	6	202	202	192	165	1030	0	0	0
526	26	6	210	210	200	171	1071	0	0	0
527	27	6	218	218	207	178	1112	0	0	0
528	28	6	226	226	215	184	1153	0	0	0
529	29	6	234	234	223	191	1194	0	0	0
530	30	6	243	243	231	198	1236	0	0	0
531	31	6	251	251	238	204	1277	0	0	0
532	32	6	259	259	246	211	1318	0	0	0
533	33	6	267	267	254	217	1359	0	0	0
534	34	6	275	275	261	224	1400	0	0	0
535	35	6	283	283	269	231	1442	0	0	0
536	36	6	291	291	277	237	1483	0	0	0
537	37	6	299	299	284	244	1524	0	0	0
538	38	6	307	307	292	250	1565	0	0	0
539	39	6	315	315	300	257	1606	0	0	0
540	40	6	324	324	308	264	1648	0	0	0
541	41	6	332	332	315	270	1689	0	0	0
542	42	6	340	340	323	277	1730	0	0	0
543	43	6	348	348	331	283	1771	0	0	0
544	44	6	356	356	338	290	1812	0	0	0
545	45	6	364	364	346	297	1854	0	0	0
546	46	6	372	372	354	303	1895	0	0	0
547	47	6	380	380	361	310	1936	0	0	0
548	48	6	388	388	369	316	1977	0	0	0
549	49	6	396	396	377	323	2018	0	0	0
550	50	6	405	405	385	330	2060	0	0	0
551	51	6	413	413	392	336	2101	0	0	0
552	52	6	421	421	400	343	2142	0	0	0
553	53	6	429	429	408	349	2183	0	0	0
554	54	6	437	437	415	356	2224	0	0	0
555	55	6	445	445	423	363	2266	0	0	0
556	56	6	453	453	431	369	2307	0	0	0
557	57	6	461	461	438	376	2348	0	0	0
558	58	6	469	469	446	382	2389	0	0	0
559	59	6	477	477	454	389	2430	0	0	0
560	60	6	486	486	462	396	2472	0	0	0
561	61	6	494	494	469	402	2513	0	0	0
562	62	6	502	502	477	409	2554	0	0	0
563	63	6	510	510	485	415	2595	0	0	0
564	64	6	518	518	492	422	2636	0	0	0
565	65	6	526	526	500	429	2678	0	0	0
566	66	6	534	534	508	435	2719	0	0	0
567	67	6	542	542	515	442	2760	0	0	0
568	68	6	550	550	523	448	2801	0	0	0
569	69	6	558	558	531	455	2842	0	0	0
570	70	6	567	567	539	462	2884	0	0	0
571	71	6	576	576	547	469	2926	0	0	0
572	72	6	585	585	555	476	2968	0	0	0
573	73	6	594	594	563	483	3010	0	0	0
574	74	6	603	603	571	490	3052	0	0	0
575	75	6	612	612	579	497	3094	0	0	0
576	76	6	621	621	587	504	3136	0	0	0
577	77	6	630	630	595	511	3178	0	0	0
578	78	6	639	639	603	518	3220	0	0	0
579	79	6	648	648	611	525	3262	0	0	0
580	80	6	657	657	619	532	3304	0	0	0
581	81	6	666	666	627	539	3346	0	0	0
582	82	6	675	675	635	546	3388	0	0	0
583	83	6	684	684	643	553	3430	0	0	0
584	84	6	693	693	651	560	3472	0	0	0
585	85	6	702	702	659	567	3514	0	0	0
586	86	6	711	711	667	574	3556	0	0	0
587	87	6	720	720	675	581	3598	0	0	0
588	88	6	729	729	683	588	3640	0	0	0
589	89	6	738	738	691	595	3682	0	0	0
590	90	6	747	747	699	602	3724	0	0	0
591	91	6	756	756	707	609	3766	0	0	0
592	92	6	765	765	715	616	3808	0	0	0
593	93	6	774	774	723	623	3850	0	0	0
594	94	6	783	783	731	630	3892	0	0	0
595	95	6	792	792	739	637	3934	0	0	0
596	96	6	801	801	747	644	3976	0	0	0
597	97	6	810	810	755	651	4018	0	0	0
598	98	6	819	819	763	658	4060	0	0	0
599	99	6	828	828	771	665	4102	0	0	0
600	100	6	837	837	779	672	4144	0	0	0
601	1	7	6	5	5	5	46	0	0	0
602	2	7	12	10	10	10	92	0	0	0
603	3	7	18	15	15	15	138	0	0	0
604	4	7	24	21	20	20	185	0	0	0
605	5	7	30	26	25	25	231	0	0	0
606	6	7	36	31	30	30	277	0	0	0
607	7	7	42	37	35	35	324	0	0	0
608	8	7	48	42	40	40	370	0	0	0
609	9	7	54	47	45	45	416	0	0	0
610	10	7	60	53	50	50	463	0	0	0
611	11	7	66	58	55	55	509	0	0	0
612	12	7	72	63	60	60	555	0	0	0
613	13	7	78	68	65	65	601	0	0	0
