number	string	string	string	number	number	string	number	number	number	number	number
12105	ボタン	普通のボタンだ！	装備合成用	3	101	12105	100	3	2	100	16
12106	ウサギ	モフモフかわいいウサギ	装備合成用	3	101	12106	100	3	2	100	16
12107	真珠の首飾り	高そうなネックレス！	装備合成用	3	101	12107	100	3	2	100	16
12108	センジュギク	鮮やかで美しい！	装備合成用	3	101	12108	100	3	2	100	16
12109	お守り	何かから守ってくれる？	装備合成用	3	101	12109	100	3	2	100	16
12110	リストバンド	運動するときに便利	装備合成用	3	101	12110	100	3	2	100	16
12111	染料　	染色する際に用いる	装備合成用	3	101	12111	100	3	2	100	16
12112	徽章	大切な徽章！	装備合成用	3	101	12112	100	3	2	100	16
12113	巻貝	笛になりそうな気もする	装備合成用	3	101	12113	100	3	2	100	16
12114	毛球	ふわふわウサギの毛	装備合成用	3	101	12114	100	3	2	100	16
12115	うお座	占いをしましょうか	装備合成用	3	101	12115	100	3	2	100	16
12201	絹織物	高級感のある織物	装備合成用	3	101	12201	200	4	2	300	17
12202	天蚕糸	天然繊維！	装備合成用	3	101	12202	200	4	2	300	17
12203	ヒスイ	深緑に美しく光る宝石	装備合成用	3	101	12203	200	4	2	300	17
12204	宝物	とっても大事な宝物	装備合成用	3	101	12204	200	4	2	300	17
12205	金属ボタン	普通のボタン！	装備合成用	3	101	12205	200	4	2	300	17
12206	ガチョウ	意外と美味しい	装備合成用	3	101	12206	200	4	2	300	17
12207	高級なアクセ	非常に高価なもの	装備合成用	3	101	12207	200	4	2	300	17
12208	ゆり	綺麗な花！	装備合成用	3	101	12208	200	4	2	300	17
12209	匂い袋	安らぐ香りがする	装備合成用	3	101	12209	200	4	2	300	17
12210	ビーズ	キラキラ～	装備合成用	3	101	12210	200	4	2	300	17
12211	染料B	好きな色に染めよう！	装備合成用	3	101	12211	200	4	2	300	17
12212	徽章	大切な徽章！	装備合成用	3	101	12212	200	4	2	300	17
12213	ネクタイ	かっこいいネクタイだ！	装備合成用	3	101	12213	200	4	2	300	17
12214	羅針盤	舵を切れ！	装備合成用	3	101	12214	200	4	2	300	17
12215	鈴	可愛らしい音が鳴る	装備合成用	3	101	12215	200	4	2	300	17
12216	花嫁グローブ	花嫁のアイテム	装備合成用	3	101	12216	200	4	2	300	17
12217	髪の毛	誰の毛だろうか…	装備合成用	3	101	12217	200	4	2	300	17
12301	ブロケード	豪華な絹紋織物	装備合成用	3	101	12301	300	5	2	500	32
12302	金の糸	非常に丈夫な糸だ！	装備合成用	3	101	12302	300	5	2	500	32
12303	アメジスト	愛を守る効果がある宝石	装備合成用	3	101	12303	300	5	2	500	32
12304	ダイヤモンド	最高級であり最硬級の宝石である	装備合成用	3	101	12304	300	5	2	500	32
12305	豪華なボタン	いろいろなな模様が入っている。	装備合成用	3	101	12305	300	5	2	500	32
12306	キツネ	珍しいキツネだ！	装備合成用	3	101	12306	300	5	2	500	32
12307	水晶の装飾品	大事に扱おう	装備合成用	3	101	12307	300	5	2	500	32
12308	ベール	魔除けの意味もある	装備合成用	3	101	12308	300	5	2	500	32
12309	メダル	英雄の象徴だ！	装備合成用	3	101	12309	300	5	2	500	32
12310	うちわ	普通のうちわだ！	装備合成用	3	101	12310	300	5	2	500	32
12311	御幣	神祭用具の一つ。	装備合成用	3	101	12311	300	5	2	500	32
12312	桃の花	良い香りの花が咲いた	装備合成用	3	101	12312	300	5	2	500	32
12313	アヒルの羽毛	柔らかくて、暖かいぞ！	装備合成用	3	101	12313	300	5	2	500	32
12314	銀の腕輪	素材は銀の腕輪だ！	装備合成用	3	101	12314	300	5	2	500	32
12315	髪の毛	誰の毛だろう…	装備合成用	3	101	12217	300	5	2	500	0
12316	染料C	何色に染めようかな	装備合成用	3	101	12211	300	5	2	500	0
12317	徽章	大切な徽章！	装備合成用	3	101	12212	300	5	2	500	0
12318	羽毛	普通の羽毛	装備合成用	3	101	12318	300	6	2	500	0
12319	リボン	普通のりポン	装備合成用	3	101	12319	300	6	2	500	0
12320	アクアマリン	海の力を秘めている	装備合成用	3	101	12320	300	6	2	500	0
12321	流星	お願い事をしよう！	装備合成用	3	101	12321	300	6	2	500	0
12322	真珠ボタン	高そうなボタンだ	装備合成用	3	101	12322	300	6	2	500	0
12401	緑の印	緑ランク強化素材	装備合成用	5	101	12401	1000	2	2	100	18
12402	青の印	青ランク強化素材	装備合成用	5	101	12402	1000	3	2	500	19
12403	乙女の印	青ランク強化素材	装備合成用	5	101	12403	1000	3	2	500	0
12406	御姊の印	紫ランク強化素材	装備合成用	5	101	12406	1000	4	2	1000	20
12407	女帝の印	橙ランク強化素材	装備合成用	5	101	12407	1000	5	2	1000	0
12410	女神の印	橙ランク強化素材	装備合成用	5	101	12410	1000	5	2	5000	0
12411	天使の印	赤ランク強化素材	装備合成用	5	101	12411	1000	6	2	5000	0
12499	王者の印	工事中	工事中	5	101	12499	1000	5	2	5000	0
14101	霊犀の霊	霊性がある。珍宝強化用。	珍宝強化用	3	0	14101	10000	3	2	0	0
14102	神聖の霊	霊性がある。珍宝強化用。	珍宝強化用	3	0	14102	10000	3	2	0	0
14103	勇敢の霊	霊性がある。珍宝強化用。	珍宝強化用	3	0	14103	10000	4	2	0	0
14104	神秘の霊	霊性がある。珍宝強化用。	珍宝強化用	3	0	14104	10000	4	2	0	0
14105	万生の霊	霊性がある。珍宝強化用。	珍宝強化用	3	0	14105	10000	5	2	0	0
14200	無の源	無の力が秘められている	スキル昇格用	3	104	14200	10000	4	2	0	21
14201	風の源	風の力が秘められている	スキル昇格用	3	104	14201	10000	4	2	0	21
14202	火の源	火の力が秘められている	スキル昇格用	3	104	14202	10000	4	2	0	21
14203	水の源	水の力が秘められている	スキル昇格用	3	104	14203	10000	4	2	0	21
14204	雷の源	雷の力が秘められている	スキル昇格用	3	104	14204	10000	4	2	0	0
15001	鍛錬ポイント	鍛錬して強くなろう！	鍛錬用	1	104	15001	0	1	2	0	0
15002	女神の力	潜在力UP！	鍛錬用	1	0	icon	0	2	2	0	0
15005	スタートダッシュパックA	スタートダッシュパックAのアイテムです。	スタートダッシュパックAのアイテムです。	6	104	17101	0	5	2	0	0
15006	スタートダッシュパックB	スタートダッシュパックBのアイテムです。	スタートダッシュパックBのアイテムです。	6	104	17101	0	4	2	0	0
15007	スタミナパックA	スタミナパックAです。	スタミナパックAです。	6	104	17101	0	5	2	0	0
15008	スタミナパックB	スタミナパックBです。	スタミナパックBです。	6	104	17101	0	4	2	0	0
15009	スタミナパックC	スタミナパックCです。	スタミナパックCです。	6	104	17101	0	3	2	0	0
15010	イベントパックA	イベントパックAです。	イベントパックAです。	6	104	17101	0	5	2	0	0
15011	イベントパックB	イベントパックBです。	イベントパックBです。	6	104	17101	0	4	2	0	0
15012	イベントパックC	イベントパックCです。	イベントパックCです。	6	104	17101	0	3	2	0	0
15013	残留	残留	残留	6	104	17101	0	4	2	0	0
15014	残留	残留	残留	6	104	17101	0	3	2	0	0
15015	残留	残留	残留	6	104	17101	0	3	2	0	0
15016	残留	残留	残留	6	104	17101	0	3	2	0	0
15017	残留	残留	残留	6	104	17101	0	3	2	0	0
15018	残留	残留	残留	6	104	17101	0	3	2	0	0
15019	残留	残留	残留	6	104	17101	0	3	2	0	0
15020	残留	残留	残留	6	104	17101	0	3	2	0	0
15021	残留	残留	残留	6	104	17101	0	4	2	0	0
15022	残留	残留	残留	6	104	17101	0	4	2	0	0
15023	残留	残留	残留	6	104	17101	0	4	2	0	0
15024	残留	残留	残留	6	104	17101	0	3	2	0	0
15025	残留	残留	残留	6	104	17101	0	3	2	0	0
15026	残留	残留	残留	6	104	17101	0	3	2	0	0
15027	残留	残留	残留	6	104	17101	0	3	2	0	0
15028	残留	残留	残留	6	104	17101	0	3	2	0	0
15029	残留	残留	残留	6	104	17101	0	3	2	0	0
15030	残留	残留	残留	6	104	17101	0	3	2	0	0
15031	残留	残留	残留	6	104	17101	0	2	2	0	0
15032	残留	残留	残留	6	104	17101	0	5	2	0	0
15041	残留	残留	残留	6	104	17101	0	1	2	0	0
15042	残留	残留	残留	6	104	17101	0	1	2	0	0
15043	残留	残留	残留	6	104	17101	0	2	2	0	0
15044	残留	残留	残留	6	104	17101	0	2	2	0	0
15045	残留	残留	残留	6	104	17101	0	3	2	0	0
15046	残留	残留	残留	6	104	17101	0	3	2	0	0
15047	残留	残留	残留	6	104	17101	0	4	2	0	0
15048	残留	残留	残留	6	104	17101	0	4	2	0	0
15049	残留	残留	残留	6	104	17101	0	5	2	0	0
15050	残留	残留	残留	6	104	17101	0	5	2	0	0
15051	残留	残留	残留	6	104	17101	0	1	2	0	0
15052	残留	残留	残留	6	104	17101	0	1	2	0	0
15053	残留	残留	残留	6	104	17101	0	2	2	0	0
15054	残留	残留	残留	6	104	17101	0	2	2	0	0
15055	残留	残留	残留	6	104	17101	0	3	2	0	0
15056	残留	残留	残留	6	104	17101	0	3	2	0	0
15057	残留	残留	残留	6	104	17101	0	4	2	0	0
15058	残留	残留	残留	6	104	17101	0	4	2	0	0
15059	残留	残留	残留	6	104	17101	0	5	2	0	0
15060	残留	残留	残留	6	104	17101	0	5	2	0	0
15061	残留	残留	残留	6	104	17101	0	2	2	0	0
15062	残留	残留	残留	6	104	17101	0	2	2	0	0
15063	残留	残留	残留	6	104	17101	0	2	2	0	0
15064	残留	残留	残留	6	104	17101	0	2	2	0	0
15065	残留	残留	残留	6	104	17101	0	4	2	0	0
15066	残留	残留	残留	6	104	17101	0	4	2	0	0
15067	残留	残留	残留	6	104	17101	0	5	2	0	0
15068	残留	残留	残留	6	104	17101	0	5	2	0	0
15069	残留	残留	残留	6	104	17101	0	5	2	0	0
15071	残留	残留	残留	6	104	17101	0	1	2	0	0
15072	残留	残留	残留	6	104	17101	0	1	2	0	0
15073	残留	残留	残留	6	104	17101	0	2	2	0	0
15074	残留	残留	残留	6	104	17101	0	2	2	0	0
15075	残留	残留	残留	6	104	17101	0	3	2	0	0
15076	残留	残留	残留	6	104	17101	0	3	2	0	0
15077	残留	残留	残留	6	104	17101	0	4	2	0	0
15078	残留	残留	残留	6	104	17101	0	4	2	0	0
15079	残留	残留	残留	6	104	17101	0	5	2	0	0
15080	残留	残留	残留	6	104	17101	0	5	2	0	0
15081	残留	残留	残留	6	104	17101	0	4	2	0	0
15082	残留	残留	残留	6	104	17101	0	5	2	0	0
15083	残留	残留	残留	6	104	17101	0	4	2	0	0
15084	残留	残留	残留	6	104	17101	0	5	2	0	0
15085	残留	残留	残留	6	104	17101	0	4	2	0	0
15086	残留	残留	残留	6	104	17101	0	5	2	0	0
15087	残留	残留	残留	6	104	17101	0	4	2	0	0
15088	残留	残留	残留	6	104	17101	0	4	2	0	0
15089	残留	残留	残留	6	104	17101	0	4	2	0	0
15090	残留	残留	残留	6	104	17101	0	4	2	0	0
15091	残留	残留	残留	6	104	17101	0	4	2	0	0
15092	残留	残留	残留	6	104	17101	0	4	2	0	0
15093	残留	残留	残留	6	104	17101	0	4	2	0	0
15094	残留	残留	残留	6	104	17101	0	4	2	0	0
15095	残留	残留	残留	6	104	17101	0	4	2	0	0
15096	残留	残留	残留	6	104	17101	0	4	2	0	0
15097	残留	残留	残留	6	104	17101	0	4	2	0	0
15098	残留	残留	残留	6	104	17101	0	4	2	0	0
15099	残留	残留	残留	6	104	17101	0	4	2	0	0
15100	残留	残留	残留	6	104	17101	0	4	2	0	0
15101	残留	残留	残留	6	104	17101	0	4	2	0	0
15102	残留	残留	残留	6	104	17101	0	4	2	0	0
15103	残留	残留	残留	6	104	17101	0	5	2	0	0
16001	恋心の欠片	イベントに参加しましょう	イベント参加用アイテム	8	0	16001	0	4	1	0	0
16002	なし	なし	なし	8	104	16002	0	4	1	0	0
16003	なし	なし	なし	8	0	16003	0	4	1	0	0
16004	なし	なし	なし	8	0	16004	0	4	1	0	0
16005	なし	なし	なし	8	0	16005	0	4	1	0	0
16006	ギルドコイン	ギルドイベントで獲得	ギルドショップ用	8	104	16006	0	4	1	0	0
16007	なし	なし	なし	8	0	16007	0	4	1	0	0
16008	なし	なし	なし	8	0	16008	0	4	1	0	0
16009	なし	なし	なし	8	0	16009	0	4	1	0	0
16010	なし	なし	なし	8	0	16010	0	5	1	0	0
16011	なし	なし	なし	8	0	16011	0	4	1	0	0
16012	なし	なし	なし	8	0	16012	0	4	1	0	0
16013	なし	なし	なし	8	0	16013	0	4	1	0	0
16014	なし	なし	なし	8	0	16014	0	1	1	0	0
16015	なし	なし	なし	8	0	16015	0	2	1	0	0
16016	なし	なし	なし	8	0	16016	0	3	1	0	0
16017	なし	なし	なし	8	0	16017	0	4	1	0	0
16018	なし	なし	なし	8	0	16018	0	4	1	0	0
16101	PT	勇气值（待翻译）	勇气值（待翻译）	8	0	16101	0	4	1	0	0
17101	攻撃魂石Lv1	力を強化する魂の石\n攻撃+16	魂器用アイテム	4	0	17101	10	1	2	0	22
17102	攻撃魂石Lv2	力を強化する魂の石\n攻撃+48	魂器用アイテム	4	0	17102	10	1	2	0	23
17103	攻撃魂石Lv3	力を強化する魂の石\n攻撃+78	魂器用アイテム	4	0	17103	10	2	2	0	24
17104	攻撃魂石Lv4	力を強化する魂の石\n攻撃+126	魂器用アイテム	4	0	17104	10	2	2	0	25
17105	攻撃魂石Lv5	力を強化する魂の石\n攻撃+196	魂器用アイテム	4	0	17105	10	3	2	0	0
17106	攻撃魂石Lv6	力を強化する魂の石\n攻撃+315	魂器用アイテム	4	0	17106	10	3	2	0	0
17107	攻撃魂石Lv7	力を強化する魂の石\n攻撃+496	魂器用アイテム	4	0	17107	10	4	2	0	0
17108	攻撃魂石Lv8	力を強化する魂の石\n攻撃+779	魂器用アイテム	4	0	17108	10	4	2	0	0
17109	攻撃魂石Lv9	力を強化する魂の石\n攻撃+1226	魂器用アイテム	4	0	17109	10	4	2	0	0
17201	技攻魂石Lv1	力を強化する魂の石\n技攻+16	魂器用アイテム	4	0	17201	10	1	2	0	22
17202	技攻魂石Lv2	力を強化する魂の石\n技攻+48	魂器用アイテム	4	0	17202	10	1	2	0	23
17203	技攻魂石Lv3	力を強化する魂の石\n技攻+78	魂器用アイテム	4	0	17203	10	2	2	0	24
17204	技攻魂石Lv4	力を強化する魂の石\n技攻+126	魂器用アイテム	4	0	17204	10	2	2	0	25
17205	技攻魂石Lv5	力を強化する魂の石\n技攻+196	魂器用アイテム	4	0	17205	10	3	2	0	0
17206	技攻魂石Lv6	力を強化する魂の石\n技攻+315	魂器用アイテム	4	0	17206	10	3	2	0	0
17207	技攻魂石Lv7	力を強化する魂の石\n技攻+496	魂器用アイテム	4	0	17207	10	4	2	0	0
17208	技攻魂石Lv8	力を強化する魂の石\n技攻+779	魂器用アイテム	4	0	17208	10	4	2	0	0
17209	技攻魂石Lv9	力を強化する魂の石\n技攻+1226	魂器用アイテム	4	0	17209	10	4	2	0	0
17301	防御魂石Lv1	力を強化する魂の石\n防御+12	魂器用アイテム	4	0	17301	10	1	2	0	22
17302	防御魂石Lv2	力を強化する魂の石\n防御+36	魂器用アイテム	4	0	17302	10	1	2	0	23
17303	防御魂石Lv3	力を強化する魂の石\n防御+59	魂器用アイテム	4	0	17303	10	2	2	0	24
17304	防御魂石Lv4	力を強化する魂の石\n防御+94	魂器用アイテム	4	0	17304	10	2	2	0	25
17305	防御魂石Lv5	力を強化する魂の石\n防御+148	魂器用アイテム	4	0	17305	10	3	2	0	0
17306	防御魂石Lv6	力を強化する魂の石\n防御+235	魂器用アイテム	4	0	17306	10	3	2	0	0
17307	防御魂石Lv7	力を強化する魂の石\n防御+367	魂器用アイテム	4	0	17307	10	4	2	0	0
17308	防御魂石Lv8	力を強化する魂の石\n防御+577	魂器用アイテム	4	0	17308	10	4	2	0	0
17309	防御魂石Lv9	力を強化する魂の石\n防御+902	魂器用アイテム	4	0	17309	10	4	2	0	0
17401	技防魂石Lv1	力を強化する魂の石\n技防+12	魂器用アイテム	4	0	17401	10	1	2	0	22
17402	技防魂石Lv2	力を強化する魂の石\n技防+36	魂器用アイテム	4	0	17402	10	1	2	0	23
17403	技防魂石Lv3	力を強化する魂の石\n技防+60	魂器用アイテム	4	0	17403	10	2	2	0	24
17404	技防魂石Lv4	力を強化する魂の石\n技防+100	魂器用アイテム	4	0	17404	10	2	2	0	25
17405	技防魂石Lv5	力を強化する魂の石\n技防+160	魂器用アイテム	4	0	17405	10	3	2	0	0
17406	技防魂石Lv6	力を強化する魂の石\n技防+260	魂器用アイテム	4	0	17406	10	3	2	0	0
17407	技防魂石Lv7	力を強化する魂の石\n技防+520	魂器用アイテム	4	0	17407	10	4	2	0	0
17408	技防魂石Lv8	力を強化する魂の石\n技防+680	魂器用アイテム	4	0	17408	10	4	2	0	0
17409	技防魂石Lv9	力を強化する魂の石\n技防+1100	魂器用アイテム	4	0	17409	10	4	2	0	0
17501	体力魂石Lv1	力を強化する魂の石\n体力+60	魂器用アイテム	4	0	17501	10	1	2	0	22
17502	体力魂石Lv2	力を強化する魂の石\n体力+180	魂器用アイテム	4	0	17502	10	1	2	0	23
17503	体力魂石Lv3	力を強化する魂の石\n体力+299	魂器用アイテム	4	0	17503	10	2	2	0	24
17504	体力魂石Lv4	力を強化する魂の石\n体力+472	魂器用アイテム	4	0	17504	10	2	2	0	25
17505	体力魂石Lv5	力を強化する魂の石\n体力+742	魂器用アイテム	4	0	17505	10	3	2	0	0
17506	体力魂石Lv6	力を強化する魂の石\n体力+1177	魂器用アイテム	4	0	17506	10	3	2	0	0
17507	体力魂石Lv7	力を強化する魂の石\n体力+1890	魂器用アイテム	4	0	17507	10	4	2	0	0
17508	体力魂石Lv8	力を強化する魂の石\n体力+3024	魂器用アイテム	4	0	17508	10	4	2	0	0
17509	体力魂石Lv9	力を強化する魂の石\n体力+4620	魂器用アイテム	4	0	17509	10	4	2	0	0
18001	星の石	星の神秘的な力を宿している。	まだ開放しない	4	0	18001	10	1	2	0	0
18002	レーダー	ルーンに関係があるらしい。	まだ開放しない	4	0	18002	10	3	2	0	0
18003	探査機	ルーンに関係があるらしい。	まだ開放しない	4	0	18003	10	4	2	0	0
18011	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F101	10	1	2	0	0
18012	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F102	10	2	2	0	0
18013	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F103	10	3	2	0	0
18014	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F104	10	4	2	0	0
18015	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F105	10	5	2	0	0
18021	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F201	10	1	2	0	0
18022	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F202	10	2	2	0	0
18023	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F203	10	3	2	0	0
18024	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F204	10	4	2	0	0
18025	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F205	10	5	2	0	0
18031	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F301	10	1	2	0	0
18032	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F302	10	2	2	0	0
18033	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F303	10	3	2	0	0
18034	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F304	10	4	2	0	0
18035	まだ開放しない	まだ開放しない	まだ開放しない	4	0	F305	10	5	2	0	0
