number	number	number	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2	array2
10	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
11	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
12	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
13	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
14	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
15	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
16	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
17	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
18	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
19	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
20	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
21	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
22	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
23	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
24	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,5],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,5],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,5],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
25	6	1	"[[19001,5000,6],[18001,10000,2],[11026,5000,3]]"	"[[19001,5000,6],[18001,10000,2],[21003,2500,3]]"	"[[19001,5000,6],[18001,10000,2],[11025,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[15001,5000,3]]"	"[[19001,5000,6],[18001,10000,3],[20001,10000,1]]"	"[[19001,5000,6],[18001,10000,3],[11024,5000,3]]"	"[[19002,5000,6],[18001,10000,3],[21002,2500,3]]"	"[[19002,5000,6],[18001,10000,4],[11023,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[15002,5000,3]]"	"[[19002,5000,6],[18001,10000,4],[20001,10000,1]]"	"[[19002,5000,6],[18001,10000,4],[11022,5000,3]]"	"[[19003,5000,6],[18001,10000,4],[21001,2500,3]]"	"[[19003,5000,6],[18001,10000,5],[11021,5000,3]]"	"[[19003,5000,6],[18002,10000,1],[20002,10000,1]]"	"[[19004,10000,4],[18002,10000,1],[15103,600,1]]"	"[[19004,10000,4],[18002,10000,2],[15103,600,1]]"	"[[19005,10000,4],[18002,10000,2],[15103,600,1]]"
