number	string	string	string	number	number	number	number	number	number	number	number	number	array2
10038	M10004	仲間を集めよう	仲間を41人にする	38	1	1	41	6	0	0	50	0	[]
10039	M10004	仲間を集めよう	仲間を42人にする	39	1	1	42	6	0	0	50	0	[]
10040	M10004	仲間を集めよう	仲間を43人にする	40	1	1	43	6	0	0	50	0	[]
10041	M10004	仲間を集めよう	仲間を44人にする	41	1	1	44	6	0	0	50	0	[]
10042	M10004	仲間を集めよう	仲間を45人にする	42	1	1	45	6	0	0	50	0	[]
10043	M10004	仲間を集めよう	仲間を46人にする	43	1	1	46	6	0	0	50	0	[]
10044	M10004	仲間を集めよう	仲間を47人にする	44	1	1	47	6	0	0	50	0	[]
10045	M10004	仲間を集めよう	仲間を48人にする	45	1	1	48	6	0	0	50	0	[]
10046	M10004	仲間を集めよう	仲間を49人にする	46	1	1	49	6	0	0	50	0	[]
10047	M10004	仲間を集めよう	仲間を50人にする	47	1	1	50	6	0	0	50	0	[]
10048	M10004	仲間を集めよう	仲間を51人にする	48	1	1	51	6	0	0	50	0	[]
30001	M10002	仲間の昇格	仲間3人を昇格させる	1	2	3	3	6	0	12000	10	0	[]
30002	M10002	仲間の昇格	仲間4人を昇格させる	2	2	3	4	6	0	12000	10	0	[]
30003	M10002	仲間の昇格	仲間5人を昇格させる	3	2	3	5	6	0	12000	10	0	[]
30004	M10002	仲間の昇格	仲間6人を昇格させる	4	2	3	6	6	0	12000	10	0	[]
30005	M10002	仲間の昇格	仲間7人を昇格させる	5	2	3	7	6	0	12000	10	0	[]
30006	M10002	仲間の昇格	仲間8人を昇格させる	6	2	3	8	6	0	12000	10	0	[]
30007	M10002	仲間の昇格	仲間9人を昇格させる	7	2	3	9	6	0	12000	10	0	[]
30008	M10002	仲間の昇格	仲間10人を昇格させる	8	2	3	10	6	0	12000	10	0	"[[10013,1]]"
30009	M10002	仲間の昇格	仲間11人を昇格させる	9	2	3	11	6	0	12000	30	0	[]
30010	M10002	仲間の昇格	仲間12人を昇格させる	10	2	3	12	6	0	12000	30	0	[]
30011	M10002	仲間の昇格	仲間13人を昇格させる	11	2	3	13	6	0	12000	30	0	[]
30012	M10002	仲間の昇格	仲間14人を昇格させる	12	2	3	14	6	0	12000	30	0	[]
30013	M10002	仲間の昇格	仲間15人を昇格させる	13	2	3	15	6	0	12000	30	0	[]
30014	M10002	仲間の昇格	仲間16人を昇格させる	14	2	3	16	6	0	12000	30	0	[]
30015	M10002	仲間の昇格	仲間17人を昇格させる	15	2	3	17	6	0	12000	30	0	[]
30016	M10002	仲間の昇格	仲間18人を昇格させる	16	2	3	18	6	0	12000	30	0	[]
30017	M10002	仲間の昇格	仲間19人を昇格させる	17	2	3	19	6	0	12000	30	0	[]
30018	M10002	仲間の昇格	仲間20人を昇格させる	18	2	3	20	6	0	12000	30	0	"[[10013,1]]"
30019	M10002	仲間の昇格	仲間21人を昇格させる	19	2	3	21	6	0	12000	30	0	[]
30020	M10002	仲間の昇格	仲間22人を昇格させる	20	2	3	22	6	0	12000	30	0	[]
30021	M10002	仲間の昇格	仲間23人を昇格させる	21	2	3	23	6	0	12000	30	0	[]
30022	M10002	仲間の昇格	仲間24人を昇格させる	22	2	3	24	6	0	12000	30	0	[]
30023	M10002	仲間の昇格	仲間25人を昇格させる	23	2	3	25	6	0	12000	30	0	[]
30024	M10002	仲間の昇格	仲間26人を昇格させる	24	2	3	26	6	0	12000	30	0	[]
30025	M10002	仲間の昇格	仲間27人を昇格させる	25	2	3	27	6	0	12000	30	0	[]
30026	M10002	仲間の昇格	仲間28人を昇格させる	26	2	3	28	6	0	12000	30	0	[]
30027	M10002	仲間の昇格	仲間29人を昇格させる	27	2	3	29	6	0	12000	30	0	[]
30028	M10002	仲間の昇格	仲間30人を昇格させる	28	2	3	30	6	0	12000	30	0	"[[10013,1]]"
30029	M10002	仲間の昇格	仲間31人を昇格させる	29	2	3	31	6	0	12000	30	0	[]
30030	M10002	仲間の昇格	仲間32人を昇格させる	30	2	3	32	6	0	12000	30	0	[]
30031	M10002	仲間の昇格	仲間33人を昇格させる	31	2	3	33	6	0	12000	30	0	[]
30032	M10002	仲間の昇格	仲間34人を昇格させる	32	2	3	34	6	0	12000	30	0	[]
30033	M10002	仲間の昇格	仲間35人を昇格させる	33	2	3	35	6	0	12000	30	0	[]
30034	M10002	仲間の昇格	仲間36人を昇格させる	34	2	3	36	6	0	12000	30	0	[]
30035	M10002	仲間の昇格	仲間37人を昇格させる	35	2	3	37	6	0	12000	30	0	[]
30036	M10002	仲間の昇格	仲間38人を昇格させる	36	2	3	38	6	0	12000	30	0	[]
30037	M10002	仲間の昇格	仲間39人を昇格させる	37	2	3	39	6	0	12000	30	0	[]
30038	M10002	仲間の昇格	仲間40人を昇格させる	38	2	3	40	6	0	12000	30	0	"[[10013,1]]"
30039	M10002	仲間の昇格	仲間41人を昇格させる	39	2	3	41	6	0	12000	30	0	[]
30040	M10002	仲間の昇格	仲間42人を昇格させる	40	2	3	42	6	0	12000	30	0	[]
30041	M10002	仲間の昇格	仲間43人を昇格させる	41	2	3	43	6	0	12000	30	0	[]
30042	M10002	仲間の昇格	仲間44人を昇格させる	42	2	3	44	6	0	12000	30	0	[]
30043	M10002	仲間の昇格	仲間45人を昇格させる	43	2	3	45	6	0	12000	30	0	[]
30044	M10002	仲間の昇格	仲間46人を昇格させる	44	2	3	46	6	0	12000	30	0	[]
30045	M10002	仲間の昇格	仲間47人を昇格させる	45	2	3	47	6	0	12000	30	0	[]
30046	M10002	仲間の昇格	仲間48人を昇格させる	46	2	3	48	6	0	12000	30	0	[]
30047	M10002	仲間の昇格	仲間49人を昇格させる	47	2	3	49	6	0	12000	30	0	[]
30048	M10002	仲間の昇格	仲間50人を昇格させる	48	2	3	50	6	0	12000	30	0	"[[10013,1]]"
30049	M10002	仲間の昇格	仲間51人を昇格させる	49	2	3	51	6	0	12000	30	0	[]
30050	M10002	仲間の昇格	仲間52人を昇格させる	50	2	3	52	6	0	12000	30	0	[]
30051	M10002	仲間の昇格	仲間53人を昇格させる	51	2	3	53	6	0	12000	30	0	[]
30052	M10002	仲間の昇格	仲間54人を昇格させる	52	2	3	54	6	0	12000	30	0	[]
30053	M10002	仲間の昇格	仲間55人を昇格させる	53	2	3	55	6	0	12000	30	0	[]
30054	M10002	仲間の昇格	仲間56人を昇格させる	54	2	3	56	6	0	12000	30	0	[]
30055	M10002	仲間の昇格	仲間57人を昇格させる	55	2	3	57	6	0	12000	30	0	[]
30056	M10002	仲間の昇格	仲間58人を昇格させる	56	2	3	58	6	0	12000	30	0	[]
30057	M10002	仲間の昇格	仲間59人を昇格させる	57	2	3	59	6	0	12000	30	0	[]
30058	M10002	仲間の昇格	仲間60人を昇格させる	58	2	3	60	6	0	12000	30	0	"[[10013,1]]"
30059	M10002	仲間の昇格	仲間61人を昇格させる	59	2	3	61	6	0	12000	30	0	[]
30060	M10002	仲間の昇格	仲間62人を昇格させる	60	2	3	62	6	0	12000	30	0	[]
30061	M10002	仲間の昇格	仲間63人を昇格させる	61	2	3	63	6	0	12000	30	0	[]
30062	M10002	仲間の昇格	仲間64人を昇格させる	62	2	3	64	6	0	12000	30	0	[]
30063	M10002	仲間の昇格	仲間65人を昇格させる	63	2	3	65	6	0	12000	30	0	[]
30064	M10002	仲間の昇格	仲間66人を昇格させる	64	2	3	66	6	0	12000	30	0	[]
30065	M10002	仲間の昇格	仲間67人を昇格させる	65	2	3	67	6	0	12000	30	0	[]
30066	M10002	仲間の昇格	仲間68人を昇格させる	66	2	3	68	6	0	12000	30	0	[]
30067	M10002	仲間の昇格	仲間69人を昇格させる	67	2	3	69	6	0	12000	30	0	[]
30068	M10002	仲間の昇格	仲間70人を昇格させる	68	2	3	70	6	0	12000	30	0	"[[10013,1]]"
30069	M10002	仲間の昇格	仲間71人を昇格させる	69	2	3	71	6	0	12000	30	0	[]
30070	M10002	仲間の昇格	仲間72人を昇格させる	70	2	3	72	6	0	12000	30	0	[]
30071	M10002	仲間の昇格	仲間73人を昇格させる	71	2	3	73	6	0	12000	30	0	[]
30072	M10002	仲間の昇格	仲間74人を昇格させる	72	2	3	74	6	0	12000	30	0	[]
30073	M10002	仲間の昇格	仲間75人を昇格させる	73	2	3	75	6	0	12000	30	0	[]
30074	M10002	仲間の昇格	仲間76人を昇格させる	74	2	3	76	6	0	12000	30	0	[]
30075	M10002	仲間の昇格	仲間77人を昇格させる	75	2	3	77	6	0	12000	30	0	[]
30076	M10002	仲間の昇格	仲間78人を昇格させる	76	2	3	78	6	0	12000	30	0	[]
30077	M10002	仲間の昇格	仲間79人を昇格させる	77	2	3	79	6	0	12000	30	0	[]
30078	M10002	仲間の昇格	仲間80人を昇格させる	78	2	3	80	6	0	12000	30	0	"[[10013,1]]"
30079	M10002	仲間の昇格	仲間81人を昇格させる	79	2	3	81	6	0	12000	30	0	[]
30080	M10002	仲間の昇格	仲間82人を昇格させる	80	2	3	82	6	0	12000	30	0	[]
30081	M10002	仲間の昇格	仲間83人を昇格させる	81	2	3	83	6	0	12000	30	0	[]
30082	M10002	仲間の昇格	仲間84人を昇格させる	82	2	3	84	6	0	12000	30	0	[]
30083	M10002	仲間の昇格	仲間85人を昇格させる	83	2	3	85	6	0	12000	30	0	[]
30084	M10002	仲間の昇格	仲間86人を昇格させる	84	2	3	86	6	0	12000	30	0	[]
30085	M10002	仲間の昇格	仲間87人を昇格させる	85	2	3	87	6	0	12000	30	0	[]
30086	M10002	仲間の昇格	仲間88人を昇格させる	86	2	3	88	6	0	12000	30	0	[]
30087	M10002	仲間の昇格	仲間89人を昇格させる	87	2	3	89	6	0	12000	30	0	[]
30088	M10002	仲間の昇格	仲間90人を昇格させる	88	2	3	90	6	0	12000	30	0	"[[10013,1]]"
30089	M10002	仲間の昇格	仲間91人を昇格させる	89	2	3	91	6	0	12000	30	0	[]
30090	M10002	仲間の昇格	仲間92人を昇格させる	90	2	3	92	6	0	12000	30	0	[]
30091	M10002	仲間の昇格	仲間93人を昇格させる	91	2	3	93	6	0	12000	30	0	[]
30092	M10002	仲間の昇格	仲間94人を昇格させる	92	2	3	94	6	0	12000	30	0	[]
30093	M10002	仲間の昇格	仲間95人を昇格させる	93	2	3	95	6	0	12000	30	0	[]
30094	M10002	仲間の昇格	仲間96人を昇格させる	94	2	3	96	6	0	12000	30	0	[]
30095	M10002	仲間の昇格	仲間97人を昇格させる	95	2	3	97	6	0	12000	30	0	[]
30096	M10002	仲間の昇格	仲間98人を昇格させる	96	2	3	98	6	0	12000	30	0	[]
30097	M10002	仲間の昇格	仲間99人を昇格させる	97	2	3	99	6	0	12000	30	0	[]
30098	M10002	仲間の昇格	仲間100人を昇格させる	98	2	3	100	6	0	12000	30	0	"[[10013,1]]"
30099	M10002	仲間の昇格	仲間101人を昇格させる	99	2	3	101	6	0	12000	30	0	[]
30100	M10002	仲間の昇格	仲間102人を昇格させる	100	2	3	102	6	0	12000	30	0	[]
30101	M10002	仲間の昇格	仲間103人を昇格させる	101	2	3	103	6	0	12000	30	0	[]
30102	M10002	仲間の昇格	仲間104人を昇格させる	102	2	3	104	6	0	12000	30	0	[]
30103	M10002	仲間の昇格	仲間105人を昇格させる	103	2	3	105	6	0	12000	30	0	[]
30104	M10002	仲間の昇格	仲間106人を昇格させる	104	2	3	106	6	0	12000	30	0	[]
30105	M10002	仲間の昇格	仲間107人を昇格させる	105	2	3	107	6	0	12000	30	0	[]
30106	M10002	仲間の昇格	仲間108人を昇格させる	106	2	3	108	6	0	12000	30	0	[]
30107	M10002	仲間の昇格	仲間109人を昇格させる	107	2	3	109	6	0	12000	30	0	[]
30108	M10002	仲間の昇格	仲間110人を昇格させる	108	2	3	110	6	0	12000	30	0	"[[10013,1]]"
30109	M10002	仲間の昇格	仲間111人を昇格させる	109	2	3	111	6	0	12000	30	0	[]
30110	M10002	仲間の昇格	仲間112人を昇格させる	110	2	3	112	6	0	12000	30	0	[]
30111	M10002	仲間の昇格	仲間113人を昇格させる	111	2	3	113	6	0	12000	30	0	[]
30112	M10002	仲間の昇格	仲間114人を昇格させる	112	2	3	114	6	0	12000	30	0	[]
30113	M10002	仲間の昇格	仲間115人を昇格させる	113	2	3	115	6	0	12000	30	0	[]
30114	M10002	仲間の昇格	仲間116人を昇格させる	114	2	3	116	6	0	12000	30	0	[]
30115	M10002	仲間の昇格	仲間117人を昇格させる	115	2	3	117	6	0	12000	30	0	[]
30116	M10002	仲間の昇格	仲間118人を昇格させる	116	2	3	118	6	0	12000	30	0	[]
30117	M10002	仲間の昇格	仲間119人を昇格させる	117	2	3	119	6	0	12000	30	0	[]
30118	M10002	仲間の昇格	仲間120人を昇格させる	118	2	3	120	6	0	12000	30	0	"[[10013,1]]"
30119	M10002	仲間の昇格	仲間121人を昇格させる	119	2	3	121	6	0	12000	30	0	[]
30120	M10002	仲間の昇格	仲間122人を昇格させる	120	2	3	122	6	0	12000	30	0	[]
30121	M10002	仲間の昇格	仲間123人を昇格させる	121	2	3	123	6	0	12000	30	0	[]
30122	M10002	仲間の昇格	仲間124人を昇格させる	122	2	3	124	6	0	12000	30	0	[]
30123	M10002	仲間の昇格	仲間125人を昇格させる	123	2	3	125	6	0	12000	30	0	[]
30124	M10002	仲間の昇格	仲間126人を昇格させる	124	2	3	126	6	0	12000	30	0	[]
30125	M10002	仲間の昇格	仲間127人を昇格させる	125	2	3	127	6	0	12000	30	0	[]
30126	M10002	仲間の昇格	仲間128人を昇格させる	126	2	3	128	6	0	12000	30	0	[]
30127	M10002	仲間の昇格	仲間129人を昇格させる	127	2	3	129	6	0	12000	30	0	[]
30128	M10002	仲間の昇格	仲間130人を昇格させる	128	2	3	130	6	0	12000	30	0	"[[10013,1]]"
30129	M10002	仲間の昇格	仲間131人を昇格させる	129	2	3	131	6	0	12000	30	0	[]
30130	M10002	仲間の昇格	仲間132人を昇格させる	130	2	3	132	6	0	12000	30	0	[]
30131	M10002	仲間の昇格	仲間133人を昇格させる	131	2	3	133	6	0	12000	30	0	[]
30132	M10002	仲間の昇格	仲間134人を昇格させる	132	2	3	134	6	0	12000	30	0	[]
30133	M10002	仲間の昇格	仲間135人を昇格させる	133	2	3	135	6	0	12000	30	0	[]
30134	M10002	仲間の昇格	仲間136人を昇格させる	134	2	3	136	6	0	12000	30	0	[]
30135	M10002	仲間の昇格	仲間137人を昇格させる	135	2	3	137	6	0	12000	30	0	[]
30136	M10002	仲間の昇格	仲間138人を昇格させる	136	2	3	138	6	0	12000	30	0	[]
30137	M10002	仲間の昇格	仲間139人を昇格させる	137	2	3	139	6	0	12000	30	0	[]
30138	M10002	仲間の昇格	仲間140人を昇格させる	138	2	3	140	6	0	12000	30	0	"[[10013,1]]"
30139	M10002	仲間の昇格	仲間141人を昇格させる	139	2	3	141	6	0	12000	30	0	[]
30140	M10002	仲間の昇格	仲間142人を昇格させる	140	2	3	142	6	0	12000	30	0	[]
30141	M10002	仲間の昇格	仲間143人を昇格させる	141	2	3	143	6	0	12000	30	0	[]
30142	M10002	仲間の昇格	仲間144人を昇格させる	142	2	3	144	6	0	12000	30	0	[]
30143	M10002	仲間の昇格	仲間145人を昇格させる	143	2	3	145	6	0	12000	30	0	[]
30144	M10002	仲間の昇格	仲間146人を昇格させる	144	2	3	146	6	0	12000	30	0	[]
30145	M10002	仲間の昇格	仲間147人を昇格させる	145	2	3	147	6	0	12000	30	0	[]
30146	M10002	仲間の昇格	仲間148人を昇格させる	146	2	3	148	6	0	12000	30	0	[]
30147	M10002	仲間の昇格	仲間149人を昇格させる	147	2	3	149	6	0	12000	30	0	[]
30148	M10002	仲間の昇格	仲間150人を昇格させる	148	2	3	150	6	0	12000	30	0	"[[10013,1]]"
30149	M10002	仲間の昇格	仲間151人を昇格させる	149	2	3	151	6	0	12000	30	0	[]
30150	M10002	仲間の昇格	仲間152人を昇格させる	150	2	3	152	6	0	12000	30	0	[]
30151	M10002	仲間の昇格	仲間153人を昇格させる	151	2	3	153	6	0	12000	30	0	[]
30152	M10002	仲間の昇格	仲間154人を昇格させる	152	2	3	154	6	0	12000	30	0	[]
30153	M10002	仲間の昇格	仲間155人を昇格させる	153	2	3	155	6	0	12000	30	0	[]
30154	M10002	仲間の昇格	仲間156人を昇格させる	154	2	3	156	6	0	12000	30	0	[]
30155	M10002	仲間の昇格	仲間157人を昇格させる	155	2	3	157	6	0	12000	30	0	[]
30156	M10002	仲間の昇格	仲間158人を昇格させる	156	2	3	158	6	0	12000	30	0	[]
30157	M10002	仲間の昇格	仲間159人を昇格させる	157	2	3	159	6	0	12000	30	0	[]
30158	M10002	仲間の昇格	仲間160人を昇格させる	158	2	3	160	6	0	12000	30	0	"[[10013,1]]"
30159	M10002	仲間の昇格	仲間161人を昇格させる	159	2	3	161	6	0	12000	30	0	[]
30160	M10002	仲間の昇格	仲間162人を昇格させる	160	2	3	162	6	0	12000	30	0	[]
30161	M10002	仲間の昇格	仲間163人を昇格させる	161	2	3	163	6	0	12000	30	0	[]
30162	M10002	仲間の昇格	仲間164人を昇格させる	162	2	3	164	6	0	12000	30	0	[]
30163	M10002	仲間の昇格	仲間165人を昇格させる	163	2	3	165	6	0	12000	30	0	[]
30164	M10002	仲間の昇格	仲間166人を昇格させる	164	2	3	166	6	0	12000	30	0	[]
30165	M10002	仲間の昇格	仲間167人を昇格させる	165	2	3	167	6	0	12000	30	0	[]
30166	M10002	仲間の昇格	仲間168人を昇格させる	166	2	3	168	6	0	12000	30	0	[]
30167	M10002	仲間の昇格	仲間169人を昇格させる	167	2	3	169	6	0	12000	30	0	[]
30168	M10002	仲間の昇格	仲間170人を昇格させる	168	2	3	170	6	0	12000	30	0	"[[10013,1]]"
30169	M10002	仲間の昇格	仲間171人を昇格させる	169	2	3	171	6	0	12000	30	0	[]
30170	M10002	仲間の昇格	仲間172人を昇格させる	170	2	3	172	6	0	12000	30	0	[]
30171	M10002	仲間の昇格	仲間173人を昇格させる	171	2	3	173	6	0	12000	30	0	[]
30172	M10002	仲間の昇格	仲間174人を昇格させる	172	2	3	174	6	0	12000	30	0	[]
30173	M10002	仲間の昇格	仲間175人を昇格させる	173	2	3	175	6	0	12000	30	0	[]
30174	M10002	仲間の昇格	仲間176人を昇格させる	174	2	3	176	6	0	12000	30	0	[]
30175	M10002	仲間の昇格	仲間177人を昇格させる	175	2	3	177	6	0	12000	30	0	[]
30176	M10002	仲間の昇格	仲間178人を昇格させる	176	2	3	178	6	0	12000	30	0	[]
30177	M10002	仲間の昇格	仲間179人を昇格させる	177	2	3	179	6	0	12000	30	0	[]
30178	M10002	仲間の昇格	仲間180人を昇格させる	178	2	3	180	6	0	12000	30	0	"[[10013,1]]"
30179	M10002	仲間の昇格	仲間181人を昇格させる	179	2	3	181	6	0	12000	30	0	[]
30180	M10002	仲間の昇格	仲間182人を昇格させる	180	2	3	182	6	0	12000	30	0	[]
30181	M10002	仲間の昇格	仲間183人を昇格させる	181	2	3	183	6	0	12000	30	0	[]
30182	M10002	仲間の昇格	仲間184人を昇格させる	182	2	3	184	6	0	12000	30	0	[]
30183	M10002	仲間の昇格	仲間185人を昇格させる	183	2	3	185	6	0	12000	30	0	[]
30184	M10002	仲間の昇格	仲間186人を昇格させる	184	2	3	186	6	0	12000	30	0	[]
30185	M10002	仲間の昇格	仲間187人を昇格させる	185	2	3	187	6	0	12000	30	0	[]
30186	M10002	仲間の昇格	仲間188人を昇格させる	186	2	3	188	6	0	12000	30	0	[]
30187	M10002	仲間の昇格	仲間189人を昇格させる	187	2	3	189	6	0	12000	30	0	[]
30188	M10002	仲間の昇格	仲間190人を昇格させる	188	2	3	190	6	0	12000	30	0	"[[10013,1]]"
30189	M10002	仲間の昇格	仲間191人を昇格させる	189	2	3	191	6	0	12000	30	0	[]
30190	M10002	仲間の昇格	仲間192人を昇格させる	190	2	3	192	6	0	12000	30	0	[]
30191	M10002	仲間の昇格	仲間193人を昇格させる	191	2	3	193	6	0	12000	30	0	[]
30192	M10002	仲間の昇格	仲間194人を昇格させる	192	2	3	194	6	0	12000	30	0	[]
30193	M10002	仲間の昇格	仲間195人を昇格させる	193	2	3	195	6	0	12000	30	0	[]
30194	M10002	仲間の昇格	仲間196人を昇格させる	194	2	3	196	6	0	12000	30	0	[]
30195	M10002	仲間の昇格	仲間197人を昇格させる	195	2	3	197	6	0	12000	30	0	[]
30196	M10002	仲間の昇格	仲間198人を昇格させる	196	2	3	198	6	0	12000	30	0	[]
30197	M10002	仲間の昇格	仲間199人を昇格させる	197	2	3	199	6	0	12000	30	0	[]
30198	M10002	仲間の昇格	仲間200人を昇格させる	198	2	3	200	6	0	12000	30	0	"[[10013,1]]"
30199	M10002	仲間の昇格	仲間201人を昇格させる	199	2	3	201	6	0	12000	30	0	[]
30200	M10002	仲間の昇格	仲間202人を昇格させる	200	2	3	202	6	0	12000	30	0	[]
30201	M10002	仲間の昇格	仲間203人を昇格させる	201	2	3	203	6	0	12000	30	0	[]
30202	M10002	仲間の昇格	仲間204人を昇格させる	202	2	3	204	6	0	12000	30	0	[]
30203	M10002	仲間の昇格	仲間205人を昇格させる	203	2	3	205	6	0	12000	30	0	[]
30204	M10002	仲間の昇格	仲間206人を昇格させる	204	2	3	206	6	0	12000	30	0	[]
30205	M10002	仲間の昇格	仲間207人を昇格させる	205	2	3	207	6	0	12000	30	0	[]
30206	M10002	仲間の昇格	仲間208人を昇格させる	206	2	3	208	6	0	12000	30	0	[]
30207	M10002	仲間の昇格	仲間209人を昇格させる	207	2	3	209	6	0	12000	30	0	[]
30208	M10002	仲間の昇格	仲間210人を昇格させる	208	2	3	210	6	0	12000	30	0	"[[10013,1]]"
30209	M10002	仲間の昇格	仲間211人を昇格させる	209	2	3	211	6	0	12000	30	0	[]
30210	M10002	仲間の昇格	仲間212人を昇格させる	210	2	3	212	6	0	12000	30	0	[]
30211	M10002	仲間の昇格	仲間213人を昇格させる	211	2	3	213	6	0	12000	30	0	[]
30212	M10002	仲間の昇格	仲間214人を昇格させる	212	2	3	214	6	0	12000	30	0	[]
30213	M10002	仲間の昇格	仲間215人を昇格させる	213	2	3	215	6	0	12000	30	0	[]
30214	M10002	仲間の昇格	仲間216人を昇格させる	214	2	3	216	6	0	12000	30	0	[]
30215	M10002	仲間の昇格	仲間217人を昇格させる	215	2	3	217	6	0	12000	30	0	[]
30216	M10002	仲間の昇格	仲間218人を昇格させる	216	2	3	218	6	0	12000	30	0	[]
30217	M10002	仲間の昇格	仲間219人を昇格させる	217	2	3	219	6	0	12000	30	0	[]
30218	M10002	仲間の昇格	仲間220人を昇格させる	218	2	3	220	6	0	12000	30	0	"[[10013,1]]"
30219	M10002	仲間の昇格	仲間221人を昇格させる	219	2	3	221	6	0	12000	30	0	[]
30220	M10002	仲間の昇格	仲間222人を昇格させる	220	2	3	222	6	0	12000	30	0	[]
30221	M10002	仲間の昇格	仲間223人を昇格させる	221	2	3	223	6	0	12000	30	0	[]
30222	M10002	仲間の昇格	仲間224人を昇格させる	222	2	3	224	6	0	12000	30	0	[]
30223	M10002	仲間の昇格	仲間225人を昇格させる	223	2	3	225	6	0	12000	30	0	[]
30224	M10002	仲間の昇格	仲間226人を昇格させる	224	2	3	226	6	0	12000	30	0	[]
30225	M10002	仲間の昇格	仲間227人を昇格させる	225	2	3	227	6	0	12000	30	0	[]
30226	M10002	仲間の昇格	仲間228人を昇格させる	226	2	3	228	6	0	12000	30	0	[]
30227	M10002	仲間の昇格	仲間229人を昇格させる	227	2	3	229	6	0	12000	30	0	[]
30228	M10002	仲間の昇格	仲間230人を昇格させる	228	2	3	230	6	0	12000	30	0	"[[10013,1]]"
30229	M10002	仲間の昇格	仲間231人を昇格させる	229	2	3	231	6	0	12000	30	0	[]
30230	M10002	仲間の昇格	仲間232人を昇格させる	230	2	3	232	6	0	12000	30	0	[]
30231	M10002	仲間の昇格	仲間233人を昇格させる	231	2	3	233	6	0	12000	30	0	[]
30232	M10002	仲間の昇格	仲間234人を昇格させる	232	2	3	234	6	0	12000	30	0	[]
30233	M10002	仲間の昇格	仲間235人を昇格させる	233	2	3	235	6	0	12000	30	0	[]
30234	M10002	仲間の昇格	仲間236人を昇格させる	234	2	3	236	6	0	12000	30	0	[]
