number	string	string	string	string	number	string	number	number	number	number	number	number	number	number	array2	array2	array2	number	number	array	number	array2	array	array2	array	number	string	array	array2	array	array
1012	罠？	H017_icon_01	そこには不自然な気配が漂っていた	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1002	120	500	8	1011	0	0	0	"[[11001,4111,1],[11002,1222,1],[12005,3111,1]]"	[]	[]	0	12	"[3033,3034,3036,3035,3037]"	0	"[[3033,-753,2],[3036,-672,4],[3034,-599,1],[3033,89,2],[3036,173,2],[3036,180,4],[3035,245,1],[3033,908,2],[3037,997,4],[3037,1011,1],[3034,1093,3],[3035,1100,5]]"	[]	[]	[]	7852	走廊	"[83,250]"	"[[186,472],[221,485]]"	"[101201,101202,101203]"	[]
1013	力を持つ者	H024_icon_01	敵の数が多過ぎる！	resource/scene/yanjiusuo/yjs_1_1.sce	853		1002	120	500	8	1012	0	1	0	"[[11001,4111,1],[11002,1222,1],[12001,3111,1]]"	[]	[]	0	13	[3038]	3038	"[[3038,192,2],[3038,192,4],[3038,200,1],[3038,204,3]]"	[]	[]	"[3038,10]"	8124	天台	"[260,100]"	"[[300,476],[320,448]]"	"[101301,101302,101303]"	[]
1014	発見	M009_icon_01	誰も欠ける事無く、\n全員で帰るために	resource/scene/dushi/ds_ml_3.sce	2559		1002	120	500	8	1013	0	0	0	"[[11001,4111,1],[12004,2111,1],[12002,3111,1],[10045,2000,1]]"	[]	[]	0	14	"[3040,3041,3039,3042]"	0	"[[3040,-770,2],[3039,-684,4],[3039,-690,1],[3039,-690,3],[3040,121,2],[3040,126,4],[3040,130,1],[3041,246,2],[3041,246,4],[3042,915,2]]"	[]	[]	[]	8422	车站	"[430,180]"	"[[345,380],[359,343]]"	"[101401,101402,101403]"	[]
1015	挟撃作戦	M102_icon_01	近道どころか遠回りじゃない……	resource/scene/dushi/ds_ml_3.sce	2559		1002	120	500	8	1014	0	1	0	"[[11001,4111,1],[11002,1222,1],[12003,3111,1]]"	[]	[]	0	15	[]	3082	[]	"[3082,-645,3]"	[]	[]	8847	车站	"[145,400]"	"[[390,276],[419,252]]"	"[101501,101502,101503]"	[]
1016	望乃	H017_icon_01	初めて会ったはずなのに	resource/scene/dushi/ds_cz_3.sce	2559		1002	120	500	8	1015	0	1	0	"[[11001,4111,1],[11002,1222,1],[12101,3111,1]]"	[]	[]	0	16	[]	3083	[]	"[3083,-645,3]"	[]	[]	9194	小巷	"[355,455]"	"[[494,265],[529,281]]"	"[101601,101602,101603]"	[]
1017	マインドコントロール	H024_icon_01	リーダーとマスターとの対立	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1002	120	500	8	1016	0	0	0	"[[11001,4111,1],[11002,1222,1],[12102,3111,1],[10022,2000,1]]"	[]	[]	0	17	"[3046,3048,3047]"	0	"[[3046,-791,2],[3048,-719,4],[3048,-724,1],[3047,-765,2],[3047,-768,4],[3047,219,2],[3048,286,4],[3048,296,1],[3046,149,2],[3046,157,4],[3048,924,2],[3048,930,4],[3048,939,1],[3048,944,3],[3048,944,5],[3048,965,2],[3048,977,4],[3048,982,1],[3048,987,3],[3048,990,5]]"	[]	[]	[]	9562	工厂	"[520,335]"	"[[600,317],[638,333]]"	"[101701,101702,101703]"	[]
1018	雪山の女性	H006_icon_01	俺達は精霊に出会ったのか？	resource/scene/xueshan/xs_xd_1.sce	853		1002	120	500	8	1017	0	1	0	"[[11001,4111,1],[11002,1222,1],[12103,3111,1],[10024,2000,1]]"	[]	[]	0	18	[]	3049	[]	[]	[]	"[3049,10]"	9955	工厂	"[673,410]"	"[[714,332],[741,308]]"	"[101801,101802,101803]"	[]
1019	浄雪草	H020_icon_01	マインドコントロールの対抗策となるか？	resource/scene/xuexiao/xx_zl_2.sce	1706		1002	120	500	8	1018	0	1	0	"[[11001,4111,1],[11002,1222,1],[12105,3111,1],[10032,2000,1]]"	[]	[]	0	19	"[3052,3047,3051,3050]"	3035	"[[3047,-247,2],[3047,-244,4],[3050,-314,2],[3051,-244,1],[3052,-167,2]]"	"[3035,-140,3]"	[]	[]	10375	小巷	"[730,250]"	"[[782,252],[299,220]]"	"[101901,101902,101903]"	[]
1020	アクシデント	H017_icon_01	防御、\nそれとも反撃？	resource/scene/xuexiao/xx_zl_1.sce	853		1002	120	500	8	1019	0	1	0	"[[11001,4111,1],[11002,1222,1],[12104,3111,1],[10036,2000,1]]"	[]	[]	0	20	[]	3084	[]	"[3084,210,3]"	[]	[]	10837	车站	"[610,140]"	[]	"[102001,102002,102003]"	[]
1021	表情の無いお化け	H024_icon_01	その顔には意思というものが無かった	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1003	120	500	15	1020	0	0	0	"[[11001,4111,1],[11002,1222,1],[12103,3111,1]]"	[]	[]	0	21	"[3041,3051,3061,3052,3050]"	0	"[[3061,-743,2],[3061,-738,4],[3061,-739,1],[3061,-738,3],[3061,198,2],[3061,202,4],[3061,209,1],[3041,246,2],[3041,260,4],[3050,966,2],[3051,1033,4],[3052,1110,1]]"	[]	[]	[]	11297	诡秘森林	"[138,90]"	"[[87,419],[117,437]]"	"[102101,102102,102103]"	[]
1022	ネクロマンシー計画	H014_icon_01	その計画は、\n誰の発案なんだ？	resource/scene/yanjiusuo/yjs_1_1.sce	853		1003	120	500	15	1021	0	1	0	"[[11001,4111,1],[11002,1222,1],[12101,3111,1],[10055,2000,1]]"	[]	[]	0	22	[]	3057	[]	[]	[]	"[3057,10]"	11708	兵娘实验室	"[315,90]"	"[[186,472],[221,485]]"	"[102201,102202,102203]"	[]
1023	神撃のスナイパー	H005_icon_01	日頃の鍛錬がものを言うのよ	resource/scene/dushi/ds_ml_3.sce	2559		1003	120	500	15	1022	0	0	0	"[[11001,4111,1],[11002,1222,1],[12108,3111,1]]"	[]	[]	0	23	"[3054,3058,3045,3060]"	0	"[[3045,-647,2],[3058,-599,2],[3058,-602,4],[3058,-602,1],[3054,178,2],[3060,243,4],[3060,250,1],[3060,252,3],[3060,258,5],[3045,1023,2],[3058,1020,4],[3058,1032,1],[3054,961,3],[3060,1093,2]]"	[]	[]	[]	12139	诡秘森林	"[495,90]"	"[[300,476],[320,448]]"	"[102301,102302,102303]"	[]
1024	思いがけない収穫	H017_icon_01	男性サンプルは貴重な存在よ	resource/scene/yanjiusuo/yjs_13_2.sce	1706		1003	120	500	15	1023	0	0	0	"[[11001,4111,1],[11002,1222,1],[12105,3111,1]]"	[]	[]	0	24	"[3062,3061,3043,3056,3063,3062]"	0	"[[3043,-223,2],[3056,-300,4],[3062,-302,1],[3063,-335,3],[3061,668,2],[3043,598,4],[3062,526,1],[3063,536,3]]"	[]	[]	[]	12558	兵娘实验室	"[650,80]"	"[[345,380],[359,343]]"	"[102401,102402,102403]"	[]
1025	先住者	H006_icon_01	ここには誰かがいる……	resource/scene/dushi/ds_cz_3.sce	2559		1003	120	500	15	1024	0	0	0	"[[11001,4111,1],[11002,1222,1],[12106,3111,1],[10064,2000,1]]"	[]	[]	0	25	"[3066,3041,3060,3061]"	0	"[[3060,-714,2],[3060,-715,4],[3060,-720,1],[3060,-726,3],[3061,238,2],[3061,241,4],[3061,245,1],[3041,195,2],[3041,190,4],[3066,990,2],[3066,997,4],[3066,1002,1],[3066,1004,3],[3066,1009,5]]"	[]	[]	[]	13010	诡秘森林	"[730,310]"	"[[390,276],[419,252]]"	"[102501,102502,102503]"	[]
1026	こそ泥	H025_icon_01	敵がこんなにも執着するのはなぜ？	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1003	120	500	15	1025	0	1	0	"[[11001,4111,1],[12115,2111,1],[12104,3111,1]]"	[]	[]	0	26	[]	3085	[]	"[3085,-645,3]"	[]	[]	13437	兵娘实验室	"[550,275]"	"[[494,265],[529,281]]"	"[102601,102602,102603]"	[]
1027	失踪	H021_icon_01	嫌な予感は大抵当たる	resource/scene/senlin/sl_2_3.sce	2559		1003	120	500	15	1026	0	1	0	"[[11001,4111,1],[11002,1222,1],[12107,3111,1]]"	[]	[]	0	27	"[3070,3069,3039,3066]"	3035	"[[3039,-698,2],[3039,-710,4],[3066,-765,2],[3066,-768,4],[3039,183,2],[3039,186,4],[3066,109,2],[3066,118,4],[3069,-633,2],[3069,288,2],[3069,1025,2],[3066,965,4],[3070,1057,1]]"	[]	[]	"[3035,300]"	13903	诡秘森林	"[425,425]"	"[[600,317],[638,333]]"	"[102701,102702,102703]"	[]
1028	救助	H013_icon_01	羽は天使にも悪魔にも生えている	resource/scene/senlin/sl_1_3.sce	2559		1003	120	500	15	1027	0	1	0	"[[11001,4111,1],[11002,1222,1],[12110,3111,1],[10068,2000,1]]"	[]	[]	0	28	[]	3086	[]	"[3086,-645,3]"	[]	[]	14342	兵娘实验室	"[300,295]"	"[[714,332],[741,308]]"	"[102801,102802,102803]"	[]
1029	甘言	H010_icon_01	これは計画された罠なのか？	resource/scene/yanjiusuo/yjs_1_1.sce	853		1003	120	500	15	1028	0	0	0	"[[11001,4111,1],[11002,1222,1],[12108,3111,1]]"	[]	[]	0	29	"[3075,3068,3059]"	0	"[[3059,245,2],[3068,210,4],[3075,224,1],[3075,226,3],[3075,234,5]]"	[]	[]	[]	14836	诡秘森林	"[140,405]"	"[[782,252],[299,220]]"	"[102901,102902,102903]"	[]
1030	助けは嬉しいけれど	H020_icon_01	水桃に何て言って謝ろう？	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1003	120	500	15	1029	0	1	0	"[[11001,4111,1],[12114,2111,1],[12103,3111,1]]"	[]	[]	0	30	"[3074,3048,3072,3076,3073]"	3077	"[[3048,-600,2],[3048,-599,4],[3048,-600,1],[3072,-726,2],[3072,-731,4],[3072,-727,1],[3073,-660,2],[3073,-660,4],[3073,-660,1],[3073,197,2],[3073,204,4],[3073,204,1],[3073,209,3],[3073,205,5],[3072,156,2],[3072,161,4],[3072,162,1],[3074,267,2],[3074,272,4],[3076,270,1]]"	[]	[]	"[3077,300]"	15349	兵娘实验室	"[128,230]"	[]	"[103001,103002,103003]"	[]
1031	視界ゼロ	H008_icon_01	暗闇の中でのバトル！	resource/scene/xuexiao/xx_ttn_3.sce	2559		1004	120	500	22	1030	0	0	0	"[[11001,4111,1],[11002,1222,1],[12109,3111,1]]"	[]	[]	0	31	"[3047,3048,3046]"	0	"[[3047,-660,2],[3047,-660,4],[3047,-662,1],[3047,-662,3],[3047,-664,5],[3046,-732,2],[3046,-744,4],[3046,174,2],[3046,173,4],[3046,180,1],[3048,327,2],[3048,325,4],[3048,329,1],[3048,1083,2],[3048,1092,4],[3047,1023,1],[3046,975,2],[3046,984,4],[3046,966,1]]"	[]	[]	[]	15889	诡秘森林	"[305,83]"	"[[87,419],[117,437]]"	"[103101,103102,103103]"	[]
1032	分散作戦	H023_icon_01	自分たちに出来る事なら……	resource/scene/xuexiao/xx_ttn_3.sce	2559		1004	120	500	22	1031	0	0	0	"[[11001,4111,1],[11002,1222,1],[12107,3111,1],[10061,2000,1]]"	[]	[]	0	32	"[3073,3072]"	0	"[[3072,-652,2],[3072,-654,4],[3072,-654,1],[3072,-650,3],[3072,-655,5],[3072,-710,2],[3072,-714,4],[3072,-712,1],[3072,-714,3],[3072,-717,5],[3072,972,2],[3072,982,4],[3072,989,1],[3072,996,3],[3072,1011,5],[3073,128,2],[3073,130,4],[3073,132,1],[3073,133,3],[3073,130,5],[3073,176,2],[3073,178,4],[3073,178,1],[3073,1068,2],[3073,1076,4],[3073,1083,1],[3073,1076,3]]"	[]	[]	[]	16360	兵娘实验室	"[130,73]"	"[[186,472],[221,485]]"	"[103201,103202,103203]"	[]
1033	幻術	H014_icon_01	所詮すべてはまやかし	resource/scene/shatan/st_1_3.sce	2559		1004	120	500	22	1032	0	0	0	"[[11001,4111,1],[11002,1222,1],[12109,3111,1]]"	[]	[]	0	33	"[3061,3063,3049]"	0	"[[3063,-710,2],[3049,-719,4],[3061,-600,2],[3063,174,2],[3063,178,4],[3063,173,1],[3061,255,2],[3061,1092,2],[3049,1016,4],[3049,1023,1],[3049,1002,3]]"	[]	[]	[]	16847	诡秘森林	"[98,220]"	"[[300,476],[320,448]]"	"[103301,103302,103303]"	[]
1034	野獣の襲撃	H018_icon_01	ゆっくり考え事もできやしない！	resource/scene/senlin/sl_1_3.sce	2559		1004	120	500	22	1033	0	0	0	"[[11001,4111,1],[12113,2111,1],[12106,3111,1],[10074,2000,1]]"	[]	[]	0	34	"[3056,3052]"	0	"[[3056,-688,2],[3056,-693,4],[3056,-695,1],[3052,-590,2],[3052,-594,4],[3052,265,2],[3052,267,4],[3052,269,1],[3056,188,2],[3056,197,4],[3056,1040,2],[3056,1056,4],[3056,1062,1],[3052,1105,2],[3052,1116,4],[3052,1121,1]]"	[]	[]	[]	17354	兵娘实验室	"[190,360]"	"[[345,380],[359,343]]"	"[103401,103402,103403]"	[]
1035	食料調達	H005_icon_01	こっちがエサになるのはゴメンだな	resource/scene/senlin/sl_1_2.sce	1706		1004	120	500	22	1034	0	0	0	"[[11001,4111,1],[11002,1222,1],[12111,3111,1]]"	[]	[]	0	35	"[3034,3045,3044]"	0	"[[3044,-237,2],[3044,-283,4],[3044,-234,1],[3044,-283,3],[3044,-283,5],[3045,557,2],[3045,562,4],[3045,569,1],[3034,648,2]]"	[]	[]	[]	17858	诡秘森林	"[330,480]"	"[[390,276],[419,252]]"	"[103501,103502,103503]"	[]
1036	船頭多くして船山に上る	H006_icon_01	というか、\n一人でも船頭はいたのか？	resource/scene/senlin/sl_2_3.sce	2559		1004	120	500	22	1035	0	0	0	"[[11001,4111,1],[11002,1222,1],[12112,3111,1]]"	[]	[]	0	36	"[3046,3052,3050]"	0	"[[3046,-684,2],[3046,-683,4],[3046,-683,1],[3052,-535,2],[3052,-540,4],[3052,-542,1],[3052,265,2],[3052,272,4],[3052,277,1],[3052,277,3],[3052,267,5],[3052,1086,2],[3052,1093,4],[3052,1097,1],[3052,1100,3],[3052,1109,5],[3050,159,2],[3050,162,4],[3050,164,1],[3050,997,2],[3050,1008,4],[3050,1013,1]]"	[]	[]	[]	18405	兵娘实验室	"[520,400]"	"[[494,265],[529,281]]"	"[103601,103602,103603]"	[]
1037	水桃との対決	H015_icon_01	あなたとは一度、\n本気で戦ってみたかったの	resource/scene/senlin/sl_1_3.sce	2559		1004	120	500	22	1036	0	0	0	"[[11001,4111,1],[11002,1222,1],[12105,3111,1]]"	[]	[]	0	37	"[3058,3056,3038,3063,3035]"	0	"[[3056,-726,2],[3058,-604,2],[3058,-612,4],[3063,173,2],[3063,174,4],[3063,176,1],[3035,289,2],[3038,240,4],[3038,248,1],[3038,1002,2],[3038,1011,4],[3038,1021,1],[3035,1092,2],[3035,1110,4]]"	[]	[]	[]	18951	诡秘森林	"[675,310]"	"[[600,317],[638,333]]"	"[103701,103702,103703]"	[]
1038	混戦	H007_icon_01	漁夫の利とはこの事ね	resource/scene/senlin/sl_2_3.sce	2559		1004	120	500	22	1037	0	0	0	"[[11001,4111,1],[11002,1222,1],[12110,3111,1]]"	[]	[]	0	38	"[3060,3051,3058]"	0	"[[3060,-650,2],[3060,-648,4],[3060,-648,1],[3051,-599,2],[3051,-599,4],[3051,-597,1],[3051,144,2],[3051,149,4],[3058,202,2],[3058,200,4],[3058,205,1],[3058,1061,2],[3058,1074,4],[3058,1064,1],[3058,1095,2],[3058,1085,4],[3058,985,2],[3058,989,4],[3058,992,1]]"	[]	[]	[]	19514	兵娘实验室	"[730,150]"	"[[714,332],[741,308]]"	"[103801,103802,103803]"	[]
1039	狩人が見たもの	H004_icon_01	この森には何かがいる	resource/scene/senlin/sl_1_3.sce	2559		1004	120	500	22	1038	0	0	0	"[[11001,4111,1],[11002,1222,1],[12113,3111,1]]"	[]	[]	0	39	"[3043,3044,3038]"	0	"[[3043,-666,2],[3043,-664,4],[3043,176,2],[3043,190,4],[3043,1016,2],[3043,1037,4],[3043,1026,1],[3038,253,2],[3038,944,2],[3038,953,4],[3038,932,1],[3044,1081,3],[3044,1102,5]]"	[]	[]	[]	20041	诡秘森林	"[595,80]"	"[[782,252],[299,220]]"	"[103901,103902,103903]"	[]
1040	サバイバル訓練の終了	H024_icon_01	懐かしいアビスへやっと帰れる	resource/scene/xuexiao/xx_ydg_2.sce	1706		1004	120	500	22	1039	0	0	0	"[[11001,4111,1],[12112,2111,1],[12109,3111,1]]"	[]	[]	0	40	"[3077,3080]"	0	"[[3080,-213,2],[3080,-143,2],[3080,-143,4],[3077,250,2]]"	[]	[]	[]	20660	兵娘实验室	"[460,180]"	[]	"[104001,104002,104003]"	[]
1041	再び雪山へ	H003_icon_01	雪山にはどんな秘密が隠されているのかしら？	resource/scene/xueshan/xs_bd_3.sce	2559		1005	120	500	29	1070	0	0	0	"[[11001,4111,1],[11002,1222,1],[12115,3111,1],[10048,2000,1]]"	[]	[]	0	41	"[3047,3048,3046]"	0	"[[3047,-660,2],[3047,-660,4],[3047,-662,1],[3047,-662,3],[3047,-664,5],[3046,-732,2],[3046,-744,4],[3046,174,2],[3046,173,4],[3046,180,1],[3048,327,2],[3048,325,4],[3048,329,1],[3048,1083,2],[3048,1092,4],[3047,1023,1],[3046,975,2],[3046,984,4],[3046,966,1]]"	[]	[]	[]	21232	诡秘森林	"[72,160]"	"[[122,172],[150,195]]"	"[104101,104102,104103]"	[]
1042	証拠隠滅	H011_icon_01	解明までもうあと一歩……	resource/scene/xueshan/xs_bd_3.sce	2559		1005	120	500	29	1041	0	0	0	"[[11001,4111,1],[11002,1222,1],[12107,3111,1]]"	[]	[]	0	42	"[3073,3072]"	0	"[[3072,-652,2],[3072,-654,4],[3072,-654,1],[3072,-650,3],[3072,-655,5],[3072,-710,2],[3072,-714,4],[3072,-712,1],[3072,-714,3],[3072,-717,5],[3072,972,2],[3072,982,4],[3072,989,1],[3072,996,3],[3072,1011,5],[3073,128,2],[3073,130,4],[3073,132,1],[3073,133,3],[3073,130,5],[3073,176,2],[3073,178,4],[3073,178,1],[3073,1068,2],[3073,1076,4],[3073,1083,1],[3073,1076,3]]"	[]	[]	[]	21828	兵娘实验室	"[200,420]"	"[[184,265],[195,303]]"	"[104201,104202,104203]"	[]
1043	オルガ·フェリヤ	H016_icon_01	敵の目的は何なのか？	resource/scene/xueshan/xs_xd_3.sce	2559		1005	120	500	29	1042	0	0	0	"[[11001,4111,1],[11002,1222,1],[12111,3111,1]]"	[]	[]	0	43	"[3061,3063,3049]"	0	"[[3063,-710,2],[3049,-719,4],[3061,-600,2],[3063,174,2],[3063,178,4],[3063,173,1],[3061,255,2],[3061,1092,2],[3049,1016,4],[3049,1023,1],[3049,1002,3]]"	[]	[]	[]	22447	诡秘森林	"[455,415]"	"[[220,374],[237,410]]"	"[104301,104302,104303]"	[]
1044	合流	H004_icon_01	こんな事もあろうかと……	resource/scene/xueshan/xs_xd_3.sce	2559		1005	120	500	29	1043	0	0	0	"[[11001,4111,1],[11002,1222,1],[12201,3111,1]]"	[]	[]	0	44	"[3056,3052]"	0	"[[3056,-688,2],[3056,-693,4],[3056,-695,1],[3052,-590,2],[3052,-594,4],[3052,265,2],[3052,267,4],[3052,269,1],[3056,188,2],[3056,197,4],[3056,1040,2],[3056,1056,4],[3056,1062,1],[3052,1105,2],[3052,1116,4],[3052,1121,1]]"	[]	[]	[]	23067	兵娘实验室	"[738,345]"	"[[278,476],[310,499]]"	"[104401,104402,104403]"	[]
1045	入り口	H023_icon_01	ふわふわで、\nまるで綿あめみたいな雪だわ	resource/scene/yanjiusuo/yjs_13_2.sce	1706		1005	120	500	29	1044	0	0	0	"[[11001,4111,1],[11002,1222,1],[12202,3111,1]]"	[]	[]	0	45	"[3034,3045,3044]"	0	"[[3044,-237,2],[3044,-283,4],[3044,-234,1],[3044,-283,3],[3044,-283,5],[3045,557,2],[3045,562,4],[3045,569,1],[3034,648,2]]"	[]	[]	[]	23667	诡秘森林	"[748,165]"	"[[387,472],[415,445]]"	"[104501,104502,104503]"	[]
1046	警報	H007_icon_01	逃げ道がないのなら、\n前進あるのみ！	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1005	120	500	29	1045	0	0	0	"[[11001,4111,1],[11002,1222,1],[12114,3111,1]]"	[]	[]	0	46	"[3046,3052,3050]"	0	"[[3046,-684,2],[3046,-683,4],[3046,-683,1],[3052,-535,2],[3052,-540,4],[3052,-542,1],[3052,265,2],[3052,272,4],[3052,277,1],[3052,277,3],[3052,267,5],[3052,1086,2],[3052,1093,4],[3052,1097,1],[3052,1100,3],[3052,1109,5],[3050,159,2],[3050,162,4],[3050,164,1],[3050,997,2],[3050,1008,4],[3050,1013,1]]"	[]	[]	[]	24312	兵娘实验室	"[558,60]"	"[[470,385],[494,355]]"	"[104601,104602,104603]"	[]
1047	立つ鳥跡を……	H005_icon_01	次からは予約を入れておいてね	resource/scene/yanjiusuo/yjs_321_3.sce	2559		1005	120	500	29	1046	0	0	0	"[[11001,4111,1],[11002,1222,1],[12203,3111,1]]"	[]	[]	0	47	"[3058,3056,3038,3063,3035]"	0	"[[3056,-726,2],[3058,-604,2],[3058,-612,4],[3063,173,2],[3063,174,4],[3063,176,1],[3035,289,2],[3038,240,4],[3038,248,1],[3038,1002,2],[3038,1011,4],[3038,1021,1],[3035,1092,2],[3035,1110,4]]"	[]	[]	[]	24971	诡秘森林	"[225,60]"	"[[545,297],[574,270]]"	"[104701,104702,104703]"	[]
