number	string	number	string	string	string	string	number	number	number	string	number	number	string	number	string	number	number	number
120	120	1	Buff_201_cast	Buff_202_cast		暴击、闪避	11	6	0	0.4+0.005*%d	8	0	0.4+0.005*%d	0	0	1	10	1
121	121	1	Buff_201_cast	Buff_202_cast		暴击、闪避	11	6	0	0.4+0.005*%d	8	0	0.4+0.005*%d	0	0	1	20	1
122	122	1	Buff_201_cast			暴击提升	11	6	0	0.1	0	0	0	0	0	1	3	1
123	123	1	Buff_201_cast			暴击提升	11	6	0	0.15	0	0	0	0	0	1	5	1
124	124	3				自身吸血	13	0	0	0	0	0	0	10	0.3+0.004*%d	1	999	5
125	125	3				自身吸血	13	0	0	0	0	0	0	10	0.35+0.004*%d	1	999	5
126	126	1	Buff_201_cast			暴击不断提高	11	6	0	0.05+0.001*%d	0	0	0	0	0	250	999	1
127	127	1	Buff_201_cast			暴击不断提高	11	6	0	0.05+0.001*%d	0	0	0	0	0	250	999	1
128	128	2		Buff_513_fire		混乱	3	0	0	0	0	0	0	7	0	1	2	5
129	129	2		Buff_513_fire		混乱	3	0	0	0	0	0	0	7	0	1	3	5
130	130	2		Buff_503_fire		眩晕	8	0	0	0	0	0	0	2	0	1	1.5	5
131	131	2		Buff_503_fire		眩晕	8	0	0	0	0	0	0	2	0	1	2.5	5
132	132	3	Buff_303_cast			火系伤害光环	6	0	0	0	0	0	0	202	0.05+0.001*%d	1	999	5
133	133	3	Buff_303_cast			火系伤害光环	6	0	0	0	0	0	0	202	0.1+0.001*%d	1	999	5
134	134	3		Buff_503_fire		眩晕3秒	8	0	0	0	0	0	0	2	0	1	3	5
135	135	3		Buff_503_fire		眩晕3秒	8	0	0	0	0	0	0	2	0	1	3	5
136	136	3		Buff_503_fire		眩晕1s	8	0	0	0	0	0	0	2	0	1	3	5
137	137	3		Buff_503_fire		眩晕1s	8	0	0	0	0	0	0	2	0	1	5	5
138	138	1	Buff_103_cast			技攻+	14	2	0	0.06+0.002*%d	0	0	0	0	0	1	999	5
139	139	1	Buff_103_cast			技攻+	14	2	0	0.09+0.002*%d	0	0	0	0	0	1	999	5
140	140	3		Buff_503_fire		眩晕	8	0	0	0	0	0	0	2	0	1	1.5	5
141	141	3		Buff_503_fire		眩晕	8	0	0	0	0	0	0	2	0	1	2	5
142	142	3	Buff_302_cast			无系伤害+	6	0	0	0	0	0	0	200	0.25	1	10	2
143	143	3	Buff_302_cast			无系伤害+	6	0	0	0	0	0	0	200	0.35	1	10	2
144	144	3				吸血	13	0	0	0	0	0	0	10	0.15	1	1	5
145	145	3				回血	13	5	1	100+10*%d	0	0	0	0	0	1	1	5
146	146	1	Buff_204_cast			获得满怒气值	19	10	1	100	0	0	0	0	0	1	1	5
147	147	1	Buff_204_cast			获得满怒气值	19	10	1	200	0	0	0	0	0	1	1	5
148	148	3				致盲1.5s	20	0	0	0	0	0	0	6	0	1	1.5	5
149	149	3				致盲1.5s	20	0	0	0	0	0	0	6	0	1	1.5	5
150	150	1	Buff_204_cast			获得怒气	19	10	1	60+1*%d	0	0	0	0	0	1	1	5
151	151	1	Buff_204_cast			获得怒气	19	10	1	60+1*%d	0	0	0	0	0	1	1	5
152	152	2	Buff_209_cast			减少怒气	19	10	1	-10-%d	0	0	0	0	0	1	1	5
153	153	2	Buff_209_cast			减少怒气	19	10	1	-10-%d	0	0	0	0	0	1	1	5
154	154	2	Buff_112_cast			降低双防	1	3	0	-0.12	4	0	-0.05	0	0	1	30	3
155	155	3	Buff_316_cast			风属性伤害加深	17	0	0	0	0	0	0	101	0.1	1	60	5
156	156	3	Buff_314_cast			火属性伤害加深	17	0	0	0	0	0	0	102	0.1	1	60	5
157	157	3	Buff_313_cast			水属性伤害加深	17	0	0	0	0	0	0	103	0.1	1	60	5
158	158	3				土属性伤害加深	17	0	0	0	0	0	0	104	0.1	1	60	5
159	159	2	Buff_112_cast			降低双防	1	3	0	-0.18	4	0	-0.08	0	0	1	30	3
160	160	3	Buff_316_cast			风属性伤害加深	17	0	0	0	0	0	0	101	0.1	1	60	5
161	161	3	Buff_314_cast			火属性伤害加深	17	0	0	0	0	0	0	102	0.1	1	60	5
162	162	3	Buff_313_cast			水属性伤害加深	17	0	0	0	0	0	0	103	0.1	1	60	5
163	163	3				土属性伤害加深	17	0	0	0	0	0	0	104	0.1	1	60	5
164	164	3	Buff_112_cast			降低双防	1	3	0	-0.2-0.01*%d	4	0	-0.2-0.01*%d	0	0	1	5	5
165	165	3	Buff_112_cast			降低双防	1	3	0	-0.2-0.01*%d	4	0	-0.2-0.01*%d	0	0	1	5	5
166	166	3	Buff_103_cast			增加技攻	1	2	0	0.1+0.0015*%d	0	0	0	0	0	1	999	5
167	167	3	Buff_103_cast			增加技攻	1	2	0	0.15+0.0015*%d	0	0	0	0	0	1	999	5
168	168	1	Buff_308_cast			风系防御+	17	0	0	0	0	0	0	101	-0.03-0.001*%d	1	20	3
169	169	1	Buff_308_cast			风系防御+	17	0	0	0	0	0	0	101	-0.03-0.001*%d	1	20	5
170	170	1	Buff_105_cast			提升双攻	22	1	0	0.1+0.002*%d	2	0	0.1+0.002*%d	0	0	1	999	5
171	171	1	Buff_105_cast			提升双攻	22	1	0	0.1+0.002*%d	2	0	0.1+0.002*%d	0	0	1	999	5
172	172	1	Buff_301_cast			风伤-	6	0	0	0	0	0	0	201	0.05	1	20	3
173	173	1	Buff_301_cast			风伤-	6	0	0	0	0	0	0	201	0.1	1	20	3
174	174	1	Buff_201_cast			提升暴击	11	6	0	0.5	0	0	0	0	0	1	3	1
175	175	1	Buff_201_cast			提升暴击	11	6	0	1	0	0	0	0	0	1	3	1
176	176	1	Buff_201_cast			提升暴击	11	6	0	0.05+0.002*%d	0	0	0	0	0	1	999	5
177	177	1	Buff_201_cast			提升暴击	11	6	0	0.08+0.002*%d	0	0	0	0	0	1	999	5
178	178	1				回血	4	5	0	1.1+0.011*%d	0	0	0	0	0	1	1	3
179	179	1				回血加技防	4	5	0	1.1+0.011*%d	4	0	0.1	0	0	1	10	3
180	180	2	Buff_107_cast			降低体术	9	1	0	-0.05	0	0	0	0	0	1	15	3
181	181	2	Buff_107_cast			降低体术	9	1	0	-0.1	0	0	0	0	0	1	15	3
182	182	2	Buff_304_cast			水属伤害提升	6	0	0	0	0	0	0	203	0.03+0.001*%d	1	10	4
183	183	2	Buff_304_cast			水属伤害提升	6	0	0	0	0	0	0	203	0.03+0.001*%d	1	10	4
184	184	2		Buff_505_fire		驱散	25	0	0	0	0	0	0	14	0	1	1	5
185	185	2		Buff_505_fire		驱散	25	0	0	0	0	0	0	14	0	1	1	5
186	186	2	Buff_109_cast			减技攻	9	2	0	-0.1	0	0	0	0	0	1	60	2
187	187	2	Buff_312_cast			水属性伤害降低	6	0	0	0	0	0	0	203	-0.1	1	60	2
188	188	2	Buff_109_cast			减技攻	9	2	0	-0.15	0	0	0	0	0	1	60	2
189	189	2	Buff_312_cast			水属性伤害降低	6	0	0	0	0	0	0	203	-0.15	1	60	2
190	190	3	Buff_102_cast			防御+	2	3	0	0.03	0	0	0	0	0	1	5	3
191	191	3	Buff_106_cast			双防+	1	3	0	0.03	4	0	0.03	0	0	1	5	3
192	192	3	Buff_310_cast			无系伤害降低光环	6	0	0	0	0	0	0	200	-0.1	1	999	5
193	193	3	Buff_310_cast			无系伤害降低光环	6	0	0	0	0	0	0	200	-0.1	1	999	5
194	194	2		Buff_518_fire		沉默	15	0	0	0	0	0	0	8	0	1	5	5
195	195	2		Buff_513_fire		混乱	3	0	0	0	0	0	0	7	0	1	5	5
196	196	1	Buff_202_cast			增加闪避	28	8	0	0.15+0.002*%d	0	0	0	0	0	1	3	5
197	197	1	Buff_202_cast			增加闪避	28	8	0	0.15+0.002*%d	0	0	0	0	0	1	3	5
198	198	1				闪避加怒气	29	0	0	0	0	0	0	15	20	1	3	5
199	199	1				闪避加怒气	29	0	0	0	0	0	0	15	20	1	3	5
200	200	3	Buff_309_cast			风伤-	6	0	0	0	0	0	0	201	-0.1-0.001*%d	1	999	5
201	201	3	Buff_309_cast			风伤-	6	0	0	0	0	0	0	201	-0.1-0.001*%d	1	999	5
202	202	3		Buff_503_fire		眩晕	8	0	0	0	0	0	0	2	0	1	3	5
203	203	3		Buff_503_fire		眩晕	8	0	0	0	0	0	0	2	0	1	5	5
204	204	1	Buff_104_cast			技防不断提升	5	4	0	0.06+0.0012*%d	0	0	0	0	0	180	999	1
205	205	1	Buff_104_cast			技防不断提升	5	4	0	0.06+0.0012*%d	0	0	0	0	0	180	999	1
206	206	1	Buff_103_cast			技能攻击提高	9	2	0	0.03+0.001*%d	0	0	0	0	0	1	25	3
207	207	1	Buff_103_cast			技能攻击提高	9	2	0	0.03+0.001*%d	0	0	0	0	0	1	25	4
208	208	2				伤害	27	5	0	-0.06-%d*0.0006	0	0	0	0	0	5	10	5
209	209	2				伤害	27	5	0	-0.06-%d*0.0006	0	0	0	0	0	5	10	5
210	210	2				伤害	27	5	0	-0.08-%d*0.008	0	0	0	0	0	5	10	5
211	211	2				伤害	27	5	0	-0.1-%d*0.008	0	0	0	0	0	5	10	5
212	212	2	Buff_314_cast			火抗-	17	0	0	0	0	0	0	102	0.05	5	15	1
213	213	2	Buff_314_cast			火抗-	17	0	0	0	0	0	0	102	0.05	5	15	1
214	214	2				伤害	27	5	0	-0.03-%d*0.0003	0	0	0	0	0	4	8	5
215	215	2				伤害	27	5	0	-0.05-%d*0.0003	0	0	0	0	0	4	8	5
216	216	2	Buff_309_cast			风伤-	6	0	0	0	0	0	0	201	-0.03	10	60	2
217	217	2	Buff_309_cast			风伤-	6	0	0	0	0	0	0	201	-0.03	10	60	2
218	218	2	Buff_310_cast			无伤-	6	0	0	0	0	0	0	200	-0.03	10	60	2
219	219	2	Buff_310_cast			无伤-	6	0	0	0	0	0	0	200	-0.03	10	60	2
220	220	3	Buff_301_cast			风抗+	17	0	0	0	0	0	0	101	-0.05-%d*0.0005	1	999	1
221	221	3	Buff_301_cast			风抗+	17	0	0	0	0	0	0	101	-0.08-%d*0.0005	1	999	1
222	222	3				恢复效果提升	18	0	0	0	0	0	0	16	0.05	1	99	5
223	223	3				恢复效果提升	18	0	0	0	0	0	0	16	0.05	1	99	5
224	224	2		Buff_503_fire		眩晕3s	8	0	0	0	0	0	0	2	0	1	3	5
225	225	2		Buff_503_fire		眩晕4.5s	8	0	0	0	0	0	0	2	0	1	4.5	5
226	226	2	Buff_112_cast			降低双防	1	3	0	-0.06	4	0	-0.06	0	0	1	25	3
227	227	2	Buff_112_cast			降低双防	1	3	0	-0.12	4	0	-0.12	0	0	1	25	3
228	228	1	Buff_201_cast			提升暴击	12	6	0	0.05+0.001*%d	0	0	0	0	0	1	4	3
229	229	1	Buff_201_cast			提升暴击	12	6	0	0.05+0.001*%d	0	0	0	0	0	1	6	3
230	230	1	Buff_101_cast			提升普通攻击力	9	1	0	0.15+0.002*%d	0	0	0	0	0	1	4	3
231	231	1	Buff_101_cast			提升普通攻击力	9	1	0	0.15+0.002*%d	0	0	0	0	0	1	6	3
232	232	1				加血、加免伤	4	5	0	0.16+0.0016*%d	0	0	0	0	0	5	5	5
233	233	1				加血、加免伤	4	5	0	0.16+0.0016*%d	0	0	0	0	0	5	5	5
234	234	1	Buff_102_cast			提升防御	2	3	0	0.4	0	0	0	0	0	1	5	1
235	235	1				恢复生命百分比	4	5	0	1.1+0.011*%d	0	0	0	0	0	1	1	5
236	236	1				恢复生命百分比	4	5	0	1.1+0.011*%d	0	0	0	0	0	1	1	5
237	237	1	Buff_106_cast			提升双防	1	3	0	0.15	4	0	0.15	0	0	1	3	2
238	238	1	Buff_106_cast			提升双防	1	3	0	0.15	4	0	0.15	0	0	1	5	2
239	239	1				回血	4	5	0	0.12	0	0	0	0	0	1	1	5
240	240	1				回血	4	5	0	0.2	0	0	0	0	0	1	1	5
241	241	3	Buff_311_cast			火系伤害降低光环	6	0	0	0	0	0	0	202	-0.1-0.001*%d	1	999	5
242	242	3	Buff_311_cast			火系伤害降低光环	6	0	0	0	0	0	0	202	-0.1-0.001*%d	1	999	5
243	243	3	Buff_309_cast			风伤-	6	0	0	0	0	0	0	201	-0.1-0.001*%d	1	999	5
244	244	1	Buff_202_cast			增加闪避	28	8	1	88	0	0	0	0	0	1	999	5
245	245	1	Buff_202_cast			增加闪避	28	8	1	88	0	0	0	0	0	1	999	5
246	246	2		Buff_518_fire		沉默	15	0	0	0	0	0	0	8	0	1	2	5
247	247	2		Buff_518_fire		沉默	15	0	0	0	0	0	0	8	0	1	4	5
248	248	1	Buff_202_cast			增加闪避	28	8	0	0.2+0.005*%d	0	0	0	0	0	1	999	5
249	249	1	Buff_202_cast			增加闪避	28	8	0	0.2+0.005*%d	0	0	0	0	0	1	999	5
250	250	1	Buff_106_cast			增加双防	1	3	0	0.03+0.002*%d	4	0	0.03+0.002*%d	0	0	1	20	5
251	251	1	Buff_106_cast			增加双防	1	3	0	0.03+0.002*%d	4	0	0.03+0.002*%d	0	0	1	20	5
252	252	2	Buff_209_cast			不得怒气	24	0	0	0	0	0	0	11	0	1	3	5
253	253	2	Buff_209_cast			不得怒气	24	0	0	0	0	0	0	11	0	1	5	5
254	254	2	Buff_209_cast			不得怒气	24	0	0	0	0	0	0	11	0	1	3	5
255	255	2	Buff_209_cast			不得怒气	24	0	0	0	0	0	0	11	0	1	3	5
256	256	3				回血	4	5	0	0.2	0	0	0	0	0	1	1	5
257	257	3				回血	4	5	0	0.5	0	0	0	0	0	1	1	5
258	258	3				吸血	13	0	0	0	0	0	0	10	0.1+0.002*%d	1	999	5
259	259	3				吸血	13	0	0	0	0	0	0	10	0.1+0.002*%d	1	999	5
260	260	1	Buff_203_cast			免伤提升	30	12	1	0.6	0	0	0	0	0	1	2.5	1
261	261	1	Buff_203_cast			免伤提升	30	12	1	0.9	0	0	0	0	0	1	2.5	1
262	262	1				回血	4	5	0	0.6+0.006*%d	0	0	0	0	0	1	1	5
263	263	1				回血	4	5	0	0.6+0.006*%d	0	0	0	0	0	1	1	5
264	264	2				回血驱散	4	5	0	0.8+0.008*%d	0	0	0	14	0	1	1	5
265	265	1				回血驱散	4	5	0	0.8+0.008*%d	0	0	0	14	0	1	1	5
266	266	2				免疫	25	0	0	0	0	0	0	5	0	1	5	5
267	267	1				免疫	25	0	0	0	0	0	0	5	0	1	8	5
268	268	3				反伤光环	32	0	0	0	0	0	0	17	0.05+0.001*%d	1	999	5
269	269	3				反伤光环	32	0	0	0	0	0	0	17	0.05+0.001*%d	1	999	5
270	270	3	Buff_204_cast			获得怒气	16	10	1	30	0	0	0	0	0	1	1	5
271	271	3	Buff_204_cast			获得怒气	16	10	1	30	0	0	0	0	0	1	1	5
272	272	2	Buff_313_cast			水系抗性-0.1	17	0	0	0	0	0	0	103	0.1	1	3	5
273	273	2	Buff_313_cast			水系抗性-0.1	17	0	0	0	0	0	0	103	0.1	1	3	5
274	274	2		Buff_503_fire		眩晕1s	8	0	0	0	0	0	0	2	0	1	1	5
275	275	2		Buff_503_fire		眩晕1s	8	0	0	0	0	0	0	2	0	1	1	5
276	276	2	Buff_112_cast			双防-0.05	1	3	0	-0.05	4	0	-0.05	0	0	1	3	4
277	277	2	Buff_112_cast			双防-0.05	1	3	0	-0.05	4	0	-0.05	0	0	1	3	4
278	278	3				伤害	27	5	0	-0.15-0.001*%d	0	0	0	0	0	1	1	5
279	279	3				伤害	27	5	0	-0.15-0.001*%d	0	0	0	0	0	1	1	5
280	280	3				回血	4	5	0	0.05+0.001*%d	0	0	0	0	0	1	1	5
281	281	3				回血	4	5	0	0.1+0.001*%d	0	0	0	0	0	1	1	5
282	282	3		Buff_106_cast		双防+	1	3	0	0.1+0.001*%d	4	0	0.1+0.001*%d	0	0	1	999	5
283	283	3		Buff_106_cast		双防+	1	3	0	0.1+0.001*%d	4	0	0.1+0.001*%d	0	0	1	999	5
284	284	3	Buff_308_cast			风系抗性+0.1	17	0	0	0	0	0	0	101	-0.1	1	999	5
285	285	3	Buff_308_cast			风系抗性+0.1	17	0	0	0	0	0	0	101	-0.1	1	999	5
286	286	3	Buff_306_cast			火系抗性+0.1	17	0	0	0	0	0	0	102	-0.1	1	999	5
287	287	3	Buff_306_cast			火系抗性+0.1	17	0	0	0	0	0	0	102	-0.1	1	999	5
288	288	3		Buff_305_cast		水系抗性+0.1	17	0	0	0	0	0	0	103	-0.1	1	999	5
289	289	3		Buff_305_cast		水系抗性+0.1	17	0	0	0	0	0	0	103	-0.1	1	999	5
290	290	3	Buff_307_cast			无系抗性+0.1	17	0	0	0	0	0	0	100	-0.1	1	999	5
291	291	3	Buff_307_cast			无系抗性+0.1	17	0	0	0	0	0	0	100	-0.1	1	999	5
292	292	3	Buff_304_cast			水系伤害+0.2	6	0	0	0	0	0	0	203	0.2	1	999	5
293	293	2				治疗效果-	18	0	0	0	0	0	0	16	-0.1	1	20	1
294	294	2				治疗效果-	18	0	0	0	0	0	0	16	-0.15	1	20	1
295	295	2	Buff_315_cast			无抗-	17	0	0	0	0	0	0	100	0.6	1	30	1
296	296	2	Buff_315_cast			无抗-	17	0	0	0	0	0	0	100	0.8	1	30	1
297	297	2				治疗效果-	18	0	0	0	0	0	0	16	-0.15	1	10	2
298	298	2				治疗效果-	18	0	0	0	0	0	0	16	-0.25	1	10	2
299	299	2	Buff_108_cast			物防-	1	3	0	-0.02-0.0007*%d	0	0	0	0	0	1	30	5
300	300	2	Buff_108_cast			物防-	1	3	0	-0.035-0.0007*%d	0	0	0	0	0	1	30	5
301	301	3	Buff_306_cast			火抗+	17	0	0	0	0	0	0	102	-0.08-0.001*%d	1	999	1
302	302	3	Buff_306_cast			火抗+	17	0	0	0	0	0	0	102	-0.12-0.001*%d	1	999	1
303	303	1	Buff_303_cast			火伤+	6	0	0	0	0	0	0	202	0.25	1	10	2
304	304	1	Buff_303_cast			火伤+	6	0	0	0	0	0	0	202	0.35	1	10	2
305	305	1	Buff_103_cast			技攻+	14	2	0	0.05	0	0	0	0	0	1	15	2
306	306	2	Buff_309_cast			风伤-	6	0	0	0	0	0	0	201	-0.03-0.001*%d	1	15	2
307	307	2	Buff_309_cast			风伤-	6	0	0	0	0	0	0	201	-0.03-0.001*%d	1	15	2
308	308	2		Buff_518_fire		沉默5s	15	0	0	0	0	0	0	8	0	1	5	5
309	309	2		Buff_518_fire		沉默5s	15	0	0	0	0	0	0	8	0	1	5	5
310	310	2				治疗效果-	18	0	0	0	0	0	0	16	-0.1	1	5	1
311	311	2	Buff_108_cast			物防-	1	3	0	-0.04	0	0	0	0	0	1	25	4
312	312	1	Buff_102_cast			物防+	1	3	0	0.12+0.002*%d	0	0	0	0	0	1	3	1
313	313	1	Buff_102_cast			物防+	1	3	0	0.12+0.002*%d	0	0	0	0	0	1	3	1
314	314	1	Buff_204_cast			怒气+	16	10	1	10	0	0	0	0	0	3	3	1
315	315	1	Buff_204_cast			怒气+	16	10	1	10	0	0	0	0	0	3	3	1
316	316	3	Buff_101_cast			攻击+	9	1	0	0.08+0.001*%d	0	0	0	0	0	1	999	1
317	317	3	Buff_101_cast			攻击+	9	1	0	0.03+0.001*%d	0	0	0	0	0	1	999	1
318	318	3	Buff_101_cast			攻击+	9	1	0	0.05	0	0	0	0	0	1	999	1
319	319	3	Buff_312_cast			水伤-	6	0	0	0	0	0	0	203	-0.06-0.001*%d	1	999	1
320	320	3	Buff_312_cast			水伤-	6	0	0	0	0	0	0	203	-0.06-0.001*%d	1	999	1
321	321	3	Buff_311_cast			火伤-	6	0	0	0	0	0	0	202	-0.06-0.001*%d	1	999	1
322	322	3	Buff_103_cast			技攻提升	14	2	1	100	0	0	0	0	0	1	999	5
323	323	3	Buff_103_cast			技攻提升	14	2	1	100	0	0	0	0	0	1	999	5
324	324	1				恢复生命	4	5	0	0.05	0	0	0	0	0	6	10	5
325	325	1				恢复生命	4	5	0	0.05	0	0	0	0	0	6	10	5
326	326	2				致盲	20	0	0	0	0	0	0	6	0	1	3	5
327	327	2		Buff_519_fire		中毒	27	5	1	-50	0	0	0	0	0	4	6	5
328	328	1				回血	4	5	1	30	0	0	0	0	0	1	1	5
329	329	2		Buff_503_fire		眩晕	8	0	0	0	0	0	0	2	0	1	3	5
330	330	2		Buff_513_fire		混乱	3	0	0	0	0	0	0	7	0	1	3	5
331	331	1		Buff_505_fire		驱散debuff	25	0	0	0	0	0	0	14	0	1	1	5
332	332	1				回复生命	4	5	1	100	0	0	0	0	0	1	1	5
333	333	1				回复生命	4	5	1	100	0	0	0	0	0	1	1	5
334	334	3				反伤光环	32	0	0	0	0	0	0	17	0.2	1	999	5
335	335	2	Buff_312_cast			水属性伤害降低	6	0	0	0	0	0	0	203	-0.06-0.002*%d	1	15	3
336	336	2	Buff_312_cast			水属性伤害降低	6	0	0	0	0	0	0	203	-0.06-0.002*%d	1	15	3
337	337	1				加血效果提升	18	0	0	0	0	0	0	16	0.15	1	20	5
338	338	1		Buff_505_fire		驱除	25	0	0	0	0	0	0	14	0	1	1	5
339	339	3	Buff_312_cast			水伤降低光环	6	0	0	0	0	0	0	203	-0.05	1	1	5
340	340	2	Buff_108_cast			降低防御	1	3	0	-0.05	0	0	0	0	0	1	25	3
341	341	3	Buff_202_cast			增加闪避	28	8	0	0.1+0.001*%d	0	0	0	0	0	1	999	5
342	342	3	Buff_202_cast			增加闪避	28	8	0	0.05	0	0	0	0	0	1	999	5
344	344	3	Buff_310_cast			无系伤害降低光环	6	0	0	0	0	0	0	200	-0.1-0.001*%d	1	999	5
345	345	1	Buff_201_cast			暴击提升	12	6	0	0.4	0	0	0	0	0	1	3	1
346	346	1	Buff_201_cast			暴击提升	12	6	0	0.6	0	0	0	0	0	1	3	1
347	347	2		Buff_518_fire		沉默5	15	0	0	0	0	0	0	8	0	1	5	5
348	348	2				点燃5-200	27	5	1	-200	0	0	0	0	0	5	5	5
349	349	2		Buff_518_fire		沉默5	15	0	0	0	0	0	0	8	0	1	5	5
350	350	2	Buff_209_cast			不得怒气	24	0	0	0	0	0	0	11	0	1	5	5
351	351	2		Buff_503_fire		眩晕	8	0	0	0	0	0	0	2	0	1	2	5
352	352	1				回血	4	5	0	0.12	0	0	0	0	0	1	1	5
353	353	2				点燃5-200	27	5	1	-200	0	0	0	0	0	5	5	5
354	354	1				回血、加暴击	4	5	0	0.6	6	1	30	0	0	1	5	5
355	355	1				回血0.1	4	5	0	0.1	0	0	0	0	0	1	1	5
356	356	2		Buff_513_fire		混乱3s	3	0	0	0	0	0	0	7	0	1	3	5
357	357	2	Buff_107_cast			体术-15、防御-20、10s	9	1	0	-0.15	3	0	-0.2	0	0	1	10	5
358	358	2		Buff_519_fire		中毒5-250	27	5	1	-250	0	0	0	0	0	5	5	5
359	359	1				回血0.1	4	5	0	0.1	0	0	0	0	0	1	1	5
360	360	1	Buff_202_cast			闪避5-30	28	8	1	30	0	0	0	0	0	1	5	5
361	361	2		Buff_520_fire		点燃5-260	27	5	1	-260	0	0	0	0	0	5	5	5
362	362	2	Buff_209_cast			减怒气200	19	10	1	-200	0	0	0	0	0	1	1	5
363	363	1				回血0.2	4	5	0	0.2	0	0	0	0	0	1	1	5
364	364	2	Buff_209_cast			怒气-40	19	10	1	-40	0	0	0	0	0	1	1	5
365	365	2		Buff_518_fire		沉默3	15	0	0	0	0	0	0	8	0	1	3	5
366	366	2		Buff_503_fire		眩晕3	8	0	0	0	0	0	0	2	0	1	3	5
367	367	1	Buff_102_cast			防御+1000-2s	1	3	1	1000	0	0	0	0	0	1	2	5
368	368	1	Buff_104_cast			技防+1000-2s	1	4	1	1000	0	0	0	0	0	1	2	5
369	369	2		Buff_520_fire		点燃5-280	27	5	1	-280	0	0	0	0	0	5	5	5
370	370	2		Buff_520_fire		点燃5-260	27	5	1	-260	0	0	0	0	0	5	5	5
371	371	2		Buff_520_fire		点燃5-280	27	5	1	-280	0	0	0	0	0	5	5	5
372	372	1	Buff_105_cast			双攻+5-15	9	1	0	0.05	2	0	0.05	0	0	1	15	5
373	373	2		Buff_503_fire		眩晕3	8	0	0	0	0	0	0	2	0	1	3	5
374	374	1	Buff_106_cast			双防+5-15	1	3	0	0.05	4	0	0.05	0	0	1	15	5
375	375	2		Buff_520_fire		点燃5-280	27	5	1	-280	0	0	0	0	0	5	5	5
376	376	2		Buff_520_fire		伤害200	27	5	1	-200	0	0	0	0	0	1	1	5
377	377	2		Buff_520_fire		伤害500	27	5	1	-500	0	0	0	0	0	1	1	5
378	378	2				伤害0.4	27	5	0	-0.4	0	0	0	0	0	1	1	5
379	379	1				回血0.2	4	5	0	0.2	0	0	0	0	0	1	1	5
380	380	2		Buff_503_fire		眩晕3	8	0	0	0	0	0	0	2	0	1	3	5
381	381	1	Buff_102_cast			防御+1000-2s	1	3	1	1000	0	0	0	0	0	1	2	5
382	382	1	Buff_104_cast			技防+1000-2s	1	4	1	1000	0	0	0	0	0	1	2	5
383	383	1	Buff_101_cast			体术+0.2-5	9	1	0	0.2	0	0	0	0	0	1	5	5
384	384	1				回血0.2	4	5	0	0.2	0	0	0	0	0	1	1	5
385	385	2		Buff_519_fire		中毒5-260	27	5	1	-260	0	0	0	0	0	5	5	5
386	386	1	Buff_204_cast			怒气+100	19	10	1	100	0	0	0	0	0	1	1	5
387	387	2		Buff_519_fire		中毒5-260	27	5	1	-260	0	0	0	0	0	5	5	5
