number	array	number	number	number	array	number	number	array	number	number	array
70	"[51,70]"	8	2050	1000	"[10,10]"	2250	1000	"[10,10]"	0	0	[]
71	"[51,70]"	9	910	1000	"[3,3]"	0	0	[]	0	0	[]
72	"[51,70]"	50	730	0	"[3,3]"	800	0	"[3,3]"	0	0	[]
73	"[51,70]"	11	0	0	[]	0	0	[]	1175	0	"[1,1]"
74	"[51,70]"	12	0	0	[]	0	0	[]	0	0	[]
75	"[51,70]"	13	0	0	[]	0	0	[]	950	0	"[1,1]"
76	"[51,70]"	14	0	0	[]	0	0	[]	1300	0	"[1,2]"
77	"[51,70]"	15	0	0	[]	0	0	[]	100	0	"[1,2]"
78	"[51,70]"	16	0	0	[]	0	0	[]	1000	0	"[1,2]"
79	"[51,70]"	17	0	0	[]	0	0	[]	4400	0	"[1,2]"
80	"[51,70]"	18	0	0	[]	0	0	[]	0	0	[]
81	"[51,70]"	19	0	0	[]	0	0	[]	0	0	[]
82	"[51,70]"	20	0	0	[]	0	0	[]	0	0	[]
83	"[51,70]"	21	0	0	[]	0	0	[]	0	0	[]
84	"[51,70]"	22	0	0	[]	0	0	[]	0	0	[]
85	"[51,70]"	23	0	0	[]	0	0	[]	0	0	[]
86	"[51,70]"	24	0	0	[]	0	0	[]	0	0	[]
87	"[51,70]"	25	0	0	[]	0	0	[]	0	0	[]
88	"[51,70]"	26	0	0	[]	0	0	[]	0	0	[]
89	"[51,70]"	27	0	0	[]	0	0	[]	0	0	[]
90	"[51,70]"	28	0	0	[]	0	0	[]	0	0	[]
91	"[51,70]"	29	0	0	[]	0	0	[]	0	0	[]
92	"[51,70]"	30	0	0	[]	0	0	[]	0	0	[]
93	"[51,70]"	31	0	0	[]	0	0	[]	0	0	[]
94	"[71,100]"	1	1360	1000	"[3,3]"	1500	1000	"[3,3]"	300	500	"[1,2]"
95	"[71,100]"	2	730	1000	"[3,3]"	800	1000	"[3,3]"	600	500	"[1,2]"
96	"[71,100]"	3	450	1000	"[3,3]"	500	1000	"[3,3]"	175	0	"[1,1]"
97	"[71,100]"	4	1360	1000	"[3,3]"	1500	1000	"[3,3]"	0	0	[]
98	"[71,100]"	5	1730	1000	"[6,6]"	1900	1000	"[6,6]"	0	0	[]
99	"[71,100]"	6	40	1000	"[10,10]"	50	1000	"[10,10]"	0	0	[]
100	"[71,100]"	7	640	1000	"[10,10]"	700	1000	"[10,10]"	0	0	[]
101	"[71,100]"	8	2050	1000	"[10,10]"	2250	1000	"[10,10]"	0	0	[]
102	"[71,100]"	9	910	1000	"[3,3]"	0	0	[]	0	0	[]
103	"[71,100]"	50	730	0	"[3,3]"	800	0	"[3,3]"	0	0	[]
104	"[71,100]"	11	0	0	[]	0	0	[]	1175	0	"[1,1]"
105	"[71,100]"	12	0	0	[]	0	0	[]	0	0	[]
106	"[71,100]"	13	0	0	[]	0	0	[]	950	0	"[1,1]"
107	"[71,100]"	14	0	0	[]	0	0	[]	1300	0	"[1,2]"
108	"[71,100]"	15	0	0	[]	0	0	[]	200	0	"[1,2]"
109	"[71,100]"	16	0	0	[]	0	0	[]	600	0	"[1,2]"
110	"[71,100]"	17	0	0	[]	0	0	[]	1200	0	"[1,2]"
111	"[71,100]"	32	0	0	[]	0	0	[]	3500	0	"[1,2]"
112	"[71,100]"	18	0	0	[]	0	0	[]	0	0	[]
113	"[71,100]"	19	0	0	[]	0	0	[]	0	0	[]
114	"[71,100]"	20	0	0	[]	0	0	[]	0	0	[]
115	"[71,100]"	21	0	0	[]	0	0	[]	0	0	[]
116	"[71,100]"	22	0	0	[]	0	0	[]	0	0	[]
117	"[71,100]"	23	0	0	[]	0	0	[]	0	0	[]
118	"[71,100]"	24	0	0	[]	0	0	[]	0	0	[]
119	"[71,100]"	25	0	0	[]	0	0	[]	0	0	[]
120	"[71,100]"	26	0	0	[]	0	0	[]	0	0	[]
121	"[71,100]"	27	0	0	[]	0	0	[]	0	0	[]
122	"[71,100]"	28	0	0	[]	0	0	[]	0	0	[]
123	"[71,100]"	29	0	0	[]	0	0	[]	0	0	[]
124	"[71,100]"	30	0	0	[]	0	0	[]	0	0	[]
125	"[71,100]"	31	0	0	[]	0	0	[]	0	0	[]
