number	string	string	number	number	number	array	number	number	number	number	number	number	number	number	string	string	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	number	string	number	number	number	number	array2	array2	number	number	number
132	白兵戦術	S132	202	1	0	[]	0	0	0	0	1	0	8	8	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	133	14202	通常攻撃8回ごとに、3秒間自身の回避率を中アップし、回避成功時にはSPが増加するようになる。	0	3	0	10	[]	"[[1,196],[1,198]]"	0	1	0
133	白兵戦術	S132	202	1	0	[]	0	0	0	0	1	0	6	6	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	1	400	0	0	0	0	100	0	0	通常攻撃6回ごとに、3秒間自身の回避率を中アップし、回避成功時にはSPが増加するようになる。	0	4	0	10	[]	"[[1,197],[1,199]]"	0	1	0
134	無双飛炎刃	S134	202	1	3	"[5,1]"	1	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	135	14202	[コンボ【重傷】【転倒】→【転倒】] 敵に中ダメージを与える。	0	3	0	5	[]	[]	0	1	0
135	無双飛炎刃	S134	202	1	3	"[5,1]"	1	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【重傷】【転倒】→【転倒】] 敵に中ダメージを与え、25秒間防御と技防を4%ダウンさせる（3回重複可）。	0	4	0	5	"[[1,340]]"	[]	0	1	0
136	高貴な血脈	S136	202	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	1	0	0	0	0	0	0	100	137	14202	バトルスタート時、自身の回避率を中アップ。	0	3	0	10	[]	"[[1,341]]"	0	1	0
137	高貴な血脈	S136	202	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	バトルスタート時、味方全体の回避率を中アップ。	0	4	0	10	[]	"[[1,342]]"	0	1	0
138	百剣の頂	S138	202	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	4	0	0	0	0	0	0	0	0	0	0	0	0	0	100	139	14202	バトル開始時、全ての敵の風属性技攻が大ダウン。	0	3	0	10	"[[1,200]]"	[]	0	1	0
139	百剣の頂	S138	202	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	4	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	バトル開始時、全ての敵の風と無属性技攻が大ダウン。	0	4	0	10	"[[1,201],[1,344]]"	[]	0	1	0
140	八葉滅殺	S140	201	1	1	[]	1	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	3	400	1	0	0	0	1	1	400	0	1	1	0	100	141	14201	対象列の全ての敵に中ダメージを与え、状態を【転倒】にする。さらにスキルカードを1枚獲得する。	0	3	0	10	[]	"[[1,146]]"	0	1	0
141	八葉滅殺	S140	201	1	1	[]	1	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	3	400	1	0	0	0	1	1	400	0	1	1	0	100	0	0	対象列の全ての敵に中ダメージを与え、状態を【転倒】にする。さらにスキルカードを2枚獲得する。	0	4	0	10	[]	"[[1,147]]"	0	1	0
144	疾風連刹	S144	201	1	1	[]	2	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	145	14201	全ての敵に数回のダメージを与え、状態を【吹飛】にする。詠唱1.5秒。	0	3	0	10	[]	[]	0	1	0
145	疾風連刹	S144	201	1	1	[]	2	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	0	0	全ての敵に数回のダメージを与え、状態を【吹飛】にする。詠唱0.75秒。	0	4	0	10	[]	[]	0	1	0
142	大輪槍閃	S142	201	1	4	[2]	1	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	143	14201	[コンボ【吹飛】→【転倒】] 敵に中ダメージを与える。最大発動回数2。	0	3	0	10	[]	[]	0	1	0
143	大輪槍閃	S142	201	1	4	[2]	1	1	3	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【吹飛】→【転倒】] 敵に中ダメージを与える。最大発動回数3。	0	4	0	10	[]	[]	0	1	0
146	一触即発	S146	201	1	0	[]	0	0	0	0	1	0	1	999	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	400	0	1	1	0	100	147	14201	バトル開始後、最初の攻撃で高確率でSPを60獲得する。発動でスキルレベルがアップする。	0	3	0	10	[]	"[[0.6,150]]"	0	1	0
147	一触即発	S146	201	1	0	[]	0	0	0	0	1	0	1	999	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	400	0	1	1	0	100	0	0	バトル開始後、最初の攻撃で必ずSPを60獲得する。発動でスキルレベルがアップする。	0	4	0	10	[]	"[[1,151]]"	0	1	0
148	怒気吸収	S148	201	1	5	[13]	0	0	0	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	149	14201	攻撃を受けた時、低確率で相手のSPを10ダウンさせる。発動でスキルレベルがアップする。	0	3	0	10	"[[0.2,152]]"	[]	0	1	0
149	怒気吸収	S148	201	1	5	[13]	0	0	0	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	攻撃を受けた時、高確率で相手のSPを10ダウンさせる。発動でスキルレベルがアップする。	0	4	0	10	"[[0.4,153]]"	[]	0	1	0
150	雪月風花	S150	200	1	1	[]	5	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	3	2	0	0	0	0	0	0	0	0	100	151	14200	敵チームのHPの低い2体に中ダメージを与え、状態を【重傷】にし、3秒間のめまい効果を与える。	0	3	0	10	"[[1,134]]"	[]	0	1	0
151	雪月風花	S150	200	1	1	[]	5	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	3	3	0	0	0	0	0	0	0	0	100	0	0	敵チームのHPの低い3体に中ダメージを与え、状態を【重傷】にし、3秒間のめまい効果を与える。さらにHP回復効果を45%ダウンさせる。	0	4	0	10	"[[1,135],[1,675]]"	[]	0	1	0
152	水月鏡花	S152	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	1	0	0	0	0	0	0	0	0	0	0	100	153	14200	敵に中ダメージを与え、3秒間のめまい効果を与える。	0	3	0	10	"[[1,136]]"	[]	0	1	1
153	水月鏡花	S152	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	1	0	0	0	0	0	0	0	0	0	0	100	0	0	敵に中ダメージを与え、5秒間のめまい効果を与える。	0	4	0	10	"[[1,137]]"	[]	0	1	1
154	優雅な調べ	S154	200	1	4	[1]	5	1	1	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	155	14200	[コンボ【転倒】→【重傷】] 敵に中ダメージを与える。最大発動回数1。	0	3	0	10	[]	[]	0	1	0
155	優雅な調べ	S154	200	1	4	[1]	5	1	2	0	1	0	0	0	S121_magic_attack		1	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【転倒】→【重傷】] 敵に中ダメージを与え、20秒間HP回復効果を8%ダウンさせる（3回重複可）。最大発動回数2。	0	4	0	10	"[[1,676]]"	[]	0	1	0
156	高揚の和音	S156	200	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	157	14200	バトル開始時、味方全体の技攻を中アップさせる。	0	3	0	10	[]	"[[1,138]]"	0	1	0
157	高揚の和音	S156	200	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	0	999	0	0	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	バトル開始時、味方全体の技攻を大アップさせる。	0	4	0	10	[]	"[[1,139]]"	0	1	0
158	運命の感嘆	S158	200	1	0	[]	0	0	0	0	1	0	4	4	S121_magic_attack		1	0	999	1	1	400	1	0	0	0	0	0	0	0	0	0	0	100	159	14200	通常攻撃4回ごとに敵チームからランダムで1体に1.5秒間のめまい効果を与え、20秒間技攻を小ダウンさせる（5回重複可）。	0	3	0	10	"[[1,140],[1,471],[1,473],[1,475],[1,477]]"	[]	0	1	0
159	運命の感嘆	S158	200	1	0	[]	0	0	0	0	1	0	3	3	S121_magic_attack		1	0	999	1	1	400	1	0	0	0	0	0	0	0	0	0	0	100	0	0	通常攻撃3回ごとに敵チームからランダムで1体に2秒間のめまい効果を与え、20秒間技攻を小ダウンさせる（5回重複可）。	0	4	0	10	"[[1,141],[1,472],[1,474],[1,476],[1,478]]"	[]	0	1	0
160	一撃必殺	S160	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		2.4	0	999	0	0	0	0	0	0	0	1	1	500	0	0	0	0	100	161	14200	10秒間自身の攻撃、クリティカル率、回避率を中アップ（重複不可）。詠唱1.5秒。	0	3	0	10	[]	"[[1,120],[1,469]]"	0	1	1
161	一撃必殺	S160	200	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		2.4	0	999	0	0	0	0	0	0	0	1	1	500	0	0	0	0	100	0	0	20秒間自身の攻撃、クリティカル率、回避率を中アップ（重複不可）。詠唱0.75秒。	0	4	0	10	[]	"[[1,121],[1,470]]"	0	1	1
162	登竜	S162	200	1	2	"[1,2,3,5]"	1	1	0	0	0	0	0	0	S121_magic_attack		3.6	1	999	1	7	500	0	3	1	0	1	1	500	0	0	0	0	100	163	14200	[コンボ反撃可能] 敵チームの最もHPの低い1体に中ダメージを与え、状態を【転倒】にし、自身のクリティカル率を10%アップ。効果時間3秒。	0	3	0	5	[]	"[[1,122]]"	0	1	0
163	登竜	S162	200	1	2	"[1,2,3,5]"	1	1	0	0	0	0	0	0	S121_magic_attack		3.6	1	999	1	7	500	0	3	1	0	1	1	500	0	0	0	0	100	0	0	[コンボ反撃可能] 敵チームの最もHPの低い1体に中ダメージを与え、状態を【転倒】にし、自身のクリティカル率を10%アップ。効果時間5秒。	0	4	0	5	[]	"[[1,123]]"	0	1	0
164	天地一撃	S164	200	1	3	"[2,5]"	1	1	0	0	0	0	0	0	S121_magic_attack		3.6	1	999	1	7	500	0	3	1	0	0	0	0	0	0	0	0	100	165	14200	[コンボ【吹飛】【重傷】→【転倒】] 敵に中ダメージを与える。	0	3	0	5	[]	[]	0	1	0
165	天地一撃	S164	200	1	3	"[2,5]"	1	1	0	0	0	0	0	0	S121_magic_attack		3.6	1	999	1	7	500	0	3	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【吹飛】【重傷】→【転倒】] 敵に大ダメージを与える。	0	4	0	5	[]	[]	0	1	0
166	格闘の天賦	S166	200	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	0	0	0	0	0	0	100	167	14200	与えたダメージの一部を自身のHPに変換する。	0	3	0	10	[]	"[[1,124]]"	0	1	0
167	格闘の天賦	S166	200	1	0	[]	0	0	0	0	1	1	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	0	0	0	0	0	0	100	0	0	与えたダメージの一部を自身のHPに大幅に変換する。	0	4	0	10	[]	"[[1,125]]"	0	1	0
168	八相の奥義	S168	200	1	5	[17]	0	0	0	0.4	1	0	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	500	0	0	0	0	100	169	14200	自身のHPが40%未満の時、行動3回ごとに自身のクリティカル率を中アップ。	0	3	0	10	[]	"[[1,126]]"	0	1	0
169	八相の奥義	S168	200	1	5	[17]	0	0	0	0.5	1	0	0	0	S121_magic_attack		1	1	999	0	0	0	0	0	0	0	1	1	500	0	0	0	0	100	0	0	自身のHPが50%未満の時、行動3回ごとに自身のクリティカル率を中アップ。	0	4	0	10	[]	"[[1,127]]"	0	1	0
170	Xブレイド	S170	202	1	1	[]	3	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	2	0	0	0	0	0	0	0	0	0	0	100	171	14202	敵チームの最も近い1体に中ダメージを与え、状態を【気絶】にする。詠唱1.5秒。	0	3	0	10	[]	[]	0	1	0
171	Xブレイド	S170	202	1	1	[]	3	1	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	1	400	2	0	0	0	0	0	0	0	0	0	0	100	0	0	敵チームの最も近い1体に中ダメージを与え、状態を【気絶】にする。詠唱0.75秒。	0	4	0	10	[]	[]	0	1	0
172	Pビット	S172	202	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	173	14202	全ての敵に中ダメージを与え、2秒間の混乱効果を与える。	1	3	0	10	"[[1,128]]"	[]	0	1	1
173	Pビット	S172	202	1	0	[]	0	0	0	0	0	0	0	0	S121_magic_attack		4.8	1	999	1	7	400	0	0	5	0	0	0	0	0	0	0	0	100	0	0	全ての敵に中ダメージを与え、3秒間の混乱効果を与える。	1	4	0	10	"[[1,129]]"	[]	0	1	1
174	Lブレイド	S174	202	1	4	[3]	2	1	2	0	1	0	0	0	S121_magic_attack		2	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	175	14202	[コンボ【気絶】→【吹飛】] 敵に中ダメージを与える。最大発動回数2。	1	3	0	10	[]	[]	0	1	0
175	Lブレイド	S174	202	1	4	[3]	2	1	3	0	1	0	0	0	S121_magic_attack		2	1	999	1	7	400	0	1	1	0	0	0	0	0	0	0	0	100	0	0	[コンボ【気絶】→【吹飛】] 敵に大ダメージを与える。最大発動回数2。	1	4	0	10	[]	[]	0	1	0
176	ブレイカー	S176	202	1	0	[]	0	0	0	0	1	0	4	4	S121_magic_attack		1	1	999	1	1	400	1	0	0	0	0	0	0	0	0	0	0	100	177	14202	攻撃4回ごとに、敵チームからランダムで1体に小ダメージを与え、1.5秒間のめまい効果を与える。	0	3	0	10	"[[1,130],[1,613]]"	[]	0	1	0
