number	number	number	string	string	number	number	number	number
101053	101	53	攻撃	G101	1	318	8	180
101054	101	54	攻撃	G101	1	324	8	180
101055	101	55	攻撃	G101	1	330	8	180
101056	101	56	攻撃	G101	1	336	8	180
101057	101	57	攻撃	G101	1	342	8	180
101058	101	58	攻撃	G101	1	348	8	180
101059	101	59	攻撃	G101	1	354	8	180
101060	101	60	攻撃	G101	1	360	9	180
101061	101	61	攻撃	G101	1	366	9	200
101062	101	62	攻撃	G101	1	372	9	200
101063	101	63	攻撃	G101	1	378	9	200
101064	101	64	攻撃	G101	1	384	9	200
101065	101	65	攻撃	G101	1	390	9	200
101066	101	66	攻撃	G101	1	396	9	200
101067	101	67	攻撃	G101	1	402	9	200
101068	101	68	攻撃	G101	1	408	9	200
101069	101	69	攻撃	G101	1	414	9	200
101070	101	70	攻撃	G101	1	420	10	200
101071	101	71	攻撃	G101	1	426	10	250
101072	101	72	攻撃	G101	1	432	10	250
101073	101	73	攻撃	G101	1	438	10	250
101074	101	74	攻撃	G101	1	444	10	250
101075	101	75	攻撃	G101	1	450	10	250
101076	101	76	攻撃	G101	1	456	10	250
101077	101	77	攻撃	G101	1	462	10	250
101078	101	78	攻撃	G101	1	468	10	250
101079	101	79	攻撃	G101	1	474	10	250
101080	101	80	攻撃	G101	1	480	11	250
101081	101	81	攻撃	G101	1	486	11	300
101082	101	82	攻撃	G101	1	492	11	300
101083	101	83	攻撃	G101	1	498	11	300
101084	101	84	攻撃	G101	1	504	11	300
101085	101	85	攻撃	G101	1	510	11	300
101086	101	86	攻撃	G101	1	516	11	300
101087	101	87	攻撃	G101	1	522	11	300
101088	101	88	攻撃	G101	1	528	11	300
101089	101	89	攻撃	G101	1	534	11	300
101090	101	90	攻撃	G101	1	540	11	300
102000	102	0	技攻	G102	2	0	1	0
102001	102	1	技攻	G102	2	6	1	30
102002	102	2	技攻	G102	2	12	1	30
102003	102	3	技攻	G102	2	18	1	30
102004	102	4	技攻	G102	2	24	1	30
102005	102	5	技攻	G102	2	30	2	30
102006	102	6	技攻	G102	2	36	2	50
102007	102	7	技攻	G102	2	42	2	50
102008	102	8	技攻	G102	2	48	2	50
102009	102	9	技攻	G102	2	54	2	50
102010	102	10	技攻	G102	2	60	3	50
102011	102	11	技攻	G102	2	66	3	75
102012	102	12	技攻	G102	2	72	3	75
102013	102	13	技攻	G102	2	78	3	75
102014	102	14	技攻	G102	2	84	3	75
102015	102	15	技攻	G102	2	90	4	75
102016	102	16	技攻	G102	2	96	4	100
102017	102	17	技攻	G102	2	102	4	100
102018	102	18	技攻	G102	2	108	4	100
102019	102	19	技攻	G102	2	114	4	100
102020	102	20	技攻	G102	2	120	5	100
102021	102	21	技攻	G102	2	126	5	120
102022	102	22	技攻	G102	2	132	5	120
102023	102	23	技攻	G102	2	138	5	120
102024	102	24	技攻	G102	2	144	5	120
102025	102	25	技攻	G102	2	150	5	120
102026	102	26	技攻	G102	2	156	5	120
102027	102	27	技攻	G102	2	162	5	120
102028	102	28	技攻	G102	2	168	5	120
102029	102	29	技攻	G102	2	174	5	120
102030	102	30	技攻	G102	2	180	6	120
102031	102	31	技攻	G102	2	186	6	140
102032	102	32	技攻	G102	2	192	6	140
102033	102	33	技攻	G102	2	198	6	140
102034	102	34	技攻	G102	2	204	6	140
102035	102	35	技攻	G102	2	210	6	140
102036	102	36	技攻	G102	2	216	6	140
102037	102	37	技攻	G102	2	222	6	140
102038	102	38	技攻	G102	2	228	6	140
102039	102	39	技攻	G102	2	234	6	140
102040	102	40	技攻	G102	2	240	7	140
102041	102	41	技攻	G102	2	246	7	160
102042	102	42	技攻	G102	2	252	7	160
102043	102	43	技攻	G102	2	258	7	160
102044	102	44	技攻	G102	2	264	7	160
102045	102	45	技攻	G102	2	270	7	160
102046	102	46	技攻	G102	2	276	7	160
102047	102	47	技攻	G102	2	282	7	160
102048	102	48	技攻	G102	2	288	7	160
102049	102	49	技攻	G102	2	294	7	160
102050	102	50	技攻	G102	2	300	8	160
102051	102	51	技攻	G102	2	306	8	180
102052	102	52	技攻	G102	2	312	8	180
102053	102	53	技攻	G102	2	318	8	180
102054	102	54	技攻	G102	2	324	8	180
102055	102	55	技攻	G102	2	330	8	180
102056	102	56	技攻	G102	2	336	8	180
102057	102	57	技攻	G102	2	342	8	180
102058	102	58	技攻	G102	2	348	8	180
102059	102	59	技攻	G102	2	354	8	180
102060	102	60	技攻	G102	2	360	9	180
102061	102	61	技攻	G102	2	366	9	200
102062	102	62	技攻	G102	2	372	9	200
102063	102	63	技攻	G102	2	378	9	200
102064	102	64	技攻	G102	2	384	9	200
102065	102	65	技攻	G102	2	390	9	200
102066	102	66	技攻	G102	2	396	9	200
102067	102	67	技攻	G102	2	402	9	200
102068	102	68	技攻	G102	2	408	9	200
102069	102	69	技攻	G102	2	414	9	200
102070	102	70	技攻	G102	2	420	10	200
102071	102	71	技攻	G102	2	426	10	250
102072	102	72	技攻	G102	2	432	10	250
102073	102	73	技攻	G102	2	438	10	250
102074	102	74	技攻	G102	2	444	10	250
102075	102	75	技攻	G102	2	450	10	250
102076	102	76	技攻	G102	2	456	10	250
102077	102	77	技攻	G102	2	462	10	250
102078	102	78	技攻	G102	2	468	10	250
102079	102	79	技攻	G102	2	474	10	250
102080	102	80	技攻	G102	2	480	11	250
102081	102	81	技攻	G102	2	486	11	300
102082	102	82	技攻	G102	2	492	11	300
102083	102	83	技攻	G102	2	498	11	300
102084	102	84	技攻	G102	2	504	11	300
102085	102	85	技攻	G102	2	510	11	300
102086	102	86	技攻	G102	2	516	11	300
102087	102	87	技攻	G102	2	522	11	300
102088	102	88	技攻	G102	2	528	11	300
102089	102	89	技攻	G102	2	534	11	300
102090	102	90	技攻	G102	2	540	11	300
103000	103	0	防御	G103	3	0	1	0
103001	103	1	防御	G103	3	4	1	30
103002	103	2	防御	G103	3	9	1	30
103003	103	3	防御	G103	3	13	1	30
103004	103	4	防御	G103	3	18	1	30
103005	103	5	防御	G103	3	22	2	30
103006	103	6	防御	G103	3	27	2	50
103007	103	7	防御	G103	3	31	2	50
103008	103	8	防御	G103	3	36	2	50
103009	103	9	防御	G103	3	40	2	50
103010	103	10	防御	G103	3	45	3	50
103011	103	11	防御	G103	3	49	3	75
103012	103	12	防御	G103	3	54	3	75
103013	103	13	防御	G103	3	58	3	75
103014	103	14	防御	G103	3	63	3	75
103015	103	15	防御	G103	3	67	4	75
103016	103	16	防御	G103	3	72	4	100
103017	103	17	防御	G103	3	76	4	100
103018	103	18	防御	G103	3	81	4	100
103019	103	19	防御	G103	3	85	4	100
103020	103	20	防御	G103	3	90	5	100
103021	103	21	防御	G103	3	94	5	120
103022	103	22	防御	G103	3	99	5	120
103023	103	23	防御	G103	3	103	5	120
103024	103	24	防御	G103	3	108	5	120
103025	103	25	防御	G103	3	112	5	120
103026	103	26	防御	G103	3	117	5	120
103027	103	27	防御	G103	3	121	5	120
103028	103	28	防御	G103	3	126	5	120
103029	103	29	防御	G103	3	130	5	120
103030	103	30	防御	G103	3	135	6	120
103031	103	31	防御	G103	3	139	6	140
103032	103	32	防御	G103	3	144	6	140
103033	103	33	防御	G103	3	148	6	140
103034	103	34	防御	G103	3	153	6	140
103035	103	35	防御	G103	3	157	6	140
103036	103	36	防御	G103	3	162	6	140
103037	103	37	防御	G103	3	166	6	140
103038	103	38	防御	G103	3	171	6	140
103039	103	39	防御	G103	3	175	6	140
103040	103	40	防御	G103	3	180	7	140
103041	103	41	防御	G103	3	184	7	160
103042	103	42	防御	G103	3	189	7	160
103043	103	43	防御	G103	3	193	7	160
103044	103	44	防御	G103	3	198	7	160
103045	103	45	防御	G103	3	202	7	160
103046	103	46	防御	G103	3	207	7	160
103047	103	47	防御	G103	3	211	7	160
103048	103	48	防御	G103	3	216	7	160
103049	103	49	防御	G103	3	220	7	160
103050	103	50	防御	G103	3	225	8	160
103051	103	51	防御	G103	3	229	8	180
103052	103	52	防御	G103	3	234	8	180
103053	103	53	防御	G103	3	238	8	180
103054	103	54	防御	G103	3	243	8	180
103055	103	55	防御	G103	3	247	8	180
103056	103	56	防御	G103	3	252	8	180
103057	103	57	防御	G103	3	256	8	180
103058	103	58	防御	G103	3	261	8	180
103059	103	59	防御	G103	3	265	8	180
103060	103	60	防御	G103	3	270	9	180
103061	103	61	防御	G103	3	274	9	200
103062	103	62	防御	G103	3	279	9	200
103063	103	63	防御	G103	3	283	9	200
103064	103	64	防御	G103	3	288	9	200
103065	103	65	防御	G103	3	292	9	200
103066	103	66	防御	G103	3	297	9	200
103067	103	67	防御	G103	3	301	9	200
103068	103	68	防御	G103	3	306	9	200
103069	103	69	防御	G103	3	310	9	200
103070	103	70	防御	G103	3	315	10	200
103071	103	71	防御	G103	3	319	10	250
103072	103	72	防御	G103	3	324	10	250
103073	103	73	防御	G103	3	328	10	250
103074	103	74	防御	G103	3	333	10	250
103075	103	75	防御	G103	3	337	10	250
103076	103	76	防御	G103	3	342	10	250
103077	103	77	防御	G103	3	346	10	250
103078	103	78	防御	G103	3	351	10	250
103079	103	79	防御	G103	3	355	10	250
103080	103	80	防御	G103	3	360	11	250
103081	103	81	防御	G103	3	364	11	300
103082	103	82	防御	G103	3	369	11	300
103083	103	83	防御	G103	3	373	11	300
103084	103	84	防御	G103	3	378	11	300
103085	103	85	防御	G103	3	382	11	300
103086	103	86	防御	G103	3	387	11	300
103087	103	87	防御	G103	3	391	11	300
103088	103	88	防御	G103	3	396	11	300
103089	103	89	防御	G103	3	400	11	300
103090	103	90	防御	G103	3	405	11	300
104000	104	0	技防	G104	4	0	1	0
104001	104	1	技防	G104	4	4	1	30
104002	104	2	技防	G104	4	9	1	30
104003	104	3	技防	G104	4	13	1	30
104004	104	4	技防	G104	4	18	1	30
104005	104	5	技防	G104	4	22	2	30
104006	104	6	技防	G104	4	27	2	50
104007	104	7	技防	G104	4	31	2	50
104008	104	8	技防	G104	4	36	2	50
104009	104	9	技防	G104	4	40	2	50
104010	104	10	技防	G104	4	45	3	50
104011	104	11	技防	G104	4	49	3	75
104012	104	12	技防	G104	4	54	3	75
104013	104	13	技防	G104	4	58	3	75
104014	104	14	技防	G104	4	63	3	75
104015	104	15	技防	G104	4	67	4	75
104016	104	16	技防	G104	4	72	4	100
104017	104	17	技防	G104	4	76	4	100
104018	104	18	技防	G104	4	81	4	100
104019	104	19	技防	G104	4	85	4	100
104020	104	20	技防	G104	4	90	5	100
104021	104	21	技防	G104	4	94	5	120
104022	104	22	技防	G104	4	99	5	120
104023	104	23	技防	G104	4	103	5	120
104024	104	24	技防	G104	4	108	5	120
104025	104	25	技防	G104	4	112	5	120
104026	104	26	技防	G104	4	117	5	120
104027	104	27	技防	G104	4	121	5	120
104028	104	28	技防	G104	4	126	5	120
104029	104	29	技防	G104	4	130	5	120
104030	104	30	技防	G104	4	135	6	120
104031	104	31	技防	G104	4	139	6	140
104032	104	32	技防	G104	4	144	6	140
104033	104	33	技防	G104	4	148	6	140
104034	104	34	技防	G104	4	153	6	140
104035	104	35	技防	G104	4	157	6	140
104036	104	36	技防	G104	4	162	6	140
104037	104	37	技防	G104	4	166	6	140
104038	104	38	技防	G104	4	171	6	140
104039	104	39	技防	G104	4	175	6	140
104040	104	40	技防	G104	4	180	7	140
104041	104	41	技防	G104	4	184	7	160
104042	104	42	技防	G104	4	189	7	160
104043	104	43	技防	G104	4	193	7	160
104044	104	44	技防	G104	4	198	7	160
104045	104	45	技防	G104	4	202	7	160
104046	104	46	技防	G104	4	207	7	160
104047	104	47	技防	G104	4	211	7	160
104048	104	48	技防	G104	4	216	7	160
104049	104	49	技防	G104	4	220	7	160
104050	104	50	技防	G104	4	225	8	160
104051	104	51	技防	G104	4	229	8	180
104052	104	52	技防	G104	4	234	8	180
104053	104	53	技防	G104	4	238	8	180
104054	104	54	技防	G104	4	243	8	180
104055	104	55	技防	G104	4	247	8	180
104056	104	56	技防	G104	4	252	8	180
104057	104	57	技防	G104	4	256	8	180
104058	104	58	技防	G104	4	261	8	180
104059	104	59	技防	G104	4	265	8	180
104060	104	60	技防	G104	4	270	9	180
104061	104	61	技防	G104	4	274	9	200
104062	104	62	技防	G104	4	279	9	200
104063	104	63	技防	G104	4	283	9	200
104064	104	64	技防	G104	4	288	9	200
104065	104	65	技防	G104	4	292	9	200
104066	104	66	技防	G104	4	297	9	200
104067	104	67	技防	G104	4	301	9	200
104068	104	68	技防	G104	4	306	9	200
104069	104	69	技防	G104	4	310	9	200
104070	104	70	技防	G104	4	315	10	200
104071	104	71	技防	G104	4	319	10	250
104072	104	72	技防	G104	4	324	10	250
104073	104	73	技防	G104	4	328	10	250
104074	104	74	技防	G104	4	333	10	250
104075	104	75	技防	G104	4	337	10	250
104076	104	76	技防	G104	4	342	10	250
104077	104	77	技防	G104	4	346	10	250
104078	104	78	技防	G104	4	351	10	250
104079	104	79	技防	G104	4	355	10	250
104080	104	80	技防	G104	4	360	11	250
104081	104	81	技防	G104	4	364	11	300
104082	104	82	技防	G104	4	369	11	300
104083	104	83	技防	G104	4	373	11	300
104084	104	84	技防	G104	4	378	11	300
104085	104	85	技防	G104	4	382	11	300
104086	104	86	技防	G104	4	387	11	300
104087	104	87	技防	G104	4	391	11	300
104088	104	88	技防	G104	4	396	11	300
104089	104	89	技防	G104	4	400	11	300
104090	104	90	技防	G104	4	405	11	300
105000	105	0	体力	G105	5	0	1	0
105001	105	1	体力	G105	5	18	1	30
105002	105	2	体力	G105	5	36	1	30
105003	105	3	体力	G105	5	54	1	30
105004	105	4	体力	G105	5	72	1	30
105005	105	5	体力	G105	5	90	2	30
105006	105	6	体力	G105	5	108	2	50
105007	105	7	体力	G105	5	126	2	50
105008	105	8	体力	G105	5	144	2	50
105009	105	9	体力	G105	5	162	2	50
105010	105	10	体力	G105	5	180	3	50
105011	105	11	体力	G105	5	198	3	75
105012	105	12	体力	G105	5	216	3	75
105013	105	13	体力	G105	5	234	3	75
105014	105	14	体力	G105	5	252	3	75
105015	105	15	体力	G105	5	270	4	75
105016	105	16	体力	G105	5	288	4	100
105017	105	17	体力	G105	5	306	4	100
105018	105	18	体力	G105	5	324	4	100
105019	105	19	体力	G105	5	342	4	100
105020	105	20	体力	G105	5	360	5	100
105021	105	21	体力	G105	5	378	5	120
105022	105	22	体力	G105	5	396	5	120
105023	105	23	体力	G105	5	414	5	120
105024	105	24	体力	G105	5	432	5	120
105025	105	25	体力	G105	5	450	5	120
105026	105	26	体力	G105	5	468	5	120
105027	105	27	体力	G105	5	486	5	120
105028	105	28	体力	G105	5	504	5	120
105029	105	29	体力	G105	5	522	5	120
105030	105	30	体力	G105	5	540	6	120
105031	105	31	体力	G105	5	558	6	140
105032	105	32	体力	G105	5	576	6	140
105033	105	33	体力	G105	5	594	6	140
105034	105	34	体力	G105	5	612	6	140
105035	105	35	体力	G105	5	630	6	140
105036	105	36	体力	G105	5	648	6	140
105037	105	37	体力	G105	5	666	6	140
105038	105	38	体力	G105	5	684	6	140
105039	105	39	体力	G105	5	702	6	140
105040	105	40	体力	G105	5	720	7	140
105041	105	41	体力	G105	5	738	7	160
105042	105	42	体力	G105	5	756	7	160
105043	105	43	体力	G105	5	774	7	160
105044	105	44	体力	G105	5	792	7	160
105045	105	45	体力	G105	5	810	7	160
105046	105	46	体力	G105	5	828	7	160
105047	105	47	体力	G105	5	846	7	160
105048	105	48	体力	G105	5	864	7	160
105049	105	49	体力	G105	5	882	7	160
105050	105	50	体力	G105	5	900	8	160
105051	105	51	体力	G105	5	918	8	180
105052	105	52	体力	G105	5	936	8	180
105053	105	53	体力	G105	5	954	8	180
105054	105	54	体力	G105	5	972	8	180
105055	105	55	体力	G105	5	990	8	180
105056	105	56	体力	G105	5	1008	8	180
105057	105	57	体力	G105	5	1026	8	180
105058	105	58	体力	G105	5	1044	8	180
105059	105	59	体力	G105	5	1062	8	180
105060	105	60	体力	G105	5	1080	9	180
105061	105	61	体力	G105	5	1098	9	200
105062	105	62	体力	G105	5	1116	9	200
105063	105	63	体力	G105	5	1134	9	200
105064	105	64	体力	G105	5	1152	9	200
105065	105	65	体力	G105	5	1170	9	200
105066	105	66	体力	G105	5	1188	9	200
105067	105	67	体力	G105	5	1206	9	200
105068	105	68	体力	G105	5	1224	9	200
105069	105	69	体力	G105	5	1242	9	200
105070	105	70	体力	G105	5	1260	10	200
105071	105	71	体力	G105	5	1278	10	250
105072	105	72	体力	G105	5	1296	10	250
105073	105	73	体力	G105	5	1314	10	250
105074	105	74	体力	G105	5	1332	10	250
105075	105	75	体力	G105	5	1350	10	250
105076	105	76	体力	G105	5	1368	10	250
105077	105	77	体力	G105	5	1386	10	250
105078	105	78	体力	G105	5	1404	10	250
105079	105	79	体力	G105	5	1422	10	250
105080	105	80	体力	G105	5	1440	11	250
105081	105	81	体力	G105	5	1458	11	300
105082	105	82	体力	G105	5	1476	11	300
105083	105	83	体力	G105	5	1494	11	300
105084	105	84	体力	G105	5	1512	11	300
105085	105	85	体力	G105	5	1530	11	300
105086	105	86	体力	G105	5	1548	11	300
105087	105	87	体力	G105	5	1566	11	300
105088	105	88	体力	G105	5	1584	11	300
105089	105	89	体力	G105	5	1602	11	300
105090	105	90	体力	G105	5	1620	11	300
