number	number	string	number	number	number	array2	array2	array	number	array2	array	array2	array	number	number	number	number	number	number
4070	4069	3028	70	70	4	"[[12406,10000,2,3],[10003,5000,0,10]]"	"[[10003,10000,10,10]]"	"[6049,6050]"	0	"[[6049,120,2],[6050,118,2],[6050,120,4]]"	[]	[]	[]	3500	680	30600	44880	49776	65851
4071	4070	3032	80	70	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,114,2],[6006,121,4],[6001,208,2],[6001,205,3]]"	[]	[]	[]	3500	696	31320	45936	50947	67400
4072	4071	3033	80	70	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	3500	712	32040	46992	52118	68949
4073	4072	3034	80	70	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,98,1],[6006,100,2],[6006,102,3],[6006,107,4],[6001,189,2]]"	[]	[]	[]	3500	728	32760	48048	53289	70498
4074	4073	3035	80	70	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	3500	744	33480	49104	54460	72048
4075	4074	3031	80	70	4	"[[12407,10000,1,1]]"	"[[10003,10000,10,10]]"	"[6047,6045,6046,6048]"	0	"[[6048,135,4],[6048,132,2],[6046,197,2],[6045,277,2],[6047,279,3]]"	[]	[]	[]	3500	760	34200	50160	55632	73598
4076	4075	3032	80	70	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,96,2],[6006,98,3],[6006,93,2],[6007,180,1],[6007,178,3]]"	[]	[]	[]	4000	776	34920	51216	56803	75147
4077	4076	3033	80	70	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,105,2],[6008,105,3],[6006,102,3],[6007,189,2],[6007,185,3]]"	[]	[]	[]	4000	792	35640	52272	57974	76696
4078	4077	3034	80	70	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,132,2],[6008,134,3],[6008,139,4],[6006,144,4],[6001,233,2]]"	[]	[]	[]	4000	808	36360	53328	59145	78246
4079	4078	3035	80	70	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,105,2],[6008,112,2],[6006,112,3],[6006,116,4],[6001,194,3]]"	[]	[]	[]	4000	824	37080	54384	60316	79795
4080	4079	3029	80	70	4	"[[12407,10000,1,3]]"	"[[10003,10000,10,10]]"	"[6049,6050]"	0	"[[6049,120,2],[6050,118,2],[6050,120,4]]"	[]	[]	[]	4000	840	37800	55440	61488	81345
4081	4080	3032	90	70	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,114,2],[6006,121,4],[6001,208,2],[6001,205,3]]"	[]	[]	[]	4000	864	38880	57024	63244	83668
4082	4081	3033	90	70	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	4000	888	39960	58608	65001	85993
4083	4082	3034	90	70	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,98,1],[6006,100,2],[6006,102,3],[6006,107,4],[6001,189,2]]"	[]	[]	[]	4000	912	41040	60192	66758	88317
4084	4083	3035	90	70	4	[]	"[[10003,10000,10,10]]"	"[6001,6006]"	0	"[[6006,125,2],[6006,128,3],[6006,132,4],[6001,198,2],[6001,196,4]]"	[]	[]	[]	4000	936	42120	61776	68515	90642
4085	4084	3031	90	70	4	"[[10003,10000,10,15]]"	"[[10003,10000,10,10]]"	"[6047,6045,6046,6048]"	0	"[[6048,135,4],[6048,132,2],[6046,197,2],[6045,277,2],[6047,279,3]]"	[]	[]	[]	4000	960	43200	63360	70272	92966
4086	4085	3032	90	70	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,96,2],[6006,98,3],[6006,93,2],[6007,180,1],[6007,178,3]]"	[]	[]	[]	4000	984	44280	64944	72028	95289
4087	4086	3033	90	70	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6007]"	0	"[[6008,105,2],[6008,105,3],[6006,102,3],[6007,189,2],[6007,185,3]]"	[]	[]	[]	4000	1008	45360	66528	73785	97614
4088	4087	3034	90	70	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,132,2],[6008,134,3],[6008,139,4],[6006,144,4],[6001,233,2]]"	[]	[]	[]	4000	1032	46440	68112	75542	99938
4089	4088	3035	90	70	4	[]	"[[10003,10000,10,10]]"	"[6008,6006,6001]"	0	"[[6008,105,2],[6008,112,2],[6006,112,3],[6006,116,4],[6001,194,3]]"	[]	[]	[]	4000	1056	47520	69696	77299	102262
4090	4089	3030	90	70	4	"[[12410,10000,1,3]]"	"[[10003,10000,10,10]]"	"[6049,6050]"	0	"[[6049,120,2],[6050,118,2],[6050,120,4]]"	[]	[]	[]	4000	1080	48600	71280	79056	104587
4091	4090	3032	100	70	4	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	4500	1104	49680	72864	80812	106910
4092	4091	3033	100	70	4	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	4500	1128	50760	74448	82569	109234
4093	4092	3034	100	70	4	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	4500	1152	51840	76032	84326	111559
4094	4093	3035	100	70	4	[]	"[[10003,10000,10,10]]"	"[6003,6007,6002,6004]"	0	"[[6002,105,2],[6003,100,3],[6004,180,3],[6007,272,3]]"	[]	[]	[]	4500	1176	52920	77616	86083	113883
4095	4094	3031	100	70	4	"[[17201,10000,10,15],[12411,10000,1,3]]"	"[[10003,10000,10,10]]"	"[6011,6010,6005,6012]"	0	"[[6005,214,2],[6005,217,4],[6011,217,2],[6010,89,2],[6012,155,2]]"	[]	[]	[]	4500	1200	54000	79200	87840	116208
4096	4095	3032	100	70	4	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4]]"	[]	[]	[]	4500	1224	55080	80784	89596	118531
4097	4096	3033	100	70	4	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4],[6009,137,5]]"	[]	[]	[]	4500	1248	56160	82368	91353	120855
4098	4097	3034	100	70	4	[]	"[[10003,10000,10,10]]"	[6009]	0	"[[6009,132,2],[6009,137,3],[6009,137,4],[6009,137,5],[6009,137,1]]"	[]	[]	[]	4500	1272	57240	83952	93110	123180
4099	4098	3035	100	70	4	[]	"[[10003,10000,10,10]]"	"[6001,6009]"	0	"[[6009,96,1],[6009,100,2],[6009,100,2],[6009,102,3],[6009,107,5],[6001,187,2],[6001,187,3]]"	[]	[]	[]	4500	1296	58320	85536	94867	125504
4100	4099	3026	100	70	4	"[[17401,10000,10,15],[12411,10000,1,3]]"	"[[10003,10000,10,10]]"	"[6025,6024]"	0	"[[6024,212,2],[6025,112,3]]"	[]	[]	[]	4500	1320	59400	87120	96624	127828
