number	string	array	string	array	string	array	string
30021	オルガ	"[1,5]"	闘技場ショップ	"[1,5033]"	[ハード]魔術4-3	"[1,5045]"	[ハード]入り口5-5
30022	ミリアム	"[1,5010]"	[ハード]勝利1-10	"[1,5035]"	[ハード]食べ物集め4-5	"[1,5044]"	[ハード]合流5-4
30023	エミリ	"[1,5011]"	[ハード]罠2-1	"[1,5029]"	[ハード]罠にはまる3-9	"[1,5043]"	[ハード]捕まる5-3
30024	ウルリカ	"[1,5022]"	[ハード]ムダな驚き3-2	"[1,5034]"	[ハード]野獣出没4-4	"[1,5042]"	[ハード]あと一歩でのミス5-2
30025	エルマ	"[1,5041]"	[ハード]雪山再登山5-1	"[1,5060]"	[ハード]氷河6-10	[]	
30026	ルミア	"[0,-1]"	イベント	[]		[]	
30027	湛卢	"[0,-1]"	限定イベント	[]		[]	
30028	雷切	"[0,-1]"	過去イベント	[]		[]	
30029	鬼彻	"[0,-1]"	過去イベント	[]		[]	
30030	备前长船	"[1,1]"	ガチャ	[]		[]	
30031	ティアナ	"[0,-1]"	VIP報酬	[]		[]	
30032	含光	"[0,-1]"	過去イベント	[]		[]	
30033	承影	"[0,-1]"	限定イベント	[]		[]	
30034	七星龙渊	"[0,-1]"	過去イベント	[]		[]	
30035	轩辕	"[0,-1]"	限定イベント	[]		[]	
30036	大夏龙雀	"[0,-1]"	限定イベント	[]		[]	
30037	纳西尔圣剑	"[0,-1]"	過去イベント	"[1,1]"	ガチャ	[]	
30038	葵纹越前	"[0,-1]"	過去イベント	[]		[]	
30039	瑞佩尔	"[0,-1]"	限定イベント	"[0,-1]"	乱闘場報酬	[]	
30040	莎拉维尔碎片	"[0,-1]"	過去イベント	[]		[]	
30041	トゥーラ	"[0,-1]"	イベント	[]		[]	
30042	アリーチェ	"[0,-1]"	イベント	[]		[]	
30043	纯钧碎片	"[0,-1]"	限定イベント	[]		[]	
30044	怪盗碎片	"[0,-1]"	過去イベント	[]		[]	
30045	焰形剑碎片	"[0,-1]"	限定イベント	[]		[]	
30046	加贺清光碎片	"[0,-1]"	過去イベント	[]		[]	
30047	克莉斯碎片	"[0,-1]"	過去イベント	[]		[]	
30048	棒球碎片	"[0,-1]"	過去イベント	[]		[]	
30049	九尾碎片	"[0,-1]"	限定イベント	[]		[]	
30050	沥泉枪碎片	"[0,-1]"	過去イベント	[]		[]	
30051	火陨碎片	"[0,-1]"	過去イベント	[]		[]	
30052	赤霄碎片	"[0,-1]"	限定イベント	[]		[]	
30053	灵翼碎片	"[0,-1]"	過去イベント	[]		[]	
30054	千棘碎片	"[0,-1]"	過去イベント	[]		[]	
30055	麻麻碎片	"[0,-1]"	限定イベント	[]		[]	
30056	朱雀碎片	"[0,-1]"	過去イベント	[]		[]	
30057	巨镰碎片	"[0,-1]"	過去イベント	[]		[]	
30058	震天弓碎片	"[0,-1]"	過去イベント	[]		[]	
30059	深緑	"[0,-1]"	イベント	[]		[]	
30060	肥前国忠吉碎片	"[0,-1]"	限定ガチャ	[]		[]	
30061	アンバー	"[0,-1]"	イベント	"[1,1]"	ガチャ	[]	
30101	主1	"[1,1]"	ガチャ	[]		[]	
30102	主2	"[1,1]"	ガチャ	[]		[]	
30103	主3	"[1,1]"	ガチャ	[]		[]	
12401	幼齿认证	"[1,7]"	採掘場20階	"[1,7]"	採掘場30階	[]	
12402	萝莉认证	"[1,7]"	採掘場40階	"[1,7]"	採掘場50階	[]	
12406	御姐认证	"[1,7]"	採掘場60階	"[1,7]"	採掘場70階	[]	
12407	女王认证	"[1,7]"	採掘場75階	"[1,7]"	採掘場80階	[]	
12410	女神认证	"[1,7]"	採掘場90階	[]		[]	
10017	情侣T恤	"[1,4]"	討伐ショップ	[]		[]	
10015	玫瑰	"[1,11]"	ギルドショップ	[]		[]	
10025	排球	"[1,8]"	火の試練-2	[]		[]	
10027	宽松衬衫	"[1,2]"	討伐	[]		[]	
10028	发带	"[1,5]"	闘技場ショップ	[]		[]	
10031	晴天君	"[1,6]"	ショップ	[]		[]	
10014	巧克力	"[1,1]"	ガチャ	[]		[]	
10032	网球	"[1,4]"	討伐ショップ	[]		[]	
10034	镜子	"[1,5]"	闘技場ショップ	[]		[]	
10035	百奇	"[1,4]"	討伐ショップ	[]		[]	
10036	滑雪板	"[1,8]"	火の試練-1	[]		[]	
10038	白瓷杯	"[1,7]"	採掘場12階	[]		[]	
10041	相机	"[1,4]"	討伐ショップ	[]		[]	
10042	小礼服	"[1,1]"	ガチャ	[]		[]	
10043	水果	"[1,9]"	デイリーミッション	[]		[]	
10044	救生圈	"[1,7]"	採掘場27階	[]		[]	
10046	绳子	"[0,-1]"	世界ボス	[]		[]	
10047	蛋糕	"[1,1]"	ガチャ	"[1,5]"	闘技場ショップ	[]	
10049	英文字典	"[1,8]"	無の試練-2	[]		[]	
10050	止泻药	"[1,11]"	ギルドショップ	[]		[]	
10051	蘑菇	"[1,2]"	討伐	[]		[]	
10053	尾巴	"[1,8]"	水之试炼-2	[]		[]	
10054	鸢尾花	"[1,1]"	ガチャ	[]		[]	
10016	入场卷	"[1,2]"	討伐	[]		[]	
10056	皮鞭	"[1,5]"	闘技場ショップ	[]		[]	
10057	血腥玛丽	"[1,4]"	討伐ショップ	[]		[]	
10059	鱼缸	"[1,1]"	ガチャ	[]		[]	
10060	香薰蜡烛	"[1,7]"	採掘場47階	[]		[]	
10062	弓箭	"[1,5]"	闘技場ショップ	[]		[]	
10063	猫粮	"[1,5]"	闘技場ショップ	[]		[]	
10066	篮球	"[1,5]"	闘技場ショップ	[]		[]	
10070	手链	"[1,8]"	無の試練-1	[]		[]	
10072	项圈	"[1,7]"	採掘場38階	[]		[]	
10018	结婚戒指	"[1,6]"	ショップ	[]		[]	
10075	四叶草	"[0,-1]"	イベント報酬	[]		[]	
10076	晴天笔记	"[0,-1]"	イベント報酬	[]		[]	
11003	和牛牛排	"[1,1]"	ガチャ	[]		[]	
24001	五色羽	"[1,1]"	ガチャ	"[1,6]"	ショップ	[]	
24002	神奇糖果	"[1,6]"	ショップ	[]		[]	
24003	传奇糖果	"[1,6]"	ショップ	[]		[]	
12318	雪白羽毛	"[0,-1]"	工事中	[]		[]	
12319	飘带	"[0,-1]"	工事中	[]		[]	
12320	海蓝宝石	"[0,-1]"	工事中	[]		[]	
12321	流星星光	"[0,-1]"	工事中	[]		[]	
12322	水晶扣	"[0,-1]"	工事中	[]		[]	
12411	天使认证	"[1,7]"	採掘場95階	"[1,7]"	採掘場100階	[]	
