number	string	number	number	number	number	number	number	number	number	string	string	number	number	array
1805101	命·墨阳	1	1	1	5	4	0	100	0	生命+4	F501	0	1	[0]
1805201	命·莫邪	1	2	1	5	6	1000	100	0	生命+6	F502	0	2	[0]
1805202	命·莫邪	1	2	2	5	8	3000	100	1	生命+8	F502	0	0	[0]
1805203	命·莫邪	1	2	3	5	10	0	200	0	生命+10	F502	0	0	[0]
1805301	命·鬼彻	1	3	1	5	9	1000	100	0	生命+9	F503	0	3	[0]
1805302	命·鬼彻	1	3	2	5	12	3000	100	1	生命+12	F503	0	0	[0]
1805303	命·鬼彻	1	3	3	5	16	7000	200	2	生命+16	F503	0	0	[0]
1805304	命·鬼彻	1	3	4	5	30	13000	400	4	生命+30	F503	0	0	[0]
1805305	命·鬼彻	1	3	5	5	56	23000	800	6	生命+56	F503	0	0	[0]
1805306	命·鬼彻	1	3	6	5	94	0	1400	0	生命+94	F503	0	0	[0]
1805401	命·轩辕	1	4	1	5	18	1000	100	0	生命+18	F504	1	4	[0]
1805402	命·轩辕	1	4	2	5	21	3000	100	1	生命+21	F504	1	0	[0]
1805403	命·轩辕	1	4	3	5	32	7000	200	2	生命+32	F504	1	0	[0]
1805404	命·轩辕	1	4	4	5	60	13000	400	4	生命+60	F504	1	0	[0]
1805405	命·轩辕	1	4	5	5	113	23000	800	6	生命+113	F504	1	0	[0]
1805406	命·轩辕	1	4	6	5	189	37000	1400	8	生命+189	F504	1	0	[0]
1805407	命·轩辕	1	4	7	5	285	55000	2200	10	生命+285	F504	1	0	[0]
1805408	命·轩辕	1	4	8	5	396	79000	3200	12	生命+396	F504	1	0	[0]
1805409	命·轩辕	1	4	9	5	517	109000	4400	16	生命+517	F504	1	0	[0]
1805410	命·轩辕	1	4	10	5	666	0	6000	0	生命+666	F504	1	0	[0]
1805501	命·九尾狐	1	5	1	5	30	1000	100	0	生命+30	F505	1	5	[0]
1805502	命·九尾狐	1	5	2	5	36	3000	100	1	生命+36	F505	1	0	[0]
1805503	命·九尾狐	1	5	3	5	54	7000	200	2	生命+54	F505	1	0	[0]
1805504	命·九尾狐	1	5	4	5	100	13000	400	4	生命+100	F505	1	0	[0]
1805505	命·九尾狐	1	5	5	5	190	23000	800	6	生命+190	F505	1	0	[0]
1805506	命·九尾狐	1	5	6	5	316	37000	1400	8	生命+316	F505	1	0	[0]
1805507	命·九尾狐	1	5	7	5	480	55000	2200	10	生命+480	F505	1	0	[0]
1805508	命·九尾狐	1	5	8	5	660	79000	3200	12	生命+660	F505	1	0	[0]
1805509	命·九尾狐	1	5	9	5	860	109000	4400	16	生命+860	F505	1	0	[0]
1805510	命·九尾狐	1	5	10	5	1110	0	6000	0	生命+1110	F505	1	0	[0]
1806401	无抗·太阿	2	4	1	100	0.0018	1000	100	0	无系抗性提升0.18%	F604	1	4	[0]
1806402	无抗·太阿	2	4	2	100	0.0022	3000	100	1	无系抗性提升0.22%	F604	1	0	[0]
1806403	无抗·太阿	2	4	3	100	0.0033	7000	200	2	无系抗性提升0.33%	F604	1	0	[0]
1806404	无抗·太阿	2	4	4	100	0.006	13000	400	4	无系抗性提升0.6%	F604	1	0	[0]
1806405	无抗·太阿	2	4	5	100	0.011	23000	800	6	无系抗性提升1.1%	F604	1	0	[0]
1806406	无抗·太阿	2	4	6	100	0.019	37000	1400	8	无系抗性提升1.9%	F604	1	0	[0]
1806407	无抗·太阿	2	4	7	100	0.028	55000	2200	10	无系抗性提升2.8%	F604	1	0	[0]
1806408	无抗·太阿	2	4	8	100	0.039	79000	3200	12	无系抗性提升3.9%	F604	1	0	[0]
1806409	无抗·太阿	2	4	9	100	0.052	109000	4400	16	无系抗性提升5.2%	F604	1	0	[0]
1806410	无抗·太阿	2	4	10	100	0.066	0	6000	0	无系抗性提升6.6%	F604	1	0	[0]
1806501	无抗·麻麻	2	5	1	100	0.003	1000	100	0	无系抗性提升0.3%	F605	1	5	[0]
1806502	无抗·麻麻	2	5	2	100	0.004	3000	100	1	无系抗性提升0.4%	F605	1	0	[0]
1806503	无抗·麻麻	2	5	3	100	0.006	7000	200	2	无系抗性提升0.6%	F605	1	0	[0]
1806504	无抗·麻麻	2	5	4	100	0.01	13000	400	4	无系抗性提升1%	F605	1	0	[0]
1806505	无抗·麻麻	2	5	5	100	0.019	23000	800	6	无系抗性提升1.9%	F605	1	0	[0]
1806506	无抗·麻麻	2	5	6	100	0.032	37000	1400	8	无系抗性提升3.2%	F605	1	0	[0]
1806507	无抗·麻麻	2	5	7	100	0.048	55000	2200	10	无系抗性提升4.8%	F605	1	0	[0]
1806508	无抗·麻麻	2	5	8	100	0.066	79000	3200	12	无系抗性提升6.6%	F605	1	0	[0]
1806509	无抗·麻麻	2	5	9	100	0.086	109000	4400	16	无系抗性提升8.6%	F605	1	0	[0]
1806510	无抗·麻麻	2	5	10	100	0.112	0	6000	0	无系抗性提升11.2%	F704	1	0	[0]
1807401	风抗·童子	2	4	1	101	0.0018	1000	100	0	风系抗性提升0.18%	F704	1	4	[0]
1807402	风抗·童子	2	4	2	101	0.0022	3000	100	1	风系抗性提升0.22%	F704	1	0	[0]
1807403	风抗·童子	2	4	3	101	0.0033	7000	200	2	风系抗性提升0.33%	F704	1	0	[0]
1807404	风抗·童子	2	4	4	101	0.006	13000	400	4	风系抗性提升0.6%	F704	1	0	[0]
1807405	风抗·童子	2	4	5	101	0.011	23000	800	6	风系抗性提升1.1%	F704	1	0	[0]
1807406	风抗·童子	2	4	6	101	0.019	37000	1400	8	风系抗性提升1.9%	F704	1	0	[0]
1807407	风抗·童子	2	4	7	101	0.028	55000	2200	10	风系抗性提升2.8%	F704	1	0	[0]
1807408	风抗·童子	2	4	8	101	0.039	79000	3200	12	风系抗性提升3.9%	F704	1	0	[0]
1807409	风抗·童子	2	4	9	101	0.052	109000	4400	16	风系抗性提升5.2%	F704	1	0	[0]
1807410	风抗·童子	2	4	10	101	0.066	0	6000	0	风系抗性提升6.6%	F704	1	0	[0]
1807501	风抗·切裂	2	5	1	101	0.003	1000	100	0	风系抗性提升0.3%	F705	1	5	[0]
1807502	风抗·切裂	2	5	2	101	0.004	3000	100	1	风系抗性提升0.4%	F705	1	0	[0]
1807503	风抗·切裂	2	5	3	101	0.006	7000	200	2	风系抗性提升0.6%	F705	1	0	[0]
1807504	风抗·切裂	2	5	4	101	0.01	13000	400	4	风系抗性提升1%	F705	1	0	[0]
1807505	风抗·切裂	2	5	5	101	0.019	23000	800	6	风系抗性提升1.9%	F705	1	0	[0]
1807506	风抗·切裂	2	5	6	101	0.032	37000	1400	8	风系抗性提升3.2%	F705	1	0	[0]
1807507	风抗·切裂	2	5	7	101	0.048	55000	2200	10	风系抗性提升4.8%	F705	1	0	[0]
1807508	风抗·切裂	2	5	8	101	0.066	79000	3200	12	风系抗性提升6.6%	F705	1	0	[0]
1807509	风抗·切裂	2	5	9	101	0.086	109000	4400	16	风系抗性提升8.6%	F705	1	0	[0]
1807510	风抗·切裂	2	5	10	101	0.112	0	6000	0	风系抗性提升11.2%	F705	1	0	[0]
1808401	火抗·棠溪	2	4	1	102	0.0018	1000	100	0	火系抗性提升0.18%	F804	1	4	[0]
1808402	火抗·棠溪	2	4	2	102	0.0022	3000	100	1	火系抗性提升0.22%	F804	1	0	[0]
1808403	火抗·棠溪	2	4	3	102	0.0033	7000	200	2	火系抗性提升0.33%	F804	1	0	[0]
1808404	火抗·棠溪	2	4	4	102	0.006	13000	400	4	火系抗性提升0.6%	F804	1	0	[0]
1808405	火抗·棠溪	2	4	5	102	0.011	23000	800	6	火系抗性提升1.1%	F804	1	0	[0]
1808406	火抗·棠溪	2	4	6	102	0.019	37000	1400	8	火系抗性提升1.9%	F804	1	0	[0]
1808407	火抗·棠溪	2	4	7	102	0.028	55000	2200	10	火系抗性提升2.8%	F804	1	0	[0]
1808408	火抗·棠溪	2	4	8	102	0.039	79000	3200	12	火系抗性提升3.9%	F804	1	0	[0]
1808409	火抗·棠溪	2	4	9	102	0.052	109000	4400	16	火系抗性提升5.2%	F804	1	0	[0]
1808410	火抗·棠溪	2	4	10	102	0.066	0	6000	0	火系抗性提升6.6%	F804	1	0	[0]
1808501	火抗·龙渊	2	5	1	102	0.003	1000	100	0	火系抗性提升0.3%	F805	1	5	[0]
1808502	火抗·龙渊	2	5	2	102	0.004	3000	100	1	火系抗性提升0.4%	F805	1	0	[0]
1808503	火抗·龙渊	2	5	3	102	0.006	7000	200	2	火系抗性提升0.6%	F805	1	0	[0]
1808504	火抗·龙渊	2	5	4	102	0.01	13000	400	4	火系抗性提升1%	F805	1	0	[0]
1808505	火抗·龙渊	2	5	5	102	0.019	23000	800	6	火系抗性提升1.9%	F805	1	0	[0]
1808506	火抗·龙渊	2	5	6	102	0.032	37000	1400	8	火系抗性提升3.2%	F805	1	0	[0]
1808507	火抗·龙渊	2	5	7	102	0.048	55000	2200	10	火系抗性提升4.8%	F805	1	0	[0]
1808508	火抗·龙渊	2	5	8	102	0.066	79000	3200	12	火系抗性提升6.6%	F805	1	0	[0]
1808509	火抗·龙渊	2	5	9	102	0.086	109000	4400	16	火系抗性提升8.6%	F805	1	0	[0]
1808510	火抗·龙渊	2	5	10	102	0.112	0	6000	0	火系抗性提升11.2%	F805	1	0	[0]
1809401	水抗·数珠	2	4	1	103	0.0018	1000	100	0	水系抗性提升0.18%	F904	1	4	[0]
1809402	水抗·数珠	2	4	2	103	0.0022	3000	100	1	水系抗性提升0.22%	F904	1	0	[0]
1809403	水抗·数珠	2	4	3	103	0.0033	7000	200	2	水系抗性提升0.33%	F904	1	0	[0]
1809404	水抗·数珠	2	4	4	103	0.006	13000	400	4	水系抗性提升0.6%	F904	1	0	[0]
1809405	水抗·数珠	2	4	5	103	0.011	23000	800	6	水系抗性提升1.1%	F904	1	0	[0]
1809406	水抗·数珠	2	4	6	103	0.019	37000	1400	8	水系抗性提升1.9%	F904	1	0	[0]
1809407	水抗·数珠	2	4	7	103	0.028	55000	2200	10	水系抗性提升2.8%	F904	1	0	[0]
1809408	水抗·数珠	2	4	8	103	0.039	79000	3200	12	水系抗性提升3.9%	F904	1	0	[0]
1809409	水抗·数珠	2	4	9	103	0.052	109000	4400	16	水系抗性提升5.2%	F904	1	0	[0]
1809410	水抗·数珠	2	4	10	103	0.066	0	6000	0	水系抗性提升6.6%	F904	1	0	[0]
1809501	水抗·龙雀	2	5	1	103	0.003	1000	100	0	水系抗性提升0.3%	F905	1	5	[0]
1809502	水抗·龙雀	2	5	2	103	0.004	3000	100	1	水系抗性提升0.4%	F905	1	0	[0]
1809503	水抗·龙雀	2	5	3	103	0.006	7000	200	2	水系抗性提升0.6%	F905	1	0	[0]
1809504	水抗·龙雀	2	5	4	103	0.01	13000	400	4	水系抗性提升1%	F905	1	0	[0]
1809505	水抗·龙雀	2	5	5	103	0.019	23000	800	6	水系抗性提升1.9%	F905	1	0	[0]
1809506	水抗·龙雀	2	5	6	103	0.032	37000	1400	8	水系抗性提升3.2%	F905	1	0	[0]
1809507	水抗·龙雀	2	5	7	103	0.048	55000	2200	10	水系抗性提升4.8%	F905	1	0	[0]
1809508	水抗·龙雀	2	5	8	103	0.066	79000	3200	12	水系抗性提升6.6%	F905	1	0	[0]
1809509	水抗·龙雀	2	5	9	103	0.086	109000	4400	16	水系抗性提升8.6%	F905	1	0	[0]
1809510	水抗·龙雀	2	5	10	103	0.112	0	6000	0	水系抗性提升11.2%	F905	1	0	[0]
1810401	无伤·灵翼	2	4	1	200	0.0025	1000	100	0	无系伤害提升0.25%	F1004	1	4	[0]
1810402	无伤·灵翼	2	4	2	200	0.003	3000	100	1	无系伤害提升0.3%	F1004	1	0	[0]
1810403	无伤·灵翼	2	4	3	200	0.0045	7000	200	2	无系伤害提升0.45%	F1004	1	0	[0]
1810404	无伤·灵翼	2	4	4	200	0.008	13000	400	4	无系伤害提升0.8%	F1004	1	0	[0]
1810405	无伤·灵翼	2	4	5	200	0.015	23000	800	6	无系伤害提升1.5%	F1004	1	0	[0]
1810406	无伤·灵翼	2	4	6	200	0.025	37000	1400	8	无系伤害提升2.5%	F1004	1	0	[0]
1810407	无伤·灵翼	2	4	7	200	0.038	55000	2200	10	无系伤害提升3.8%	F1004	1	0	[0]
1810408	无伤·灵翼	2	4	8	200	0.053	79000	3200	12	无系伤害提升5.3%	F1004	1	0	[0]
1810409	无伤·灵翼	2	4	9	200	0.069	109000	4400	16	无系伤害提升6.9%	F1004	1	0	[0]
1810410	无伤·灵翼	2	4	10	200	0.089	0	6000	0	无系伤害提升8.9%	F1004	1	0	[0]
1810501	无伤·退魔	2	5	1	200	0.004	1000	100	0	无系伤害提升0.4%	F1005	1	5	[0]
1810502	无伤·退魔	2	5	2	200	0.005	3000	100	1	无系伤害提升0.5%	F1005	1	0	[0]
1810503	无伤·退魔	2	5	3	200	0.007	7000	200	2	无系伤害提升0.7%	F1005	1	0	[0]
1810504	无伤·退魔	2	5	4	200	0.013	13000	400	4	无系伤害提升1.3%	F1005	1	0	[0]
1810505	无伤·退魔	2	5	5	200	0.025	23000	800	6	无系伤害提升2.5%	F1005	1	0	[0]
1810506	无伤·退魔	2	5	6	200	0.042	37000	1400	8	无系伤害提升4.2%	F1005	1	0	[0]
1810507	无伤·退魔	2	5	7	200	0.063	55000	2200	10	无系伤害提升6.3%	F1005	1	0	[0]
1810508	无伤·退魔	2	5	8	200	0.088	79000	3200	12	无系伤害提升8.8%	F1005	1	0	[0]
1810509	无伤·退魔	2	5	9	200	0.115	109000	4400	16	无系伤害提升11.5%	F1005	1	0	[0]
1810510	无伤·退魔	2	5	10	200	0.148	0	6000	0	无系伤害提升14.8%	F1005	1	0	[0]
1811401	风伤·蜻蜓	2	4	1	201	0.0025	1000	100	0	风系伤害提升0.25%	F1104	1	4	[0]
1811402	风伤·蜻蜓	2	4	2	201	0.003	3000	100	1	风系伤害提升0.3%	F1104	1	0	[0]
1811403	风伤·蜻蜓	2	4	3	201	0.0045	7000	200	2	风系伤害提升0.45%	F1104	1	0	[0]
1811404	风伤·蜻蜓	2	4	4	201	0.008	13000	400	4	风系伤害提升0.8%	F1104	1	0	[0]
1811405	风伤·蜻蜓	2	4	5	201	0.015	23000	800	6	风系伤害提升1.5%	F1104	1	0	[0]
1811406	风伤·蜻蜓	2	4	6	201	0.025	37000	1400	8	风系伤害提升2.5%	F1104	1	0	[0]
1811407	风伤·蜻蜓	2	4	7	201	0.038	55000	2200	10	风系伤害提升3.8%	F1104	1	0	[0]
1811408	风伤·蜻蜓	2	4	8	201	0.053	79000	3200	12	风系伤害提升5.3%	F1104	1	0	[0]
1811409	风伤·蜻蜓	2	4	9	201	0.069	109000	4400	16	风系伤害提升6.9%	F1104	1	0	[0]
1811410	风伤·蜻蜓	2	4	10	201	0.089	0	6000	0	风系伤害提升8.9%	F1104	1	0	[0]
1811501	风伤·萌萌	2	5	1	201	0.004	1000	100	0	风系伤害提升0.4%	F1105	1	5	[0]
1811502	风伤·萌萌	2	5	2	201	0.005	3000	100	1	风系伤害提升0.5%	F1105	1	0	[0]
1811503	风伤·萌萌	2	5	3	201	0.007	7000	200	2	风系伤害提升0.7%	F1105	1	0	[0]
1811504	风伤·萌萌	2	5	4	201	0.013	13000	400	4	风系伤害提升1.3%	F1105	1	0	[0]
1811505	风伤·萌萌	2	5	5	201	0.025	23000	800	6	风系伤害提升2.5%	F1105	1	0	[0]
1811506	风伤·萌萌	2	5	6	201	0.042	37000	1400	8	风系伤害提升4.2%	F1105	1	0	[0]
1811507	风伤·萌萌	2	5	7	201	0.063	55000	2200	10	风系伤害提升6.3%	F1105	1	0	[0]
1811508	风伤·萌萌	2	5	8	201	0.088	79000	3200	12	风系伤害提升8.8%	F1105	1	0	[0]
1811509	风伤·萌萌	2	5	9	201	0.115	109000	4400	16	风系伤害提升11.5%	F1105	1	0	[0]
1811510	风伤·萌萌	2	5	10	201	0.148	0	6000	0	风系伤害提升14.8%	F1105	1	0	[0]
1812401	火伤·千棘	2	4	1	202	0.0025	1000	100	0	火系伤害提升0.25%	F1204	1	4	[0]
1812402	火伤·千棘	2	4	2	202	0.003	3000	100	1	火系伤害提升0.3%	F1204	1	0	[0]
1812403	火伤·千棘	2	4	3	202	0.0045	7000	200	2	火系伤害提升0.45%	F1204	1	0	[0]
1812404	火伤·千棘	2	4	4	202	0.008	13000	400	4	火系伤害提升0.8%	F1204	1	0	[0]
1812405	火伤·千棘	2	4	5	202	0.015	23000	800	6	火系伤害提升1.5%	F1204	1	0	[0]
1812406	火伤·千棘	2	4	6	202	0.025	37000	1400	8	火系伤害提升2.5%	F1204	1	0	[0]
1812407	火伤·千棘	2	4	7	202	0.038	55000	2200	10	火系伤害提升3.8%	F1204	1	0	[0]
1812408	火伤·千棘	2	4	8	202	0.053	79000	3200	12	火系伤害提升5.3%	F1204	1	0	[0]
1812409	火伤·千棘	2	4	9	202	0.069	109000	4400	16	火系伤害提升6.9%	F1204	1	0	[0]
1812410	火伤·千棘	2	4	10	202	0.089	0	6000	0	火系伤害提升8.9%	F1204	1	0	[0]
