number	string	string	string	number	number	number	number	number	number	array	number	number	number	number	string	number	number	number	array2
100014	M10005	新しい仲間	新人ちゃんには優しくしてあげるわよ？	0	12	100013	115	100146	1	"[1008,1]"	115	100152	0	0		500	0	0	"[[12001,4],[12002,1]]"
100015	M10005	二人のお嬢様	まさか双子だったとか？	0	13	100014	103	100154	1	"[1009,1]"	103	100160	0	0		550	19160	0	[]
100016	M10005	契約成立	初めて契約した感想は？	0	15	100015	122	100163	0	[]	122	100170	0	0		550	19435	0	[]
100017	M10005	契約の力	契約する事で……強くなれる！	0	15	100016	122	100174	1	"[1010,1]"	122	100179	0	0		600	13417	0	"[[10003,20]]"
100018	M10005	陰謀	分析、分析……しかし……	0	16	100017	114	100183	0	[]	114	100186	0	0		600	13707	0	[]
100019	M10005	救援	ののを助けに行かなくちゃ！	0	18	100018	115	100190	0	[]	115	100193	0	0		900	14006	0	"[[10003,20]]"
100020	M10005	救出作戦	早く望乃を探さないと！	0	19	100019	104	100201	1	"[1011,1]"	104	100213	0	0		1100	14314	0	[]
100021	M10005	罠？	そこには不自然な気配が漂っていた	0	19	100020	103	100218	1	"[1012,1]"	103	100224	0	0		1200	14631	0	[]
100022	M10005	力を持つ者	敵の数が多過ぎる！	0	20	100021	122	100226	1	"[1013,1]"	122	100231	0	0		800	14957	0	"[[10003,40]]"
100023	M10005	発見	誰も欠ける事無く、全員で帰るために	0	20	100022	122	100242	1	"[1014,1]"	122	100262	0	0		800	15293	0	[]
100024	M10005	挟撃作戦	近道どころか遠回りじゃない……	0	21	100023	104	100265	1	"[1015,1]"	104	100271	0	0		1125	15640	0	"[[30011,30]]"
100025	M10005	望乃	初めて会ったはずなのに	0	21	100024	104	100275	1	"[1016,1]"	104	100278	0	0		1500	15996	0	[]
100026	M10005	マインドコントロール	リーダーとマスターとの対立	0	21	100025	114	100282	1	"[1017,1]"	117	100297	0	0		1500	16364	0	[]
100027	M10005	迷子	一面の銀世界。ホントにきれいね	0	21	100026	120	100304	0	[]	120	100312	0	0		1125	16742	0	[]
100028	M10005	雪山の女性	俺達は精霊に出会ったのか？	0	22	100027	101	100316	1	"[1018,1]"	101	100320	0	0		1500	17132	0	[]
100029	M10005	浄雪草	マインドコントロールの対抗策となるか？	0	22	100028	120	100333	1	"[1019,1]"	114	100336	0	0		1500	17533	0	"[[10059,1]]"
100030	M10005	再契約	あなたを信じる。一緒に戦うわ！	0	22	100029	106	100344	0	[]	106	100350	0	0		1125	17947	0	[]
100031	M10005	アクシデント	防御、それとも反撃？	0	23	100030	122	100355	1	"[1020,1]"	122	100360	0	0		1500	18373	0	[]
100032	M10005	追跡	偵察、そして逆偵察	0	23	100031	114	100365	0	[]	124	100374	0	0		1125	18812	0	[]
100033	M10005	表情の無いお化け	その顔には意思というものが無かった	0	23	100032	124	100378	1	"[1021,1]"	124	100387	0	0		1500	19263	0	[]
100034	M10005	ネクロマンシー計画	その計画は、誰の発案なんだ？	0	24	100033	117	100392	1	"[1022,1]"	117	100398	0	0		4500	19729	0	[]
100035	M10005	神撃のスナイパー	日頃の鍛錬がものを言うのよ	0	24	100034	122	100402	1	"[1023,1]"	122	100413	0	0		11200	20208	0	[]
100036	M10005	思いがけない収穫	男性サンプルは貴重な存在よ	0	26	100035	117	100417	1	"[1024,1]"	117	100424	0	0		5000	20702	0	[]
100037	M10005	先住者	ここには誰かがいる……	0	26	100036	122	100428	1	"[1025,1]"	123	100435	0	0		5000	20702	0	[]
100038	M10005	こそ泥	敵がこんなにも執着するのはなぜ？	0	26	100037	124	100448	1	"[1026,1]"	124	100453	0	0		5000	20702	0	[]
100039	M10005	失踪	嫌な予感は大抵当たる	0	27	100038	123	100458	1	"[1027,1]"	122	100465	0	0		7000	21423	0	[]
100040	M10005	救助	羽は天使にも悪魔にも生えている	0	27	100039	110	100467	1	"[1028,1]"	110	100472	0	0		8000	21423	0	[]
100041	M10005	守護人	イレーネは最も優しい女性ね	0	28	100040	110	100476	0	[]	110	100479	0	0		4500	22173	0	[]
100042	M10005	受け入れ	過去のことは水に流しましょう	0	28	100041	110	100483	0	[]	110	100486	0	0		4500	22173	0	[]
100043	M10005	甘言	これは計画された罠なのか？	0	28	100042	110	100488	1	"[1029,1]"	103	100495	0	0		8000	22173	0	[]
100044	M10005	助けは嬉しいけれど	水桃に何て言って謝ろう？	0	28	100043	103	100501	1	"[1030,1]"	103	100506	0	0		16000	22173	0	"[[30001,30]]"
100045	M10005	等価交換の法則	何に価値を感じるかは人それぞれ	0	30	100044	110	100513	0	[]	110	100517	0	0		1500	23773	0	[]
100046	M10005	ユグドラシル	上層部は何を考えているのだろうか？	0	30	100045	115	100521	0	[]	115	100523	0	0		1500	23773	0	[]
100047	M10005	視界ゼロ	暗闇の中でのバトル！	0	30	100046	102	100531	1	"[1031,1]"	102	100544	0	0		8000	23773	0	[]
100048	M10005	分散作戦	自分たちに出来る事なら……	0	30	100047	102	100550	1	"[1032,1]"	102	100561	0	0		8000	23773	0	[]
100049	M10005	幻術	所詮すべてはまやかし	0	31	100048	115	100565	1	"[1033,1]"	105	100579	0	0		8000	24625	0	[]
100050	M10005	サバイバル	テントを張るのはどこがいいかしら？	0	31	100049	113	100583	0	[]	113	100588	0	0		2000	24625	0	[]
100051	M10005	野獣の襲撃	ゆっくり考え事もできやしない！	0	32	100050	113	100595	1	"[1034,1]"	113	100612	0	0		8000	24625	0	[]
100052	M10005	食料調達	こっちがエサになるのはゴメンだな	0	32	100051	113	100619	1	"[1035,1]"	113	100630	0	0		8000	24625	0	[]
100053	M10005	船頭多くして船山に上る	というか、一人でも船頭はいたのか？	0	32	100052	113	100637	0	[]	120	100646	0	0		5000	25512	0	[]
100054	M10005	水桃との対決	あなたとは一度、本気で戦ってみたかったの	0	32	100053	113	100658	1	"[1036,1]"	114	100672	0	0		25000	25512	0	[]
100055	M10005	混戦	漁夫の利とはこの事ね	0	34	100054	122	100676	1	"[1037,1]"	122	100686	0	0		15000	27401	0	[]
100056	M10005	狩人が見たもの	この森には何かがいる	0	34	100055	116	100692	1	"[1038,1]"	116	100696	0	0		15000	27401	0	[]
100057	M10005	探索と追跡	足跡や行動は人のものではない	0	34	100056	116	100698	1	"[1039,1]"	116	100702	0	0		16000	27401	0	[]
100058	M10005	半蜘蛛半人	異形の者だけれど、知っている気がする	0	34	100057	108	100707	0	[]	108	100709	0	0		10000	27401	0	[]
100059	M10005	サバイバル訓練の終了	懐かしいアビスへやっと帰れる	0	36	100058	113	100728	1	"[1040,1]"	102	100736	0	0		13000	29453	0	[]
100060	M10005	人格移植	もう一人の自分と闘って……勝つ方法は？	0	36	100059	124	100739	0	[]	124	100743	0	0		2000	29453	0	[]
100061	M10005	再び雪山へ	雪山にはどんな秘密が隠されているのかしら？	0	36	100060	124	100747	1	"[1041,1]"	124	100758	0	0		13000	29453	0	[]
100062	M10005	証拠隠滅	解明までもうあと一歩……	0	36	100061	124	100761	1	"[1042,1]"	124	100766	0	0		13000	29453	0	[]
100063	M10005	オルガ·フェリヤ	敵の目的は何なのか？	0	36	100062	122	100773	1	"[1043,1]"	104	100780	0	0		13000	29453	0	[]
100064	M10005	逃げるが勝ち	これまでで一番の損失だな	0	38	100063	121	100788	0	[]	121	100792	0	0		3000	31685	0	[]
100065	M10005	合流	こんな事もあろうかと……	0	38	100064	124	100798	1	"[1044,1]"	115	100806	0	0		16000	31685	0	[]
100066	M10005	信号の消失	発信機が壊されただけだよな？	0	38	100065	103	100813	0	[]	104	100819	0	0		3000	31685	0	[]
100067	M10005	入り口	ふわふわで、まるで綿あめみたいな雪だわ	0	38	100066	104	100823	1	"[1045,1]"	104	100828	0	0		16000	31685	0	[]
100068	M10005	警報	逃げ道がないのなら、前進あるのみ！	0	38	100067	124	100831	1	"[1046,1]"	115	100839	0	0		16000	31685	0	[]
100069	M10005	立つ鳥跡を……	次からは予約を入れておいてね	0	40	100068	115	100841	1	"[1047,1]"	121	100848	0	0		26000	34110	0	[]
100070	M10005	四面楚歌	だったら上に逃げるしかない	0	40	100069	124	100852	1	"[1048,1]"	124	100861	0	0		27000	34110	0	[]
100071	M10005	幸運の香り	また助けられるなんてね	0	42	100070	103	100866	1	"[1049,1]"	103	100871	0	0		30000	36746	0	[]
100072	M10005	失効	雪の中に青い炎が燃え始めて……	0	42	100071	101	100877	1	"[1050,1]"	101	100882	0	0		30000	36746	0	[]
100073	M10005	浄雪草	運命に導かれているのだろうか？	0	44	100072	101	100888	0	[]	101	100891	0	0		5000	39610	0	[]
100074	M10005	良い話と不思議な話	水桃の居場所が分かりそうだけど……	0	44	100073	103	100894	0	[]	112	100898	0	0		5000	39610	0	[]
100075	M10005	怪魚	魚に恨みはないけれど	0	44	100074	112	100904	1	"[1051,1]"	112	100911	0	0		30000	39610	0	[]
100076	M10005	心の中の戦い	シュイタオ、早く目覚めて！	0	44	100075	112	100921	1	"[1052,1]"	121	100928	0	0		30000	39610	0	[]
100077	M10005	相愛相殺	互いに愛し合い、そして互いに殺し合う	0	46	100076	125	100933	1	"[1053,1]"	112	100942	0	0		24000	42723	0	[]
100078	M10005	目覚めさせる方法	魂を揺さぶる事が肝心だ	0	46	100077	112	100947	1	"[1054,1]"	114	100954	0	0		24000	42723	0	[]
100079	M10005	古い記憶	あれはいつの事だったのか……	0	46	100078	120	100958	0	[]	114	100961	0	0		4000	42723	0	[]
100080	M10005	秤にかける	一挙両得とはいかないのが世の常だよ	0	46	100079	124	100970	0	[]	104	100974	0	0		4000	42723	0	[]
100081	M10005	計には計を	誰が誰の計にはまったの？	0	46	100080	124	100982	1	"[1055,1]"	104	100993	0	0		24000	42723	0	[]
100082	M10005	籠城戦	守りには八分の利があるの	0	48	100081	101	100997	0	[]	101	101006	0	0		4000	46106	0	[]
100083	M10005	煙が目に染みる	浄雪草で燻されてるみたいだ	0	48	100082	122	101014	1	"[1056,1]"	115	101019	0	0		27000	46106	0	[]
100084	M10005	奇襲	大きな声を出した方が勢いがつく	0	48	100083	115	101023	1	"[1057,1]"	122	101029	0	0		27000	46106	0	[]
100085	M10005	別の道	その方法は俺たちの得意技なのに！	0	48	100084	122	101033	1	"[1058,1]"	122	101042	0	0		27000	46106	0	[]
100086	M10005	撤退	データの無事が最優先だよ	0	50	100085	104	101049	1	"[1059,1]"	122	101055	0	0		40000	49783	0	[]
100087	M10005	氷河	雪山から帰ってきたら次は氷河か……	0	50	100086	103	101059	1	"[1060,1]"	103	101065	0	0		45000	49783	0	[]
100088	M10005	また会いましょう	できれば会わずに済ませたい	0	50	100087	121	101069	1	"[1061,1]"	121	101073	0	0		45000	49783	0	[]
100089	M10005	沼地	泥沼にはまるという事を身を持って体験しましたわ	0	52	100088	122	101085	0	[]	122	101091	0	0		5000	49783	0	[]
100090	M10005	覗き見する者	芸術は凡人には理解されないのですね	0	52	100089	122	101097	1	"[1062,1]"	122	101102	0	0		32000	53778	0	[]
100091	M10005	遠回り	わざわざ泥沼にはまる事は無い	0	52	100090	105	101105	1	"[1063,1]"	105	101117	0	0		32000	53778	0	[]
100092	M10005	木登り	子供の時に習わなかったのか？	0	52	100091	122	101120	0	[]	122	101128	0	0		5000	53778	0	[]
100093	M10005	青天の霹靂	どうにも雲行きが怪しい	0	52	100092	113	101142	1	"[1064,1]"	113	101150	0	0		32000	53778	0	[]
100094	M10005	再利用	あるものは利用する	0	52	100093	105	101153	1	"[1065,1]"	105	101161	0	0		32000	53778	0	[]
100095	M10005	変態	こういうのはサービス回ではなくギャグ回だ	0	54	100094	105	101164	1	"[1066,1]"	113	101174	0	0		55000	58122	0	[]
100096	M10005	コントロールルーム	災い転じて福となす	0	54	100095	113	101177	1	"[1067,1]"	120	101187	0	0		55000	58122	0	[]
100097	M10005	警報	偵察任務ってなんだっけ？	0	54	100096	120	101192	1	"[1068,1]"	120	101199	0	0		55000	58122	0	[]
100098	M10005	地図	壁と川……鉄壁の守りだな	0	56	100097	105	101205	0	[]	105	101212	0	0		47000	62842	0	[]
100099	M10005	空から降ってきた美女	こういうのは「落ちて来た」っていうんだ	0	56	100098	121	101222	1	"[1069,1]"	121	101230	0	0		65000	62842	0	[]
100100	M10005	追っ手	これって仲間割れ？	0	56	100099	105	101236	1	"[1070,1]"	105	101242	0	0		65000	62842	0	[]
100101	M10005	攪乱作戦	どちらかというと俺たちが戸惑っている	0	58	100100	112	101246	0	[]	105	101253	0	0		70000	67971	0	[]
100102	M10005	変態再び	でもシャワールームには誰もいない	0	58	100101	105	101259	1	"[1071,1]"	125	101264	0	0		75000	67971	0	[]
100103	M10005	助けが現れる	二人ってやっぱりそういう関係なのか？	0	58	100102	125	101270	1	"[1072,1]"	118	101274	0	0		75000	67971	0	[]
100104	M10005	脱出ゲーム	都合よくアイテムが置いてあったりはしない	0	60	100103	113	101277	0	[]	113	101283	0	0		25000	73546	0	[]
100105	M10005	開いた扉が	のんびりしていたわけじゃないんだけどな	0	60	100104	114	101290	1	"[1073,1]"	103	101294	0	0		70000	73546	0	[]
100106	M10005	袋のネズミ	だったらその袋を破ればいい	0	60	100105	103	101297	1	"[1074,1]"	125	101304	0	0		70000	73546	0	[]
100107	M10005	借りは返す	しぶといのはお互い様だ	0	60	100106	118	101308	0	[]	118	101313	0	0		25000	73546	0	[]
100108	M10005	オシオキ	暗視訓練は経験済みだ	0	60	100107	125	101320	1	"[1075,1]"	116	101326	0	0		70000	73546	0	[]
100109	M10005	ニセモノ	長く戦ってきた仲間は見誤らない	0	62	100108	116	101330	1	"[1076,1]"	113	101335	0	0		90000	79605	0	[]
100110	M10005	混戦	この状況は予想外だ	0	62	100109	125	101338	1	"[1077,1]"	122	101344	0	0		90000	79605	0	[]
100111	M10005	傀儡子	操り人形なら糸を斬れば良い	0	62	100110	105	101347	1	"[1078,1]"	103	101350	0	0		90000	79605	0	[]
100112	M10005	ろくでもない世界	そんな事は分かっているはずなんだ……	0	62	100111	118	101354	0	[]	118	101360	0	0		20000	79605	0	[]
100113	M10005	呪いの言葉	アイツは何を知っているんだ？	0	64	100112	118	101363	1	"[1079,1]"	122	101366	0	0		110000	86190	0	[]
100114	M10005	世界の中で	俺はいったい何者なんだ……？	0	64	100113	114	101374	1	"[1080,1]"	118	101379	0	0		110000	86190	0	[]
100115	M10005	マスター	皆が俺に何かを隠している？	0	64	100114	118	101381	0	[]	116	101383	0	0		65000	86190	0	[]
100116	M10005	創造主	俺が、この世界の……	0	66	100115	122	101388	0	[]	122	101392	0	0		120000	93346	0	[]
100117	M10005	愚かな選択	今は正しいと思えることをするだけだ	0	66	100116	118	101400	1	"[1081,1]"	118	101404	0	0		120000	93346	0	[]
100118	M10005	撤退	余計な争い事は避けるべきだ	0	66	100117	112	101411	1	"[1082,1]"	112	101416	0	0		70000	93346	0	[]
100119	M10005	整理整頓	物も心も整理したい気分だ	0	68	100118	112	101418	1	"[1083,1]"	112	101424	0	0		100000	101125	0	[]
100120	M10005	知り合い	災難は千年残とはよく言ったものね	0	68	100119	112	101426	1	"[1084,1]"	112	101433	0	0		100000	101125	0	[]
100121	M10005	新しい目的	この前は雪山で、今度は火山か	0	68	100120	119	101436	0	[]	119	101441	0	0		100000	101125	0	[]
100122	M10005	火山	もうちょっと快適な空間で戦えないものか？	0	68	100121	115	101444	1	"[1085,1]"	115	101449	0	0		65000	101125	0	[]
100123	M10005	再会	暑いと厄介者が色々と湧いて出てくるな	0	70	100122	115	101453	1	"[1086,1]"	115	101457	0	0		110000	109578	0	[]
100124	M10005	火山の頂上	火山と言えば……	0	70	100123	121	101460	0	[]	121	101462	0	0		20000	109578	0	[]
100125	M10005	異常	どうしても解けない謎が残るわ	0	71	100124	121	101465	1	"[1087,1]"	103	101470	0	0		110000	109578	0	[]
100126	M10005	けが	やっぱり……まずは助けましょう	0	71	100125	116	101472	1	"[1088,1]"	116	101474	0	0		110000	109578	0	[]
100127	M10005	協力戦	オルガと一緒に戦うわ	0	72	100126	121	101476	1	"[1089,1]"	121	101478	0	0		110000	118765	0	[]
100128	M10005	情報	大変なことを知ってしまったみたいよ	0	72	100127	121	101480	0	[]	121	101482	0	0		20000	118765	0	[]
100129	M10005	謀る	敵を信頼しすぎるのは良い事とは言えないわ	0	73	100128	121	101484	1	"[1090,1]"	121	101486	0	0		110000	118765	0	[]
100130	M10005	決心	罪人になったとしても、真相を知りたいわ	0	74	100129	119	101488	0	[]	119	101493	0	0		20000	128747	0	[]
100131	M10005	新たなスタート	根性があればどんな難所でも踏破出来るわ！	0	74	100130	119	101497	1	"[1091,1]"	113	101502	0	0		110000	128747	0	[]
100132	M10005	侵入者	面倒なことになったようね	0	75	100131	115	101506	1	"[1092,1]"	115	101509	0	0		150000	128747	0	[]
100133	M10005	最初	フランカが何か思い出したみたいね	0	75	100132	113	101511	0	[]	113	101514	0	0		50000	128747	0	[]
100134	M10005	人違い	出た！　天然おバカの定石第二弾！	0	76	100133	116	101520	1	"[1093,1]"	116	101524	0	0		80000	139597	0	[]
100135	M10005	他人	湛蘆が皆の事が分からなくなったようよ	0	76	100134	108	101526	1	"[1094,1]"	108	101529	0	0		35000	139597	0	[]
100136	M10005	一時居住許可	シュイタオさんがお怒りのようです	0	77	100135	108	101531	1	"[1095,1]"	108	101533	0	0		80000	139597	0	[]
100137	M10005	双子	難しい調査だという事は理解しています	0	77	100136	122	101536	0	[]	122	101540	0	0		35000	139597	0	[]
100138	M10005	ケンカの仲裁	弱い者いじめはいけないって、ママが言っていたわ	0	78	100137	116	101544	1	"[1096,1]"	122	101548	0	0		80000	151388	0	[]
100139	M10005	同じ気持ち	承影をいじめることは許さないわ	0	78	100138	122	101550	1	"[1097,1]"	122	101553	0	0		35000	151388	0	[]
100140	M10005	警備	石が手がかりとなって悪事を暴き出すの	0	79	100139	115	101557	0	[]	115	101561	0	0		80000	151388	0	[]
100141	M10005	突破	兵法の第一条を言ってみなさい	0	79	100140	115	101565	1	"[1098,1]"	115	101569	0	0		35000	151388	0	[]
100142	M10005	叩かれ侠	宵練がさらわれた！	0	80	100141	115	101573	1	"[1099,1]"	115	101577	0	0		80000	164203	0	[]
100143	M10005	宵練を救出	やっぱり……まず助けましょう	0	80	100142	115	101582	1	"[1100,1]"	115	101586	0	0		35000	164203	0	[]
100144	M10005	助けを呼ぶ声	遠くから聞こえるの……助けを呼ぶ弱々しい声が	0	81	100143	116	101588	1	"[1101,1]"	116	101592	0	0		115000	164203	0	[]
100145	M10005	終結	秘密は大抵は隠されているものよ	0	82	100144	122	101596	0	[]	122	101599	0	0		80000	177996	0	[]
100146	M10005	スーパー大根	砂漠の中に花畑？	0	82	100145	113	101602	1	"[1102,1]"	113	101605	0	0		35000	177996	0	[]
100147	M10005	赤外線	レーザー網を突破するわよ！	0	83	100146	113	101609	1	"[1103,1]"	113	101615	0	0		115000	177996	0	[]
100148	M10005	破門	真っ暗な通路に泣き声がかすかに響いているの……	0	84	100147	113	101617	1	"[1103,1]"	113	101621	0	0		150000	192948	0	[]
100149	M10005	資料室	全てのスタートはここだ！	0	84	100148	122	101624	0	[]	122	101628	0	0		50000	192948	0	[]
100150	M10005	正確な道	1、2、3、4、5、6、7。どれが間違い？	0	85	100149	122	101632	1	"[1104,1]"	115	101638	0	0		80000	192948	0	[]
100151	M10005	鬼コウモリ	ついに伝説の「終わり」を見たわ	0	85	100150	115	101642	1	"[1105,1]"	115	101647	0	0		35000	192948	0	[]
100152	M10005	選択	「終わり」の誘惑に勝てるかしら？	0	86	100151	122	101650	0	[]	122	101652	0	0		80000	209155	0	[]
100153	M10005	粉砕	断固たる「終結」！	0	86	100152	122	101655	1	"[1106,1]"	113	101659	0	0		35000	209155	0	[]
100154	M10005	妨害	それを守る事は我々の責任です	0	87	100153	113	101661	1	"[1107,1]"	113	101666	0	0		115000	209155	0	[]
100155	M10005	援軍	誰の援軍が来たの？	0	88	100154	113	101668	1	"[1107,1]"	113	101672	0	0		80000	226724	0	[]
100156	M10005	自動保護	ポジティブで前向きにならなきゃね	0	88	100155	122	101675	0	[]	122	101678	0	0		35000	226724	0	[]
100157	M10005	混戦	その場で足踏み始め！	0	89	100156	122	101680	1	"[1108,1]"	122	101683	0	0		80000	226724	0	[]
100158	M10005	連携	シュイタオのスピードが一番早いはずよ	0	89	100157	108	101685	1	"[1108,1]"	108	101687	0	0		150000	226724	0	[]
100159	M10005	湛盧説得	やっと守り人の助けをゲットしたわ	0	90	100158	113	101690	1	"[1109,1]"	115	101695	0	0		50000	245769	0	[]
100160	M10005	終結	終わったの？	0	90	100159	115	101697	1	"[1003,1]"	122	101700	0	0		80000	245769	0	[]
100161	M10005	鳶舞に戻る	まずは記憶喪失の湛盧を連れて鳶舞本部に戻ろう。	0	90	100160	119	101703	0	[]	120	101712	0	0		50000	245769	0	[]
100162	M10005	スーパーアイドル	これが伝説のスーパーアイドル？	0	90	100161	109	101719	1	"[1003,1]"	109	101730	0	0		80000	245769	0	[]
100163	M10005	コンサート	コンサートを見て、しかも美女を助けて英雄になれる	0	90	100162	116	101738	1	"[1003,1]"	116	101747	0	0		110000	245769	0	[]
100164	M10005	調査	いったい誰が備前長船を捕まえたの？	0	92	100163	103	101753	0	[]	103	101760	0	0		40000	266842	0	[]
100165	M10005	実力テスト	リリヤのご飯を食べないために、バトルよ！	0	92	100164	103	101763	0	[]	103	101770	0	0		50000	266842	0	[]
100166	M10005	幻想の森	どこもかしこも霧が立ち込めて、まさに五里霧中！	0	92	100165	116	101775	1	"[1003,1]"	116	101783	0	0		50000	266842	0	[]
100167	M10005	道を尋ねる	しまった、また迷っちゃった	0	92	100166	122	101789	0	[]	116	101796	0	0		60000	266842	0	[]
100168	M10005	助けて助けて	ひょっとして……村正たちの助けを呼ぶ声が聞こえる？	0	92	100167	116	101801	1	"[1003,1]"	106	101810	0	0		70000	266842	0	[]
100169	M10005	魔幻の沼地	火山じゃなければ砂漠や沼地……神に見捨てられたの？	0	94	100168	113	101816	0	[]	113	101820	0	0		70000	287655	0	[]
100170	M10005	白蛇	足に触った柔らかい感触は何？	0	94	100169	116	101826	1	"[1003,1]"	116	101833	0	0		110000	287655	0	[]
100171	M10005	美味しいおにぎり	みんな、おにぎりが大好きなんだな！	0	94	100170	113	101846	0	[]	122	101853	0	0		150000	287655	0	[]
100172	M10005	人探し	まずは赤宵と彼女のお友達を探しに行こう。	0	96	100171	113	101861	0	[]	113	101868	0	0		60000	305276	0	[]
100173	M10005	神秘の心	神秘の心こそが沼地の秘密？	0	96	100172	113	101875	1	"[1003,1]"	115	101886	0	0		90000	305276	0	[]
100174	M10005	秘密	「神秘の心」以外に、何の秘密があるの？	0	96	100173	113	101892	0	[]	116	101896	0	0		110000	305276	0	[]
100175	M10005	騙される	ずる賢いオルガめ、また騙したなぁ！？	0	96	100174	115	101900	1	"[1003,1]"	121	101908	0	0		130000	305276	0	[]
100176	M10005	移動	神秘の心を移動させて、ついでにバカンス～素晴らしきかな人生～	0	98	100175	119	101917	0	[]	119	101923	0	0		120000	323367	0	[]
100177	M10005	早足	安全のため、「神秘の心」を急いで早足で避難させよう！	0	98	100176	116	101931	1	"[1003,1]"	116	101937	0	0		150000	323367	0	[]
100178	M10005	テスト合格	神秘の心を避難させるのに、なんで海獣のテストに合格しなくちゃいけないの？	0	98	100177	116	101940	1	"[1003,1]"	116	101947	0	0		180000	323367	0	[]
100179	M10005	？？	？？	0	101	100178	116	101952	0	[]	116	101952	0	0		40000	0	0	[]
