number	number	string	number	number	number	number	number
134	12207	高級なアクセ	1	35000	1	5	2
135	12208	ゆり	1	35000	1	5	2
136	12209	匂い袋	1	35000	1	5	2
137	12210	ビーズ	1	35000	1	5	2
138	12211	染料B	1	35000	1	5	2
139	12212	徽章	1	35000	1	5	2
140	12213	ネクタイ	1	35000	1	5	2
141	12214	羅針盤	1	35000	1	5	2
142	12215	鈴	1	35000	1	5	2
143	12216	花嫁グローブ	1	35000	1	5	2
144	12217	髪の毛	1	35000	1	5	2
145	10015	花束	1	10000	1	1	1
146	10035	チョコ菓子	1	10000	1	1	1
147	10041	カメラ	1	10000	1	1	1
148	10050	下痢止め薬	1	10000	1	1	1
149	10056	鞭	1	10000	1	1	1
150	10062	弓	1	10000	1	1	1
151	10015	花束	2	10	1	1	1
152	10035	チョコ菓子	2	10	1	1	1
153	10041	カメラ	2	10	1	1	1
154	10050	下痢止め薬	2	10	1	1	1
155	10056	鞭	2	10	1	1	1
156	10062	弓	2	10	1	1	1
157	10063	猫缶	2	10	1	1	2
