number	number	string	number	number	number	number	number
153	19004	天の力	2	124	1	4	2
154	19004	天の力	2	217	1	7	2
155	19004	天の力	2	310	1	10	2
156	19004	天の力	2	465	1	15	2
157	19004	天の力	2	620	1	20	2
158	19004	天の力	2	930	1	30	1
159	19004	天の力	2	1550	1	50	1
160	19004	天の力	2	3069	1	99	1
161	19004	天の力	2	28	1	1	2
162	19004	天の力	2	56	1	2	2
163	19004	天の力	2	112	1	4	2
164	19004	天の力	2	196	1	7	1
165	19004	天の力	2	280	1	10	1
166	19004	天の力	2	420	1	15	1
167	19004	天の力	2	560	1	20	1
168	19004	天の力	2	840	1	30	1
169	19004	天の力	2	1400	1	50	1
170	19004	天の力	2	2772	1	99	1
171	19004	天の力	2	24	1	1	1
172	19004	天の力	2	48	1	2	1
173	19004	天の力	2	96	1	4	1
174	19004	天の力	2	168	1	7	1
175	19004	天の力	2	240	1	10	1
176	19004	天の力	2	360	1	15	1
177	19004	天の力	2	480	1	20	1
178	19004	天の力	2	720	1	30	1
179	19004	天の力	2	1200	1	50	1
180	19004	天の力	2	2376	1	99	1
181	19004	天の力	2	21	1	1	1
182	19004	天の力	2	42	1	2	1
183	19004	天の力	2	84	1	4	1
184	19004	天の力	2	147	1	7	1
185	19004	天の力	2	210	1	10	1
186	19004	天の力	2	315	1	15	1
187	19004	天の力	2	420	1	20	1
188	19004	天の力	2	630	1	30	1
189	19004	天の力	2	1050	1	50	1
190	19004	天の力	2	2079	1	99	1
191	19004	天の力	2	17	1	1	1
192	19004	天の力	2	34	1	2	1
193	19004	天の力	2	68	1	4	1
194	19004	天の力	2	119	1	7	1
195	19004	天の力	2	170	1	10	1
196	19004	天の力	2	255	1	15	1
197	19004	天の力	2	340	1	20	1
198	19004	天の力	2	510	1	30	1
199	19004	天の力	2	850	1	50	1
200	19004	天の力	2	1683	1	99	1
201	19005	靈の力	2	36	1	1	2
202	19005	靈の力	2	72	1	2	2
203	19005	靈の力	2	144	1	4	2
204	19005	靈の力	2	252	1	7	2
205	19005	靈の力	2	360	1	10	2
206	19005	靈の力	2	540	1	15	2
207	19005	靈の力	2	720	1	20	2
208	19005	靈の力	2	1080	1	30	1
209	19005	靈の力	2	1800	1	50	1
210	19005	靈の力	2	3564	1	99	1
211	19005	靈の力	2	32	1	1	2
212	19005	靈の力	2	64	1	2	2
213	19005	靈の力	2	128	1	4	2
214	19005	靈の力	2	224	1	7	1
215	19005	靈の力	2	320	1	10	1
216	19005	靈の力	2	480	1	15	1
217	19005	靈の力	2	640	1	20	1
218	19005	靈の力	2	960	1	30	1
219	19005	靈の力	2	1600	1	50	1
220	19005	靈の力	2	3168	1	99	1
221	19005	靈の力	2	28	1	1	1
222	19005	靈の力	2	56	1	2	1
223	19005	靈の力	2	112	1	4	1
224	19005	靈の力	2	196	1	7	1
225	19005	靈の力	2	280	1	10	1
226	19005	靈の力	2	420	1	15	1
227	19005	靈の力	2	560	1	20	1
228	19005	靈の力	2	840	1	30	1
229	19005	靈の力	2	1400	1	50	1
230	19005	靈の力	2	2772	1	99	1
231	19005	靈の力	2	24	1	1	1
232	19005	靈の力	2	48	1	2	1
233	19005	靈の力	2	96	1	4	1
234	19005	靈の力	2	168	1	7	1
235	19005	靈の力	2	240	1	10	1
236	19005	靈の力	2	360	1	15	1
237	19005	靈の力	2	480	1	20	1
238	19005	靈の力	2	720	1	30	1
239	19005	靈の力	2	1200	1	50	1
240	19005	靈の力	2	2376	1	99	1
241	19005	靈の力	2	20	1	1	1
242	19005	靈の力	2	40	1	2	1
243	19005	靈の力	2	80	1	4	1
244	19005	靈の力	2	140	1	7	1
245	19005	靈の力	2	200	1	10	1
246	19005	靈の力	2	300	1	15	1
247	19005	靈の力	2	400	1	20	1
248	19005	靈の力	2	600	1	30	1
249	19005	靈の力	2	1000	1	50	1
250	19005	靈の力	2	1980	1	99	1
