number	number	number	array	number	number
414	4	14	"[10003,50]"	0	0
415	4	15	"[24001,30]"	0	0
416	4	16	"[10001,30000]"	0	0
417	4	17	"[15001,200]"	0	0
418	4	18	"[30020,10]"	0	0
419	4	19	"[10003,50]"	0	0
420	4	20	"[24001,30]"	0	0
421	4	21	"[10001,40000]"	0	0
422	4	22	"[15001,250]"	0	0
423	4	23	"[30020,10]"	0	0
424	4	24	"[10003,100]"	0	0
425	4	25	"[24001,30]"	0	0
426	4	26	"[10001,50000]"	0	0
427	4	27	"[15001,250]"	0	0
428	4	28	"[30020,10]"	0	0
429	4	29	"[10003,150]"	0	0
430	4	30	"[24001,30]"	0	0
501	5	1	"[10001,15000]"	0	0
502	5	2	"[15001,100]"	0	0
503	5	3	"[30020,10]"	0	0
504	5	4	"[10003,50]"	0	0
505	5	5	"[24001,30]"	0	0
506	5	6	"[10001,20000]"	0	0
507	5	7	"[15001,150]"	0	0
508	5	8	"[30020,10]"	0	0
509	5	9	"[10003,50]"	0	0
510	5	10	"[24001,30]"	0	0
511	5	11	"[10001,25000]"	0	0
512	5	12	"[15001,200]"	0	0
513	5	13	"[30020,10]"	0	0
514	5	14	"[10003,50]"	0	0
515	5	15	"[24001,30]"	0	0
516	5	16	"[10001,30000]"	0	0
517	5	17	"[15001,200]"	0	0
518	5	18	"[30020,10]"	0	0
519	5	19	"[10003,50]"	0	0
520	5	20	"[24001,30]"	0	0
521	5	21	"[10001,40000]"	0	0
522	5	22	"[15001,250]"	0	0
523	5	23	"[30020,10]"	0	0
524	5	24	"[10003,100]"	0	0
525	5	25	"[24001,30]"	0	0
526	5	26	"[10001,50000]"	0	0
527	5	27	"[15001,250]"	0	0
528	5	28	"[30020,10]"	0	0
529	5	29	"[10003,150]"	0	0
530	5	30	"[24001,30]"	0	0
531	5	31	"[10001,60000]"	0	0
601	6	1	"[10001,15000]"	0	0
602	6	2	"[15001,100]"	0	0
603	6	3	"[30020,10]"	0	0
604	6	4	"[10003,50]"	0	0
605	6	5	"[24001,30]"	0	0
606	6	6	"[10001,20000]"	0	0
607	6	7	"[15001,150]"	0	0
608	6	8	"[30020,10]"	0	0
609	6	9	"[10003,50]"	0	0
610	6	10	"[24001,30]"	0	0
611	6	11	"[10001,25000]"	0	0
612	6	12	"[15001,200]"	0	0
613	6	13	"[30020,10]"	0	0
614	6	14	"[10003,50]"	0	0
615	6	15	"[24001,30]"	0	0
616	6	16	"[10001,30000]"	0	0
617	6	17	"[15001,200]"	0	0
618	6	18	"[30020,10]"	0	0
619	6	19	"[10003,50]"	0	0
620	6	20	"[24001,30]"	0	0
621	6	21	"[10001,40000]"	0	0
622	6	22	"[15001,250]"	0	0
623	6	23	"[30020,10]"	0	0
624	6	24	"[10003,100]"	0	0
625	6	25	"[24001,30]"	0	0
626	6	26	"[10001,50000]"	0	0
627	6	27	"[15001,250]"	0	0
628	6	28	"[30020,10]"	0	0
629	6	29	"[10003,150]"	0	0
630	6	30	"[24001,30]"	0	0
701	7	1	"[10001,15000]"	0	0
702	7	2	"[15001,100]"	0	0
703	7	3	"[30020,10]"	0	0
704	7	4	"[10003,50]"	0	0
705	7	5	"[24001,30]"	0	0
706	7	6	"[10001,20000]"	0	0
707	7	7	"[15001,150]"	0	0
708	7	8	"[30020,10]"	0	0
709	7	9	"[10003,50]"	0	0
710	7	10	"[24001,30]"	0	0
711	7	11	"[10001,25000]"	0	0
712	7	12	"[15001,200]"	0	0
713	7	13	"[30020,10]"	0	0
714	7	14	"[10003,50]"	0	0
715	7	15	"[24001,30]"	0	0
716	7	16	"[10001,30000]"	0	0
717	7	17	"[15001,200]"	0	0
718	7	18	"[30020,10]"	0	0
719	7	19	"[10003,50]"	0	0
720	7	20	"[24001,30]"	0	0
721	7	21	"[10001,40000]"	0	0
722	7	22	"[15001,250]"	0	0
723	7	23	"[30020,10]"	0	0
724	7	24	"[10003,100]"	0	0
725	7	25	"[24001,30]"	0	0
726	7	26	"[10001,50000]"	0	0
727	7	27	"[15001,250]"	0	0
728	7	28	"[30020,10]"	0	0
729	7	29	"[10003,150]"	0	0
730	7	30	"[24001,30]"	0	0
731	7	31	"[10001,60000]"	0	0
801	8	1	"[10001,15000]"	0	0
802	8	2	"[15001,100]"	0	0
803	8	3	"[30020,10]"	0	0
804	8	4	"[10003,50]"	0	0
805	8	5	"[24001,30]"	0	0
806	8	6	"[10001,20000]"	0	0
807	8	7	"[15001,150]"	0	0
808	8	8	"[30020,10]"	0	0
809	8	9	"[10003,50]"	0	0
810	8	10	"[24001,30]"	0	0
811	8	11	"[10001,25000]"	0	0
812	8	12	"[15001,200]"	0	0
813	8	13	"[30020,10]"	0	0
814	8	14	"[10003,50]"	0	0
815	8	15	"[24001,30]"	0	0
816	8	16	"[10001,30000]"	0	0
817	8	17	"[15001,200]"	0	0
818	8	18	"[30020,10]"	0	0
819	8	19	"[10003,50]"	0	0
820	8	20	"[24001,30]"	0	0
821	8	21	"[10001,40000]"	0	0
822	8	22	"[15001,250]"	0	0
823	8	23	"[30020,10]"	0	0
824	8	24	"[10003,100]"	0	0
825	8	25	"[24001,30]"	0	0
826	8	26	"[10001,50000]"	0	0
827	8	27	"[15001,250]"	0	0
828	8	28	"[30020,10]"	0	0
829	8	29	"[10003,150]"	0	0
830	8	30	"[24001,30]"	0	0
831	8	31	"[10001,60000]"	0	0
901	9	1	"[10001,15000]"	0	0
902	9	2	"[15001,100]"	0	0
903	9	3	"[30020,10]"	0	0
904	9	4	"[10003,50]"	0	0
905	9	5	"[24001,30]"	0	0
906	9	6	"[10001,20000]"	0	0
907	9	7	"[15001,150]"	0	0
908	9	8	"[30020,10]"	0	0
909	9	9	"[10003,50]"	0	0
910	9	10	"[24001,30]"	0	0
911	9	11	"[10001,25000]"	0	0
912	9	12	"[15001,200]"	0	0
913	9	13	"[30020,10]"	0	0
914	9	14	"[10003,50]"	0	0
915	9	15	"[24001,30]"	0	0
916	9	16	"[10001,30000]"	0	0
917	9	17	"[15001,200]"	0	0
918	9	18	"[30020,10]"	0	0
919	9	19	"[10003,50]"	0	0
920	9	20	"[24001,30]"	0	0
921	9	21	"[10001,40000]"	0	0
922	9	22	"[15001,250]"	0	0
923	9	23	"[30020,10]"	0	0
924	9	24	"[10003,100]"	0	0
925	9	25	"[24001,30]"	0	0
926	9	26	"[10001,50000]"	0	0
927	9	27	"[15001,250]"	0	0
928	9	28	"[30020,10]"	0	0
929	9	29	"[10003,150]"	0	0
930	9	30	"[24001,30]"	0	0
